tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_uT	specimen_n	specimen_int_ptrm_n	specimen_f	specimen_fvds	specimen_frac	specimen_gap_max	specimen_b_beta	specimen_dang	specimen_drats	specimen_int_mad	specimen_md
su100301h	100	530	40	-	1.02	70.8	14.00	7.00	0.97	0.91	0.93	0.13	0.04	2.28	4.66	2.23	-1.00
su100301h	100	545	40	-	1.02	70.3	15.00	8.00	0.97	0.92	0.94	0.13	0.03	2.01	8.44	2.22	-1.00
su100301h	150	500	40	-	1.03	75.0	11.00	6.00	0.87	0.83	0.82	0.15	0.04	2.81	0.59	1.93	-1.00
su100301h	150	515	40	-	1.02	71.1	12.00	7.00	0.92	0.87	0.85	0.14	0.04	2.50	4.71	1.91	-1.00
su100301h	150	530	40	-	1.02	69.9	13.00	7.00	0.95	0.89	0.89	0.13	0.04	2.13	4.66	1.98	-1.00
su100301h	150	545	40	-	1.02	69.5	14.00	8.00	0.95	0.89	0.91	0.13	0.04	1.87	8.44	2.00	-1.00
su100301h	200	515	40	-	1.02	70.1	11.00	7.00	0.87	0.81	0.81	0.15	0.05	2.57	4.71	2.05	-1.00
su100301h	200	530	40	-	1.02	68.9	12.00	7.00	0.90	0.83	0.85	0.14	0.04	2.18	4.66	2.10	-1.00
su100301h	200	545	40	-	1.02	68.5	13.00	8.00	0.91	0.84	0.87	0.14	0.04	1.92	8.44	2.11	-1.00
su100301h	250	530	40	-	1.02	66.7	11.00	7.00	0.86	0.78	0.79	0.15	0.05	2.10	4.66	2.17	-1.00
su100301h	250	545	40	-	1.02	66.5	12.00	8.00	0.87	0.79	0.81	0.15	0.04	1.84	8.44	2.16	-1.00
su100501a	0	515	40	-	1.01	57.7	13.00	6.00	0.88	0.84	0.85	0.17	0.04	3.18	7.35	3.46	-1.00
su100501a	0	530	40	-	1.01	55.1	14.00	7.00	0.98	0.92	0.93	0.16	0.03	2.44	8.67	3.28	-1.00
su100501a	0	545	40	-	1.01	53.9	15.00	7.00	1.02	0.95	0.97	0.15	0.03	1.90	8.32	3.13	-1.00
su100501a	0	560	40	-	1.00	52.5	16.00	8.00	1.05	0.97	0.99	0.15	0.03	1.55	5.47	2.98	-1.00
su100501a	0	580	40	-	1.00	51.4	17.00	8.00	1.06	0.98	1.00	0.14	0.03	1.36	5.34	2.83	-1.00
