model_lat	er_citation_names	compilation_names	average_inc	er_site_names	average_int	average_age_low	average_int_sigma_perc	average_alpha95	magic_method_codes	vadm	average_r	average_int_nn	model_lon	average_age	result_description	er_location_names	average_int_sigma	vadm_n	compilation_ids	data_type	average_dec	vdm_n	vgp_lat	average_nn	average_lat	average_age_unit	average_age_sigma	average_k	average_lon	vgp_dm	average_n	vgp_dp	pmag_result_name	tilt_correction	average_age_high	vgp_lon	vdm
				8	4.25E-05		3.29		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					1.40E-06																8				8.10E+22
				12	5.95E-05		3.7		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.20E-06																12				1.19E+23
				13	4.24E-05		3.77		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.60E-06																13				1.08E+23
				20	4.31E-05		10.7		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			2					4.60E-06																20				1.02E+23
				23	2.18E-05		6.42		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.40E-06																23				5.40E+22
				24	2.18E-05		6.42		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.40E-06																24				5.40E+22
				25	2.93E-05		7.17		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					2.10E-06																25				7.30E+22
				27	3.75E-05		2.13		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			6					8.00E-07																27				9.10E+22
				29	4.12E-05		5.58		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.30E-06																29				8.30E+22
				30	4.44E-05		0.45		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					2.00E-07																30				1.01E+23
				34	4.81E-05		4.16		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.00E-06																34				1.14E+23
				35	3.11E-05		0.965		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.00E-07																35				7.40E+22
				36	5.04E-05		2.78		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			10					1.40E-06																36				1.18E+23
				38	4.81E-05		7.28		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.50E-06																38				1.13E+23
				41	3.58E-05		9.78		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.50E-06																41				9.00E+22
20.6179	This study:Johnson et al. 2007	TAFI:20D	5.1	194				6.5	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	233.9		-32.4	5	21.55	ka		363	201.77				TAFI: 194	0		130.5	
	This study:Johnson et al. 2007	TAFI:20D	10.4	195				7.2	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	248.8		-17.5	5	21.55	ka		114	201.77				TAFI-PMCORR: 195	0		124.9	
20.6179	This study:Johnson et al. 2007	TAFI:20D	10.4	195				7.2	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	248.8		-17.8	5	21.55	ka		114	201.77				TAFI: 195	0		126.2	
	This study:Johnson et al. 2007	TAFI:20D	7	197				7	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	196.5		-60.2	5	21.55	ka		121	201.77				TAFI-PMCORR: 197	0		167	
20.6179	This study:Johnson et al. 2007	TAFI:20D	7	197				7	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	196.5		-60.9	5	21.55	ka		121	201.77				TAFI: 197	0		167.6	
	This study:Johnson et al. 2007	TAFI:20D	20.4	198				11.5	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	202.7		-50.9	5	21.55	ka		470	201.77				TAFI-PMCORR: 198	0		164.8	
20.6179	This study:Johnson et al. 2007	TAFI:20D	20.4	198				11.5	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	202.7		-51.7	5	21.55	ka		470	201.77				TAFI: 198	0		165.6	
	This study:Johnson et al. 2007	TAFI:20D	4.8	199				5.8	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	4.9		70.3	5	21.55	ka		134	201.77				TAFI-PMCORR: 199	0		7.1	
20.6179	This study:Johnson et al. 2007	TAFI:20D	4.8	199				5.8	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	4.9		71.2	5	21.55	ka		134	201.77				TAFI: 199	0		8	
	This study:Johnson et al. 2007	TAFI:20D	7.9	200				9.7	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	15.7		66.7	5	21.55	ka		92	201.77				TAFI-PMCORR: 200	0		338.7	
20.6179	This study:Johnson et al. 2007	TAFI:20D	7.9	200				9.7	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	15.7		67.4	5	21.55	ka		92	201.77				TAFI: 200	0		338.7	
	This study:Johnson et al. 2007	TAFI:20D	9	201				5.1	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	7.7		71.4	5	21.55	ka		230	201.77				TAFI-PMCORR: 201	0		357	
20.6179	This study:Johnson et al. 2007	TAFI:20D	9	201				5.1	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	7.7		72.3	5	21.55	ka		230	201.77				TAFI: 201	0		357.4	
	This study:Johnson et al. 2007	TAFI:20D	4.9	202				4.6	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	8.4		69.2	5	21.55	ka		272	201.77				TAFI-PMCORR: 202	0		357.5	
20.6179	This study:Johnson et al. 2007	TAFI:20D	4.9	202				4.6	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	8.4		70.1	5	21.55	ka		272	201.77				TAFI: 202	0		358	
	This study:Johnson et al. 2007	TAFI:20D	10	203				7.1	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	5.8		72.6	5	21.55	ka		118	201.77				TAFI-PMCORR: 203	0		2.1	
20.6179	This study:Johnson et al. 2007	TAFI:20D	10	203				7.1	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	5.8		73.4	5	21.55	ka		118	201.77				TAFI: 203	0		2.7	
	This study:Johnson et al. 2007	TAFI:20D	24.5	204				6.9	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	352		78.4	5	21.55	ka		104	201.77				TAFI-PMCORR: 204	0		64.3	
20.6179	This study:Johnson et al. 2007	TAFI:20D	24.5	204				6.9	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	352		79.1	5	21.55	ka		104	201.77				TAFI: 204	0		69.1	
	This study:Johnson et al. 2007	TAFI:20D	28.7	205				16.8	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	351.4		79.7	5	21.55	ka		20	201.77				TAFI-PMCORR: 205	0		75.8	
20.6179	This study:Johnson et al. 2007	TAFI:20D	28.7	205				16.8	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	351.4		80.3	5	21.55	ka		20	201.77				TAFI: 205	0		81.8	
	This study:Johnson et al. 2007	TAFI:20D	29.4	206				8.3	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	348.1		77.3	5	21.55	ka		123	201.77				TAFI-PMCORR: 206	0		86.5	
20.6179	This study:Johnson et al. 2007	TAFI:20D	29.4	206				8.3	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	348.1		77.7	5	21.55	ka		123	201.77				TAFI: 206	0		91.9	
	This study:Johnson et al. 2007	TAFI:20D	30.4	207				9.2	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	10.7		78.6	5	21.55	ka		183	201.77				TAFI-PMCORR: 207	0		317.2	
20.6179	This study:Johnson et al. 2007	TAFI:20D	30.4	207				9.2	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	10.7		79	5	21.55	ka		183	201.77				TAFI: 207	0		314.4	
	This study:Johnson et al. 2007	TAFI:20D	26.9	208				11.5	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	9.7		78.2	5	21.55	ka		116	201.77				TAFI-PMCORR: 208	0		328.6	
20.6179	This study:Johnson et al. 2007	TAFI:20D	26.9	208				11.5	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	9.7		78.8	5	21.55	ka		116	201.77				TAFI: 208	0		326.4	
	This study:Johnson et al. 2007	TAFI:20D	50.5	209				5.1	LP-DIR					3220	VGP calculated using present lat/lon	Hawaii				i	6.8		78.6	5	21.55	ka		597	201.77				TAFI-PMCORR: 209	0		232.5	
20.6179	This study:Johnson et al. 2007	TAFI:20D	50.5	209				5.1	LP-DIR:IE-MLAT-PR				203.343	3220	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	6.8		77.8	5	21.55	ka		597	201.77				TAFI: 209	0		231.	
21.25	This study	PINT06	-29	He008Aa-1	6.930e-05			59	LP-PI-TRM:LP-PI-ALT-PTRM	1.515e+23				3.6	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii		1		i	166.7	1	-76.1	5	21.25	Ma		10.1	-158.12				PINT:He008Aa-1			269.6	1.623e+23
21.25	This study	PINT06	-26.3	HE020Ca-3	6.340e-05		0.5	321	LP-PI-TRM:LP-PI-ALT-PTRM	1.386e+23				3.6	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii	3.000e-07	2		i	179.8	2	-82.6	5	21.25	Ma		4.3	-158.12				PINT:HE020Ca-3			203.4	1.511e+23
21.25	This study	PINT06	-31.9	HE037Ba-5	4.570e-05			81	LP-PI-TRM:LP-PI-ALT-PTRM	9.990e+22				3.6	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii		1		i	185.2	1	-83.7	4	21.25	Ma		10.3	-158.12				PINT:HE037Ba-5			149.9	1.049e+23
21.25	This study	PINT06	-40.6	HE086Aa-12	3.700e-05		11.4	200	LP-PI-TRM:LP-PI-ALT-PTRM	8.088e+22				3.6	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii	4.200e-06	2		i	170.6	2	-81.1	5	21.25	Ma		5.4	-158.12				PINT:HE086Aa-12			306.2	7.889e+22
21.25	This study	PINT06	-47.5	HE135Aa-15	5.400e-05			52	LP-PI-TRM:LP-PI-ALT-PTRM	1.180e+23				3.6	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii		1		i	161.3	1	-71.5	5	21.25	Ma		10.7	-158.12				PINT:HE135Aa-15			319.1	1.073e+23
21.25	This study	PINT06		MA034B-74	1.000e-05		9.0		LP-PI-TRM:LP-PI-ALT-PTRM	2.186e+22				3.33	VADM calculated using present site lat.	Hawaii	9.000e-07	3		i					21.25	Ma			-158.12				PINT:MA034B-74				
21.25	This study	PINT06		MA067C-77	1.120e-05		17.0		LP-PI-TRM:LP-PI-ALT-PTRM	2.448e+22				3.33	VADM calculated using present site lat.	Hawaii	1.900e-06	5		i					21.25	Ma			-158.12				PINT:MA067C-77				
21.25	This study	PINT06		MA074D2-79	1.210e-05		18.2		LP-PI-TRM:LP-PI-ALT-PTRM	2.645e+22				3.33	VADM calculated using present site lat.	Hawaii	2.200e-06	4		i					21.25	Ma			-158.12				PINT:MA074D2-79				
21.25	This study	PINT06		MA496C-67	2.960e-05		14.2		LP-PI-TRM:LP-PI-ALT-PTRM	6.471e+22				3.33	VADM calculated using present site lat.	Hawaii	4.200e-06	4		i					21.25	Ma			-158.12				PINT:MA496C-67				
21.25	This study	PINT06		MA502B1-68	2.360e-05		17.4		LP-PI-TRM:LP-PI-ALT-PTRM	5.159e+22				3.33	VADM calculated using present site lat.	Hawaii	4.100e-06	4		i					21.25	Ma			-158.12				PINT:MA502B1-68				
21.25	This study	PINT06		PA006C-91	7.700e-06				LP-PI-TRM:LP-PI-ALT-PTRM	1.683e+22				3.33	VADM calculated using present site lat.	Hawaii		1		i					21.25	Ma			-158.12				PINT:PA006C-91				
21.25	This study	PINT06		PA038A-95	4.100e-06		6.8		LP-PI-TRM:LP-PI-ALT-PTRM	8.963e+21				3.33	VADM calculated using present site lat.	Hawaii	2.800e-07	2		i					21.25	Ma			-158.12				PINT:PA038A-95				
21.25	This study	PINT06		PA147A-120	1.380e-05				LP-PI-TRM:LP-PI-ALT-PTRM	3.017e+22				3.33	VADM calculated using present site lat.	Hawaii		1		i					21.25	Ma			-158.12				PINT:PA147A-120				
21.25	This study	PINT06		PA152B-121	1.940e-05		28.9		LP-PI-TRM:LP-PI-ALT-PTRM	4.241e+22				3.33	VADM calculated using present site lat.	Hawaii	5.600e-06	3		i					21.25	Ma			-158.12				PINT:PA152B-121				
21.25	This study	PINT06		PA167Ba-129	3.550e-05		5.9		LP-PI-TRM:LP-PI-ALT-PTRM	7.760e+22				3.33	VADM calculated using present site lat.	Hawaii	2.100e-06	2		i					21.25	Ma			-158.12				PINT:PA167Ba-129				
21.25	This study	PINT06		PA186B-131	1.800e-05				LP-PI-TRM:LP-PI-ALT-PTRM	3.935e+22				3.33	VADM calculated using present site lat.	Hawaii		1		i					21.25	Ma			-158.12				PINT:PA186B-131				
21.25	This study	PINT06		PA199B1-137	7.100e-05		4.8		LP-PI-TRM:LP-PI-ALT-PTRM	1.552e+23				3.33	VADM calculated using present site lat.	Hawaii	3.400e-06	3		i					21.25	Ma			-158.12				PINT:PA199B1-137				
21.25	This study	PINT06		PA240A1-114	5.515e-05		6.5		LP-PI-TRM:LP-PI-ALT-PTRM	1.206e+23				3.33	VADM calculated using present site lat.	Hawaii	3.600e-06	9		i					21.25	Ma			-158.12				PINT:PA240A1-114				
21.25	This study	PINT06	-51.3	UM015D-179	5.100e-05			4.7	LP-PI-TRM:LP-PI-ALT-PTRM	1.115e+23				3.33	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii		4		i	211.9	4	-59.7		21.25	Ma		265	-158.12				PINT:UM015D-179			84.5	9.702e+22
21.25	This study	PINT06	-41.6	UM019A-181	5.000e-05			6	LP-PI-TRM:LP-PI-ALT-PTRM	1.093e+23				3.33	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii		1		i	208	1	-64.1		21.25	Ma		164	-158.12				PINT:UM019A-181			100.6	1.056e+23
21.25	This study	PINT06	-6.8	UM026A-182	1.900e-05		4.7	6	LP-PI-TRM:LP-PI-ALT-PTRM	4.153e+22				3.33	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii	9.000e-07	2		i	188.1	2	-70.5		21.25	Ma		236	-158.12				PINT:UM026A-182			177.0	4.878e+22
21.25	This study	PINT06	7	UM064C-197	7.100e-06		11.3	7	LP-PI-TRM:LP-PI-ALT-PTRM	1.552e+22				3.33	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii	8.000e-07	3		i	196.5	3	-60.4		21.25	Ma		121	-158.12				PINT:UM064C-197			166.8	1.822e+22
21.25	This study	PINT06	20.4	UM071Ba-198	1.420e-05		19.7	11.5	LP-PI-TRM:LP-PI-ALT-PTRM	3.104e+22				3.33	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii	2.800e-06	3		i	202.7	3	-51.2		21.25	Ma		470	-158.12				PINT:UM071Ba-198			164.6	3.494e+22
21.25	This study	PINT06	7.9	UM083B-200	1.220e-05			9.7	LP-PI-TRM:LP-PI-ALT-PTRM	2.667e+22				3.33	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii		1		i	15.7	1	67.0		21.25	Ma		92	-158.12				PINT:UM083B-200			338.3	3.127e+22
21.25	This study	PINT06	-27	UM114Aa-135	7.500e-05		14.0	7.7	LP-PI-TRM:LP-PI-ALT-PTRM	1.640e+23				3.33	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii	1.050e-05	3		i	196.4	3	-72.9		21.25	Ma		259	-158.12				PINT:UM114Aa-135			133.2	1.780e+23
21.25	This study	PINT06	-14.9	UM137Aa-144	4.300e-05		6.5	9.7	LP-PI-TRM:LP-PI-ALT-PTRM	9.400e+22				3.33	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii	2.800e-06	2		i	172.7	2	-74.6		21.25	Ma		92	-158.12				PINT:UM137Aa-144			230.2	1.082e+23
21.25	This study	PINT06	-12.3	UM176Da-156	2.060e-05		10.4	8.4	LP-PI-TRM:LP-PI-ALT-PTRM	4.503e+22				3.33	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii	2.150e-06	4		i	185.7	4	-74.0		21.25	Ma		214	-158.12				PINT:UM176Da-156			180.9	5.226e+22
21.25	This study	PINT06	-14.9	UM216B-171	1.620e-05		14.2	5	LP-PI-TRM:LP-PI-ALT-PTRM	3.541e+22				3.33	VDM recalculated by MagIC team. VADM calculated using present site lat.	Hawaii	2.300e-06	4		i	174.6	4	-75.4		21.25	Ma		343	-158.12				PINT:UM216B-171			223.6	4.076e+22
	This study:Johnson et al. 2007	TAFI:20D	-45.9	HeleakalaBsed.				8.7	LP-DIR					10000	VGP calculated using present lat/lon	Hawaii				i	173.6		-81.7	3	21.4	ka		203	201.867				TAFI-PMCORR: HeleakalaBsed.	0		338.4	
18.4973	This study:Johnson et al. 2007	TAFI:20D	-45.9	HeleakalaBsed.				8.7	LP-DIR:IE-MLAT-PR				206.758	10000	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	173.6		-79.4	3	21.4	ka		203	201.867				TAFI: HeleakalaBsed.	0		354.1	
	This study:Johnson et al. 2007	TAFI:20D	-42.3	Heleakala14b				3.3	LP-DIR					10000	VGP calculated using present lat/lon	Hawaii				i	174.2		-83.8	4	21.4	ka		556	201.867				TAFI-PMCORR: Heleakala14b	0		322.8	
18.4973	This study:Johnson et al. 2007	TAFI:20D	-42.3	Heleakala14b				3.3	LP-DIR:IE-MLAT-PR				206.758	10000	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	174.2		-82	4	21.4	ka		556	201.867				TAFI: Heleakala14b	0		345.7	
	This study:Johnson et al. 2007	TAFI:20D	38.1	Heleakala28				4.2	LP-DIR					5000	VGP calculated using present lat/lon	Hawaii				i	350.4		81.1	4	21.4	ka		490	201.867				TAFI-PMCORR: Heleakala28	0		113.7	
19.9486	This study:Johnson et al. 2007	TAFI:20D	38.1	Heleakala28				4.2	LP-DIR:IE-MLAT-PR				204.312	5000	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	350.4		80.9	4	21.4	ka		490	201.867				TAFI: Heleakala28	0		125.2	
	This study:Johnson et al. 2007	TAFI:20D	-26.3	Heleakala3				4.3	LP-DIR					3750	VGP calculated using present lat/lon	Hawaii				i	179.8		-82.5	5	21.4	ka		321	201.867				TAFI-PMCORR: Heleakala3	0		203.4	
20.3115	This study:Johnson et al. 2007	TAFI:20D	-26.3	Heleakala3				4.3	LP-DIR:IE-MLAT-PR				203.701	3750	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	179.8		-83.6	5	21.4	ka		321	201.867				TAFI: Heleakala3	0		205.4	
	This study:Johnson et al. 2007	TAFI:20D	-29	Heleakala1				10.1	LP-DIR					3750	VGP calculated using present lat/lon	Hawaii				i	166.7		-76.1	5	21.4	ka		59	201.867				TAFI-PMCORR: Heleakala1	0		269	
20.3115	This study:Johnson et al. 2007	TAFI:20D	-29	Heleakala1				10.1	LP-DIR:IE-MLAT-PR				203.701	3750	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	166.7		-76.5	5	21.4	ka		59	201.867				TAFI: Heleakala1	0		275	
	This study:Johnson et al. 2007	TAFI:20D	-37.5	Heleakala13				2.8	LP-DIR					3710	VGP calculated using present lat/lon	Hawaii				i	173.3		-83.7	6	21.4	ka	0.07	566	201.867				TAFI-PMCORR: Heleakala13	0		289.3	
20.3231	This study:Johnson et al. 2007	TAFI:20D	-37.5	Heleakala13				2.8	LP-DIR:IE-MLAT-PR				203.681	3710	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	173.3		-83.7	6	21.4	ka	0.07	566	201.867				TAFI: Heleakala13	0		300.9	
	This study:Johnson et al. 2007	TAFI:20D	-38.9	Heleakala16				4.6	LP-DIR					3640	VGP calculated using present lat/lon	Hawaii				i	184.4		-85.9	4	21.4	ka	0.09	291	201.867				TAFI-PMCORR: Heleakala16	0		103.1	
20.3434	This study:Johnson et al. 2007	TAFI:20D	-38.9	Heleakala16				4.6	LP-DIR:IE-MLAT-PR				203.647	3640	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	184.4		-85.6	4	21.4	ka	0.09	291	201.867				TAFI: Heleakala16	0		91.2	
	This study:Johnson et al. 2007	TAFI:20D	-38.7	Heleakala14a				2.8	LP-DIR					3640	VGP calculated using present lat/lon	Hawaii				i	175.5		-85.8	4	21.4	ka	0.09	818	201.867				TAFI-PMCORR: Heleakala14a	0		298.5	
20.3434	This study:Johnson et al. 2007	TAFI:20D	-38.7	Heleakala14a				2.8	LP-DIR:IE-MLAT-PR				203.647	3640	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	175.5		-85.5	4	21.4	ka	0.09	818	201.867				TAFI: Heleakala14a	0		313.9	
	This study:Johnson et al. 2007	TAFI:20D	34.4	Heleakala28a				10.4	LP-DIR					3550	VGP calculated using present lat/lon	Hawaii				i	356.8		86.1	4	21.4	ka		79	201.867				TAFI-PMCORR: Heleakala28a	0		72.7	
20.3695	This study:Johnson et al. 2007	TAFI:20D	34.4	Heleakala28a				10.4	LP-DIR:IE-MLAT-PR				203.603	3550	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	356.8		86.6	4	21.4	ka		79	201.867				TAFI: Heleakala28a	0		88.1	
	This study:Johnson et al. 2007	TAFI:20D	-58.3	Kamaileunu8				1.3	LP-DIR					3330	VGP calculated using present lat/lon	Hawaii				i	0.9		29.6	5	21.45	ka	0.04	2884	201.8				TAFI-PMCORR: Kamaileunu8	0		21	
20.4834	This study:Johnson et al. 2007	TAFI:20D	-58.3	Kamaileunu8				1.3	LP-DIR:IE-MLAT-PR				203.428	3330	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	0.9		30.5	5	21.45	ka	0.04	2884	201.8				TAFI: Kamaileunu8	0		22.6	
	This study:Johnson et al. 2007	TAFI:20D	-53.6	Kamaileunu7				4.7	LP-DIR					3330	VGP calculated using present lat/lon	Hawaii				i	352.8		34	4	21.45	ka	0.04	281	201.8				TAFI-PMCORR: Kamaileunu7	0		29	
20.4834	This study:Johnson et al. 2007	TAFI:20D	-53.6	Kamaileunu7				4.7	LP-DIR:IE-MLAT-PR				203.428	3330	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	352.8		34.9	4	21.45	ka	0.04	281	201.8				TAFI: Kamaileunu7	0		30.7	
	This study:Johnson et al. 2007	TAFI:20D	25	Kamaileunu6a				2.8	LP-DIR					3330	VGP calculated using present lat/lon	Hawaii				i	330.9		61.1	6	21.45	ka	0.04	554	201.8				TAFI-PMCORR: Kamaileunu6a	0		99.9	
20.4834	This study:Johnson et al. 2007	TAFI:20D	25	Kamaileunu6a				2.8	LP-DIR:IE-MLAT-PR				203.428	3330	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	330.9		61.2	6	21.45	ka	0.04	554	201.8				TAFI: Kamaileunu6a	0		103.2	
	This study:Johnson et al. 2007	TAFI:20D	32.1	Kamaileunu6				2.8	LP-DIR					3330	VGP calculated using present lat/lon	Hawaii				i	33.1		58.6	6	21.45	ka	0.04	556	201.8				TAFI-PMCORR: Kamaileunu6	0		293.3	
20.4834	This study:Johnson et al. 2007	TAFI:20D	32.1	Kamaileunu6				2.8	LP-DIR:IE-MLAT-PR				203.428	3330	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	33.1		58.6	6	21.45	ka	0.04	556	201.8				TAFI: Kamaileunu6	0		293.4	
	This study:Johnson et al. 2007	TAFI:20D	30.8	Kamaileunu5c				3.8	LP-DIR					3330	VGP calculated using present lat/lon	Hawaii				i	36.6		55.1	7	21.45	ka	0.04	249	201.8				TAFI-PMCORR: Kamaileunu5c	0		293.4	
20.4834	This study:Johnson et al. 2007	TAFI:20D	30.8	Kamaileunu5c				3.8	LP-DIR:IE-MLAT-PR				203.428	3330	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	36.6		55.2	7	21.45	ka	0.04	249	201.8				TAFI: Kamaileunu5c	0		293.6	
	This study:Johnson et al. 2007	TAFI:20D	29.5	Kamaileunu5b				3.3	LP-DIR					3330	VGP calculated using present lat/lon	Hawaii				i	32		59.2	5	21.45	ka	0.04	525	201.8				TAFI-PMCORR: Kamaileunu5b	0		296.9	
20.4834	This study:Johnson et al. 2007	TAFI:20D	29.5	Kamaileunu5b				3.3	LP-DIR:IE-MLAT-PR				203.428	3330	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	32		59.3	5	21.45	ka	0.04	525	201.8				TAFI: Kamaileunu5b	0		296.9	
	This study:Johnson et al. 2007	TAFI:20D	51	Kamaileunu5				2.2	LP-DIR					3330	VGP calculated using present lat/lon	Hawaii				i	359.9		79.8	6	21.45	ka	0.04	915	201.8				TAFI-PMCORR: Kamaileunu5	0		201.3	
20.4834	This study:Johnson et al. 2007	TAFI:20D	51	Kamaileunu5				2.2	LP-DIR:IE-MLAT-PR				203.428	3330	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	359.9		78.8	6	21.45	ka	0.04	915	201.8				TAFI: Kamaileunu5	0		203	
	This study:Johnson et al. 2007	TAFI:20D	56.7	Kamaileunu4a				2.9	LP-DIR					3330	VGP calculated using present lat/lon	Hawaii				i	8.1		72.7	5	21.45	ka	0.04	566	201.8				TAFI-PMCORR: Kamaileunu4a	0		223.9	
20.4834	This study:Johnson et al. 2007	TAFI:20D	56.7	Kamaileunu4a				2.9	LP-DIR:IE-MLAT-PR				203.428	3330	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	8.1		71.8	5	21.45	ka	0.04	566	201.8				TAFI: Kamaileunu4a	0		224.5	
	This study:Johnson et al. 2007	TAFI:20D	50.8	Kamaileunu4				3.3	LP-DIR					3330	VGP calculated using present lat/lon	Hawaii				i	18.9		70.4	6	21.45	ka	0.04	406	201.8				TAFI-PMCORR: Kamaileunu4	0		257.1	
20.4834	This study:Johnson et al. 2007	TAFI:20D	50.8	Kamaileunu4				3.3	LP-DIR:IE-MLAT-PR				203.428	3330	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	18.9		69.8	6	21.45	ka	0.04	406	201.8				TAFI: Kamaileunu4	0		256.5	
	This study:Johnson et al. 2007	TAFI:20D	54.6	Kamaileunu3				1.9	LP-DIR					3330	VGP calculated using present lat/lon	Hawaii				i	351		74.2	4	21.45	ka	0.04	1768	201.8				TAFI-PMCORR: Kamaileunu3	0		173.8	
