model_lat	er_citation_names	compilation_names	average_inc	er_site_names	average_int	average_age_low	average_int_sigma_perc	average_alpha95	magic_method_codes	vadm	average_r	average_int_nn	model_lon	average_age	result_description	er_location_names	average_int_sigma	vadm_n	compilation_ids	data_type	average_dec	vdm_n	vgp_lat	average_nn	average_lat	average_age_unit	average_age_sigma	average_k	average_lon	vgp_dm	average_n	vgp_dp	pmag_result_name	tilt_correction	average_age_high	vgp_lon	vdm
				8	4.25E-05		3.29		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					1.40E-06																8				8.10E+22
				12	5.95E-05		3.7		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.20E-06																12				1.19E+23
				13	4.24E-05		3.77		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.60E-06																13				1.08E+23
				20	4.31E-05		10.7		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			2					4.60E-06																20				1.02E+23
				23	2.18E-05		6.42		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.40E-06																23				5.40E+22
				24	2.18E-05		6.42		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.40E-06																24				5.40E+22
				25	2.93E-05		7.17		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					2.10E-06																25				7.30E+22
				27	3.75E-05		2.13		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			6					8.00E-07																27				9.10E+22
				29	4.12E-05		5.58		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.30E-06																29				8.30E+22
				30	4.44E-05		0.45		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					2.00E-07																30				1.01E+23
				34	4.81E-05		4.16		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.00E-06																34				1.14E+23
				35	3.11E-05		0.965		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.00E-07																35				7.40E+22
				36	5.04E-05		2.78		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			10					1.40E-06																36				1.18E+23
				38	4.81E-05		7.28		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.50E-06																38				1.13E+23
				41	3.58E-05		9.78		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.50E-06																41				9.00E+22
	This study:Johnson et al. 2007	TAFI:20D	35.9	OK9				2.6	LP-DIR					4450	VGP calculated using present lat/lon	Hawaii				i	32.7		59.4	8	22.07	ka		4666	200.34				TAFI-PMCORR: OK9	0		288.3	
20.7803	This study:Johnson et al. 2007	TAFI:20D	35.9	OK9				2.6	LP-DIR:IE-MLAT-PR				202.509	4450	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	32.7		59.4	8	22.07	ka		4666	200.34				TAFI: OK9	0		288.3	
	This study:Johnson et al. 2007	TAFI:20D	35.8	OK8				2	LP-DIR					4450	VGP calculated using present lat/lon	Hawaii				i	31.7		60.4	7	22.07	ka		947	200.34				TAFI-PMCORR: OK8	0		288.8	
20.7803	This study:Johnson et al. 2007	TAFI:20D	35.8	OK8				2	LP-DIR:IE-MLAT-PR				202.509	4450	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	31.7		60.3	7	22.07	ka		947	200.34				TAFI: OK8	0		288.7	
	This study:Johnson et al. 2007	TAFI:20D	25.9	OK7				2.6	LP-DIR					4450	VGP calculated using present lat/lon	Hawaii				i	21.8		67.6	8	22.07	ka		470	200.34				TAFI-PMCORR: OK7	0		308.8	
20.7803	This study:Johnson et al. 2007	TAFI:20D	25.9	OK7				2.6	LP-DIR:IE-MLAT-PR				202.509	4450	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	21.8		68	8	22.07	ka		470	200.34				TAFI: OK7	0		307.9	
	This study:Johnson et al. 2007	TAFI:20D	30	OK6				2.4	LP-DIR					4450	VGP calculated using present lat/lon	Hawaii				i	36.2		55.4	7	22.07	ka		616	200.34				TAFI-PMCORR: OK6	0		293.8	
20.7803	This study:Johnson et al. 2007	TAFI:20D	30	OK6				2.4	LP-DIR:IE-MLAT-PR				202.509	4450	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	36.2		55.4	7	22.07	ka		616	200.34				TAFI: OK6	0		294.1	
	This study:Johnson et al. 2007	TAFI:20D	34.5	OK5				2.4	LP-DIR					4450	VGP calculated using present lat/lon	Hawaii				i	35.2		57	7	22.07	ka		662	200.34				TAFI-PMCORR: OK5	0		289.2	
20.7803	This study:Johnson et al. 2007	TAFI:20D	34.5	OK5				2.4	LP-DIR:IE-MLAT-PR				202.509	4450	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	35.2		56.9	7	22.07	ka		662	200.34				TAFI: OK5	0		289.4	
