Generated using GEOMAGIA50.v3.2 on Mar/29/2018
Age[yr.AD],Sigma-ve[yr.],Sigma+ve[yr.],SigmaAgeID,N_Ba,n_Ba[meas.],n_Ba[acc.],Ba[microT],SigmaBa[microT],VDM[E22_AmE2],SigmaVDM[E22_AmE2],N_Dir,n_Dir[meas.],n_Dir[acc.],Dec[deg.],Inc[deg.],Alpha95[deg.],K,MaxAF[mT],MaxTemp[deg.C],PubDataID,SiteName,LocationName,SiteLat[deg.],SiteLon[deg.],CountryRegionID,ArcheoVolcanic,MatID,PIMethID,AltMonID,MDMonID,CoolRID,AnisoID,DirMethID,DirAnalysisID,DatMethID,SpecTypeID,RefID,CompilationID,UploadMonth,UploadYear,Uploader,Editor,LastEditDate,C14ID,UID
        1792,           5,           5,           1,           1,        -999,           2,       44.00,        8.80,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,-999,1792 Flow,Mount Etna,     37.7000,     15.0000,          11,Volcanic,           4,           1,           5,          -1,          -1,          -1,           0,           0,105,           1,          57,1001;1006;1010;1011,-999,2007,Fabio Donadini,-999,-999,-1,1406
        1843,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,          12,        -999,        -999,      345.80,       53.20,        1.10,     1349.86,        -999,        -999,-999,1843 Flow West Flank 2 km south of Bronte,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         258,1001;1005,-999,2009,Fabio Donadini,-999,-999,-1,5660
        1843,       -9999,       -9999,           1,           1,        -999,           5,       45.30,        1.30,        8.28,        0.24,           1,        -999,           5,      345.80,       54.80,        2.00,     4900.00,        -999,        -999,-999,1843 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,           6,           3,          -1,           0,           0,           0,           0,105,           3,          36,1001;1006;1010,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,868
        1843,           5,           5,           1,           1,        -999,           4,       41.00,        8.20,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,-999,1843 Flow,Mount Etna,     37.7000,     15.0000,          11,Volcanic,           4,           1,           5,          -1,          -1,          -1,           0,           0,105,           1,          57,1001;1006;1010;1011,-999,2007,Fabio Donadini,-999,-999,-1,1407
        1843,           5,           5,           1,           1,        -999,           2,       34.50,        5.00,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,1843,-999,Mount Etna,     37.5000,     14.0000,          11,Volcanic,           4,           7,           1,          -1,          -1,           1,           0,           0,105,           3,         142,1001;1006;1011,-999,2007,Fabio Donadini,-999,-999,-1,3485
        1853,       -9999,       -9999,           1,           1,        -999,           5,       47.70,        4.40,        8.62,        0.79,           1,        -999,           5,      350.20,       55.70,        2.50,     3136.00,        -999,        -999,-999,1853 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,           6,           3,          -1,           0,           0,           0,           0,105,           3,          36,1001;1006;1010,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,869
        1853,           5,           5,           1,           1,        -999,           3,       32.00,        3.40,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,1853,-999,Mount Etna,     37.5000,     14.0000,          11,Volcanic,           4,           7,           1,          -1,          -1,           1,           0,           0,105,           3,         142,1001;1006;1011,-999,2007,Fabio Donadini,-999,-999,-1,3486
        1865,           5,           5,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,          14,        -999,        -999,      350.00,       51.50,        1.30,      828.40,        -999,        -999,-999,1865 Flow NE Flank Citelli Road,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,          -1,          -1,          -1,          -1,          -1,           0,           0,105,           0,         258,1001;1005,-999,2009,Fabio Donadini,-999,-999,-1,5661
        1865,       -9999,       -9999,           1,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,        -999,      347.50,       52.00,        3.50,     -999.00,        -999,        -999,-999,1865 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,          -1,          -1,          -1,           0,           0,           0,           0,105,           3,          36,1005,-999,2009,Fabio Donadini,Maxwell Brown,24/07/2017,-1,870
        1865,           5,           5,           1,           1,        -999,           4,       43.30,        8.70,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,-999,1865 Flow,Mount Etna,     37.7000,     15.0000,          11,Volcanic,           4,           1,           5,          -1,          -1,          -1,           0,           0,105,           1,          57,1001;1006;1010;1011,-999,2007,Fabio Donadini,-999,-999,-1,1408
        1879,       -9999,       -9999,           1,           1,        -999,           5,       41.30,        1.80,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,-999,1879 Flow,Mount Etna,     37.7510,     14.9958,          11,Volcanic,           4,           6,           3,          -1,           0,           0,           0,           0,105,           3,          36,1001;1006;1010,-999,2007,Fabio Donadini,Maxwell Brown,24/07/2017,-1,837
        1879,       -9999,       -9999,           1,           1,        -999,           1,       37.30,        5.30,     -999.00,     -999.00,        -999,        -999,        -999,     -999.00,     -999.00,     -999.00,     -999.00,        -999,        -999,-999,1879 Flow,Mount Etna,     37.7500,     15.0000,          11,Volcanic,           4,           0,           0,           0,           0,           0,           0,           0,105,           0,         389,1010,-999,2009,Fabio Donadini,-999,-999,-1,7546
