tab 	measurements
citations	experiment	experiments	location	meas_orient_phi	meas_orient_theta	meas_temp	measurement	method_codes	quality	sample	site	software_packages	specimen	standard	susc_chi_volume	treat_temp
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	135.0	0.0	2.730e+02	4	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008800000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	45.0	0.0	2.730e+02	5	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008930000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	90.0	-45.0	2.730e+02	6	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008880000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	270.0	-45.0	2.730e+02	7	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008860000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	270.0	0.0	2.730e+02	8	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008830000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	270.0	45.0	2.730e+02	9	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008880000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	90.0	45.0	2.730e+02	10	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008860000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	180.0	45.0	2.730e+02	11	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008920000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	180.0	-45.0	2.730e+02	12	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008890000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	0.0	-90.0	2.730e+02	13	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008910000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	0.0	-45.0	2.730e+02	14	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008920000	2.730e+02
This study	892.0000:LP-AN-MS	east-c1:LP-AN-MS	Troodos	0.0	45.0	2.730e+02	15	LP-X	g	east-c	east-	pmagpy-3.22.1	east-c1	u	0.0008890000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	315.0	0.0	2.730e+02	1	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010520000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	225.0	0.0	2.730e+02	2	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010740000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	180.0	0.0	2.730e+02	3	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010690000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	135.0	0.0	2.730e+02	4	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010520000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	45.0	0.0	2.730e+02	5	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010740000	2.730e+02
This study	1080.000:LP-AN-MS	east-d1:LP-AN-MS	Troodos	90.0	-45.0	2.730e+02	6	LP-X	g	east-d	east-	pmagpy-3.22.1	east-d1	u	0.0010770000	2.730e+02
