tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	measurement_csd	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
This study	Snake River	sr03h	sr03	sr03h2	sr03h2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	32	g	-19.3	1.15e-05	43	u	273	0.1	0	0	0	273
This study	Snake River	sr03h	sr03	sr03h2	sr03h2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	30.1	g	-19.5	9.75e-06	44	u	273	0.12	0	0	0	273
This study	Snake River	sr03h	sr03	sr03h2	sr03h2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	30.3	g	-19.4	8.16e-06	45	u	273	0.14	0	0	0	273
This study	Snake River	sr03h	sr03	sr03h2	sr03h2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	28.9	g	-19.2	6.9e-06	46	u	273	0.16	0	0	0	273
This study	Snake River	sr03h	sr03	sr03h2	sr03h2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	31.1	g	-19.2	5.66e-06	47	u	273	0.18	0	0	0	273
This study	Snake River	sr03k	sr03	sr03k1	sr03k1-LP-DIR-AF	LT-NO:LP-DIR-AF	1.6	355.7	g	-43.9	8.24e-05	48	u	273	0	0	0	0	273
This study	Snake River	sr03k	sr03	sr03k1	sr03k1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.4	356.9	g	-43.8	8.29e-05	49	u	273	0.01	0	0	0	273
This study	Snake River	sr03k	sr03	sr03k1	sr03k1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	0.5	358.1	g	-43.8	8.1e-05	50	u	273	0.02	0	0	0	273
This study	Snake River	sr03k	sr03	sr03k1	sr03k1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	0.5	357	g	-44	7.63e-05	51	u	273	0.03	0	0	0	273
This study	Snake River	sr03k	sr03	sr03k1	sr03k1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	358.7	g	-44	6.95e-05	52	u	273	0.04	0	0	0	273
This study	Snake River	sr03k	sr03	sr03k1	sr03k1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	357.1	g	-44.1	5.55e-05	53	u	273	0.06	0	0	0	273
This study	Snake River	sr03k	sr03	sr03k1	sr03k1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	357.2	g	-43.8	4.3e-05	54	u	273	0.08	0	0	0	273
This study	Snake River	sr03k	sr03	sr03k1	sr03k1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	357.4	g	-43.6	3.35e-05	55	u	273	0.1	0	0	0	273
This study	Snake River	sr03k	sr03	sr03k1	sr03k1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	358.7	g	-43.3	2.65e-05	56	u	273	0.12	0	0	0	273
This study	Snake River	sr03k	sr03	sr03k1	sr03k1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	359.5	g	-42.9	2e-05	57	u	273	0.14	0	0	0	273
This study	Snake River	sr03k	sr03	sr03k1	sr03k1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	356.5	g	-43.1	1.69e-05	58	u	273	0.16	0	0	0	273
This study	Snake River	sr03k	sr03	sr03k1	sr03k1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	357	g	-43.1	1.42e-05	59	u	273	0.18	0	0	0	273
This study	Snake River	sr04e	sr04	sr04e1	sr04e1-LP-DIR-AF	LT-NO:LP-DIR-AF	0.8	190.9	g	2.4	3.24e-05	60	u	273	0	0	0	0	273
This study	Snake River	sr04e	sr04	sr04e1	sr04e1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.6	188.1	g	-2.7	1.87e-05	61	u	273	0.01	0	0	0	273
This study	Snake River	sr04e	sr04	sr04e1	sr04e1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	0.3	188.5	g	-3	1.53e-05	62	u	273	0.02	0	0	0	273
This study	Snake River	sr04e	sr04	sr04e1	sr04e1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	2	187.7	g	-2.9	1.34e-05	63	u	273	0.03	0	0	0	273
This study	Snake River	sr04e	sr04	sr04e1	sr04e1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	186.5	g	-2.7	1.19e-05	64	u	273	0.04	0	0	0	273
This study	Snake River	sr04e	sr04	sr04e1	sr04e1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	186.9	g	-2.9	9.54e-06	65	u	273	0.06	0	0	0	273
This study	Snake River	sr04e	sr04	sr04e1	sr04e1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	187.5	g	-2.7	7.64e-06	66	u	273	0.08	0	0	0	273
This study	Snake River	sr04e	sr04	sr04e1	sr04e1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	186.4	g	-3.1	6.35e-06	67	u	273	0.1	0	0	0	273
This study	Snake River	sr04e	sr04	sr04e1	sr04e1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	187	g	-2.8	5.32e-06	68	u	273	0.12	0	0	0	273
This study	Snake River	sr04e	sr04	sr04e1	sr04e1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	187.6	g	-2.5	4.44e-06	69	u	273	0.14	0	0	0	273
This study	Snake River	sr04e	sr04	sr04e1	sr04e1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	186.8	g	-3.2	3.69e-06	70	u	273	0.16	0	0	0	273
This study	Snake River	sr04e	sr04	sr04e1	sr04e1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	187.1	g	-1.9	3.26e-06	71	u	273	0.18	0	0	0	273
This study	Snake River	sr04f	sr04	sr04f2	sr04f2-LP-DIR-AF	LT-NO:LP-DIR-AF	1.6	185	g	-20.1	3.26e-05	72	u	273	0	0	0	0	273
This study	Snake River	sr04f	sr04	sr04f2	sr04f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.1	186.1	g	-24.4	2.04e-05	73	u	273	0.01	0	0	0	273
This study	Snake River	sr04f	sr04	sr04f2	sr04f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	0.9	183	g	-24.9	1.68e-05	74	u	273	0.02	0	0	0	273
This study	Snake River	sr04f	sr04	sr04f2	sr04f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	183.8	g	-25.1	1.48e-05	75	u	273	0.03	0	0	0	273
This study	Snake River	sr04f	sr04	sr04f2	sr04f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	181.7	g	-25	1.33e-05	76	u	273	0.04	0	0	0	273
This study	Snake River	sr04f	sr04	sr04f2	sr04f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	183.9	g	-24.7	1.1e-05	77	u	273	0.06	0	0	0	273
This study	Snake River	sr04f	sr04	sr04f2	sr04f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	179.4	g	-24.7	8.97e-06	78	u	273	0.08	0	0	0	273
This study	Snake River	sr04f	sr04	sr04f2	sr04f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	183.4	g	-25.1	7.33e-06	79	u	273	0.1	0	0	0	273
This study	Snake River	sr04f	sr04	sr04f2	sr04f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	0.8	181.8	g	-24.1	5e-06	80	u	273	0.14	0	0	0	273
This study	Snake River	sr04f	sr04	sr04f2	sr04f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	183.4	g	-24.9	4.04e-06	81	u	273	0.16	0	0	0	273
This study	Snake River	sr04f	sr04	sr04f2	sr04f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	181.3	g	-24.7	3.23e-06	82	u	273	0.18	0	0	0	273
This study	Snake River	sr09b	sr09	sr09b2	sr09b2-LP-DIR-AF	LT-NO:LP-DIR-AF	1.3	189.8	g	-6.4	7.45e-05	83	u	273	0	0	0	0	273
This study	Snake River	sr09b	sr09	sr09b2	sr09b2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.2	189.1	g	-6.6	7.24e-05	84	u	273	0.01	0	0	0	273
This study	Snake River	sr09b	sr09	sr09b2	sr09b2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.5	188.2	g	-6.6	7.09e-05	85	u	273	0.02	0	0	0	273
This study	Snake River	sr09b	sr09	sr09b2	sr09b2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.8	187.8	g	-6.5	6.98e-05	86	u	273	0.03	0	0	0	273
This study	Snake River	sr09b	sr09	sr09b2	sr09b2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	189.4	g	-6.5	6.8e-05	87	u	273	0.04	0	0	0	273
This study	Snake River	sr09b	sr09	sr09b2	sr09b2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	188.4	g	-6.6	6.28e-05	88	u	273	0.06	0	0	0	273
This study	Snake River	sr09b	sr09	sr09b2	sr09b2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	189.3	g	-6.6	5.56e-05	89	u	273	0.08	0	0	0	273
This study	Snake River	sr09b	sr09	sr09b2	sr09b2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	188.8	g	-6.6	4.76e-05	90	u	273	0.1	0	0	0	273
This study	Snake River	sr09b	sr09	sr09b2	sr09b2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	188.8	g	-6.5	3.94e-05	91	u	273	0.12	0	0	0	273
This study	Snake River	sr09b	sr09	sr09b2	sr09b2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	188.9	g	-6.4	3.22e-05	92	u	273	0.14	0	0	0	273
This study	Snake River	sr09b	sr09	sr09b2	sr09b2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	188.9	g	-6.5	2.6e-05	93	u	273	0.16	0	0	0	273
This study	Snake River	sr09b	sr09	sr09b2	sr09b2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	187.6	g	-5.6	2.09e-05	94	u	273	0.18	0	0	0	273
This study	Snake River	sr09e	sr09	sr09e2	sr09e2-LP-DIR-AF	LT-NO:LP-DIR-AF	0.9	195.3	g	-10.8	0.000167	95	u	273	0	0	0	0	273
This study	Snake River	sr09e	sr09	sr09e2	sr09e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.6	195.1	g	-11	0.000158	96	u	273	0.01	0	0	0	273
This study	Snake River	sr09e	sr09	sr09e2	sr09e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.4	194.6	g	-11	0.000144	97	u	273	0.02	0	0	0	273
This study	Snake River	sr09e	sr09	sr09e2	sr09e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	194.6	g	-11.1	0.00012	98	u	273	0.03	0	0	0	273
This study	Snake River	sr09e	sr09	sr09e2	sr09e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	194.8	g	-11	9.11e-05	99	u	273	0.04	0	0	0	273
This study	Snake River	sr09e	sr09	sr09e2	sr09e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	194.3	g	-11	5.07e-05	100	u	273	0.06	0	0	0	273
This study	Snake River	sr09e	sr09	sr09e2	sr09e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	193.4	g	-10.9	2.92e-05	101	u	273	0.08	0	0	0	273
This study	Snake River	sr09e	sr09	sr09e2	sr09e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	194.3	g	-11	1.81e-05	102	u	273	0.1	0	0	0	273
This study	Snake River	sr09e	sr09	sr09e2	sr09e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	193.9	g	-10.8	1.2e-05	103	u	273	0.12	0	0	0	273
This study	Snake River	sr09e	sr09	sr09e2	sr09e2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	195.9	g	-9.9	8.86e-06	104	u	273	0.14	0	0	0	273
This study	Snake River	sr09f	sr09	sr09f2	sr09f2-LP-DIR-AF	LT-NO:LP-DIR-AF	1.3	193.8	g	12.5	0.000171	105	u	273	0	0	0	0	273
This study	Snake River	sr09f	sr09	sr09f2	sr09f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	193.1	g	13.5	0.000156	106	u	273	0.01	0	0	0	273
This study	Snake River	sr09f	sr09	sr09f2	sr09f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.3	193.5	g	14.1	0.000127	107	u	273	0.02	0	0	0	273
This study	Snake River	sr09f	sr09	sr09f2	sr09f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.1	193.2	g	13.7	9.24e-05	108	u	273	0.03	0	0	0	273
This study	Snake River	sr09f	sr09	sr09f2	sr09f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	194.2	g	14.4	6.34e-05	109	u	273	0.04	0	0	0	273
This study	Snake River	sr09f	sr09	sr09f2	sr09f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	193.3	g	14.2	3.28e-05	110	u	273	0.06	0	0	0	273
This study	Snake River	sr09f	sr09	sr09f2	sr09f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	192.5	g	14	1.86e-05	111	u	273	0.08	0	0	0	273
This study	Snake River	sr09f	sr09	sr09f2	sr09f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	193.3	g	13	1.23e-05	112	u	273	0.1	0	0	0	273
This study	Snake River	sr09f	sr09	sr09f2	sr09f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	192.1	g	13.1	8.63e-06	113	u	273	0.12	0	0	0	273
This study	Snake River	sr09f	sr09	sr09f2	sr09f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	192.8	g	12.3	6.37e-06	114	u	273	0.14	0	0	0	273
This study	Snake River	sr09f	sr09	sr09f2	sr09f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	192	g	11.8	4.93e-06	115	u	273	0.16	0	0	0	273
This study	Snake River	sr09f	sr09	sr09f2	sr09f2-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	192.5	g	11.7	4.45e-06	116	u	273	0.18	0	0	0	273
This study	Snake River	sr11a	sr11	sr11a1	sr11a1-LP-DIR-AF	LT-NO:LP-DIR-AF	1.6	199.5	g	26	4.42e-05	117	u	273	0	0	0	0	273
This study	Snake River	sr11a	sr11	sr11a1	sr11a1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	190.3	g	28.7	2.76e-05	118	u	273	0.01	0	0	0	273
This study	Snake River	sr11a	sr11	sr11a1	sr11a1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.9	186.2	g	29.2	2.09e-05	119	u	273	0.02	0	0	0	273
This study	Snake River	sr11a	sr11	sr11a1	sr11a1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.8	189.2	g	29.3	1.73e-05	120	u	273	0.03	0	0	0	273
This study	Snake River	sr11a	sr11	sr11a1	sr11a1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	187.5	g	29.3	1.5e-05	121	u	273	0.04	0	0	0	273
This study	Snake River	sr11a	sr11	sr11a1	sr11a1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	187	g	29.5	1.15e-05	122	u	273	0.06	0	0	0	273
This study	Snake River	sr11a	sr11	sr11a1	sr11a1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	186	g	29.3	9.15e-06	123	u	273	0.08	0	0	0	273
This study	Snake River	sr11a	sr11	sr11a1	sr11a1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	186.5	g	28.6	7.39e-06	124	u	273	0.1	0	0	0	273
This study	Snake River	sr11a	sr11	sr11a1	sr11a1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	186.3	g	29.6	5.73e-06	125	u	273	0.12	0	0	0	273
This study	Snake River	sr11a	sr11	sr11a1	sr11a1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	186.1	g	29.5	4.78e-06	126	u	273	0.14	0	0	0	273
This study	Snake River	sr11a	sr11	sr11a1	sr11a1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	186.2	g	29.3	3.98e-06	127	u	273	0.16	0	0	0	273
This study	Snake River	sr11a	sr11	sr11a1	sr11a1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	184.4	g	28.8	3.36e-06	128	u	273	0.18	0	0	0	273
This study	Snake River	sr11b	sr11	sr11b1	sr11b1-LP-DIR-AF	LT-NO:LP-DIR-AF	0.7	219.3	g	20.8	5.06e-05	129	u	273	0	0	0	0	273
This study	Snake River	sr11b	sr11	sr11b1	sr11b1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.4	202.9	g	30.5	3.06e-05	130	u	273	0.01	0	0	0	273
This study	Snake River	sr11b	sr11	sr11b1	sr11b1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	0.9	199.5	g	30.5	1.93e-05	131	u	273	0.02	0	0	0	273
This study	Snake River	sr11b	sr11	sr11b1	sr11b1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.7	198.7	g	30.4	1.36e-05	132	u	273	0.03	0	0	0	273
This study	Snake River	sr11b	sr11	sr11b1	sr11b1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	197.5	g	30.9	1.03e-05	133	u	273	0.04	0	0	0	273
This study	Snake River	sr11b	sr11	sr11b1	sr11b1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	196.5	g	30.5	7.04e-06	134	u	273	0.06	0	0	0	273
This study	Snake River	sr11b	sr11	sr11b1	sr11b1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	195.9	g	29.6	5.36e-06	135	u	273	0.08	0	0	0	273
This study	Snake River	sr11b	sr11	sr11b1	sr11b1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	196.7	g	28.6	4.14e-06	136	u	273	0.1	0	0	0	273
This study	Snake River	sr11b	sr11	sr11b1	sr11b1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	197.3	g	31	3.41e-06	137	u	273	0.12	0	0	0	273
This study	Snake River	sr11b	sr11	sr11b1	sr11b1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	197.3	g	29.2	2.88e-06	138	u	273	0.14	0	0	0	273
This study	Snake River	sr11b	sr11	sr11b1	sr11b1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	197.2	g	29.6	2.47e-06	139	u	273	0.16	0	0	0	273
This study	Snake River	sr11b	sr11	sr11b1	sr11b1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1	195.1	g	27.5	1.99e-06	140	u	273	0.18	0	0	0	273
This study	Snake River	sr11c	sr11	sr11c1	sr11c1-LP-DIR-AF	LT-NO:LP-DIR-AF	1.3	198.8	g	3.3	7.96e-05	141	u	273	0	0	0	0	273
This study	Snake River	sr11c	sr11	sr11c1	sr11c1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.4	194.2	g	2.7	7.3e-05	142	u	273	0.01	0	0	0	273
This study	Snake River	sr11c	sr11	sr11c1	sr11c1-LP-DIR-AF	LT-AF-Z:LP-DIR-AF	1.9	192.6	g	1.6	5.78e-05	143	u	273	0.02	0	0	0	273
