tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Africa	ak03b	ak03	ak03b		ak03b:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	0.3	178.9		g	-74.9	9.150e-10	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
	This study	Africa	ak03b	ak03	ak03b		ak03b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	1.2		g	-6.1	9.129e-09	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	ak03b	ak03	ak03b		ak03b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.5	92.6		g	-11.0	8.431e-09	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
	This study	Africa	ak03b	ak03	ak03b		ak03b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	283.7		g	86.9	8.554e-09	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
	This study	Africa	ak03b	ak03	ak03b		ak03b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	182.2		g	-6.0	9.492e-09	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
	This study	Africa	ak03b	ak03	ak03b		ak03b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	273.7		g	-2.1	8.222e-09	6	u	2.730e+02	0	4.000e-05	270.0	0.0	7.930e+02
	This study	Africa	ak03b	ak03	ak03b		ak03b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	129.6		g	-86.6	1.028e-08	7	u	2.730e+02	0	4.000e-05	0.0	-90.0	7.930e+02
	This study	Africa	ak03c	ak03	ak03c		ak03c:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	0.4	211.8		g	-75.5	1.049e-09	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
	This study	Africa	ak03c	ak03	ak03c		ak03c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	359.4		g	-3.4	9.059e-09	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	ak03c	ak03	ak03c		ak03c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.5	90.8		g	-6.9	1.067e-08	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
