tab 	locations																																												
age_high	age_low	age_unit	citations	conglomerate_test	contact_test	continent_ocean	country	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_k_ratio	dir_n_samples	dir_n_sites	dir_polarity	dir_tilt_correction	external_database_ids	fold_test	fold_test_significance	geologic_classes	geological_province_sections	lat_n	lat_s	lithologies	location	location_alternatives	location_type	lon_e	lon_w	method_codes	pole_antipodal_angle	pole_comp_name	pole_dm	pole_dp	pole_lat	pole_lon	pole_reversed_perc	region	result_name	result_type	reversal_test	rock_magnetic_test	terranes	village_city
85	55	Ma	KATZ ET AL. (1996)	ND	ND	Europe	Germany	"Kimmeridgian and Potlandian, petroleum impregnated. Thermal to 600C, mostly AF to 90mT, high temp. high coer. comp. . IRM (sat. 0. 2T) ; HYST. Late Cretaceous to Early Tertiary age."	2.9	9.2	58.6	222	nan	60	12	nan	100	nan	F-	nan	Sedimentary	Asphaltkalk Deposits	52	52	Limestone	Asphaltkalk Deposits	nan	Outcrop	9.5	9.5	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	4.3	3.2	75.8	159.4	0	Northern Germany	8057	a	ND	M	nan	nan
85	55	Ma	KATZ ET AL. (1996)	ND	ND	Europe	Germany	"Kimmeridgian and Potlandian, petroleum impregnated. Thermal to 600C, mostly AF to 90mT, high temp. high coer. comp. . IRM (sat. 0. 2T) ; HYST. Late Cretaceous to Early Tertiary age."	6.2	11.8	61.6	49.3	0.22	nan	12	nan	0	nan	F-	nan	Sedimentary	Asphaltkalk Deposits	52	52	Limestone	Asphaltkalk Deposits	nan	Outcrop	9.5	9.5	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	4.3	3.2	75.8	159.4	0	Northern Germany	8057	a	ND	M	nan	nan
85	55	Ma	KATZ ET AL. (1996)	ND	ND	Europe	Germany	"Kimmeridgian and Potlandian, petroleum impregnated. Thermal to 600C, mostly AF to 90mT, high temp. high coer. comp. . IRM (sat. 0. 2T) ; HYST. Late Cretaceous to Early Tertiary age."	2.9	9.2	58.6	222	nan	nan	12	nan	0	nan	F-	nan	Sedimentary	Asphaltkalk Deposits	52	52	Limestone	Asphaltkalk Deposits	nan	Outcrop	9.5	9.5	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	4.3	3.2	75.8	159.4	0	Northern Germany	8057	a	ND	M	nan	nan
60	10	Ma	SYMONS ET AL. (1995)	G-	ND	Europe	Poland	"C Component. AF to 100mT, thermal to 600C, characteristic component. IRM (sat. 0. 3T or no sat. 0. 9T). Tertiary age of mineralization. Conglomerate Test Parameters: Clasts not random. Conglomerate Test Significance: NO."	6.9	2.6	65.5	34	nan	140	14	nan	0	nan	ND	nan	Sedimentary	Muschelkalk Formation	50	50	Dolostone:Limestone	"Muschelkalk Formation, Comp.C"	nan	Outcrop	19.5	19.5	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	C	11.2	9.1	86.9	164.7	200	Lower Silesia	8384	a	Ro	M	nan	nan
100	89	Ma	MARTON & NARDI (1994)	ND	ND	Europe	Italy	"Cenomanian to Turonian. Thermal to 580C, AF to 135mT, characteristic component. IRM (sat. 0. 2T, no sat. 2T) , SUSC (vs Temp). Mean of three localities calculated (12 sites)."	6.7	327	40	42	nan	56	12	nan	100	nan	ND	nan	Sedimentary	Apulian Limestones	41	41	Limestone	Apulian Limestones	nan	Outcrop	16.5	16.5	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	7.9	4.7	56	261	0	Southern Italy	7507	a	ND	M	nan	nan
100	89	Ma	MARTON & NARDI (1994)	ND	ND	Europe	Italy	"Cenomanian to Turonian. Thermal to 580C, AF to 135mT, characteristic component. IRM (sat. 0. 2T, no sat. 2T) , SUSC (vs Temp). Mean of three localities calculated (12 sites)."	6.5	324	41	44	nan	nan	12	nan	0	nan	ND	nan	Sedimentary	Apulian Limestones	41	41	Limestone	Apulian Limestones	nan	Outcrop	16.5	16.5	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	nan	nan	7.9	4.7	56	261	0	Southern Italy	7507	a	ND	M	nan	nan
16	5	Ma	10.1016/J.TECTO.2004.02.001	ND	ND	Europe	Italy	"Upper Jurassic. Miocene orogenesis. Overprint. Thermal, characteristic component 500-630C. Secondary component from REFNO 3413 included."	14.6	177.4	-52.2	22	nan	47	6	nan	100	nan	F-	nan	Sedimentary	nan	43.39	43.39	cherts	"Tuscan, Monte Alpe Cherts"	nan	Outcrop	10.14	10.14	DE-DI:LT-T-Z:LP-DC4	nan	Overprint	20	13.7	79.2	201.9	100	Northern Apennines	9107	a	ND	ND	Siberian Platform	nan
16	5	Ma	10.1016/J.TECTO.2004.02.001	ND	ND	Europe	Italy	"Upper Jurassic. Miocene orogenesis. Overprint. Thermal, characteristic component 500-630C. Secondary component from REFNO 3413 included."	58.1	205.3	-33.3	2	nan	nan	6	nan	0	nan	F-	nan	Sedimentary	nan	43.39	43.39	cherts	"Tuscan, Monte Alpe Cherts"	nan	Outcrop	10.14	10.14	DE-DI:LT-T-Z:LP-DC4	nan	Overprint	20	13.7	79.2	201.9	100	Northern Apennines	9107	a	ND	ND	Siberian Platform	nan
16	5	Ma	10.1016/J.TECTO.2004.02.001	ND	ND	Europe	Italy	"Upper Jurassic. Miocene orogenesis. Overprint. Thermal, characteristic component 500-630C. Secondary component from REFNO 3413 included."	14.6	177.4	-52.2	22	nan	nan	6	nan	0	nan	F-	nan	Sedimentary	nan	43.39	43.39	cherts	"Tuscan, Monte Alpe Cherts"	nan	Outcrop	10.14	10.14	DE-DI:LT-T-Z:LP-DC4	nan	Overprint	20	13.7	79.2	201.9	100	Northern Apennines	9107	a	ND	ND	Siberian Platform	nan
56	34	Ma	10.1016/S0040-1951(01)00220-7	G-	ND	Europe	Bulgaria	"Middle - Upper Triassic. B syn-folding. Thermal, characteristic component 400-580C. SUSC-T (HEM, MAGN). intersection of small circles applied. method of intersecting of small circles applied."	1.9	20.8	56	238	nan	138	23	nan	100	nan	SF+	nan	Sedimentary	nan	43	43	Limestone	Bulgarian Triassic Carbonate	nan	Outcrop	23.1	23.1	DE-DI:LT-T-Z:LP-DC4	nan	B syn-folding	2.7	2	72.8	128.1	5	West Balkan	8850	a	ND	ND	nan	nan
