tab 	specimens
analysts	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_mean	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drat	int_drats	int_f	int_fvds	int_gamma	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
unknown														This study			7.4	187.9	41			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002h1	extrusive:igneous	lava flow	0.0000472	-1.18	0.05	0.059	u	5.7	11.1	0.916	0.729	3.9	4.4	4	8	4	13.4	0.9851	t	0.00004	cpx-olivine basalt	748	273	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:SM-FTEST	g	jm002h	pmagpy-2.92	jm002h1
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002h		jm002h2
														This study		A	3	187.5	33.2	2.7	13	p	n	-1	LP-DIR-T:jm002i1	extrusive:igneous	lava flow					u														cpx-olivine basalt	843	273	K	DE-BFL:LP-DIR-T	g	jm002i	pmagpy-2.92	jm002i1
														This study		A	3	33.9	76.9	2.7	13	p	n	0	LP-DIR-T:jm002i1	extrusive:igneous	lava flow					u														cpx-olivine basalt	843	273	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm002i	pmagpy-2.92	jm002i1
														This study		A	3	33.9	76.9	2.7	13	p	n	100	LP-DIR-T:jm002i1	extrusive:igneous	lava flow					u														cpx-olivine basalt	843	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm002i	pmagpy-2.92	jm002i1
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002i		jm002i2
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002i		jm002i3
														This study		A	2.5	187.7	23.3	2.6	13	p	n	-1	LP-DIR-T:jm002j1	extrusive:igneous	lava flow					u														cpx-olivine basalt	843	273	K	DE-BFL:LP-DIR-T	g	jm002j	pmagpy-2.92	jm002j1
														This study		A	2.5	38.7	76.5	2.6	13	p	n	0	LP-DIR-T:jm002j1	extrusive:igneous	lava flow					u														cpx-olivine basalt	843	273	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm002j	pmagpy-2.92	jm002j1
														This study		A	2.5	38.7	76.5	2.6	13	p	n	100	LP-DIR-T:jm002j1	extrusive:igneous	lava flow					u														cpx-olivine basalt	843	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm002j	pmagpy-2.92	jm002j1
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002j		jm002j2
														This study		A	0.3	166.1	50.7	0.9	14	p	n	-1	LP-DIR-AF:jm003a1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DE-BFL:LP-DIR-AF	g	jm003a	pmagpy-2.92	jm003a1
														This study		A	0.3	324.1	78.5	0.9	14	p	n	0	LP-DIR-AF:jm003a1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-SUN	g	jm003a	pmagpy-2.92	jm003a1
														This study		A	0.3	324.1	78.5	0.9	14	p	n	100	LP-DIR-AF:jm003a1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-SUN	g	jm003a	pmagpy-2.92	jm003a1
														This study												extrusive:igneous	lava flow																			basalt						jm003a		jm003a2
														This study		A	0.5	162.5	56.5	1.2	12	p	n	-1	LP-DIR-AF:jm003b1	extrusive:igneous	lava flow					u														basalt	0.18	0.01	T	DE-BFL:LP-DIR-AF	g	jm003b	pmagpy-2.92	jm003b1
														This study		A	0.5	317.7	77.4	1.2	12	p	n	0	LP-DIR-AF:jm003b1	extrusive:igneous	lava flow					u														basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-SUN	g	jm003b	pmagpy-2.92	jm003b1
														This study		A	0.5	317.7	77.4	1.2	12	p	n	100	LP-DIR-AF:jm003b1	extrusive:igneous	lava flow					u														basalt	0.18	0.01	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-SUN	g	jm003b	pmagpy-2.92	jm003b1
														This study		A	1	162.3	53.9	1.5	14	p	n	-1	LP-DIR-AF:jm003c1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DE-BFL:LP-DIR-AF	g	jm003c	pmagpy-2.92	jm003c1
														This study		A	1	327.1	77.7	1.5	14	p	n	0	LP-DIR-AF:jm003c1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-SUN	g	jm003c	pmagpy-2.92	jm003c1
														This study		A	1	327.1	77.7	1.5	14	p	n	100	LP-DIR-AF:jm003c1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-SUN	g	jm003c	pmagpy-2.92	jm003c1
														This study		A	90.2	251	-0.4	3.1	10	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm003d1	extrusive:igneous	lava flow					u														basalt	793	273	K	DE-BFP:LP-DIR-T	g	jm003d	pmagpy-2.92	jm003d1
														This study		A	90.2	98.5	8.4	3.1	10	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm003d1	extrusive:igneous	lava flow					u														basalt	793	273	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-SUN	g	jm003d	pmagpy-2.92	jm003d1
														This study		A	90.2	98.5	8.4	3.1	10	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm003d1	extrusive:igneous	lava flow					u														basalt	793	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFP:LP-DIR-T:SO-SUN	g	jm003d	pmagpy-2.92	jm003d1
														This study		A	89.9	257.8	0.3	3.6	10	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm003e1	extrusive:igneous	lava flow					u														basalt	793	273	K	DE-BFP:LP-DIR-T	g	jm003e	pmagpy-2.92	jm003e1
														This study		A	90.1	256.1	-6.5	3.6	10	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm003e1	extrusive:igneous	lava flow					u														basalt	793	273	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-SUN	g	jm003e	pmagpy-2.92	jm003e1
														This study		A	90.1	256.1	-6.5	3.6	10	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm003e1	extrusive:igneous	lava flow					u														basalt	793	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFP:LP-DIR-T:SO-SUN	g	jm003e	pmagpy-2.92	jm003e1
														This study												extrusive:igneous	lava flow																			basalt						jm003e		jm003e2
														This study												extrusive:igneous	lava flow																			basalt						jm003f		jm003f1
														This study												extrusive:igneous	lava flow																			basalt						jm003f		jm003f2
														This study												extrusive:igneous	lava flow																			basalt						jm003g		jm003g1
														This study												extrusive:igneous	lava flow																			basalt						jm003g		jm003g2
														This study		A	1	156.3	72.4	1	12	p	n	-1	LP-DIR-T:jm003h1	extrusive:igneous	lava flow					u														basalt	843	523	K	DE-BFL:LP-DIR-T	g	jm003h	pmagpy-2.92	jm003h1
														This study		A	1	272.2	82.7	1	12	p	n	0	LP-DIR-T:jm003h1	extrusive:igneous	lava flow					u														basalt	843	523	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN	g	jm003h	pmagpy-2.92	jm003h1
														This study		A	1	272.2	82.7	1	12	p	n	100	LP-DIR-T:jm003h1	extrusive:igneous	lava flow					u														basalt	843	523	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-SUN	g	jm003h	pmagpy-2.92	jm003h1
														This study												extrusive:igneous	lava flow																			basalt						jm003h		jm003h2
