tab 	sites
age	age_sigma	age_unit	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
		ka	This study	DE-SITE:DE-SPEC	VGP Site: jm013, "Site VGP, coord system = g component:"	4.5		22.9	78.9	154	8			p	n	7.9547	0	extrusive:igneous	lava flow					70.8771	basalt	Jan Mayen	350.9959	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF		i	jm013	pmagpy-2.92	jm013a1:jm013b1:jm013c1:jm013d1:jm013e1:jm013g2:jm013i2:jm013j2						7.7	8.3	81.8	86.2	8
			This study	DE-SPEC	Site direction included in results table	9.4	A	47	63.6	54	6	5	1	p	n	5.9168	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-CMD-NORTH	g		jm014	pmagpy-2.92	jm014a1:jm014b1:jm014c1:jm014d1:jm014f1:jm014h1										
		ka	This study	DE-SITE:DE-SPEC	VGP Site: jm014, "Site VGP, coord system = g component:"	9.4		47	63.6	54	6			p	n	5.9168	0	extrusive:igneous	lava flow					70.8849	basalt	Jan Mayen	351.013	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-CMD-NORTH		i	jm014	pmagpy-2.92	jm014a1:jm014b1:jm014c1:jm014d1:jm014f1:jm014h1						6.9	17.3	55.9	104.3	6
			This study	DE-SPEC	Site direction included in results table	7.2	A	294.5	79.5	86	6	6	0	p	n	5.9421	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF	g		jm015	pmagpy-2.92	jm015a1:jm015b1:jm015c1:jm015d1:jm015f1:jm015h1										
		ka	This study	DE-SITE:DE-SPEC	VGP Site: jm015, "Site VGP, coord system = g component:"	7.2		294.5	79.5	86	6			p	n	5.9421	0	extrusive:igneous	lava flow					70.9191	basalt	Jan Mayen	351.1017	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF		i	jm015	pmagpy-2.92	jm015a1:jm015b1:jm015c1:jm015d1:jm015f1:jm015h1						12.9	13.2	68.9	289.4	6
			This study	DE-SPEC	Site direction included in results table	3.9	A	111	66.9	308	6	5	1	p	n	5.9854	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		jm016	pmagpy-2.92	jm016a1:jm016b1:jm016c1:jm016d1:jm016f2:jm016i1										
105	13.7	ka	This study	DE-SITE:DE-SPEC	VGP Site: jm016, "Site VGP, coord system = g component:"	3.9		111	66.9	308	6			p	n	5.9854	0	extrusive:igneous	lava flow					70.9964	basalt	Jan Mayen	351.8393	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	jm016	pmagpy-2.92	jm016a1:jm016b1:jm016c1:jm016d1:jm016f2:jm016i1						3.2	7.2	40.1	44.2	6
			This study	DE-SPEC	Site direction included in results table	3.9	A	353.4	77.4	241	7	7	0	p	n	6.9751	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF	g		jm017	pmagpy-2.92	jm017a1:jm017b1:jm017c1:jm017d1:jm017f1:jm017g2:jm017h1										
		ka	This study	DE-SITE:DE-SPEC	VGP Site: jm017, "Site VGP, coord system = g component:"	3.9		353.4	77.4	241	7			p	n	6.9751	0	extrusive:igneous	lava flow					70.9964	basalt	Jan Mayen	351.8356	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF		i	jm017	pmagpy-2.92	jm017a1:jm017b1:jm017c1:jm017d1:jm017f1:jm017g2:jm017h1						5.8	7.2	84.4	200.4	7
			This study	DE-SPEC	Site direction included in results table	2.3	A	44.8	63.3	484	10	6	4	p	n	9.9855	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		jm019	pmagpy-2.92	jm019a1:jm019b1:jm019c1:jm019d1:jm019e1:jm019f1:jm019g1:jm019g2:jm019h1:jm019j1										
		ka	This study	DE-SITE:DE-SPEC	VGP Site: jm019, "Site VGP, coord system = g component:"	2.3		44.8	63.3	484	10			p	n	9.9855	0	extrusive:igneous	lava flow					70.9885	basalt	Jan Mayen	351.7356	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	jm019	pmagpy-2.92	jm019a1:jm019b1:jm019c1:jm019d1:jm019e1:jm019f1:jm019g1:jm019g2:jm019h1:jm019j1						1.7	4.2	56.1	108	10
		ka	This study	IE-SITE	V[A]DM: Site jm019, V[A]DM of site													extrusive:igneous	lava flow	0.0000686	0.00000674	9.8	2		basalt	Jan Mayen		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:SM-TTEST	g	i	jm019	pmagpy-2.92	jm019d1:jm019e1	9.24e+22	2	9.08e+21	1.12e+23	2					
			This study	DE-SPEC	Site direction included in results table	5.7	A	61.2	79.9	146	6	5	1	p	n	5.9692	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF	g		jm020	pmagpy-2.92	jm020c1:jm020d1:jm020e1:jm020g1:jm020h1:jm020j1										
1730		Years (AD)	This study	DE-SITE:DE-SPEC	VGP Site: jm020, "Site VGP, coord system = g component:"	5.7		61.2	79.9	146	6			p	n	5.9692	0	extrusive:igneous	lava flow					70.9837	basalt	Jan Mayen	351.7157	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF		i	jm020	pmagpy-2.92	jm020c1:jm020d1:jm020e1:jm020g1:jm020h1:jm020j1						10.6	10.5	70.6	54.1	6
		ka	This study	IE-SITE	V[A]DM: Site jm020, V[A]DM of site													extrusive:igneous	lava flow	0.0000755	0.00000572	7.6	2		basalt	Jan Mayen		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:SM-FTEST	g	i	jm020	pmagpy-2.92	jm020e1:jm020f1	1.02e+22	2	7.71e+21	1.02e+23	2					
			This study	DE-SPEC	Site direction included in results table	2.2	A	27.8	72.3	619	8	8	0	p	n	7.9887	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN	g		jm021	pmagpy-2.92	jm021a1:jm021b1:jm021c1:jm021d1:jm021e1:jm021f2:jm021h2:jm021i2										
144	15	ka	This study	DE-SITE:DE-SPEC	VGP Site: jm021, "Site VGP, coord system = g component:"	2.2		27.8	72.3	619	8			p	n	7.9887	0	extrusive:igneous	lava flow					70.8838	basalt	Jan Mayen	351.2042	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-SUN		i	jm021	pmagpy-2.92	jm021a1:jm021b1:jm021c1:jm021d1:jm021e1:jm021f2:jm021h2:jm021i2						2.4	4	72.2	115.9	8
		ka	This study	IE-SITE	V[A]DM: Site jm021, V[A]DM of site													extrusive:igneous	lava flow	0.0000625	0.00000291	4.7	3		basalt	Jan Mayen		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:LP-PI-TRM-ZI:SM-FTEST	g	i	jm021	pmagpy-2.92	jm021c1:jm021d1:jm021e1	8.42e+22	3	3.92e+21	9.13e+22	3					
			This study	DE-SPEC	Site direction included in results table	2.7	A	30.1	63.1	531	7	4	3	p	n	6.9915	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-CMD-NORTH:SO-SUN	g		jm022	pmagpy-2.92	jm022a1:jm022b1:jm022b2:jm022c1:jm022g1:jm022h1:jm022j1										
6	14.5	ka	This study	DE-SITE:DE-SPEC	VGP Site: jm022, "Site VGP, coord system = g component:"	2.7		30.1	63.1	531	7			p	n	6.9915	0	extrusive:igneous	lava flow					70.8902	basalt	Jan Mayen	351.2176	DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-CMD-NORTH:SO-SUN		i	jm022	pmagpy-2.92	jm022a1:jm022b1:jm022b2:jm022c1:jm022g1:jm022h1:jm022j1						2	5	59.9	125.8	7
			This study	DE-SPEC	Site direction included in results table	9.4	A	329.1	67.7	67	5	5	0	p	n	4.9404	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF	g		jm023	pmagpy-2.92	jm023b1:jm023c1:jm023d1:jm023h1:jm023i1										
		ka	This study	DE-SITE:DE-SPEC	VGP Site: jm023, "Site VGP, coord system = g component:"	9.4		329.1	67.7	67	5			p	n	4.9404	0	extrusive:igneous	lava flow					70.8899	basalt	Jan Mayen	351.226	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF		i	jm023	pmagpy-2.92	jm023b1:jm023c1:jm023d1:jm023h1:jm023i1						8.1	17.3	65.3	222.5	5
			This study	DE-SPEC	Site direction included in results table	6	A	287.9	77.8	113	7	4	3	p	n	6.9603	0	extrusive:igneous	lava flow						basalt	Jan Mayen		DA-DIR-GEO:DE-BFL:DE-BFP:DE-FM-LP:LP-DC5:LP-DIR-AF:LP-DIR-T:SO-GPS-DIFF:SO-SUN	g		jm024	pmagpy-2.92	jm024a1:jm024b1:jm024c1:jm024d1:jm024e1:jm024f1:jm024g1										
