tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	criteria	description	dip	dir_comp_name	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	sample	site	software_packages	specimens	timestamp
197.3	0	0	0	This study			-80										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm006g	jm006			2009-08-05T00:00:00Z
209.5	0	0	0	This study			-83										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm006h	jm006			2009-08-05T00:00:00Z
				This study	DE-SPEC	sample direction		A	303.2	70.3	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF		g	jm006h	jm006	pmagpy-2.59	jm006h1	
215	0	0	0	This study			-81										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm006i	jm006			2009-08-05T00:00:00Z
				This study	DE-SPEC	sample direction		A	304.6	70.7	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF		g	jm006i	jm006	pmagpy-2.59	jm006i1	
196.4	0	0	0	This study			-89.5										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm006j	jm006			2009-08-05T00:00:00Z
				This study	DE-SPEC	sample direction		A	298.5	70.6	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF		g	jm006j	jm006	pmagpy-2.59	jm006j1	
148	0	0	0	This study			-74.5										extrusive:igneous	dike	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm007a	jm007			2009-08-05T00:00:00Z
				This study	DE-SPEC	sample direction		A	44.6	86.4	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF		g	jm007a	jm007	pmagpy-2.59	jm007a1	
157	0	0	0	This study			-74										extrusive:igneous	dike	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm007b	jm007			2009-08-05T00:00:00Z
				This study	DE-SPEC	sample direction		A	59.6	82.8	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF		g	jm007b	jm007	pmagpy-2.59	jm007b1	
161	0	0	0	This study			-70										extrusive:igneous	dike	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm007c	jm007			2009-08-05T00:00:00Z
				This study		sample direction		A	77.2	-3.1	1	0	1	p	n	0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF		g	jm007c	jm007	pmagpy-2.59	jm007c1	
160	0	0	0	This study			-56.5										extrusive:igneous	dike	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm007d	jm007			2009-08-05T00:00:00Z
				This study		sample direction		A	78.1	-7.7	1	0	1	p	n	0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF		g	jm007d	jm007	pmagpy-2.59	jm007d1	
148	0	0	0	This study			-76										extrusive:igneous	dike	70.95979	basalt	351.29835	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm007e	jm007			2009-08-05T00:00:00Z
125.6	0	0	0	This study			-66										extrusive:igneous	dike	70.95979	basalt	351.29835	FS-LOC-GPS:SO-POM:SO-SUN	g		jm007f	jm007			2009-08-15T00:00:00Z
				This study	DE-SPEC	sample direction		A	62.4	83	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN		g	jm007f	jm007	pmagpy-2.59	jm007f1	
143.3	349.3	0	0	This study			-78										extrusive:igneous	dike	70.95979	basalt	351.29835	FS-LOC-GPS:SO-CMD-NORTH:SO-POM	g		jm007g	jm007			2009-08-05T00:00:00Z
				This study	DE-SPEC	sample direction		A	59.4	81.8	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-CMD-NORTH		g	jm007g	jm007	pmagpy-2.59	jm007g1	
136.3	349.3	0	0	This study			-76.5										extrusive:igneous	dike	70.95979	basalt	351.29835	FS-LOC-GPS:SO-CMD-NORTH:SO-POM	g		jm007h	jm007			2009-08-05T00:00:00Z
160.3	349.3	0	0	This study			-74										extrusive:igneous	dike	70.95979	basalt	351.29835	FS-LOC-GPS:SO-CMD-NORTH:SO-POM	g		jm007i	jm007			2009-08-05T00:00:00Z
201.7	0	0	0	This study			-80										extrusive:igneous	dike	70.95979	basalt	351.29835	FS-LOC-GPS:SO-POM:SO-SUN	g		jm007j	jm007			2009-08-15T00:00:00Z
