tab 	er_sites
er_citation_names	site_lithology	site_class	er_site_name	site_lon	site_height	er_location_name	site_type	site_lat
This study	basalt	igneous:extrusive	ns074	-91.96725		North Shore	lava flow	46.85744
This study	basalt	igneous:extrusive	ns075	-91.95402		North Shore	lava flow	46.86576
This study	basalt	igneous:extrusive	ns076	-91.96885		North Shore	lava flow	46.85625
This study	basalt	igneous:extrusive	ns077	-91.96034		North Shore	lava flow	46.86121
This study	basalt	igneous:extrusive	ns078	-91.97804		North Shore	lava flow	46.85303
This study	basalt	igneous:extrusive	ns079	-91.96647		North Shore	lava flow	46.85781
This study	basalt	igneous:extrusive	ns080	-91.97929		North Shore	lava flow	46.85250
This study	basalt	igneous:extrusive	ns081	-91.97050		North Shore	lava flow	46.85641
This study	basalt	igneous:extrusive	ns081d	-91.97050		North Shore	lava flow	46.85641
This study	basalt	igneous:extrusive	ns083	-91.97727		North Shore	lava flow	46.85339
This study	basalt	igneous:extrusive	ns085	-91.97874		North Shore	lava flow	46.85280
This study	basalt	igneous:extrusive	ns087	-91.98035		North Shore	lava flow	46.85188
