tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	sample_description	sample_inferred_age	sample_inferred_age_sigma	sample_inferred_age_unit	sample_int	sample_int_n	sample_int_sigma	sample_int_sigma_perc
This study	807	0807c825015	0807c	0807c8250152 : 0807c8250153	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	3.772e-05	2	2.005e-05	53.15
This study	807	0807c857130	0807c	0807c8571303	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	2.859e-05	1	0	
This study	807	0807c861105	0807c	0807c8611052 : 0807c8611055 : 0807c8611056	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	2.02e-05	3	2.616e-06	12.95
This study	807	0807c862006	0807c	0807c8620062 : 0807c8620063	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	1.491e-05	2	9.201e-06	61.69
This study	807	0807c86x091	0807c	0807c86x0913	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	1e-05	1	0	
This study	807	0807c871048	0807c	0807c8710483 : 0807c8710486	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	1.25e-05	2	3.479e-06	27.83
This study	807	0807c871073	0807c	0807c8710732 : 0807c8710733	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	9.328e-06	2	1.247e-06	13.37
This study	807	0807c872091	0807c	0807c8720913	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	1.157e-05	1	0	
This study	807	0807c881057	0807c	0807c8810572 : 0807c8810573	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	1.785e-05	2	7.771e-06	43.52
This study	807	0807c892148	0807c	0807c8921482	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	1.546e-05	1	0	
This study	807	0807c903094	0807c	0807c9030941	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	1.166e-05	1	0	
This study	807	0807c921120	0807c	0807c9211201	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	122.4	0.8	Ma	1.489e-05	1	0	
This study	834	0834b141032	0834b	0834b1410323 : 0834b1410325 : 0834b1410326 : 0834b1410327	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	6	0.2	Ma	1.342e-05	4	9.687e-07	7.218
This study	834	0834b152056	0834b	0834b1520562 : 0834b1520563 : 0834b1520564 : 0834b1520565 : 0834b1520566	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	6	0.2	Ma	1.085e-05	5	9.007e-07	8.301
This study	834	0834b161047	0834b	0834b1610472 : 0834b1610473	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	6	0.2	Ma	1.066e-05	2	3.111e-07	2.919
This study	834	0834b162022	0834b	0834b1620221 : 0834b1620222 : 0834b1620223 : 0834b1620224	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	6	0.2	Ma	6.347e-06	4	5.944e-07	9.365
This study	834	0834b181003	0834b	0834b1810032 : 0834b1810033	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	6	0.2	Ma	6.553e-06	2	1.752e-06	26.73
This study	834	0834b181020	0834b	0834b1810202 : 0834b1810203	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	6	0.2	Ma	5.723e-06	2	1.71e-06	29.88
This study	834	0834b201041	0834b	0834b2010412 : 0834b2010413 : 0834b2010414 : 0834b2010415	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	6	0.2	Ma	1.053e-05	4	1.617e-06	15.35
This study	834	0834b261036	0834b	0834b2610362 : 0834b2610363	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	6	0.2	Ma	1.247e-05	2	7.071e-08	0.567
This study	834	0834b312047	0834b	0834b3120471 : 0834b3120472 : 0834b3120473 : 0834b3120474 : 0834b3120475	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	6	0.2	Ma	1.295e-05	5	8.92e-07	6.886
This study	834	0834b331003	0834b	0834b3310032 : 0834b3310033	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	6	0.2	Ma	1.177e-05	2	3.253e-07	2.764
This study	834	0834b351003	0834b	0834b3510032 : 0834b3510033	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	6	0.2	Ma	1.227e-05	2	3.579e-06	29.17
This study	834	0834b361010	0834b	0834b3610101 : 0834b3610102 : 0834b3610103 : 0834b3610105	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	6	0.2	Ma	9.482e-06	4	2.843e-06	29.98
This study	835	0835b041083	0835b	0835b0410831 : 0835b0410833	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2.8	1	Ma	2.112e-05	2	6.859e-07	3.248
This study	836	0836a032003	0836a	0836a0320031 : 0836a0320032	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	1	0.3	Ma	2.525e-05	2	7.156e-06	28.34
This study	836	0836a037055	0836a	0836a0370551 : 0836a0370552	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	1	0.3	Ma	9.967e-06	2	4.361e-06	43.75
This study	836	0836a037073	0836a	0836a0370731 : 0836a0370732	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	1	0.3	Ma	1.339e-05	2	4.172e-07	3.115
This study	836	0836a04c003	0836a	0836a04c0032	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	1	0.3	Ma	4.374e-06	1	0	
This study	836	0836b091100	0836b	0836b0911001 : 0836b0911002	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	1	0.3	Ma	4.167e-05	2	3.253e-07	0.7806
This study	843	0843a022042	0843a	0843a0220422 : 0843a0220423	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	97	5	Ma	7.111e-05	2	1.043e-05	14.67
This study	862	0862a031011	0862a	0862a0310111 : 0862a0310112	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2.8	1	Ma	1.615e-05	2	9.97e-07	6.175
This study	862	0862a031098	0862a	0862a0310981 : 0862a0310982	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2.8	1	Ma	1.793e-05	2	1.739e-06	9.702
This study	862	0862b031011	0862b	0862b0310113	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	2.8	1	Ma	1.377e-05	1	0	
This study	864	0864a012015	0864a	0864a0120151 : 0864a0120152 : 0864a0120153 : 0864a0120154 : 0864a0120155	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	0	0.1	Ma	3.465e-05	5	9.153e-06	26.42
This study	864	0864a012050	0864a	0864a0120501 : 0864a0120502 : 0864a0120503 : 0864a0120504 : 0864a0120505	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	0	0.1	Ma	3.674e-05	5	2.431e-06	6.617
This study	864	0864a013015	0864a	0864a0130151 : 0864a0130152 : 0864a0130153 : 0864a0130154 : 0864a0130155	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	0	0.1	Ma	4.322e-05	5	7.921e-06	18.33
This study	864	0864a013048	0864a	0864a0130482	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	0	0.1	Ma	4.215e-05	1	0	
This study	864	0864a015015	0864a	0864a0150151 : 0864a0150152 : 0864a0150153 : 0864a0150154 : 0864a0150155	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	0	0.1	Ma	3.342e-05	5	3.619e-06	10.83
This study	864	0864a016030	0864a	0864a0160301 : 0864a0160302	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	0	0.1	Ma	3.63e-05	2	5.657e-08	0.1558
This study	864	0864a016143	0864a	0864a0161431 : 0864a0161432 : 0864a0161434 : 0864a0161435	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	0	0.1	Ma	3.968e-05	4	4.77e-06	12.02
This study	907	0907a251028	0907a	0907a2510281 : 0907a2510282	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	19.5	1	Ma	1.796e-05	2	9.899e-08	0.5512
This study	907	0907a252049	0907a	0907a2520491 : 0907a2520492	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	19.5	1	Ma	1.03e-05	2	3.718e-06	36.09
This study	907	0907a254049	0907a	0907a2540491 : 0907a2540492 : 0907a2540493	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	19.5	1	Ma	1.964e-05	3	3.483e-07	1.773
This study	907	0907a261053	0907a	0907a2610531 : 0907a2610532 : 0907a2610533 : 0907a2610534	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	19.5	1	Ma	1.584e-05	4	7.734e-07	4.883
This study	907	0907a261139	0907a	0907a2611391 : 0907a2611392 : 0907a2611393 : 0907a2611394 : 0907a2611395	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	19.5	1	Ma	1.096e-05	5	1.665e-06	15.2
This study	907	0907a261143	0907a	0907a2611431 : 0907a2611432 : 0907a2611433 : 0907a2611434 : 0907a2611435	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	19.5	1	Ma	8.85e-06	5	1.364e-06	15.42
This study	907	0907a262014	0907a	0907a2620141 : 0907a2620142 : 0907a2620143 : 0907a2620144	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	19.5	1	Ma	1.635e-05	4	2.135e-06	13.06
This study	907	0907a262019	0907a	0907a2620191 : 0907a2620192	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	19.5	1	Ma	1.394e-05	2	4.808e-07	3.449
This study	1001	1001a535002	1001a	1001a5350021	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	77.6	3.8	Ma	3.543e-05	1	0	
This study	1001	1001a541073	1001a	1001a5410731 : 1001a5410732	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	77.6	3.8	Ma	3.288e-06	2	9.171e-07	27.9
This study	1001	1001a541077	1001a	1001a5410771	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	77.6	3.8	Ma	1.938e-05	1	0	
This study	1001	1001a553015	1001a	1001a5530151 : 1001a5530152	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	77.6	3.8	Ma	1.72e-05	2	6.788e-07	3.947
This study	1001	1001a561016	1001a	1001a5610161 : 1001a5610162	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	77.6	3.8	Ma	7.216e-05	2	1.065e-05	14.76
This study	1001	1001a561048	1001a	1001a5610481 : 1001a5610482	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	77.6	3.8	Ma	6.25e-05	2	1.611e-05	25.78
This study	1001	1001a562026	1001a	1001a5620261 : 1001a5620263 : 1001a5620264 : 1001a5620265	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	77.6	3.8	Ma	2.573e-05	4	3.695e-06	14.36
This study	1001	1001a562034	1001a	1001a5620341 : 1001a5620343 : 1001a5620344 : 1001a5620345	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	77.6	3.8	Ma	2.005e-05	4	8.214e-06	40.96
