tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	sample_description	sample_inferred_age	sample_inferred_age_sigma	sample_inferred_age_unit	sample_int	sample_int_n	sample_int_sigma	sample_int_sigma_perc
This study	395	0395a661000	0395a	0395a6610001	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	8	1	Ma	3.695e-05	1	0	
This study	395	0395x111p11	0395x	0395x111p112	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	8	1	Ma	5.633e-06	1	0	
This study	396	0396b141028	0396b	0396b1410281 : 0396b1410282 : 0396b1410283 : 0396b1410284	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	10.3	0.5	Ma	1.366e-05	4	1.074e-06	7.866
This study	396	0396b141p1b	0396b	0396b141p1b1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	10.3	0.5	Ma	1.616e-05	1	0	
This study	396	0396b143031	0396b	0396b1430313 : 0396b1430314 : 0396b1430315	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	10.3	0.5	Ma	1.414e-05	3	1.836e-06	12.99
This study	396	0396b151039	0396b	0396b1510391 : 0396b1510392 : 0396b1510393	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	sample intensity.	10.3	0.5	Ma	1.202e-05	3	6.912e-07	5.752
This study	396	0396b261p01	0396b	0396b261p011	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	10.3	0.5	Ma	9.866e-06	1	0	
This study	396	0396b261p1b	0396b	0396b261p1b1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	10.3	0.5	Ma	1.103e-05	1	0	
This study	407	0407x462021	0407x	0407x4620211	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	33.3	0.1	Ma	2.944e-05	1	0	
This study	407	0407x463051	0407x	0407x4630513	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	33.3	0.1	Ma	2.714e-05	1	0	
This study	407	0407x464057	0407x	0407x4640571 : 0407x4640573 : 0407x4640575	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	IE-SPEC	sample intensity.	33.3	0.1	Ma	3.104e-05	3	1.249e-06	4.024
This study	407	0407x473137	0407x	0407x4731372	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	33.3	0.1	Ma	2.695e-05	1	0	
This study	407	0407x474086	0407x	0407x4740861	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	33.3	0.1	Ma	3.198e-05	1	0	
