tab	er_sites
er_site_name	er_location_name	er_citation_names	site_class	site_definition	site_height	site_lat	site_lithology	site_lon	site_type
mc212	McMurdo	This study	Not Specified	s		-77.56505	Not Specified	166.35938	Not Specified
mc213	McMurdo	This study	Not Specified	s		-77.22331	Not Specified	166.42877	Not Specified
mc214	McMurdo	This study	Not Specified	s		-77.22355	Not Specified	166.4294	Not Specified
mc215	McMurdo	This study	Not Specified	s		-77.47730	Not Specified	166.89491	Not Specified
mc216	McMurdo	This study	Not Specified	s		-77.42391	Not Specified	166.81075	Not Specified
mc217	McMurdo	This study	Not Specified	s		-77.50885	Not Specified	167.44064	Not Specified
mc218	McMurdo	This study	Not Specified	s		-77.56218	Not Specified	166.97756	Not Specified
mc219	McMurdo	This study	Not Specified	s		-77.84783	Not Specified	166.67453	Not Specified
mc22		This study	Not Specified	s		-78.20000	Not Specified	166.54	Not Specified
mc220	McMurdo	This study	Not Specified	s		-77.45702	Not Specified	166.91009	Not Specified
mc221	McMurdo	This study	Not Specified	s		-77.51610	Not Specified	166.79804	Not Specified
mc222	McMurdo	This study	Not Specified	s		-77.53893	Not Specified	166.84845	Not Specified
mc223	McMurdo	This study	Not Specified	s		-77.65831	Not Specified	166.7863	Not Specified
mc224	McMurdo	This study	Not Specified	s		-77.53046	Not Specified	166.8839	Not Specified
mc225	McMurdo	This study	Not Specified	s		-77.58053	Not Specified	166.80156	Not Specified
mc226	McMurdo	This study	Not Specified	s		-77.61355	Not Specified	166.76571	Not Specified
mc227	McMurdo	This study	Not Specified	s		-77.27064	Not Specified	166.73278	Not Specified
mc228	McMurdo	This study	Not Specified	s		-77.26690	Not Specified	166.37738	Not Specified
mc229	McMurdo	This study	Not Specified	s		-77.48281	Not Specified	167.15435	Not Specified
mc26	McMurdo	This study	Not Specified	s		-78.21000	Not Specified	166.57	Not Specified
mc28	McMurdo	This study	Not Specified	s		-78.29000	Not Specified	164.73	Not Specified
mc29	McMurdo	This study	Not Specified	s		-78.31000	Not Specified	164.8	Not Specified
mc30	McMurdo	This study	Not Specified	s		-78.34000	Not Specified	164.87	Not Specified
mc31	McMurdo	This study	Not Specified	s		-78.34000	Not Specified	164.28	Not Specified
mc32	McMurdo	This study	Not Specified	s		-78.36000	Not Specified	164.3	Not Specified
mc33	McMurdo	This study	Not Specified	s		-78.38000	Not Specified	164.34	Not Specified
mc34	McMurdo	This study	Not Specified	s		-78.39000	Not Specified	164.27	Not Specified
mc35	McMurdo	This study	Not Specified	s		-78.39000	Not Specified	164.23	Not Specified
mc36	McMurdo	This study	Not Specified	s		-78.39000	Not Specified	164.27	Not Specified
mc37	McMurdo	This study	Not Specified	s		-78.40000	Not Specified	164.27	Not Specified
mc38	McMurdo	This study	Not Specified	s		-78.40000	Not Specified	164.21	Not Specified
mc39	McMurdo	This study	Not Specified	s		-78.39000	Not Specified	164.21	Not Specified
mc40	McMurdo	This study	Not Specified	s		-78.39000	Not Specified	164.2	Not Specified
mc41	McMurdo	This study	Not Specified	s		-78.39000	Not Specified	164.2	Not Specified
mc42	McMurdo	This study	Not Specified	s		-78.37000	Not Specified	164.12	Not Specified
mc43	McMurdo	This study	Not Specified	s		-78.37000	Not Specified	164.24	Not Specified
mc44	McMurdo	This study	Not Specified	s		-78.36000	Not Specified	164.26	Not Specified
mc48	McMurdo	This study	Not Specified	s		-78.24000	Not Specified	163.36	Not Specified
mc49	McMurdo	This study	Not Specified	s		-78.24000	Not Specified	163.36	Not Specified
mc50	McMurdo	This study	Not Specified	s		-78.25000	Not Specified	163.22	Not Specified
