tab	samples
cooling_rate_corr	cooling_rate_mcd	citations	location	sample_alternatives	sample	scientists	site	method_codes	participantlist	azimuth	bed_dip	bed_dip_direction	geologic_classes	cooling_rate	azimuth_dec_correction	description	dip	height	igsn	lat	lithologies	lon	texture	geologic_types
		This study	McMurdo		mc103g		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
		This study	McMurdo		mc103h		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
		This study	McMurdo		mc103i		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
		This study	McMurdo		mc103j		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
		This study	McMurdo		mc103k		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
		This study	McMurdo		mc103l		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
		This study	McMurdo		mc104a		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
		This study	McMurdo		mc104b		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
		This study	McMurdo		mc104c		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
		This study	McMurdo		mc104d		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
		This study	McMurdo		mc104e		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
		This study	McMurdo		mc104f		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
		This study	McMurdo		mc104g		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
		This study	McMurdo		mc104h		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
		This study	McMurdo		mc104i		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
		This study	McMurdo		mc104j		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
		This study	McMurdo		mc104k		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
		This study	McMurdo		mc105a		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc105b		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc105c		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc105d		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc105e		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc105f		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc105g		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc105h		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc105i		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc105j		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc105k		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc105l		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc105m		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc105n		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
		This study	McMurdo		mc106a		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
		This study	McMurdo		mc106b		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
		This study	McMurdo		mc106c		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
		This study	McMurdo		mc106d		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
		This study	McMurdo		mc106e		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
		This study	McMurdo		mc106f		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
		This study	McMurdo		mc106g		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
		This study	McMurdo		mc106h		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
		This study	McMurdo		mc106i		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
		This study	McMurdo		mc106j		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
		This study	McMurdo		mc106k		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
		This study	McMurdo		mc106l		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
		This study	McMurdo		mc107a		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
		This study	McMurdo		mc107b		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
		This study	McMurdo		mc107c		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
		This study	McMurdo		mc107d		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
		This study	McMurdo		mc107e		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
		This study	McMurdo		mc107f		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
		This study	McMurdo		mc107g		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
		This study	McMurdo		mc107h		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
		This study	McMurdo		mc107i		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
		This study	McMurdo		mc107j		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
		This study	McMurdo		mc107k		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
		This study	McMurdo		mc107l		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
		This study	McMurdo		mc108a		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
		This study	McMurdo		mc108b		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
		This study	McMurdo		mc108c		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
		This study	McMurdo		mc108d		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
		This study	McMurdo		mc108e		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
		This study	McMurdo		mc108f		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
		This study	McMurdo		mc108g		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
		This study	McMurdo		mc108h		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
		This study	McMurdo		mc108i		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
		This study	McMurdo		mc108j		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
		This study	McMurdo		mc108k		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
		This study	McMurdo		mc109a		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
		This study	McMurdo		mc109c		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
		This study	McMurdo		mc109d		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
		This study	McMurdo		mc109e		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
		This study	McMurdo		mc109f		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
		This study	McMurdo		mc109g		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
		This study	McMurdo		mc109h		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
		This study	McMurdo		mc109i		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
		This study	McMurdo		mc109j		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
		This study	McMurdo		mc109k		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
		This study	McMurdo		mc109l		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
		This study	McMurdo		mc109m		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
		This study	McMurdo		mc10a		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
		This study	McMurdo		mc10b		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
		This study	McMurdo		mc10c		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
		This study	McMurdo		mc10d		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
		This study	McMurdo		mc10e		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
		This study	McMurdo		mc10f		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
		This study	McMurdo		mc10g		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
		This study	McMurdo		mc10h		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
		This study	McMurdo		mc110a		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
		This study	McMurdo		mc110b		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
		This study	McMurdo		mc110c		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
