tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_lat	sample_lithology	sample_lon	sample_type
This study	318	U1356A		318-U1356A-014R_2A-1.05	318-U1356A-014R_2A-1.05	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.65		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-1.3	318-U1356A-014R_2A-1.3	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.9		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_2A-1.35	318-U1356A-014R_2A-1.35	FS-C-DRILL-IODP:SO-V	0			Sedimentary		126.95		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_3A-0.1	318-U1356A-014R_3A-0.1	FS-C-DRILL-IODP:SO-V	0			Sedimentary		127.2		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_3A-0.15	318-U1356A-014R_3A-0.15	FS-C-DRILL-IODP:SO-V	0			Sedimentary		127.25		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_3A-0.2	318-U1356A-014R_3A-0.2	FS-C-DRILL-IODP:SO-V	0			Sedimentary		127.3		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_3A-0.25	318-U1356A-014R_3A-0.25	FS-C-DRILL-IODP:SO-V	0			Sedimentary		127.35		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_3A-1.25	318-U1356A-014R_3A-1.25	FS-C-DRILL-IODP:SO-V	0			Sedimentary		128.35		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_3A-1.3	318-U1356A-014R_3A-1.3	FS-C-DRILL-IODP:SO-V	0			Sedimentary		128.4		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_3A-1.35	318-U1356A-014R_3A-1.35	FS-C-DRILL-IODP:SO-V	0			Sedimentary		128.45		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_3A-1.4	318-U1356A-014R_3A-1.4	FS-C-DRILL-IODP:SO-V	0			Sedimentary		128.5		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.1	318-U1356A-014R_5A-0.1	FS-C-DRILL-IODP:SO-V	0			Sedimentary		129.7		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.15	318-U1356A-014R_5A-0.15	FS-C-DRILL-IODP:SO-V	0			Sedimentary		129.75		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.2	318-U1356A-014R_5A-0.2	FS-C-DRILL-IODP:SO-V	0			Sedimentary		129.8		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.25	318-U1356A-014R_5A-0.25	FS-C-DRILL-IODP:SO-V	0			Sedimentary		129.85		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.3	318-U1356A-014R_5A-0.3	FS-C-DRILL-IODP:SO-V	0			Sedimentary		129.9		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.35	318-U1356A-014R_5A-0.35	FS-C-DRILL-IODP:SO-V	0			Sedimentary		129.95		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.4	318-U1356A-014R_5A-0.4	FS-C-DRILL-IODP:SO-V	0			Sedimentary		130		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.45	318-U1356A-014R_5A-0.45	FS-C-DRILL-IODP:SO-V	0			Sedimentary		130.05		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.5	318-U1356A-014R_5A-0.5	FS-C-DRILL-IODP:SO-V	0			Sedimentary		130.1		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.55	318-U1356A-014R_5A-0.55	FS-C-DRILL-IODP:SO-V	0			Sedimentary		130.15		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.6	318-U1356A-014R_5A-0.6	FS-C-DRILL-IODP:SO-V	0			Sedimentary		130.2		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.65	318-U1356A-014R_5A-0.65	FS-C-DRILL-IODP:SO-V	0			Sedimentary		130.25		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.7	318-U1356A-014R_5A-0.7	FS-C-DRILL-IODP:SO-V	0			Sedimentary		130.3		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.75	318-U1356A-014R_5A-0.75	FS-C-DRILL-IODP:SO-V	0			Sedimentary		130.35		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R_5A-0.8	318-U1356A-014R_5A-0.8	FS-C-DRILL-IODP:SO-V	0			Sedimentary		130.4		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-1-W-103	318-U1356A-014R-1-W-103	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		125.13	2010:01:23:16:21:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-1-W-107	318-U1356A-014R-1-W-107	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		125.17	2010:06:28:14:24:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-1-W-52	318-U1356A-014R-1-W-52	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		124.62	2010:06:28:14:24:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-2-W-30	318-U1356A-014R-2-W-30	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		125.9	2010:06:28:14:24:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-2-W-52	318-U1356A-014R-2-W-52	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		126.12	2010:01:23:16:21:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-2-W-80	318-U1356A-014R-2-W-80	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		126.4	2010:06:28:14:24:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-3-W-137	318-U1356A-014R-3-W-137	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		128.47	2010:01:23:16:37:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-3-W-140	318-U1356A-014R-3-W-140	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		128.5	2010:06:28:14:24:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-3-W-27	318-U1356A-014R-3-W-27	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		127.37	2010:06:28:14:24:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-3-W-8	318-U1356A-014R-3-W-8	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		127.18	2010:01:23:16:15:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-4-W-13	318-U1356A-014R-4-W-13	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		128.73	2010:01:23:16:21:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-4-W-23	318-U1356A-014R-4-W-23	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		128.83	2010:06:28:14:24:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-4-W-69	318-U1356A-014R-4-W-69	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		129.29	2010:06:28:14:24:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-5-W-18	318-U1356A-014R-5-W-18	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		129.78	2010:01:23:16:16:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-014R-5-W-45	318-U1356A-014R-5-W-45	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary		130.55	2010:06:28:14:24:00.00	0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_1A-0.2	318-U1356A-015R_1A-0.2	FS-C-DRILL-IODP:SO-V	0			Sedimentary		134		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_1A-0.25	318-U1356A-015R_1A-0.25	FS-C-DRILL-IODP:SO-V	0			Sedimentary		134.05		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_1A-0.4	318-U1356A-015R_1A-0.4	FS-C-DRILL-IODP:SO-V	0			Sedimentary		134.2		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_1A-1	318-U1356A-015R_1A-1	FS-C-DRILL-IODP:SO-V	0			Sedimentary		134.8		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_1A-1.15	318-U1356A-015R_1A-1.15	FS-C-DRILL-IODP:SO-V	0			Sedimentary		134.95		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_1A-1.25	318-U1356A-015R_1A-1.25	FS-C-DRILL-IODP:SO-V	0			Sedimentary		135.05		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_1A-1.3	318-U1356A-015R_1A-1.3	FS-C-DRILL-IODP:SO-V	0			Sedimentary		135.1		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_1A-1.35	318-U1356A-015R_1A-1.35	FS-C-DRILL-IODP:SO-V	0			Sedimentary		135.15		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_1A-1.4	318-U1356A-015R_1A-1.4	FS-C-DRILL-IODP:SO-V	0			Sedimentary		135.2		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_2A-0.55	318-U1356A-015R_2A-0.55	FS-C-DRILL-IODP:SO-V	0			Sedimentary		135.85		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_2A-0.6	318-U1356A-015R_2A-0.6	FS-C-DRILL-IODP:SO-V	0			Sedimentary		135.9		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_2A-0.65	318-U1356A-015R_2A-0.65	FS-C-DRILL-IODP:SO-V	0			Sedimentary		135.95		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_2A-0.7	318-U1356A-015R_2A-0.7	FS-C-DRILL-IODP:SO-V	0			Sedimentary		136		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_5A-0.3	318-U1356A-015R_5A-0.3	FS-C-DRILL-IODP:SO-V	0			Sedimentary		140.1		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_5A-0.35	318-U1356A-015R_5A-0.35	FS-C-DRILL-IODP:SO-V	0			Sedimentary		140.15		0	-63.3102	Not Specified	135.5994	Sediment Layer
This study	318	U1356A		318-U1356A-015R_5A-0.4	318-U1356A-015R_5A-0.4	FS-C-DRILL-IODP:SO-V	0			Sedimentary		140.2		0	-63.3102	Not Specified	135.5994	Sediment Layer
