tab 	specimens
citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drats	int_f	int_fvds	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.		359.4	65.9	1.9	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr30c1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr30c	sr30c1
This study	Recalculated from original measurements; supercedes published results.		9.4	70.7	4	12	p	n	0	LP-DIR-T:sr30d2	Igneous:Extrusive	Lava Flow					u												Basalt	823	373	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr30d	sr30d2
This study	Recalculated from original measurements; supercedes published results.	7.5	198.5	24.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr30e1	Igneous:Extrusive	Lava Flow	6.559e-05	-1.64	0.036	0.058	u	26.8	0.336	0.326	4.4	-1	6	5	7.5	0.9949	t	4e-05	Basalt	623	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr30e	sr30e1
This study	Recalculated from original measurements; supercedes published results.		4.2	70.5	2.2	5	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr30e1	Igneous:Extrusive	Lava Flow					u												Basalt	823	673	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr30e	sr30e1
This study	Recalculated from original measurements; supercedes published results.	5.7	216.5	36.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr30i1	Igneous:Extrusive	Lava Flow	7.242e-05	-1.81	0.102	0.184	u	1.2	0.247	0.242	7.6	-1	7	5	2	0.9489	t	4e-05	Basalt	673	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr30i	sr30i1
This study	Recalculated from original measurements; supercedes published results.		6.7	65.8	1.3	8	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr30i1	Igneous:Extrusive	Lava Flow					u												Basalt	823	523	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr30i	sr30i1
This study	Recalculated from original measurements; supercedes published results.	1	88.9	85.7			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr31a1	Igneous:Extrusive	Lava Flow	0.0001172	-2.929	0.075	0.22	u	9.7	0.209	0.213	2.2	-1	7	5	2.2	0.9721	t	4e-05	Basalt	673	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr31a	sr31a1
This study	Recalculated from original measurements; supercedes published results.		23.9	54	0.6	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr31a1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr31a	sr31a1
This study	Recalculated from original measurements; supercedes published results.	2.7	96.8	83.4			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr31a2	Igneous:Extrusive	Lava Flow	0.0001163	-2.908	0.066	0.191	u	16.8	0.213	0.211	11	2	7	5	2.5	0.9785	t	4e-05	Basalt	673	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr31a	sr31a2
This study	Recalculated from original measurements; supercedes published results.		24.8	54.9	1.6	10	p	n	0	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr31a2	Igneous:Extrusive	Lava Flow					u												Basalt	848	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr31a	sr31a2
This study	Recalculated from original measurements; supercedes published results.		19.5	54.2	0.5	8	p	n	0	LP-DIR-T:sr31b1	Igneous:Extrusive	Lava Flow					u												Basalt	898	723	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr31b	sr31b1
This study	Recalculated from original measurements; supercedes published results.	1.4	354.8	70.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr31b3	Igneous:Extrusive	Lava Flow	0.00012	-3	0.076	0.229	u	4.9	0.209	0.209	10.3	2	7	5	2.1	0.9711	t	4e-05	Basalt	673	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr31b	sr31b3
This study	Recalculated from original measurements; supercedes published results.		21.7	53.8	0.8	10	p	n	0	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr31b3	Igneous:Extrusive	Lava Flow					u												Basalt	848	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr31b	sr31b3
This study	Recalculated from original measurements; supercedes published results.	0.8	73.1	75.1			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr31c1	Igneous:Extrusive	Lava Flow	9.656e-05	-2.414	0.078	0.188	u	22.4	0.662	0.646	1	-1	5	4	6.2	0.982	t	4e-05	Basalt	823	673	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr31c	sr31c1
This study	Recalculated from original measurements; supercedes published results.		25.2	55.1	1.3	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr31c1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr31c	sr31c1
This study	Recalculated from original measurements; supercedes published results.	9.2	271.2	75			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr31d1	Igneous:Extrusive	Lava Flow	0.0001125	-2.813	0.059	0.165	u	3.3	0.234	0.242	4.8	-1	7	4	3.1	0.9829	t	4e-05	Basalt	673	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr31d	sr31d1
This study	Recalculated from original measurements; supercedes published results.		24.3	52.5	0.8	7	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr31d1	Igneous:Extrusive	Lava Flow					u												Basalt	823	573	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr31d	sr31d1
This study	Recalculated from original measurements; supercedes published results.	23.5	109.2	86.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr31f1	Igneous:Extrusive	Lava Flow	0.0001054	-2.634	0.097	0.254	u	16.2	0.287	0.269	5.8	-1	7	4	2.4	0.9539	t	4e-05	Basalt	673	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr31f	sr31f1
This study	Recalculated from original measurements; supercedes published results.		26.8	52.4	1.5	5	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr31f1	Igneous:Extrusive	Lava Flow					u												Basalt	823	673	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr31f	sr31f1
This study	Recalculated from original measurements; supercedes published results.		19.4	54.7	0.9	8	p	n	0	LP-DIR-AF:sr31h2	Igneous:Extrusive	Lava Flow					u												Basalt	0.16	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr31h	sr31h2
This study	Recalculated from original measurements; supercedes published results.		209.5	-47.9	0.7	6	p	n	0	LP-DIR-T:sr34a1	Igneous:Extrusive	Lava Flow					u												Basalt	873	748	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr34a	sr34a1
This study	Recalculated from original measurements; supercedes published results.	2.6	34.5	-33.4			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr34b1	Igneous:Extrusive	Lava Flow	7.681e-05	-1.92	0.05	0.096	u	4.2	0.728	0.68	5.7	-1	10	4	11.4	0.98	t	4e-05	Basalt	798	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr34b	sr34b1
This study	Recalculated from original measurements; supercedes published results.		203.1	-45.4	1.2	3	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr34b1	Igneous:Extrusive	Lava Flow					u												Basalt	823	773	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr34b	sr34b1
This study	Recalculated from original measurements; supercedes published results.	11.1	47.5	-49.1			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr34c1	Igneous:Extrusive	Lava Flow	0.0001277	-3.193	0.076	0.243	u	30	0.207	0.209	10.2	-1	7	4	2	0.9713	t	4e-05	Basalt	673	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr34c	sr34c1
This study	Recalculated from original measurements; supercedes published results.		201.4	-50.4	2.9	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr34c1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr34c	sr34c1
This study	Recalculated from original measurements; supercedes published results.		206.6	-48.7	0.6	8	p	n	0	LP-DIR-AF:sr34f2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr34f	sr34f2
This study	Recalculated from original measurements; supercedes published results.	1.5	82.1	-48.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr34f3	Igneous:Extrusive	Lava Flow	1.946e-05	-0.487	0.129	0.063	u	7.7	0.449	0.226	2	8	4	5	2.1	0.9671	t	4e-05	Basalt	848	773	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr34f	sr34f3
This study	Recalculated from original measurements; supercedes published results.		234.3	40.3	4.9	13	p	n	0	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr34f3	Igneous:Extrusive	Lava Flow					u												Basalt	848	273	K	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-T	g	sr34f	sr34f3
This study	Recalculated from original measurements; supercedes published results.		200.7	-52.8	1.5	8	p	n	0	LP-DIR-AF:sr34i3	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr34i	sr34i3
This study	Recalculated from original measurements; supercedes published results.	2.5	321.7	-42.8			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr34j1	Igneous:Extrusive	Lava Flow	7.636e-05	-1.909	0.048	0.092	u	11.3	0.708	0.683	3.9	-1	10	4	11.9	0.9814	t	4e-05	Basalt	798	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr34j	sr34j1
This study	Recalculated from original measurements; supercedes published results.		205.3	-50.9	1	7	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr34j1	Igneous:Extrusive	Lava Flow					u												Basalt	823	573	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr34j	sr34j1
This study	Recalculated from original measurements; supercedes published results.	2.7	296.4	-45.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr34k1	Igneous:Extrusive	Lava Flow	8.51e-05	-2.128	0.051	0.109	u	3.1	0.73	0.721	2.2	-1	10	4	11.6	0.9791	t	4e-05	Basalt	798	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr34k	sr34k1
This study	Recalculated from original measurements; supercedes published results.		208.6	-48.5	2.8	6	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr34k1	Igneous:Extrusive	Lava Flow					u												Basalt	823	623	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr34k	sr34k1
This study	Recalculated from original measurements; supercedes published results.		199.7	-64	0.8	6	p	n	0	LP-DIR-AF:sr36a2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.08	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr36a	sr36a2
This study	Recalculated from original measurements; supercedes published results.		194.7	-60	1.1	8	p	n	0	LP-DIR-AF:sr36b1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr36b	sr36b1
This study	Recalculated from original measurements; supercedes published results.		215.5	-61	3.9	10	p	n	0	LP-DIR-AF:sr36c1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr36c	sr36c1
This study	Recalculated from original measurements; supercedes published results.		185	-73.7	2.2	8	p	n	0	LP-DIR-AF:sr36d1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr36d	sr36d1
This study	Recalculated from original measurements; supercedes published results.		112.4	9.5	8.9	14	p	n	0	LP-DIR-T:sr36d2	Igneous:Extrusive	Lava Flow					u												Basalt	848	273	K	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-T	g	sr36d	sr36d2
This study	Recalculated from original measurements; supercedes published results.		193.4	-69.4	4	8	p	n	0	LP-DIR-AF:sr36e1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr36e	sr36e1
This study	Recalculated from original measurements; supercedes published results.		191	-63.1	2.5	8	p	n	0	LP-DIR-AF:sr36i2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr36i	sr36i2
This study	Recalculated from original measurements; supercedes published results.	2.9	38.1	-10.7			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr37a2	Igneous:Extrusive	Lava Flow	6.413e-05	-1.603	0.06	0.097	u	4.5	0.351	0.29	3.3	-1	5	4	3.9	0.9891	t	4e-05	Basalt	823	673	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr37a	sr37a2
This study	Recalculated from original measurements; supercedes published results.		177.4	-50.9	4.5	10	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr37a2	Igneous:Extrusive	Lava Flow					u												Basalt	823	423	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr37a	sr37a2
This study	Recalculated from original measurements; supercedes published results.	8.3	41.3	-15.2			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr37b1	Igneous:Extrusive	Lava Flow	1.081e-05	-0.27	0.078	0.021	u	3.2	0.125	0.095	8	-1	5	4	1.1	0.9817	t	4e-05	Basalt	798	623	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr37b	sr37b1
This study	Recalculated from original measurements; supercedes published results.		182.7	-50.2	16	11	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr37b1	Igneous:Extrusive	Lava Flow					u												Basalt	823	373	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr37b	sr37b1
This study	Recalculated from original measurements; supercedes published results.	11.2	40	-7.8			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr37e1	Igneous:Extrusive	Lava Flow	7.455e-06	-0.186	0.304	0.057	u	25	0.165	0.082	7.4	-1	4	4	0.4	0.8238	t	4e-05	Basalt	798	673	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr37e	sr37e1
This study	Recalculated from original measurements; supercedes published results.		26.7	-28.9	6.4	10	p	n	0	LP-DIR-AF:sr37g2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF	g	sr37g	sr37g2
This study											Igneous:Extrusive	Lava Flow																	Basalt						sr37h	sr37h1
This study	Recalculated from original measurements; supercedes published results.		166.5	-56.9	3.7	9	p	n	0	LP-DIR-T:sr37i2	Igneous:Extrusive	Lava Flow					u												Basalt	873	623	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr37i	sr37i2
This study	Recalculated from original measurements; supercedes published results.	0.7	45.3	-38.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr37j1	Igneous:Extrusive	Lava Flow	3.957e-05	-0.989	0.017	0.017	u	6.2	0.967	0.917	1.5	-1	13	6	46.7	0.9967	t	4e-05	Basalt	873	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr37j	sr37j1
This study	Recalculated from original measurements; supercedes published results.		170.4	-54.4	1.2	12	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr37j1	Igneous:Extrusive	Lava Flow					u												Basalt	873	423	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr37j	sr37j1
This study	Recalculated from original measurements; supercedes published results.		56.9	-17.1	3.7	12	p	n	0	LP-DIR-AF:sr37j2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF	g	sr37j	sr37j2
This study	Recalculated from original measurements; supercedes published results.	3.4	40.4	-47.8			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr39a1	Igneous:Extrusive	Lava Flow	5.143e-05	-1.286	0.065	0.084	u	5.5	0.394	0.385	1.9	-1	4	4	3.9	0.9915	t	4e-05	Basalt	798	673	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr39a	sr39a1
This study	Recalculated from original measurements; supercedes published results.		188	-43.4	1.5	5	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr39a1	Igneous:Extrusive	Lava Flow					u												Basalt	823	673	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr39a	sr39a1
This study	Recalculated from original measurements; supercedes published results.	9.1	54	-0.9			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr39b1	Igneous:Extrusive	Lava Flow	0.0001148	-2.869	0.05	0.144	u	19.8	0.369	0.324	6.7	-1	4	4	4.9	0.9949	t	4e-05	Basalt	798	673	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr39b	sr39b1
This study	Recalculated from original measurements; supercedes published results.		190.3	-43.5	2	4	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr39b1	Igneous:Extrusive	Lava Flow					u												Basalt	823	723	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr39b	sr39b1
This study	Recalculated from original measurements; supercedes published results.	8.9	53.4	-13.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr39c1	Igneous:Extrusive	Lava Flow	8.777e-05	-2.194	0.085	0.187	u	14	0.39	0.351	12.3	-1	8	4	3.4	0.9568	t	4e-05	Basalt	798	473	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr39c	sr39c1
This study	Recalculated from original measurements; supercedes published results.		193.8	-38.7	8.2	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr39c1	Igneous:Extrusive	Lava Flow					u												Basalt	823	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr39c	sr39c1
This study	Recalculated from original measurements; supercedes published results.		185.1	-51	1.2	9	p	n	0	LP-DIR-AF:sr39g3	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr39g	sr39g3
This study	Recalculated from original measurements; supercedes published results.		178	-51.8	1.9	11	p	n	0	LP-DIR-AF:sr39h3	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr39h	sr39h3
This study	Recalculated from original measurements; supercedes published results.	3	46.1	15			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr39i1	Igneous:Extrusive	Lava Flow	4.954e-05	-1.239	0.035	0.043	u	14.9	0.642	0.62	3	-1	10	6	13.6	0.9902	t	4e-05	Basalt	798	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr39i	sr39i1
This study	Recalculated from original measurements; supercedes published results.		200.8	-46.2	1.8	9	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr39i1	Igneous:Extrusive	Lava Flow					u												Basalt	873	573	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr39i	sr39i1
This study	Recalculated from original measurements; supercedes published results.		185.1	-45.9	0.4	6	p	n	0	LP-DIR-T:sr39j2	Igneous:Extrusive	Lava Flow					u												Basalt	923	798	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr39j	sr39j2
This study	Recalculated from original measurements; supercedes published results.	3	32	-29.2			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr40a1	Igneous:Extrusive	Lava Flow	6.92e-05	-1.73	0.033	0.058	u	6.5	0.254	0.243	9.6	-1	8	4	6.1	0.9933	t	4e-05	Basalt	723	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr40a	sr40a1
This study	Recalculated from original measurements; supercedes published results.		190.3	-60.3	5.2	11	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr40a1	Igneous:Extrusive	Lava Flow					u												Basalt	273	373	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr40a	sr40a1
This study	Recalculated from original measurements; supercedes published results.	5.7	51	-57.5			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr40c2	Igneous:Extrusive	Lava Flow	8.04e-05	-2.01	0.06	0.12	u	3.1	0.319	0.316	8	-1	8	4	4.3	0.9788	t	4e-05	Basalt	723	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr40c	sr40c2
This study	Recalculated from original measurements; supercedes published results.		194.4	-62.7	4.2	11	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr40c2	Igneous:Extrusive	Lava Flow					u												Basalt	823	373	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr40c	sr40c2
This study	Recalculated from original measurements; supercedes published results.	22.6	6.6	-38.9			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr40d1	Igneous:Extrusive	Lava Flow	3.241e-05	-0.81	0.184	0.149	u	0.8	0.28	0.223	11	-1	4	4	1	0.9332	t	4e-05	Basalt	798	673	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr40d	sr40d1
This study	Recalculated from original measurements; supercedes published results.		198.9	-63.1	9.3	12	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr40d1	Igneous:Extrusive	Lava Flow					u												Basalt	823	273	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr40d	sr40d1
This study	Recalculated from original measurements; supercedes published results.		190.7	-62.7	3.4	8	p	n	0	LP-DIR-T:sr40e1	Igneous:Extrusive	Lava Flow					u												Basalt	873	673	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr40e	sr40e1
This study	Recalculated from original measurements; supercedes published results.		192.9	-64.3	1.9	8	p	n	0	LP-DIR-AF:sr40f3	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr40f	sr40f3
This study	Recalculated from original measurements; supercedes published results.	6.5	69.7	-56.6			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr40g1	Igneous:Extrusive	Lava Flow	8.188e-05	-2.047	0.066	0.135	u	21	0.24	0.242	6.2	-1	7	4	2.9	0.9783	t	4e-05	Basalt	673	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr40g	sr40g1
This study	Recalculated from original measurements; supercedes published results.		195.7	-53.5	3.9	5	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr40g1	Igneous:Extrusive	Lava Flow					u												Basalt	823	673	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr40g	sr40g1
This study	Recalculated from original measurements; supercedes published results.		14.6	51.5	1.8	12	p	n	0	LP-DIR-T:sr42b1	Igneous:Extrusive	Lava Flow					u												Basalt	823	373	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr42b	sr42b1
This study	Recalculated from original measurements; supercedes published results.		24.1	54.4	0.6	7	p	n	0	LP-DIR-AF:sr42c3	Igneous:Extrusive	Lava Flow					u												Basalt	0.1	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr42c	sr42c3
This study	Recalculated from original measurements; supercedes published results.		108.7	45.6	1.5	9	p	n	0	LP-DIR-AF:sr42f2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr42f	sr42f2
