tab 	specimens
citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drats	int_f	int_fvds	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.		10.8	55.9	3.1	9	p	n	0	LP-DIR-T:sr04d2	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr04d	sr04d2
This study	Recalculated from original measurements; supercedes published results.		27.9	53.2	1.6	10	p	n	0	LP-DIR-AF:sr04e1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr04e	sr04e1
This study	Recalculated from original measurements; supercedes published results.		20.5	54.8	2.6	9	p	n	0	LP-DIR-AF:sr04f2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr04f	sr04f2
This study	Recalculated from original measurements; supercedes published results.		11.4	54.8	2.4	9	p	n	0	LP-DIR-T:sr04g1	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr04g	sr04g1
This study	Recalculated from original measurements; supercedes published results.		11.5	53.2	1.5	10	p	n	0	LP-DIR-T:sr04h3	Igneous:Extrusive	Lava Flow					u												Basalt	848	523	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr04h	sr04h3
This study	Recalculated from original measurements; supercedes published results.		18.3	81.7	1.9	10	p	n	0	LP-DIR-AF:sr09b2	Igneous:Extrusive	Lava Flow					u												Basalt	0.16	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr09b	sr09b2
This study	Recalculated from original measurements; supercedes published results.		13.5	76.5	2.2	9	p	n	0	LP-DIR-T:sr09c3	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr09c	sr09c3
This study	Recalculated from original measurements; supercedes published results.		5.4	75.4	0.4	9	p	n	0	LP-DIR-AF:sr09e2	Igneous:Extrusive	Lava Flow					u												Basalt	0.14	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr09e	sr09e2
This study	Recalculated from original measurements; supercedes published results.	3.6	196.7	10.8			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr09f1	Igneous:Extrusive	Lava Flow	3.404e-05	-0.851	0.022	0.019	u	16.2	0.684	0.614	1	-1	5	3	21.1	0.9986	t	4e-05	Basalt	573	373	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	sr09f	sr09f1
This study	Recalculated from original measurements; supercedes published results.		39	-16.5	1.7	10	p	n	0	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr09f1	Igneous:Extrusive	Lava Flow					u												Basalt	773	273	K	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-T	g	sr09f	sr09f1
