age	age_pm	age_high	age_low	site_lat	site_lon	model_lat	model_lon	plate	nn	k	dec	inc	model_vgp_lat	model_vgp_lon	site	site_ID	location	psv10_location	reference	magic_method_code
9.20E-04	7.00E-05	999	999	20.72	203.65	20.71973356	203.6505382	PA	10	239	359.8	48.6	81.2	202.5	HWHL	687	Hawaii	"Hawaii, USA"	Herrerobervera07	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
1.90E-02	6.00E-05	999	999	20.64	203.56	20.63449752	203.5711182	PA	10	150	359.4	43.1	85.5	196.6	HWKW	688	Hawaii	"Hawaii, USA"	Herrerobervera07	GM-C14:LP-DC5:LP-DIR-AF:LP-DIR-T
7.03E-01	1.30E-02	999	999	20.73	203.66	20.52639033	204.070971	PA	5	67	0.7	36.6	89.3	307.2	KU	689	Hawaii	"Hawaii, USA"	Herrerobervera07	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.69537669	203.5135127	PA	5	386	5.6	28.7	82.5	337.8	HN01	854	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.69508709	203.514098	PA	5	555	6.4	16.3	76.2	356.1	HN02	855	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.69450789	203.5152685	PA	4	1332	9.3	14.2	73.8	348.5	HN03	856	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6942183	203.5158538	PA	4	474	5.6	10.2	73.6	3.5	HN04	857	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6936391	203.5170243	PA	5	613	34.6	47.1	57.7	273	HN05	858	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6933495	203.5176096	PA	5	190	39.1	45.6	53.8	275.7	HN06	859	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6930599	203.5181949	PA	6	158	32.8	41	59.5	282.1	HN07	860	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6919015	203.5205359	PA	4	290	2.3	43.7	84.7	226.6	HN09	861	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6907431	203.5228769	PA	5	334	2.1	19.9	79.4	12.3	HN11	862	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6901639	203.5240475	PA	4	172	2	14.9	76.8	14.9	HN12	863	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6898743	203.5246327	PA	4	77	0.6	13.4	76.1	21.1	HN13	864	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6887159	203.5269737	PA	6	263	2.9	15	76.7	11	HN16	865	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6884263	203.5275589	PA	4	210	1.3	19.3	79.2	16.7	HN17	866	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6881367	203.5281442	PA	5	578	1.6	16.7	77.8	16.1	HN18	867	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6872679	203.5298999	PA	6	109	1.7	18.6	78.8	14.9	HN19	868	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6872679	203.5298999	PA	5	226	1.2	19.4	79.3	17.2	HN20	869	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6866887	203.5310704	PA	5	290	2	17.7	78.2	13.8	HN21	870	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6861095	203.5322409	PA	5	158	2.9	20	79.3	8.1	HN22	871	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.68553029	203.5334113	PA	5	274	3.8	15.6	76.8	6.9	HN23	872	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.68466149	203.535167	PA	5	1002	2.1	19.4	79.1	12.5	HN24	873	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.68408229	203.5363375	PA	9	984	1.2	16	77.4	18.1	HN25	874	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.68379269	203.5369227	PA	5	602	2.1	14.8	76.7	14.5	HN26	875	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
