tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_instrument_codes	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_correction	specimen_dec	specimen_description	specimen_direction_type	specimen_flag	specimen_inc	specimen_inferred_age	specimen_inferred_age_sigma	specimen_inferred_age_unit	specimen_mad	specimen_n	specimen_nrm	specimen_tilt_correction
Peter C. Lippert	This study	Wulan Wula Hu	06X081	WWH-4	06X081c	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	50	15	mT	u	356		p	g	45.4	38.6	0.5	Ma	1	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X082	WWH-4	06X082b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	25	mT	u	358.2		p	g	45.5	38.6	0.5	Ma	1.2	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X083	WWH-4	06X083a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	355.7		p	g	43.8	38.6	0.5	Ma	1.2	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X084	WWH-4	06X084b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	50	15	mT	u	3.2		p	g	22.5	38.6	0.5	Ma	0.4	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X072	WWH-5	06X072a	IPGP-2GH	DE-BFL:LP-DIR-T	590	540	°C	u	349	Specimen not used to calculate site mean direction.	p	g	46.2	38.6	0.5	Ma	3.7	8	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X072	WWH-5	06X072b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	130	15	mT	u	353.3		p	g	46.5	38.6	0.5	Ma	0.6	10	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X073	WWH-5	06X073b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	30	mT	u	341.9		p	g	50.8	38.6	0.5	Ma	1	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X074	WWH-5	06X074b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	15	mT	u	343.5		p	g	46.1	38.6	0.5	Ma	0.7	7	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X075	WWH-5	06X075b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	140	25	mT	u	340.1		p	g	47	38.6	0.5	Ma	2.9	9	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X076	WWH-5	06X076b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	335.2		p	g	51.7	38.6	0.5	Ma	2.7	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X077	WWH-5	06X077b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	20	mT	u	349		p	g	47.7	38.6	0.5	Ma	0.7	8	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X078	WWH-5	06X078b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	40	mT	u	0.5		p	g	53.2	38.6	0.5	Ma	1.3	4	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X066	WWH-6	06X066a	IPGP-2GH	DE-BFL:LP-DIR-T	560	450	°C	u	0.6	Specimen not used to calculate site mean direction.	p	g	50.9	38.6	0.5	Ma	1	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X066	WWH-6	06X066b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	40	mT	u	2.8		p	g	47.4	38.6	0.5	Ma	1.3	4	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X067	WWH-6	06X067b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	40	mT	u	358.6		p	g	45.3	38.6	0.5	Ma	1.6	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X068	WWH-6	06X068b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	3.2		p	g	48.1	38.6	0.5	Ma	1.3	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X069	WWH-6	06X069b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	3.8		p	g	44.9	38.6	0.5	Ma	0.9	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X070	WWH-6	06X070b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	3.2		p	g	43.2	38.6	0.5	Ma	1.9	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X071	WWH-6	06X071b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	20	mT	u	11.6		p	g	47.4	38.6	0.5	Ma	1.3	7	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X085	WWH-7	06X085a	IPGP-2GH	DE-BFL:LP-DIR-T	575	520	°C	u	346.6	Specimen not used to calculate site mean direction.	p	g	52.1	38.6	0.5	Ma	2.4	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X085	WWH-7	06X085b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	25	mT	u	352.5		p	g	50.4	38.6	0.5	Ma	1.1	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X086	WWH-7	06X086a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	349.5		p	g	44.7	38.6	0.5	Ma	2.4	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X087	WWH-7	06X087b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	358.3		p	g	46.8	38.6	0.5	Ma	2.7	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X088'	WWH-7	06X088'b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	140	40	mT	u	353.9		p	g	41.9	38.6	0.5	Ma	2.3	7	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X088	WWH-7	06X088b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	1		p	g	47.9	38.6	0.5	Ma	1.6	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X106	WWH-7	06X106b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	40	mT	u	347.4		p	g	50.4	38.6	0.5	Ma	1.4	4	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X107	WWH-7	06X107b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	350.7		p	g	45.2	38.6	0.5	Ma	1.3	5	l	100
