tab 	er_ages
age	age_description	age_sigma	age_unit	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_timescale_citation_names	magic_method_codes	timescale_eon	timescale_epoch	timescale_era	timescale_period
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X073	WWH-5	06X073b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X074	WWH-5	06X074b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X075	WWH-5	06X075b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X076	WWH-5	06X076b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X077	WWH-5	06X077b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X078	WWH-5	06X078b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X066	WWH-6	06X066a	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X066	WWH-6	06X066b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X067	WWH-6	06X067b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X068	WWH-6	06X068b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X069	WWH-6	06X069b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X070	WWH-6	06X070b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X071	WWH-6	06X071b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X085	WWH-7	06X085a	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X085	WWH-7	06X085b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X086	WWH-7	06X086a	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X087	WWH-7	06X087b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X088'	WWH-7	06X088'b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X088	WWH-7	06X088b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X106	WWH-7	06X106b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X107	WWH-7	06X107b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X089	WWH-8	06X089b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X090	WWH-8	06X090b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X091	WWH-8	06X091b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X092	WWH-8	06X092b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X093	WWH-8	06X093a	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X093	WWH-8	06X093b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X104	WWH-8	06X104b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
