tab 	pmag_results
antipodal	average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_inc	average_int	average_int_n	average_int_sigma	average_int_sigma_perc	average_k	average_lat	average_lat_sigma	average_lon	average_lon_sigma	average_n	average_nn	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_sample_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	percent_reversed	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	reversal_test	tilt_correction	vadm	vadm_n	vadm_sigma	vdm	vdm_n	vdm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
	2.19	0.04	Ma	3.7	297.9	87.1					429.1	-77.719		162.626		5	5	4.9907	i	Kristin Lawrence	This study	McMurdo		mc154	mc154a1 : mc154b1 : mc154e1 : mc154f1 : mc154h1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc154	A	Site VGPA comp: (geog. coord).		0								15.6	7.1	-74.2	143.6	5
	1.5	0.025	Ma	3.7	226.2	77.7					221.3	-77.699		162.253		8	8	7.9684	i	Kristin Lawrence	This study	McMurdo		mc155	mc155a1 : mc155b1 : mc155c1 : mc155e2 : mc155g1 : mc155h1 : mc155i1 : mc155m1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc155	A	Site VGPA comp: (geog. coord).		0								3.7	7.1	-72.7	57.7	8
	1.89	0.065	Ma	4.2	161.3	71.1					340.9	-77.705		162.592		5	5	4.9883	i	Kristin Lawrence	This study	McMurdo		mc156	mc156a1 : mc156c1 : mc156f1 : mc156g1 : mc156h1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc156	A	Site VGPA comp: (geog. coord).		0								2.8	8.1	-66.9	315	5
	4	4	Ma	6.9	262.7	70.7					76.6	-77.703		162.264		7	7	6.9217	i	Kristin Lawrence	This study	McMurdo		mc157	mc157a2 : mc157b2 : mc157c2 : mc157e2 : mc157f1 : mc157j1 : mc157k1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc157	A	Site VGPA comp: (geog. coord).		0								4.4	13.3	-54.7	82.5	7
	3.74	0.125	Ma	2.9	46.9	43.2					555.8	-77.688		162.462		6	6	5.9919	i	Kristin Lawrence	This study	McMurdo		mc158	mc158a1 : mc158b2 : mc158c1 : mc158d1 : mc158f1 : mc158h1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc158	A	Site VGPA comp: (geog. coord).		0								0.8	5.6	-16.5	206	6
	3.47	0.025	Ma	3.2	227.9	76.2					227.7	-77.687		162.354		10	10	9.9649	i	Kristin Lawrence	This study	McMurdo		mc160	mc160a1 : mc160a2 : mc160b1 : mc160c1 : mc160e1 : mc160e2 : mc160f2 : mc160h2 : mc160j1 : mc160j2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc160	A	Site VGPA comp: (geog. coord).		0								2.9	6.2	-70	55.8	10
	4	4	Ma	4.1	171.3	55.1					281	-77.702		162.694		6	6	5.984	i	Kristin Lawrence	This study	McMurdo		mc161	mc161a1 : mc161b1 : mc161e1 : mc161f1 : mc161g1 : mc161k1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc161	A	Site VGPA comp: (geog. coord).		0								1.5	7.9	-47.8	332.2	6
	2.56	0.065	Ma	3.8	174.6	58.1					270.7	-77.701		162.69		7	7	6.9815	i	Kristin Lawrence	This study	McMurdo		mc162	mc162b1 : mc162b2 : mc162c1 : mc162f1 : mc162g1 : mc162i1 : mc162j1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc162	A	Site VGPA comp: (geog. coord).		0								1.5	7.3	-51	336	7
	1.5	0.75	Ma	4.2	175.6	51.5					261.2	-77.7		162.68		6	6	5.9828	i	Kristin Lawrence	This study	McMurdo		mc163	mc163a1 : mc163b1 : mc163c1 : mc163d1 : mc163e1 : mc163f1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc163	A	Site VGPA comp: (geog. coord).		0								1.4	8.1	-44.4	337.5	6
	1.364	0.05	Ma	1.1	199.9	86.1					1912.3	-77.514		169.33		10	10	9.9953	i	Kristin Lawrence	This study	McMurdo		mc164	mc164a1 : mc164a2 : mc164b1 : mc164c1 : mc164f1 : mc164g2 : mc164h1 : mc164i1 : mc164j1 : mc164l2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc164	A	Site VGPA comp: (geog. coord).		0								3.5	2.1	-84.2	142.3	10
	1.451	0.03	Ma	4.2	141.9	81.8					174.1	-77.513		169.332		8	8	7.9598	i	Kristin Lawrence	This study	McMurdo		mc165	mc165a1 : mc165b1 : mc165b2 : mc165c1 : mc165c2 : mc165g1 : mc165h2 : mc165i2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc165	A	Site VGPA comp: (geog. coord).		0								6.4	8.1	-80.2	261	8
	1.334	0.06	Ma	2.2	224.9	73.8					634.1	-77.849		166.67		8	8	7.989	i	Kristin Lawrence	This study	McMurdo		mc166	mc166a1 : mc166b1 : mc166b2 : mc166c1 : mc166c2 : mc166h2 : mc166i1 : mc166i2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc166	A	Site VGPA comp: (geog. coord).		0								1.7	4.3	-67	51.6	8
	1.5	0.75	Ma	5.7	179.7	74.5					82.1	-77.487		169.294		9	9	8.9026	i	Kristin Lawrence	This study	McMurdo		mc167	mc167a1 : mc167b1 : mc167d2 : mc167e1 : mc167e2 : mc167f2 : mc167h1 : mc167j1 : mc167k1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc167	A	Site VGPA comp: (geog. coord).		0								4.6	11	-73.5	348.8	9
	1.38	0.025	Ma	3	187.3	68.2					398.3	-77.488		169.292		7	7	6.9849	i	Kristin Lawrence	This study	McMurdo		mc168	mc168c1 : mc168f1 : mc168h1 : mc168h2 : mc168i1 : mc168j1 : mc168k1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc168	A	Site VGPA comp: (geog. coord).		0								1.8	5.8	-63.7	359.6	7
	1.03	0.05	Ma	0.9	2.7	-87.2					7835.9	-77.854		166.714		5	5	4.9995	i	Kristin Lawrence	This study	McMurdo		mc170	mc170a1 : mc170c2 : mc170d1 : mc170e2 : mc170f1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc170	A	Site VGPA comp: (geog. coord).		0								3.9	1.7	83.4	344.4	5
	4	4	Ma	2.8	146.8	-78.4					474.8	-77.86		165.23		7	7	6.9884	i	Kristin Lawrence	This study	McMurdo		mc19	mc19a : mc19b : mc19c : mc19d : mc19e : mc19f : mc19g	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc19	A	Site VGPA comp: (geog. coord).		0								2.9	5.4	56.9	322.9	7
	0.77	0.016	Ma	3.9	138.7	-77.3					243.7	-77.88		165.02		7	7	6.9754	i	Kristin Lawrence	This study	McMurdo		mc20	mc20a : mc20b : mc20c : mc20d : mc20e : mc20f : mc20h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc20	A	Site VGPA comp: (geog. coord).		0								3.7	7.5	55.7	316.2	7
	0.073	0.005	Ma	3.9	296.8	-83.7					389.6	-77.5499		166.1615		5	5	4.9897	i	Kristin Lawrence	This study	McMurdo		mc200	mc200a1 : mc200a2 : mc200b2 : mc200c2 : mc200d2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc200	A	Site VGPA comp: (geog. coord).		0								7.7	7.5	77	45.2	5
	0.089	0.005	Ma	3.4	256.8	-79.6					385.7	-77.5628		166.2196		6	6	5.987	i	Kristin Lawrence	This study	McMurdo		mc201	mc201a1 : mc201b2 : mc201c1 : mc201d1 : mc201e1 : mc201j1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc201	A	Site VGPA comp: (geog. coord).		0								4.1	6.6	64.1	36.5	6
	0.539	0.006	Ma	1.3	341	-47.1					3519.1	-77.6567		166.3642		5	5	4.9989	i	Kristin Lawrence	This study	McMurdo		mc202	mc202c1 : mc202d1 : mc202f1 : mc202h1 : mc202j1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc202	A	Site VGPA comp: (geog. coord).		0								0.4	2.5	39.9	144.4	5
	4	4	Ma	1.8	137	77.1					1785.1	-77.5807		166.2506		5	5	4.9978	i	Kristin Lawrence	This study	McMurdo		mc203	mc203a1 : mc203c1 : mc203d1 : mc203g1 : mc203h1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc203	A	Site VGPA comp: (geog. coord).		0								1.7	3.5	-72.4	276	5
	0.04	0.05	Ma	3.2	99.4	-75.8					586.7	-77.6402		166.4084		5	5	4.9932	i	Kristin Lawrence	This study	McMurdo		mc204	mc204a1 : mc204c1 : mc204h1 : mc204k1 : mc204l1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc204	A	Site VGPA comp: (geog. coord).		0								2.8	6.2	58.8	287	5
	0.368	0.01	Ma	1.3	284.7	-34.6					1716.6	-77.6567		166.7252		9	9	8.9959	i	Kristin Lawrence	This study	McMurdo		mc205	mc205a1 : mc205a2 : mc205b1 : mc205c1 : mc205d1 : mc205e1 : mc205h1 : mc205h2 : mc205k1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc205	A	Site VGPA comp: (geog. coord).		0								0.3	2.5	21.7	86.9	9
	0.5	0.5	Ma	3.3	327.6	-32					217.6	-77.6667		166.7803		10	10	9.9632	i	Kristin Lawrence	This study	McMurdo		mc206	mc206a1 : mc206b1 : mc206c1 : mc206d1 : mc206e1 : mc206f1 : mc206g1 : mc206h1 : mc206i1 : mc206k1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc206	A	Site VGPA comp: (geog. coord).		0								0.8	6.4	27.6	131.5	10
	4	4	Ma	4.3	46.8	-70.6					313.2	-77.6787		166.5173		5	5	4.9872	i	Kristin Lawrence	This study	McMurdo		mc207	mc207a1 : mc207d1 : mc207g2 : mc207h2 : mc207k2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc207	A	Site VGPA comp: (geog. coord).		0								2.8	8.3	62	229.9	5
	4	4	Ma	3.9	38.1	-66.6					315.1	-77.6679		166.5319		6	6	5.9857	i	Kristin Lawrence	This study	McMurdo		mc208	mc208a1 : mc208b1 : mc208c2 : mc208d2 : mc208e2 : mc208f2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc208	A	Site VGPA comp: (geog. coord).		0								2.1	7.5	58.1	216.3	6
	4	4	Ma	2.2	60.3	-61.6					979.8	-77.6854		166.3681		6	6	5.9954	i	Kristin Lawrence	This study	McMurdo		mc209	mc209a1 : mc209b1 : mc209b2 : mc209c2 : mc209e2 : mc209f1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc209	A	Site VGPA comp: (geog. coord).		0								1	4.2	47.8	238.1	6
	4	4	Ma	3.2	329.7	79.3					309.1	-78.21		166.49		8	8	7.9774	i	Kristin Lawrence	This study	McMurdo		mc21	mc21a : mc21b : mc21c : mc21d : mc21e : mc21f : mc21g : mc21h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc21	A	Site VGPA comp: (geog. coord).		0								3.5	6.2	-58.6	146.5	8
	4	4	Ma	1.9	50	-69.5					1627.2	-77.6912		166.3743		5	5	4.9975	i	Kristin Lawrence	This study	McMurdo		mc210	mc210a2 : mc210b2 : mc210c2 : mc210e1 : mc210i2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc210	A	Site VGPA comp: (geog. coord).		0								1.2	3.7	59.8	232.3	5
	4	4	Ma	2.5	5	-56					604.2	-77.6615		166.3397		7	7	6.9901	i	Kristin Lawrence	This study	McMurdo		mc211	mc211a1 : mc211e1 : mc211e2 : mc211g1 : mc211g2 : mc211h1 : mc211i1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc211	A	Site VGPA comp: (geog. coord).		0								1	4.8	48.8	172.4	7
	2.6	0.15	Ma	2.2	43.6	19.2					1207.4	-77.565		166.3594		5	5	4.9967	i	Kristin Lawrence	This study	McMurdo		mc212	mc212a1 : mc212b2 : mc212c2 : mc212d2 : mc212g2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc212	A	Site VGPA comp: (geog. coord).		0								0.5	4.2	-0.8	209.2	5
	2.5	2.5	Ma	4.3	180.6	70.7					323.6	-77.2233		166.4288		5	5	4.9876	i	Kristin Lawrence	This study	McMurdo		mc213	mc213e2 : mc213f2 : mc213g2 : mc213h2 : mc213i2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc213	A	Site VGPA comp: (geog. coord).		0								2.9	8.3	-67.8	347.3	5
	2.5	2.5	Ma	1	177.5	77.4					2549	-77.2236		166.4294		10	10	9.9965	i	Kristin Lawrence	This study	McMurdo		mc214	mc214a2 : mc214b1 : mc214b2 : mc214d1 : mc214d2 : mc214g1 : mc214g2 : mc214h1 : mc214j1 : mc214j2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc214	A	Site VGPA comp: (geog. coord).		0								1	1.9	-78.7	341.2	10
	0.342	0.01	Ma	2.1	341.2	-79.2					590.4	-77.4773		166.8949		9	9	8.9873	i	Kristin Lawrence	This study	McMurdo		mc215	mc215a1 : mc215a2 : mc215b1 : mc215c1 : mc215c2 : mc215d1 : mc215d2 : mc215h2 : mc215i1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc215	A	Site VGPA comp: (geog. coord).		0								2.4	4.1	80.1	124.7	9
	0.508	0.01	Ma	5.8	345.1	-45.2					135.2	-77.4239		166.8108		6	6	5.963	i	Kristin Lawrence	This study	McMurdo		mc216	mc216a2 : mc216b1 : mc216f2 : mc216g1 : mc216g2 : mc216h2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc216	A	Site VGPA comp: (geog. coord).		0								1.8	11.2	38.8	149.7	6
	0.157	0.005	Ma	4.5	285	-71.5					129.7	-77.5088		167.4406		9	9	8.9383	i	Kristin Lawrence	This study	McMurdo		mc217	mc217a2 : mc217b1 : mc217b2 : mc217c1 : mc217c2 : mc217d1 : mc217d2 : mc217e1 : mc217e2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc217	A	Site VGPA comp: (geog. coord).		0								3.1	8.7	57.4	73.3	9
	0.026	0.005	Ma	5.8	348.6	-82					108.2	-77.5622		166.9776		7	7	6.9446	i	Kristin Lawrence	This study	McMurdo		mc218	mc218b2 : mc218d1 : mc218d2 : mc218i1 : mc218i2 : mc218j1 : mc218j2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc218	A	Site VGPA comp: (geog. coord).		0								9	11.2	85.7	121	7
	1.334	0.122	Ma	1.8	226.9	75.2					862.2	-77.8478		166.6745		9	9	8.9907	i	Kristin Lawrence	This study	McMurdo		mc219	mc219a1 : mc219a2 : mc219b2 : mc219c1 : mc219c2 : mc219d1 : mc219d2 : mc219e1 : mc219e2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc219	A	Site VGPA comp: (geog. coord).		0								1.5	3.5	-68.7	56.4	9
	0.531	0.02	Ma	2.1	21.9	-82.9					516.1	-77.457		166.9101		10	10	9.9826	i	Kristin Lawrence	This study	McMurdo		mc220	mc220a1 : mc220a2 : mc220b1 : mc220b2 : mc220c1 : mc220c2 : mc220d1 : mc220d2 : mc220e1 : mc220f2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc220	A	Site VGPA comp: (geog. coord).		0								3.7	4.1	84.8	251.7	10
	0.121	0.005	Ma	3.2	275.7	-82.8					470.3	-77.5161		166.798		6	6	5.9904	i	Kristin Lawrence	This study	McMurdo		mc221	mc221b1 : mc221c1 : mc221d2 : mc221h2 : mc221i2 : mc221j2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc221	A	Site VGPA comp: (geog. coord).		0								5.5	6.2	72.2	39.5	6
	0.11	0.006	Ma	4.1	190.4	-52.7					273.9	-77.5389		166.8485		6	6	5.9836	i	Kristin Lawrence	This study	McMurdo		mc222	mc222a1 : mc222b1 : mc222c1 : mc222e1 : mc222h2 : mc222j2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc222	A	Site VGPA comp: (geog. coord).		0								1.5	7.9	21	356.2	6
	0.378	0.014	Ma	2.7	73.2	-85.6					327.9	-77.6583		166.7863		10	10	9.9726	i	Kristin Lawrence	This study	McMurdo		mc223	mc223a1 : mc223a2 : mc223b1 : mc223c1 : mc223c2 : mc223d1 : mc223e1 : mc223f1 : mc223g1 : mc223l1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc223	A	Site VGPA comp: (geog. coord).		0								7.5	5.2	77.1	305.9	10
	0.033	0.006	Ma	2.5	190.2	-61.6					927.2	-77.5305		166.8839		5	5	4.9957	i	Kristin Lawrence	This study	McMurdo		mc224	mc224a1 : mc224b2 : mc224c2 : mc224e2 : mc224f2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc224	A	Site VGPA comp: (geog. coord).		0								1.1	4.8	30.5	355.6	5
	0.057	0.005	Ma	1.9	114.6	-74.8					928.1	-77.5805		166.8016		8	8	7.9941	i	Kristin Lawrence	This study	McMurdo		mc225	mc225a1 : mc225a2 : mc225c2 : mc225d1 : mc225d2 : mc225f2 : mc225g2 : mc225i1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc225	A	Site VGPA comp: (geog. coord).		0								1.6	3.7	54.6	298.2	8
	0.243	0.001	Ma	1.6	17.9	-51.8					2216.5	-77.6136		166.7657		5	5	4.9982	i	Kristin Lawrence	This study	McMurdo		mc226	mc226a1 : mc226b2 : mc226d2 : mc226f2 : mc226g2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc226	A	Site VGPA comp: (geog. coord).		0								0.6	3.1	44.1	187.9	5
	4.5	0.3	Ma	1.4	220.3	60.3					2807.9	-77.2706		166.7328		5	5	4.9986	i	Kristin Lawrence	This study	McMurdo		mc227	mc227b2 : mc227c2 : mc227d2 : mc227f2 : mc227h2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc227	A	Site VGPA comp: (geog. coord).		0								0.6	2.7	-50.3	36.3	5
	2.5	2.5	Ma	2.9	217.5	63.9					276.7	-77.2669		166.3774		10	10	9.9675	i	Kristin Lawrence	This study	McMurdo		mc228	mc228a1 : mc228a2 : mc228b1 : mc228b2 : mc228d1 : mc228d2 : mc228e1 : mc228e2 : mc228g1 : mc228g2	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc228	A	Site VGPA comp: (geog. coord).		0								1.5	5.6	-55	34.3	10
	1.07	0.09	Ma	3	100	73					346.4	-77.4828		167.1543		8	8	7.9798	i	Kristin Lawrence	This study	McMurdo		mc229	mc229a2 : mc229b1 : mc229b2 : mc229e2 : mc229g1 : mc229g2 : mc229i1 : mc229k1	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc229	A	Site VGPA comp: (geog. coord).		0								2.2	5.8	-58.5	246.5	8
	4	4	Ma	3.8	13.4	-55.8					217.7	-78.21		166.57		8	8	7.9678	i	Kristin Lawrence	This study	McMurdo		mc26	mc26a : mc26b : mc26c : mc26d : mc26e : mc26f : mc26g : mc26h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc26	A	Site VGPA comp: (geog. coord).		0								1.4	7.4	47.7	182.7	8
	0.06	0.003	Ma	6.7	80.4	-84.1					82.1	-78.29		164.73		7	7	6.9269	i	Kristin Lawrence	This study	McMurdo		mc28	mc28a : mc28b : mc28c : mc28d : mc28f : mc28g : mc28h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc28	A	Site VGPA comp: (geog. coord).		0								13.2	13	75	294.4	7
	0.18	0.04	Ma	3	12	-78.7					395.5	-78.31		164.8		7	7	6.9848	i	Kristin Lawrence	This study	McMurdo		mc29	mc29a : mc29b : mc29c : mc29e : mc29f : mc29g : mc29h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc29	A	Site VGPA comp: (geog. coord).		0								3.1	5.8	79.4	189.6	7
	4	4	Ma	4.7	242.7	68.3					141.2	-78.34		164.87		8	8	7.9504	i	Kristin Lawrence	This study	McMurdo		mc30	mc30a : mc30b : mc30c : mc30d : mc30e : mc30f : mc30g : mc30h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc30	A	Site VGPA comp: (geog. coord).		0								2.6	9.1	-55.5	62.5	8
	4	4	Ma	3.2	298.7	-86.1					586.8	-78.34		164.28		5	5	4.9932	i	Kristin Lawrence	This study	McMurdo		mc31	mc31b : mc31c : mc31d : mc31f : mc31h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc31	A	Site VGPA comp: (geog. coord).		0								9.5	6.2	79.6	25.2	5
	4	4	Ma	3.2	265	-74.6					346.5	-78.36		164.3		7	7	6.9827	i	Kristin Lawrence	This study	McMurdo		mc32	mc32a : mc32b : mc32d : mc32e : mc32f : mc32g : mc32h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc32	A	Site VGPA comp: (geog. coord).		0								2.4	6.2	58.1	49.9	7
	4	4	Ma	3	9.6	-75.7					349.4	-78.38		164.34		8	8	7.98	i	Kristin Lawrence	This study	McMurdo		mc33	mc33a : mc33b : mc33c : mc33d : mc33e : mc33f : mc33g : mc33h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc33	A	Site VGPA comp: (geog. coord).		0								2.4	5.8	74.3	180.6	8
	4	4	Ma	3.4	279	-81.4					309.9	-78.39		164.27		7	7	6.9806	i	Kristin Lawrence	This study	McMurdo		mc34	mc34a : mc34b : mc34c : mc34d : mc34e : mc34f : mc34h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc34	A	Site VGPA comp: (geog. coord).		0								4.6	6.6	71.2	46.9	7
	0.12	0.01	Ma	3.4	293.6	-84					273	-78.39		164.23		8	8	7.9744	i	Kristin Lawrence	This study	McMurdo		mc35	mc35a : mc35b : mc35c : mc35d : mc35e : mc35f : mc35g : mc35h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc35	A	Site VGPA comp: (geog. coord).		0								6.5	6.6	77.2	42.6	8
	0.12	0.01	Ma	5	349.1	-83					149.2	-78.39		164.27		7	7	6.9598	i	Kristin Lawrence	This study	McMurdo		mc36	mc36a : mc36b : mc36d : mc36e : mc36f : mc36g : mc36h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc36	A	Site VGPA comp: (geog. coord).		0								8.3	9.7	86.8	111.2	7
	4.47	0.02	Ma	3.2	210.6	82.2					300.6	-78.4		164.27		8	8	7.9767	i	Kristin Lawrence	This study	McMurdo		mc37	mc37a : mc37b : mc37c : mc37d : mc37e : mc37f : mc37g : mc37h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc37	A	Site VGPA comp: (geog. coord).		0								4.7	6.2	-82.1	62.2	8
	4	4	Ma	3.8	296.5	-78					258.4	-78.4		164.21		7	7	6.9768	i	Kristin Lawrence	This study	McMurdo		mc38	mc38a : mc38b : mc38c : mc38e : mc38f : mc38g : mc38h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc38	A	Site VGPA comp: (geog. coord).		0								3.7	7.4	69.5	71.9	7
	0.084	0.004	Ma	4.1	263.1	-85.9					188	-78.39		164.21		8	8	7.9654	i	Kristin Lawrence	This study	McMurdo		mc39	mc39a : mc39b : mc39c : mc39d : mc39e : mc39f : mc39g : mc39h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc39	A	Site VGPA comp: (geog. coord).		0								11.5	8	75.1	17.3	8
	4	4	Ma	5.1	192.7	-83.1					140.5	-78.39		164.2		7	7	6.9573	i	Kristin Lawrence	This study	McMurdo		mc40	mc40a : mc40b : mc40c : mc40e : mc40f : mc40g : mc40h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc40	A	Site VGPA comp: (geog. coord).		0								8.5	9.9	64.9	351.2	7
	0.28	0.01	Ma	6.3	270.9	-78.1					114.5	-78.39		164.2		6	6	5.9563	i	Kristin Lawrence	This study	McMurdo		mc41	mc41b : mc41c : mc41d : mc41e : mc41f : mc41h	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc41	A	Site VGPA comp: (geog. coord).		0								6.1	12.2	64.7	49.4	6
	4	4	Ma	5.1	291.8	-87.8					177.1	-78.37		164.24		6	6	5.9746	i	Kristin Lawrence	This study	McMurdo		mc43	mc43a : mc43b : mc43c : mc43e : mc43f : mc43g	LP-DC5:DE-FM:DE-DI	pmagpy-2.60		DE-SITE	VGP: Site (geog. coord) A comp: mc43	A	Site VGPA comp: (geog. coord).		0								26.8	9.9	79.2	6.6	6
