tab	er_specimens
0.001296592	318-U1357A-003H-1-W-55
0.001959392	318-U1357A-003H-1-W-65
0.000818592	318-U1357A-003H-1-W-75
0.001155692	318-U1357A-003H-1-W-82
0.002027192	318-U1357A-003H-1-W-95
0.001581392	318-U1357A-003H-1-W-105
0.000980192	318-U1357A-003H-1-W-115
0.002331892	318-U1357A-003H-1-W-125
0.001234592	318-U1357A-003H-1-W-135
0.000976792	318-U1357A-003H-1-W-145
0.001000292	318-U1357A-003H-2-W-5
0.001287692	318-U1357A-003H-2-W-15
0.001319692	318-U1357A-003H-2-W-22
0.000956492	318-U1357A-003H-2-W-35
0.000914792	318-U1357A-003H-2-W-42
0.002466392	318-U1357A-003H-2-W-55
0.001345792	318-U1357A-003H-2-W-65
0.001806992	318-U1357A-003H-2-W-72
0.001231092	318-U1357A-003H-2-W-85
0.000611092	318-U1357A-003H-2-W-93
0.001518092	318-U1357A-003H-2-W-105
0.001227592	318-U1357A-003H-2-W-115
0.001852192	318-U1357A-003H-2-W-125
0.000833992	318-U1357A-003H-2-W-135
0.001745892	318-U1357A-003H-2-W-145
0.002909792	318-U1357A-003H-3-W-5
0.002127892	318-U1357A-003H-3-W-15
0.002004392	318-U1357A-003H-3-W-25
0.001474392	318-U1357A-003H-3-W-35
0.001015892	318-U1357A-003H-3-W-45
0.000555992	318-U1357A-003H-3-W-53
0.001433592	318-U1357A-003H-3-W-65
0.000792792	318-U1357A-003H-3-W-75
0.001530092	318-U1357A-003H-3-W-85
0.002030792	318-U1357A-003H-3-W-95
0.001498792	318-U1357A-003H-3-W-105
0.002174992	318-U1357A-003H-3-W-115
0.000723492	318-U1357A-003H-3-W-125
0.001591092	318-U1357A-003H-3-W-135
0.001161292	318-U1357A-003H-3-W-145
0.000659892	318-U1357A-003H-4-W-5
0.001599792	318-U1357A-003H-4-W-15
0.001559792	318-U1357A-003H-4-W-25
0.001554092	318-U1357A-003H-4-W-35
0.001099692	318-U1357A-003H-4-W-45
0.001354492	318-U1357A-003H-4-W-55
0.000921492	318-U1357A-003H-4-W-65
0.002173692	318-U1357A-003H-4-W-75
0.002122092	318-U1357A-003H-4-W-85
0.001924192	318-U1357A-003H-4-W-95
0.001160792	318-U1357A-003H-4-W-105
0.001962592	318-U1357A-003H-4-W-115
0.001740492	318-U1357A-003H-4-W-125
0.000845892	318-U1357A-003H-4-W-135
0.001043492	318-U1357A-003H-4-W-145
0.001535492	318-U1357A-003H-5-W-5
0.001783692	318-U1357A-003H-5-W-15
0.002308892	318-U1357A-003H-5-W-25
0.001557592	318-U1357A-003H-5-W-35
0.002559992	318-U1357A-003H-5-W-45
0.002488892	318-U1357A-003H-5-W-55
0.001820692	318-U1357A-003H-5-W-65
0.002152392	318-U1357A-003H-5-W-78
0.001739192	318-U1357A-003H-5-W-85
0.002003492	318-U1357A-003H-5-W-95
0.002008392	318-U1357A-003H-5-W-105
0.002008792	318-U1357A-003H-5-W-115
0.002384992	318-U1357A-003H-5-W-125
0.003224392	318-U1357A-003H-5-W-135
0.001071092	318-U1357A-003H-5-W-145
0.002153892	318-U1357A-003H-6-W-5
0.001893092	318-U1357A-003H-6-W-15
0.001445692	318-U1357A-003H-6-W-25
0.001363892	318-U1357A-003H-6-W-35
0.002719492	318-U1357A-003H-6-W-45
0.001327392	318-U1357A-003H-6-W-55
0.001701892	318-U1357A-003H-6-W-65
0.001487892	318-U1357A-003H-6-W-75
0.001369092	318-U1357A-003H-6-W-85
0.002212292	318-U1357A-003H-6-W-97
0.003806592	318-U1357A-003H-6-W-105
0.002535692	318-U1357A-003H-6-W-115
0.001765692	318-U1357A-003H-6-W-125
0.002905292	318-U1357A-003H-6-W-135
0.002226492	318-U1357A-003H-6-W-145
0.001918692	318-U1357A-003H-7-W-5
0.001597692	318-U1357A-003H-7-W-15
0.001335192	318-U1357A-003H-7-W-25
0.001158592	318-U1357A-003H-7-W-35
0.001001992	318-U1357A-003H-7-W-45
0.002164192	318-U1357A-003H-7-W-55
0.001084392	318-U1357A-004H-1-W-10
0.000994392	318-U1357A-003H-7-W-62
0.001456592	318-U1357A-004H-1-W-20
0.001251492	318-U1357A-003H-7-W-75
0.001584592	318-U1357A-004H-1-W-30
0.001645392	318-U1357A-003H-7-W-85
0.002129292	318-U1357A-004H-1-W-40
0.000791592	318-U1357A-003H-CC-W-3
0.002734592	318-U1357A-004H-1-W-50
0.001973792	318-U1357A-003H-CC-W-15
0.001578692	318-U1357A-004H-1-W-60
0.001587992	318-U1357A-003H-CC-W-25
0.001950592	318-U1357A-004H-1-W-73
0.001585392	318-U1357A-004H-1-W-80
0.001759392	318-U1357A-004H-1-W-90
0.001164392	318-U1357A-004H-1-W-100
0.001788592	318-U1357A-004H-1-W-110
0.002396792	318-U1357A-004H-1-W-120
0.000930192	318-U1357A-004H-1-W-130
0.001835392	318-U1357A-004H-1-W-140
0.001746292	318-U1357A-004H-2-W-5
0.001214292	318-U1357A-004H-2-W-15
0.001295292	318-U1357A-004H-2-W-25
0.001221292	318-U1357A-004H-2-W-35
0.001454292	318-U1357A-004H-2-W-45
0.002437292	318-U1357A-004H-2-W-55
0.002381292	318-U1357A-004H-2-W-65
0.002110292	318-U1357A-004H-2-W-75
0.003764292	318-U1357A-004H-2-W-85
0.001442292	318-U1357A-004H-2-W-95
0.002553292	318-U1357A-004H-2-W-105
0.002191292	318-U1357A-004H-2-W-115
0.001036292	318-U1357A-004H-2-W-125
0.001625292	318-U1357A-004H-2-W-135
0.001206292	318-U1357A-004H-2-W-145
0.001642792	318-U1357A-004H-3-W-5
0.002118292	318-U1357A-004H-3-W-15
0.000977292	318-U1357A-004H-3-W-25
0.001990292	318-U1357A-004H-3-W-35
0.001136292	318-U1357A-004H-3-W-45
0.002319292	318-U1357A-004H-3-W-55
0.002049292	318-U1357A-004H-3-W-65
0.001709792	318-U1357A-004H-3-W-75
0.001365292	318-U1357A-004H-3-W-85
0.001119292	318-U1357A-004H-3-W-95
0.004773292	318-U1357A-004H-3-W-105
0.001878292	318-U1357A-004H-3-W-115
0.001800292	318-U1357A-004H-3-W-125
0.004443292	318-U1357A-004H-3-W-135
0.002062292	318-U1357A-004H-3-W-148
0.003025492	318-U1357A-004H-4-W-5
0.002772992	318-U1357A-004H-4-W-15
0.002591292	318-U1357A-004H-4-W-25
0.001704992	318-U1357A-004H-4-W-35
0.001379992	318-U1357A-004H-4-W-45
0.001962192	318-U1357A-004H-4-W-55
0.000783592	318-U1357A-004H-4-W-63
0.002466892	318-U1357A-004H-4-W-75
0.000804992	318-U1357A-004H-4-W-85
0.000760092	318-U1357A-004H-4-W-95
0.001468092	318-U1357A-004H-4-W-105
0.001384892	318-U1357A-004H-4-W-115
0.002939492	318-U1357A-004H-4-W-125
0.003098992	318-U1357A-004H-4-W-135
0.002336392	318-U1357A-004H-4-W-145
0.001813992	318-U1357A-004H-5-W-5
0.001813192	318-U1357A-004H-5-W-15
0.002051192	318-U1357A-004H-5-W-25
0.001209392	318-U1357A-004H-5-W-35
0.000860292	318-U1357A-004H-5-W-45
0.001866292	318-U1357A-004H-5-W-57
0.002768292	318-U1357A-004H-5-W-65
0.000825592	318-U1357A-004H-5-W-75
0.001874092	318-U1357A-004H-5-W-85
0.002260692	318-U1357A-004H-5-W-95
0.001780692	318-U1357A-004H-5-W-105
0.002157592	318-U1357A-004H-5-W-115
0.001526692	318-U1357A-004H-5-W-125
0.002402792	318-U1357A-004H-5-W-135
0.000969492	318-U1357A-004H-5-W-145
0.001893492	318-U1357A-004H-6-W-5
0.001527492	318-U1357A-004H-6-W-15
0.001045492	318-U1357A-004H-6-W-25
0.002033292	318-U1357A-004H-6-W-35
0.001432592	318-U1357A-004H-6-W-45
0.002192892	318-U1357A-004H-6-W-57
0.001666792	318-U1357A-004H-6-W-65
0.001419092	318-U1357A-004H-6-W-75
0.001071292	318-U1357A-004H-6-W-85
0.002465992	318-U1357A-004H-6-W-95
0.002026392	318-U1357A-004H-6-W-105
0.001853292	318-U1357A-004H-6-W-115
0.001945992	318-U1357A-004H-6-W-125
0.001291292	318-U1357A-004H-6-W-135
0.002283692	318-U1357A-004H-6-W-145
0.000778492	318-U1357A-004H-7-W-5
0.001250292	318-U1357A-004H-7-W-15
0.002119092	318-U1357A-004H-7-W-25
0.001896092	318-U1357A-004H-7-W-35
0.001832592	318-U1357A-004H-7-W-45
0.002194492	318-U1357A-005H-1-W-5
0.001860092	318-U1357A-004H-7-W-55
0.001660192	318-U1357A-005H-1-W-15
0.002061092	318-U1357A-004H-7-W-65
0.001313892	318-U1357A-004H-7-W-73
0.001526692	318-U1357A-005H-1-W-25
0.001967392	318-U1357A-005H-1-W-35
0.001671092	318-U1357A-004H-7-W-85
0.001763292	318-U1357A-005H-1-W-45
0.001249792	318-U1357A-004H-CC-W-5
0.002971192	318-U1357A-005H-1-W-55
0.002411792	318-U1357A-004H-CC-W-15
0.001928792	318-U1357A-005H-1-W-65
0.002430992	318-U1357A-004H-CC-W-25
0.002955492	318-U1357A-005H-1-W-75
0.001670092	318-U1357A-004H-CC-W-35
0.001697192	318-U1357A-005H-1-W-85
0.001545192	318-U1357A-004H-CC-W-45
0.002057092	318-U1357A-005H-1-W-95
0.002071592	318-U1357A-005H-1-W-105
0.002041392	318-U1357A-005H-1-W-115
0.002474992	318-U1357A-005H-1-W-125
0.002591492	318-U1357A-005H-1-W-135
0.001985692	318-U1357A-005H-1-W-145
0.002185192	318-U1357A-005H-2-W-5
0.001837992	318-U1357A-005H-2-W-15
0.001071692	318-U1357A-005H-2-W-25
0.001597092	318-U1357A-005H-2-W-35
0.001630792	318-U1357A-005H-2-W-45
0.000933792	318-U1357A-005H-2-W-55
0.000914492	318-U1357A-005H-2-W-65
0.001136192	318-U1357A-005H-2-W-75
0.001266092	318-U1357A-005H-2-W-85
0.001665592	318-U1357A-005H-2-W-95
0.001171792	318-U1357A-005H-2-W-105
0.000792392	318-U1357A-005H-2-W-115
0.000695692	318-U1357A-005H-2-W-125
0.001171992	318-U1357A-005H-2-W-135
0.001309092	318-U1357A-005H-2-W-145
0.002089592	318-U1357A-005H-3-W-5
0.004453592	318-U1357A-005H-3-W-15
0.004596892	318-U1357A-005H-3-W-25
0.001962492	318-U1357A-005H-3-W-35
0.002078292	318-U1357A-005H-3-W-45
0.002721792	318-U1357A-005H-3-W-55
0.002454592	318-U1357A-005H-3-W-65
0.002517192	318-U1357A-005H-3-W-75
0.002588992	318-U1357A-005H-3-W-85
0.001741792	318-U1357A-005H-3-W-95
0.002828592	318-U1357A-005H-3-W-105
0.001659692	318-U1357A-005H-3-W-115
0.002638192	318-U1357A-005H-4-W-5
0.002525892	318-U1357A-005H-4-W-15
0.003605792	318-U1357A-005H-4-W-25
0.003835992	318-U1357A-005H-4-W-35
0.002199092	318-U1357A-005H-4-W-45
0.003235992	318-U1357A-005H-4-W-55
0.003395292	318-U1357A-005H-4-W-65
0.002964692	318-U1357A-005H-4-W-75
0.002575592	318-U1357A-005H-4-W-85
0.003006992	318-U1357A-005H-4-W-95
0.002180992	318-U1357A-005H-4-W-105
0.001777392	318-U1357A-005H-4-W-115
0.001880892	318-U1357A-005H-4-W-125
0.001924292	318-U1357A-005H-5-W-5
0.002256492	318-U1357A-005H-5-W-15
0.001502992	318-U1357A-005H-5-W-25
0.001520792	318-U1357A-005H-5-W-35
0.002055192	318-U1357A-005H-5-W-45
0.001451892	318-U1357A-005H-5-W-55
0.001443992	318-U1357A-005H-5-W-65
0.002539292	318-U1357A-005H-5-W-75
0.002146492	318-U1357A-005H-5-W-87
0.002793192	318-U1357A-005H-5-W-95
0.001957892	318-U1357A-005H-5-W-105
0.002137692	318-U1357A-005H-5-W-115
0.001665392	318-U1357A-005H-5-W-125
0.002198692	318-U1357A-005H-5-W-135
0.002847392	318-U1357A-005H-5-W-145
0.002029692	318-U1357A-005H-6-W-5
0.001088192	318-U1357A-005H-6-W-15
0.002086692	318-U1357A-005H-6-W-25
0.001508092	318-U1357A-005H-6-W-35
0.001405892	318-U1357A-005H-6-W-45
0.001106992	318-U1357A-005H-6-W-55
0.001295592	318-U1357A-005H-6-W-65
0.001610992	318-U1357A-005H-6-W-75
0.002195892	318-U1357A-005H-6-W-85
0.003165092	318-U1357A-005H-6-W-95
0.002772592	318-U1357A-005H-6-W-105
0.003539292	318-U1357A-005H-6-W-115
0.001617992	318-U1357A-005H-7-W-5
0.002813392	318-U1357A-005H-7-W-15
0.004273092	318-U1357A-005H-7-W-25
0.005562292	318-U1357A-005H-7-W-35
0.003915392	318-U1357A-005H-7-W-45
0.001458792	318-U1357A-005H-CC-W-5
0.002978892	318-U1357A-005H-CC-W-18
0.002719792	318-U1357A-005H-CC-W-25
0.002626092	318-U1357A-005H-CC-W-35
0.003122292	318-U1357A-006H-1-W-5
0.003597092	318-U1357A-006H-1-W-15
0.002530792	318-U1357A-006H-1-W-25
0.002906392	318-U1357A-006H-1-W-35
0.002118792	318-U1357A-006H-1-W-45
0.004504692	318-U1357A-006H-1-W-55
0.003107792	318-U1357A-006H-1-W-65
0.001271492	318-U1357A-006H-1-W-75
0.002938892	318-U1357A-006H-1-W-85
0.003543392	318-U1357A-006H-1-W-95
0.003233392	318-U1357A-006H-1-W-105
0.003100392	318-U1357A-006H-1-W-115
0.002465792	318-U1357A-006H-1-W-125
0.002004192	318-U1357A-006H-1-W-135
0.001656392	318-U1357A-006H-2-W-5
0.002937192	318-U1357A-006H-2-W-15
0.002925092	318-U1357A-006H-2-W-25
0.001816592	318-U1357A-006H-2-W-35
0.003042392	318-U1357A-006H-2-W-45
0.002347892	318-U1357A-006H-2-W-55
0.002805292	318-U1357A-006H-2-W-65
0.003353292	318-U1357A-006H-2-W-75
0.002594392	318-U1357A-006H-2-W-85
0.002612292	318-U1357A-006H-2-W-95
0.003868892	318-U1357A-006H-2-W-105
0.002942892	318-U1357A-006H-3-W-5
0.002721292	318-U1357A-006H-3-W-15
0.003278192	318-U1357A-006H-3-W-25
0.002002292	318-U1357A-006H-3-W-35
0.002597392	318-U1357A-006H-3-W-45
0.002229992	318-U1357A-006H-3-W-55
0.003165492	318-U1357A-006H-3-W-65
0.002422992	318-U1357A-006H-3-W-75
0.002308492	318-U1357A-006H-3-W-85
0.002366792	318-U1357A-006H-3-W-95
0.002636692	318-U1357A-006H-3-W-105
0.002271792	318-U1357A-006H-3-W-115
0.002817192	318-U1357A-006H-3-W-125
0.003429892	318-U1357A-006H-3-W-135
0.002169792	318-U1357A-006H-3-W-145
0.003345092	318-U1357A-006H-4-W-5
0.003097992	318-U1357A-006H-4-W-15
0.000860892	318-U1357A-006H-4-W-25
0.002651192	318-U1357A-006H-4-W-35
0.002977092	318-U1357A-006H-4-W-45
0.003637892	318-U1357A-006H-4-W-55
0.002591492	318-U1357A-006H-4-W-65
0.003214392	318-U1357A-006H-4-W-75
0.005391492	318-U1357A-006H-4-W-85
0.002890692	318-U1357A-006H-4-W-95
0.002898592	318-U1357A-006H-4-W-105
0.002491592	318-U1357A-006H-4-W-115
0.002492692	318-U1357A-006H-4-W-125
0.002995992	318-U1357A-006H-4-W-135
0.002177492	318-U1357A-006H-4-W-145
0.003266792	318-U1357A-006H-5-W-5
0.002567392	318-U1357A-006H-5-W-15
0.003378592	318-U1357A-006H-5-W-25
0.001987092	318-U1357A-006H-5-W-35
0.002261192	318-U1357A-006H-5-W-45
0.002282092	318-U1357A-006H-5-W-55
0.002969092	318-U1357A-006H-5-W-65
0.003276492	318-U1357A-006H-5-W-75
0.002071592	318-U1357A-006H-5-W-85
0.001973792	318-U1357A-006H-5-W-95
0.002700292	318-U1357A-006H-5-W-105
0.002098892	318-U1357A-006H-5-W-115
0.003431492	318-U1357A-006H-5-W-125
0.004367492	318-U1357A-006H-5-W-135
0.002176692	318-U1357A-006H-5-W-145
0.002528792	318-U1357A-006H-6-W-5
0.003997492	318-U1357A-006H-6-W-15
0.003176492	318-U1357A-006H-6-W-25
0.003206492	318-U1357A-006H-6-W-35
0.003522392	318-U1357A-006H-6-W-45
0.002066592	318-U1357A-006H-6-W-55
0.003529792	318-U1357A-006H-6-W-65
0.004653492	318-U1357A-006H-6-W-75
0.001733092	318-U1357A-006H-6-W-85
0.002975392	318-U1357A-006H-6-W-95
0.002837092	318-U1357A-006H-6-W-105
0.001860992	318-U1357A-006H-6-W-115
0.001547692	318-U1357A-006H-6-W-125
0.002827992	318-U1357A-006H-6-W-135
0.001855992	318-U1357A-006H-6-W-145
0.001411992	318-U1357A-006H-7-W-5
0.000915792	318-U1357A-006H-7-W-15
0.003108592	318-U1357A-006H-7-W-25
0.001908392	318-U1357A-006H-7-W-35
0.002975692	318-U1357A-006H-CC-W-5
0.002480292	318-U1357A-006H-CC-W-10
0.003232292	318-U1357A-007H-1-W-5
0.001996292	318-U1357A-007H-1-W-15
0.003747292	318-U1357A-007H-1-W-25
0.002737292	318-U1357A-007H-1-W-35
0.004595292	318-U1357A-007H-1-W-45
0.003304292	318-U1357A-007H-1-W-55
0.003178292	318-U1357A-007H-1-W-65
0.004170292	318-U1357A-007H-1-W-75
0.054889292	318-U1357A-007H-2-W-5
0.002484292	318-U1357A-007H-2-W-15
0.005330292	318-U1357A-007H-2-W-25
0.002367292	318-U1357A-007H-2-W-35
0.003456292	318-U1357A-007H-2-W-45
0.002810292	318-U1357A-007H-2-W-55
0.002668292	318-U1357A-007H-2-W-65
0.002507292	318-U1357A-007H-2-W-75
0.001098292	318-U1357A-007H-2-W-90
0.001452292	318-U1357A-007H-2-W-95
0.002695292	318-U1357A-007H-2-W-105
0.005225292	318-U1357A-007H-2-W-115
0.001819292	318-U1357A-007H-2-W-125
0.002091292	318-U1357A-007H-2-W-135
0.004939292	318-U1357A-007H-2-W-145
0.003615292	318-U1357A-007H-3-W-5
0.003549292	318-U1357A-007H-3-W-15
0.001629292	318-U1357A-007H-3-W-25
0.003439292	318-U1357A-007H-3-W-35
0.002482292	318-U1357A-007H-3-W-45
0.002685292	318-U1357A-007H-3-W-55
0.001772292	318-U1357A-007H-3-W-65
0.003345292	318-U1357A-007H-3-W-75
0.002777292	318-U1357A-007H-3-W-95
0.002179292	318-U1357A-007H-3-W-105
0.002173292	318-U1357A-007H-3-W-115
0.002232292	318-U1357A-007H-3-W-135
0.005895292	318-U1357A-007H-3-W-143
0.003314292	318-U1357A-007H-4-W-5
0.003360292	318-U1357A-007H-4-W-15
0.002872292	318-U1357A-007H-4-W-25
0.002212292	318-U1357A-007H-4-W-35
0.001194292	318-U1357A-007H-4-W-45
0.002299292	318-U1357A-007H-4-W-55
0.002098292	318-U1357A-007H-4-W-65
0.002580292	318-U1357A-007H-4-W-75
0.002325292	318-U1357A-007H-4-W-85
0.001619292	318-U1357A-007H-4-W-95
0.002662292	318-U1357A-007H-4-W-105
0.002787292	318-U1357A-007H-4-W-115
0.002911292	318-U1357A-007H-4-W-125
0.002427292	318-U1357A-007H-4-W-135
0.003324292	318-U1357A-007H-4-W-145
0.001669292	318-U1357A-007H-5-W-5
0.002086292	318-U1357A-007H-5-W-15
0.001417292	318-U1357A-007H-5-W-25
0.002225292	318-U1357A-007H-5-W-35
0.002804292	318-U1357A-007H-5-W-45
0.003014292	318-U1357A-007H-5-W-55
0.001348292	318-U1357A-007H-5-W-65
0.001375292	318-U1357A-007H-5-W-75
0.002628292	318-U1357A-007H-5-W-85
0.002421292	318-U1357A-007H-5-W-95
0.001745292	318-U1357A-007H-5-W-105
0.002255292	318-U1357A-007H-5-W-115
0.002597292	318-U1357A-007H-5-W-124
0.002310292	318-U1357A-007H-5-W-135
0.002722292	318-U1357A-007H-5-W-145
0.003530292	318-U1357A-007H-6-W-5
0.002815992	318-U1357A-007H-6-W-15
0.003969492	318-U1357A-007H-6-W-25
0.002476992	318-U1357A-007H-6-W-35
0.002117592	318-U1357A-007H-6-W-45
0.001847192	318-U1357A-007H-6-W-55
0.003107992	318-U1357A-007H-6-W-65
0.001827892	318-U1357A-007H-6-W-75
0.002158792	318-U1357A-007H-6-W-85
0.002393092	318-U1357A-007H-6-W-95
0.003287692	318-U1357A-007H-6-W-105
0.003770492	318-U1357A-007H-6-W-115
0.005037692	318-U1357A-007H-6-W-125
0.001560892	318-U1357A-007H-6-W-135
0.002993592	318-U1357A-007H-6-W-145
0.004577692	318-U1357A-007H-7-W-5
0.003623192	318-U1357A-007H-7-W-15
0.002358192	318-U1357A-007H-7-W-25
0.002218992	318-U1357A-007H-7-W-35
0.003405592	318-U1357A-007H-7-W-45
0.002952292	318-U1357A-007H-7-W-55
0.001727092	318-U1357A-007H-7-W-65
0.001971992	318-U1357A-007H-7-W-75
0.002937692	318-U1357A-007H-7-W-85
0.002389392	318-U1357A-007H-7-W-93
0.003576792	318-U1357A-007H-7-W-105
0.005335092	318-U1357A-007H-7-W-115
0.002421492	318-U1357A-007H-CC-W-5
0.002882292	318-U1357A-008H-1-W-5
0.003016792	318-U1357A-007H-CC-W-15
0.002275292	318-U1357A-008H-1-W-15
0.002181192	318-U1357A-007H-CC-W-25
0.001782292	318-U1357A-008H-1-W-25
0.000816292	318-U1357A-008H-1-W-35
0.004193292	318-U1357A-008H-1-W-45
0.006510292	318-U1357A-008H-1-W-55
0.003429292	318-U1357A-008H-1-W-65
0.004247292	318-U1357A-008H-1-W-75
0.004202292	318-U1357A-008H-1-W-85
0.004249292	318-U1357A-008H-1-W-93
0.003815292	318-U1357A-008H-1-W-105
0.004043292	318-U1357A-008H-1-W-115
0.005098292	318-U1357A-008H-1-W-125
0.002612292	318-U1357A-008H-1-W-135
0.003262292	318-U1357A-008H-2-W-5
0.003774292	318-U1357A-008H-2-W-15
0.003887292	318-U1357A-008H-2-W-25
0.002069292	318-U1357A-008H-2-W-35
0.002702292	318-U1357A-008H-3-W-5
0.002340292	318-U1357A-008H-3-W-15
0.008849292	318-U1357A-008H-3-W-25
0.004499292	318-U1357A-008H-3-W-35
0.004188292	318-U1357A-008H-3-W-48
0.004460292	318-U1357A-008H-3-W-55
0.003563292	318-U1357A-008H-3-W-65
0.006244292	318-U1357A-008H-3-W-75
0.003117292	318-U1357A-008H-3-W-85
0.005127292	318-U1357A-008H-3-W-95
0.005109292	318-U1357A-008H-3-W-107
0.003058292	318-U1357A-008H-3-W-115
0.004492292	318-U1357A-008H-3-W-125
0.001941292	318-U1357A-008H-3-W-136
0.002257292	318-U1357A-008H-3-W-145
0.002489292	318-U1357A-008H-4-W-5
0.001715292	318-U1357A-008H-4-W-14
0.001920292	318-U1357A-008H-4-W-25
0.003645292	318-U1357A-008H-4-W-32
0.003341292	318-U1357A-008H-4-W-45
0.002595292	318-U1357A-008H-4-W-54
0.001702292	318-U1357A-008H-4-W-65
0.002523292	318-U1357A-008H-4-W-75
0.001687292	318-U1357A-008H-5-W-5
0.001036292	318-U1357A-008H-5-W-15
0.001933292	318-U1357A-008H-5-W-25
0.001086292	318-U1357A-008H-5-W-37
0.001719292	318-U1357A-008H-5-W-45
0.002603292	318-U1357A-008H-5-W-56
0.001921292	318-U1357A-008H-5-W-65
0.002024292	318-U1357A-008H-5-W-75
0.002278292	318-U1357A-008H-5-W-85
0.003474292	318-U1357A-008H-5-W-95
0.002923292	318-U1357A-008H-5-W-102
0.003593292	318-U1357A-008H-6-W-5
0.004199292	318-U1357A-008H-6-W-15
0.001920292	318-U1357A-008H-6-W-25
0.001069292	318-U1357A-008H-6-W-35
0.002293292	318-U1357A-008H-6-W-46
0.002780292	318-U1357A-008H-6-W-55
0.002133292	318-U1357A-008H-6-W-65
0.001352292	318-U1357A-008H-6-W-75
0.002905292	318-U1357A-008H-6-W-85
0.002623292	318-U1357A-008H-6-W-95
0.002554292	318-U1357A-008H-6-W-105
