tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_lat	sample_lithology	sample_lon	sample_type
This study	318	U1359C		318-U1359C-001H_2A-1.05	318-U1359C-001H_2A-1.05	FS-C-DRILL-IODP:SO-V	0			Sedimentary	2.55	2.55		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_2A-1.1	318-U1359C-001H_2A-1.1	FS-C-DRILL-IODP:SO-V	0			Sedimentary	2.6	2.6		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_2A-1.15	318-U1359C-001H_2A-1.15	FS-C-DRILL-IODP:SO-V	0			Sedimentary	2.65	2.65		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_2A-1.2	318-U1359C-001H_2A-1.2	FS-C-DRILL-IODP:SO-V	0			Sedimentary	2.7	2.7		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_2A-1.25	318-U1359C-001H_2A-1.25	FS-C-DRILL-IODP:SO-V	0			Sedimentary	2.75	2.75		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_2A-1.3	318-U1359C-001H_2A-1.3	FS-C-DRILL-IODP:SO-V	0			Sedimentary	2.8	2.8		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_2A-1.35	318-U1359C-001H_2A-1.35	FS-C-DRILL-IODP:SO-V	0			Sedimentary	2.85	2.85		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_2A-1.4	318-U1359C-001H_2A-1.4	FS-C-DRILL-IODP:SO-V	0			Sedimentary	2.9	2.9		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_4A-0.1	318-U1359C-001H_4A-0.1	FS-C-DRILL-IODP:SO-V	0			Sedimentary	4.6	4.6		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_4A-0.15	318-U1359C-001H_4A-0.15	FS-C-DRILL-IODP:SO-V	0			Sedimentary	4.65	4.65		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_4A-0.2	318-U1359C-001H_4A-0.2	FS-C-DRILL-IODP:SO-V	0			Sedimentary	4.7	4.7		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_4A-0.25	318-U1359C-001H_4A-0.25	FS-C-DRILL-IODP:SO-V	0			Sedimentary	4.75	4.75		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_4A-0.3	318-U1359C-001H_4A-0.3	FS-C-DRILL-IODP:SO-V	0			Sedimentary	4.8	4.8		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_4A-0.35	318-U1359C-001H_4A-0.35	FS-C-DRILL-IODP:SO-V	0			Sedimentary	4.85	4.85		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_4A-0.4	318-U1359C-001H_4A-0.4	FS-C-DRILL-IODP:SO-V	0			Sedimentary	4.9	4.9		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_4A-0.45	318-U1359C-001H_4A-0.45	FS-C-DRILL-IODP:SO-V	0			Sedimentary	4.95	4.95		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_4A-0.5	318-U1359C-001H_4A-0.5	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5	5		0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C		318-U1359C-001H_4A-0.55	318-U1359C-001H_4A-0.55	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.05	5.05		0	-64.8541	Not Specified	143.9604	Sediment Layer
