tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Bushveld	bg2.03	bg2	bg2.03		bg2.03:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	190.8		g	-33.5	2.215e-05	16	u	2.730e+02	1.800e-01	5.000e-05	180.0	-45.0	2.730e+02
	This study	Bushveld	bg2.03	bg2	bg2.03		bg2.03:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	196.0		g	-9.5	6.574e-06	17	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.03	bg2	bg2.03		bg2.03:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.4	193.8		g	-67.1	2.147e-05	18	u	2.730e+02	1.800e-01	5.000e-05	0.0	-90.0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	200.5		g	-42.1	1.291e-06	1	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	315.3		g	7.8	1.577e-05	2	u	2.730e+02	1.800e-01	5.000e-05	315.0	0.0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	312.9		g	5.8	4.967e-06	3	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	246.9		g	0.5	1.660e-05	4	u	2.730e+02	1.800e-01	5.000e-05	225.0	0.0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.1	269.1		g	-1.6	5.721e-06	5	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	202.3		g	-2.7	1.641e-05	6	u	2.730e+02	1.800e-01	5.000e-05	180.0	0.0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	208.0		g	-15.2	5.061e-06	7	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	141.8		g	-46.2	1.121e-05	8	u	2.730e+02	1.800e-01	5.000e-05	90.0	-45.0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	166.7		g	-33.3	2.691e-06	9	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.3	259.8		g	-52.1	1.857e-05	10	u	2.730e+02	1.800e-01	5.000e-05	270.0	-45.0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.3	223.8		g	-61.5	5.090e-06	11	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.06	bg2	bg2.06		bg2.06:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	270.4		g	-8.1	1.832e-05	12	u	2.730e+02	1.800e-01	5.000e-05	270.0	0.0	2.730e+02
