tab 	specimens
citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drats	int_f	int_fvds	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.	1	88.9	85.7			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr31a1	0.0001172	-2.929	0.075	0.22	u	9.7	0.209	0.213	2.2	-1	7	5	2.2	0.9721	t	4e-05	673	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr31a	sr31a1
This study	Recalculated from original measurements; supercedes published results.	2.7	96.8	83.4			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr31a2	0.0001163	-2.908	0.066	0.191	u	16.8	0.213	0.211	11	2	7	5	2.5	0.9785	t	4e-05	673	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-TRM:LP-PI-ZI	g	sr31a	sr31a2
This study	Recalculated from original measurements; supercedes published results.	1.4	354.8	70.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr31b3	0.00012	-3	0.076	0.229	u	4.9	0.209	0.209	10.3	2	7	5	2.1	0.9711	t	4e-05	673	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-TRM:LP-PI-ZI	g	sr31b	sr31b3
This study	Recalculated from original measurements; supercedes published results.	0.8	73.1	75.1			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr31c1	9.656e-05	-2.414	0.078	0.188	u	22.4	0.662	0.646	1	-1	5	4	6.2	0.982	t	4e-05	823	673	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr31c	sr31c1
This study	Recalculated from original measurements; supercedes published results.	9.2	271.2	75			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr31d1	0.0001125	-2.813	0.059	0.165	u	3.3	0.234	0.242	4.8	-1	7	4	3.1	0.9829	t	4e-05	673	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr31d	sr31d1
This study	Recalculated from original measurements; supercedes published results.	23.5	109.2	86.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr31f1	0.0001054	-2.634	0.097	0.254	u	16.2	0.287	0.269	5.8	-1	7	4	2.4	0.9539	t	4e-05	673	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr31f	sr31f1
This study	Recalculated from original measurements; supercedes published results.	2.6	34.5	-33.4			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr34b1	7.681e-05	-1.92	0.05	0.096	u	4.2	0.728	0.68	5.7	-1	10	4	11.4	0.98	t	4e-05	798	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr34b	sr34b1
This study	Recalculated from original measurements; supercedes published results.	11.1	47.5	-49.1			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr34c1	0.0001277	-3.193	0.076	0.243	u	30	0.207	0.209	10.2	-1	7	4	2	0.9713	t	4e-05	673	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr34c	sr34c1
This study	Recalculated from original measurements; supercedes published results.	1.5	82.1	-48.3			p	n	-1	LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-TRM : LP-PI-ZI:sr34f3	1.946e-05	-0.487	0.129	0.063	u	7.7	0.449	0.226	2	8	4	5	2.1	0.9671	t	4e-05	848	773	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-TRM:LP-PI-ZI	g	sr34f	sr34f3
This study	Recalculated from original measurements; supercedes published results.	2.5	321.7	-42.8			p	n	-1	LP-PI-ALT-PTRM : LP-PI-TRM : LP-PI-ZI:sr34j1	7.636e-05	-1.909	0.048	0.092	u	11.3	0.708	0.683	3.9	-1	10	4	11.9	0.9814	t	4e-05	798	373	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-TRM:LP-PI-ZI	g	sr34j	sr34j1
