tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	184.0		g	10.8	2.545e-05	28	u	2.730e+02	0	0	0	0	7.930e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	187.4		g	3.1	2.507e-05	29	u	2.730e+02	0	2.500e-05	0.0	90.0	7.730e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.1	184.6		g	-0.1	2.482e-05	30	u	2.730e+02	0	2.500e-05	0.0	90.0	7.930e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.1	184.5		g	-0.8	2.420e-05	31	u	2.730e+02	0	2.500e-05	0.0	90.0	8.030e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.1	188.2		g	9.6	2.436e-05	32	u	2.730e+02	0	0	0	0	8.030e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.1	186.9		g	11.7	2.334e-05	33	u	2.730e+02	0	0	0	0	8.130e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	186.8		g	0.4	2.295e-05	34	u	2.730e+02	0	2.500e-05	0.0	90.0	7.930e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	187.3		g	-2.9	2.267e-05	35	u	2.730e+02	0	2.500e-05	0.0	90.0	8.130e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.4	183.0		g	-7.7	2.150e-05	36	u	2.730e+02	0	2.500e-05	0.0	90.0	8.230e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.1	183.7		g	9.7	2.087e-05	37	u	2.730e+02	0	0	0	0	8.230e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	184.5		g	10.6	1.860e-05	38	u	2.730e+02	0	0	0	0	8.330e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	185.8		g	-7.3	1.853e-05	39	u	2.730e+02	0	2.500e-05	0.0	90.0	8.130e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	183.3		g	-16.8	1.838e-05	40	u	2.730e+02	0	2.500e-05	0.0	90.0	8.330e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	185.4		g	-24.0	1.725e-05	41	u	2.730e+02	0	2.500e-05	0.0	90.0	8.380e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	183.9		g	8.1	1.545e-05	42	u	2.730e+02	0	0	0	0	8.380e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	184.1		g	11.1	1.347e-05	43	u	2.730e+02	0	0	0	0	8.430e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	182.2		g	-26.9	1.489e-05	44	u	2.730e+02	0	2.500e-05	0.0	90.0	8.330e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	185.1		g	-35.2	1.546e-05	45	u	2.730e+02	0	2.500e-05	0.0	90.0	8.430e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	186.6		g	-48.8	1.526e-05	46	u	2.730e+02	0	2.500e-05	0.0	90.0	8.480e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.1	185.8		g	7.3	9.769e-06	47	u	2.730e+02	0	0	0	0	8.480e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.4	184.8		g	10.4	7.958e-06	48	u	2.730e+02	0	0	0	0	8.530e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	184.6		g	-53.1	1.326e-05	49	u	2.730e+02	0	2.500e-05	0.0	90.0	8.430e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.4	177.3		g	-60.9	1.517e-05	50	u	2.730e+02	0	2.500e-05	0.0	90.0	8.530e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	186.1		g	9.8	5.398e-06	51	u	2.730e+02	0	0	0	0	8.580e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	184.6		g	-66.9	1.374e-05	52	u	2.730e+02	0	2.500e-05	0.0	90.0	8.480e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.4	185.1		g	-74.2	1.649e-05	53	u	2.730e+02	0	2.500e-05	0.0	90.0	8.580e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	184.4		g	7.6	2.910e-06	54	u	2.730e+02	0	0	0	0	8.630e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	180.9		g	-79.7	1.720e-05	55	u	2.730e+02	0	2.500e-05	0.0	90.0	8.630e+02
