tab	sites
site	location	samples	specimens	age	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	description	software_packages	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	citations	method_codes	result_quality	result_type	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
mc106	McMurdo		mc106b1 : mc106c1 : mc106d1 : mc106e1:mc106a1	13.42	0.09	Ma	3.8		19.5	-76.7	410.8	5.0			p	n	4.9903	0.0	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc106, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							3.4	7.4	75.3	197.5	5.0
mc107	McMurdo		mc107d2 : mc107e1 : mc107e2 : mc107h1 : mc107k1 : mc107l1:mc107c1	2.57	0.19	Ma	2.0	A	96.0	-84.8	1007.6	7.0	5.0	2.0	p	n	6.995	0.0	-78.204	163.347	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc107	McMurdo	mc107e	mc107e2	2.57	0.19	Ma													-78.204	163.347	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	1.524e-05	0.0	0.0	1.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc107	McMurdo		mc107d2 : mc107e1 : mc107e2 : mc107h1 : mc107k1 : mc107l1:mc107c1	2.57	0.19	Ma	2.0		96.0	-84.8	1007.6	7.0			p	n	6.995	0.0	-78.204	163.347	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc107, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							4.5	3.9	73.6	304.3	7.0
mc108	McMurdo		mc108b1 : mc108d1 : mc108g2 : mc108k1:mc108a1	0.41	0.07	Ma	3.8	A	69.8	-72.4	403.2	5.0	5.0	0.0	p	n	4.9901	0.0	-78.247	163.32299999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc108	McMurdo		mc108b1 : mc108d1 : mc108g2 : mc108k1:mc108a1	0.41	0.07	Ma	3.8		69.8	-72.4	403.2	5.0			p	n	4.9901	0.0	-78.247	163.32299999999998	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc108, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.6	7.4	59.8	252.3	5.0
mc109	McMurdo		mc109a2 : mc109c1 : mc109d1 : mc109e1 : mc109i1:mc109a1	1.261	0.02	Ma	3.1	A	174.6	75.4	477.4	6.0	6.0	0.0	p	r	5.9895	0.0	-78.282	163.54399999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc109	McMurdo	mc109c : mc109d:mc109a	mc109c1 : mc109d1:mc109a1	1.261	0.02	Ma													-78.282	163.54399999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	3.48e-05	1.152e-06	3.3089999999999997	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc109	McMurdo		mc109a2 : mc109c1 : mc109d1 : mc109e1 : mc109i1:mc109a1	1.261	0.02	Ma	3.1		174.6	75.4	477.4	6.0			p	n	5.9895	0.0	-78.282	163.54399999999998	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc109, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.5	6.0	-74.1	334.4	6.0
mc109	McMurdo	mc109c : mc109d:mc109a	mc109c1 : mc109d1:mc109a1	1.261	0.02	Ma													-78.282	163.54399999999998	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc109, Site V [A] DM.	pmagpy-2.60	3.48e-05	1.152e-06	3.3089999999999997	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	4.571e+22	3.0	1.512e+21	4.91e+22	3.0	1.625e+21					
mc11	McMurdo		mc11b : mc11c : mc11d : mc11e : mc11f : mc11g : mc11h:mc11a	4.0	4.0	Ma	2.2	A	327.1	-77.1	621.8	8.0	8.0	0.0	p	n	7.9887	0.0	-77.57	166.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc11	McMurdo	mc11c : mc11e:mc11b	mc11c : mc11e:mc11b	4.0	4.0	Ma													-77.57	166.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	4.328e-05	1.135e-05	26.23	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
mc11	McMurdo		mc11b : mc11c : mc11d : mc11e : mc11f : mc11g : mc11h:mc11a	4.0	4.0	Ma	2.2		327.1	-77.1	621.8	8.0			p	n	7.9887	0.0	-77.57	166.23	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc11, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.1	4.2	74.4	109.0	8.0
mc110	McMurdo		mc110b2 : mc110d1 : mc110g1 : mc110i1:mc110a2	7.94	0.12	Ma	5.2	A	253.5	79.6	218.2	5.0	5.0	0.0	p	r	4.9817	0.0	-78.238	163.44299999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc110	McMurdo		mc110b2 : mc110d1 : mc110g1 : mc110i1:mc110a2	7.94	0.12	Ma	5.2		253.5	79.6	218.2	5.0			p	n	4.9817	0.0	-78.238	163.44299999999998	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc110, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							5.9	10.1	-69.9	89.6	5.0
mc111	McMurdo		mc111b1 : mc111d1 : mc111d2 : mc111e1 : mc111e2 : mc111f1:mc111a2	1.99	0.02	Ma	1.7	A	47.9	-67.6	1243.3	7.0	7.0	0.0	p	n	6.9952	0.0	-78.22399999999999	162.787	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc111	McMurdo	mc111e:mc111d	mc111e2:mc111d2	1.99	0.02	Ma													-78.22399999999999	162.787	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	2.7899999999999997e-05	4.299e-07	1.541	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc111	McMurdo		mc111b1 : mc111d1 : mc111d2 : mc111e1 : mc111e2 : mc111f1:mc111a2	1.99	0.02	Ma	1.7		47.9	-67.6	1243.3	7.0			p	n	6.9952	0.0	-78.22399999999999	162.787	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc111, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							0.9	3.3	57.4	223.9	7.0
mc111	McMurdo	mc111e:mc111d	mc111e2:mc111d2	1.99	0.02	Ma													-78.22399999999999	162.787	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc111, Site V [A] DM.	pmagpy-2.60	2.7899999999999997e-05	4.299e-07	1.541	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	3.665e+22	2.0	5.648e+20	4.322e+22	2.0	6.66e+20					
mc112	McMurdo		mc112d1 : mc112g1 : mc112h3 : mc112j1:mc112a1	7.63	0.16	Ma	5.2	A	232.9	75.7	220.9	5.0	5.0	0.0	p	r	4.9819	0.0	-78.238	163.441	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc112	McMurdo		mc112d1 : mc112g1 : mc112h3 : mc112j1:mc112a1	7.63	0.16	Ma	5.2		232.9	75.7	220.9	5.0			p	n	4.9819	0.0	-78.238	163.441	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc112, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							4.3	10.1	-68.1	60.0	5.0
mc113	McMurdo		mc113b1 : mc113c1 : mc113h1 : mc113j1 : mc113m1:mc113a1	6.73	0.085	Ma	3.0	A	264.4	75.4	504.1	6.0	6.0	0.0	p	r	5.9901	0.0	-78.226	162.735	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc113	McMurdo	mc113m:mc113j	mc113m1:mc113j1	6.73	0.085	Ma													-78.226	162.735	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	1.182e-05	4.5399999999999996e-07	3.842	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc113	McMurdo		mc113b1 : mc113c1 : mc113h1 : mc113j1 : mc113m1:mc113a1	6.73	0.085	Ma	3.0		264.4	75.4	504.1	6.0			p	n	5.9901	0.0	-78.226	162.735	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc113, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.4	5.8	-61.3	89.3	6.0
mc113	McMurdo	mc113m:mc113j	mc113m1:mc113j1	6.73	0.085	Ma													-78.226	162.735	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc113, Site V [A] DM.	pmagpy-2.60	1.182e-05	4.5399999999999996e-07	3.842	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	1.553e+22	2.0	5.964e+20	1.667e+22	2.0	6.405e+20					
mc114	McMurdo		mc114b2 : mc114c1 : mc114d2 : mc114i1:mc114a1	1.62	0.14	Ma	3.1	A	52.4	-69.7	614.0	5.0	5.0	0.0	p	n	4.9935	0.0	-78.22399999999999	162.783	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc114	McMurdo		mc114b2 : mc114c1 : mc114d2 : mc114i1:mc114a1	1.62	0.14	Ma	3.1		52.4	-69.7	614.0	5.0			p	n	4.9935	0.0	-78.22399999999999	162.783	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc114, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							1.8	6.0	59.4	230.7	5.0
mc115	McMurdo		mc115a2 : mc115b1 : mc115e1 : mc115g2 : mc115h1:mc115a1	2.46	0.155	Ma	3.5	A	77.7	68.1	359.2	6.0	6.0	0.0	p	r	5.9861	0.0	-78.243	162.958	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc115	McMurdo	mc115b:mc115a	mc115b1:mc115a2	2.46	0.155	Ma													-78.243	162.958	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	2.461e-05	4.299e-07	1.7469999999999999	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc115	McMurdo		mc115a2 : mc115b1 : mc115e1 : mc115g2 : mc115h1:mc115a1	2.46	0.155	Ma	3.5		77.7	68.1	359.2	6.0			p	n	5.9861	0.0	-78.243	162.958	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc115, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							1.9	6.8	-47.4	227.7	6.0
mc115	McMurdo	mc115b:mc115a	mc115b1:mc115a2	2.46	0.155	Ma													-78.243	162.958	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc115, Site V [A] DM.	pmagpy-2.60	2.461e-05	4.299e-07	1.7469999999999999	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	3.233e+22	2.0	5.647e+20	3.788e+22	2.0	6.618e+20					
mc116	McMurdo		mc116b1 : mc116c1 : mc116i2 : mc116j2:mc116a1	1.14	0.055	Ma	6.5	A	274.6	-81.2	139.7	5.0	5.0	0.0	p	n	4.9714	0.0	-78.222	162.744	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc116	McMurdo	mc116j:mc116b	mc116j2:mc116b1	1.14	0.055	Ma													-78.222	162.744	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	3.977e-05	1.761e-06	4.427	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc116	McMurdo		mc116b1 : mc116c1 : mc116i2 : mc116j2:mc116a1	1.14	0.055	Ma	6.5		274.6	-81.2	139.7	5.0			p	n	4.9714	0.0	-78.222	162.744	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc116, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							8.7	12.6	70.0	42.5	5.0
mc116	McMurdo	mc116j:mc116b	mc116j2:mc116b1	1.14	0.055	Ma													-78.222	162.744	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc116, Site V [A] DM.	pmagpy-2.60	3.977e-05	1.761e-06	4.427	2.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	5.224e+22	2.0	2.313e+21	5.32e+22	2.0	2.355e+21					
mc117	McMurdo		mc117a2 : mc117b1 : mc117d2 : mc117e2 : mc117h1:mc117a1	2.28	0.12	Ma	1.2	A	164.5	70.0	3152.4	6.0	6.0	0.0	p	r	5.9984	0.0	-78.235	162.97299999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc117	McMurdo	mc117b : mc117d : mc117e:mc117a	mc117b1 : mc117d2 : mc117e2:mc117a1	2.28	0.12	Ma													-78.235	162.97299999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	2.641e-05	7.253e-07	2.747	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc117	McMurdo		mc117a2 : mc117b1 : mc117d2 : mc117e2 : mc117h1:mc117a1	2.28	0.12	Ma	1.2		164.5	70.0	3152.4	6.0			p	n	5.9984	0.0	-78.235	162.97299999999998	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc117, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							0.7	2.3	-65.1	321.0	6.0
mc117	McMurdo	mc117b : mc117d : mc117e:mc117a	mc117b1 : mc117d2 : mc117e2:mc117a1	2.28	0.12	Ma													-78.235	162.97299999999998	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc117, Site V [A] DM.	pmagpy-2.60	2.641e-05	7.253e-07	2.747	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	3.469e+22	4.0	9.528e+20	3.969e+22	4.0	1.09e+21					
mc118	McMurdo		mc118c1 : mc118d1 : mc118e1 : mc118f1 : mc118i1 : mc118l2:mc118a1	0.31	0.02	Ma	6.1	A	58.9	-53.1	99.0	7.0	7.0	0.0	p	n	6.9394	0.0	-78.241	163.141	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc118	McMurdo		mc118c1 : mc118d1 : mc118e1 : mc118f1 : mc118i1 : mc118l2:mc118a1	0.31	0.02	Ma	6.1		58.9	-53.1	99.0	7.0			p	n	6.9394	0.0	-78.241	163.141	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc118, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.1	11.8	39.1	229.8	7.0
mc119	McMurdo		mc119b1 : mc119b2 : mc119d2 : mc119e2 : mc119f2:mc119a1	1.08	0.11	Ma	2.3	A	124.8	49.0	864.8	6.0	6.0	0.0	p	r	5.9942	0.0	-78.23899999999999	162.957	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc119	McMurdo	mc119b : mc119d : mc119e : mc119f:mc119a	mc119b1 : mc119d2 : mc119e2 : mc119f2:mc119a1	1.08	0.11	Ma													-78.23899999999999	162.957	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	4.097e-05	1.9469999999999997e-06	4.753	5.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc119	McMurdo		mc119b1 : mc119b2 : mc119d2 : mc119e2 : mc119f2:mc119a1	1.08	0.11	Ma	2.3		124.8	49.0	864.8	6.0			p	n	5.9942	0.0	-78.23899999999999	162.957	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc119, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							0.7	4.5	-36.1	281.2	6.0
mc119	McMurdo	mc119b : mc119d : mc119e : mc119f:mc119a	mc119b1 : mc119d2 : mc119e2 : mc119f2:mc119a1	1.08	0.11	Ma													-78.23899999999999	162.957	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc119, Site V [A] DM.	pmagpy-2.60	4.097e-05	1.9469999999999997e-06	4.753	5.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	5.382e+22	5.0	2.558e+21	8.018e+22	5.0	3.811e+21					
mc12	McMurdo																		-77.58	166.23	Extrusive:Igneous	Lava Flow	Basalt									This study														
mc120	McMurdo		mc120a2 : mc120b1 : mc120b2 : mc120c1 : mc120f1 : mc120j2 : mc120l1 : mc120m2:mc120a1	1.756	0.025	Ma	2.3	A	73.6	-70.6	509.6	9.0	9.0	0.0	p	n	8.9843	0.0	-78.241	163.092	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc120	McMurdo	mc120b : mc120c : mc120f:mc120a	mc120b1 : mc120b2 : mc120c1 : mc120f1:mc120a1	1.756	0.025	Ma													-78.241	163.092	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	2.432e-05	7.248999999999999e-07	2.9810000000000003	5.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc120	McMurdo		mc120a2 : mc120b1 : mc120b2 : mc120c1 : mc120f1 : mc120j2 : mc120l1 : mc120m2:mc120a1	1.756	0.025	Ma	2.3		73.6	-70.6	509.6	9.0			p	n	8.9843	0.0	-78.241	163.092	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc120, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							1.4	4.5	56.5	253.9	9.0
mc120	McMurdo	mc120b : mc120c : mc120f:mc120a	mc120b1 : mc120b2 : mc120c1 : mc120f1:mc120a1	1.756	0.025	Ma													-78.241	163.092	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc120, Site V [A] DM.	pmagpy-2.60	2.432e-05	7.248999999999999e-07	2.9810000000000003	5.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	3.195e+22	5.0	9.523e+20	3.627e+22	5.0	1.081e+21					
mc121	McMurdo		mc121c1 : mc121c3 : mc121d1 : mc121d2 : mc121e2 : mc121f2 : mc121g1 : mc121i1 : mc121k1 : mc121k2:mc121a1	2.505	0.03	Ma	2.3	A	117.4	78.4	389.2	11.0	11.0	0.0	p	r	10.9743	0.0	-78.235	162.954	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc121	McMurdo	mc121d : mc121e : mc121f : mc121g : mc121k: mc121k :mc121c	mc121d1 : mc121e1 : mc121f2 : mc121g1 : mc121k1 : mc121k2:mc121c1	2.505	0.03	Ma													-78.235	162.954	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	2.466e-05	7.0860000000000004e-06	28.73	7.0	This study	DA-AC-AARM:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc121	McMurdo		mc121c1 : mc121c3 : mc121d1 : mc121d2 : mc121e2 : mc121f2 : mc121g1 : mc121i1 : mc121k1 : mc121k2:mc121a1	2.505	0.03	Ma	2.3		117.4	78.4	389.2	11.0			p	n	10.9743	0.0	-78.235	162.954	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc121, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							2.3	4.5	-70.3	250.0	11.0
mc122	McMurdo		mc122b1 : mc122c1 : mc122d1 : mc122k2:mc122a1	12.699000000000002	0.045	Ma	5.8	A	12.2	-72.4	177.8	5.0	5.0	0.0	p	n	4.9775	0.0	-78.187	163.58	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc122	McMurdo		mc122b1 : mc122c1 : mc122d1 : mc122k2:mc122a1	12.699000000000002	0.045	Ma	5.8		12.2	-72.4	177.8	5.0			p	n	4.9775	0.0	-78.187	163.58	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc122, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							3.9	11.2	69.0	182.0	5.0
mc123	McMurdo		mc123a2 : mc123b1 : mc123b2 : mc123c2 : mc123c3 : mc123f1 : mc123j1:mc123a1	1.93	0.025	Ma	3.1	A	76.1	-82.1	317.2	8.0	8.0	0.0	p	n	7.9779	0.0	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc123	McMurdo	mc123b : mc123c:mc123a	mc123b1 : mc123b2 : mc123c3:mc123a2	1.93	0.025	Ma													-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	3.004e-05	2.256e-06	7.511	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc123	McMurdo		mc123a2 : mc123b1 : mc123b2 : mc123c2 : mc123c3 : mc123f1 : mc123j1:mc123a1	1.93	0.025	Ma	3.1		76.1	-82.1	317.2	8.0			p	n	7.9779	0.0	-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	DE-SITE	VGP: Site (geog. coord) A comp: mc123, Site VGPA comp: (geog. coord).	pmagpy-2.60					This study	DE-DI:DE-FM:DE-BFL:LP-DC5		i							4.6	6.0	73.0	280.9	8.0
mc123	McMurdo	mc123b : mc123c:mc123a	mc123b1 : mc123b2 : mc123c3:mc123a2	1.93	0.025	Ma													-78.25399999999999	163.72899999999998	Extrusive:Igneous	Lava Flow	Basalt	Kristin Lawrence	IE-SITE	V[A]DM: Site mc123, Site V [A] DM.	pmagpy-2.60	3.004e-05	2.256e-06	7.511	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		i	3.946e+22	4.0	2.964e+21	3.993e+22	4.0	2.999e+21					
mc124	McMurdo		mc124d1 : mc124d2 : mc124f1 : mc124g1 : mc124j1 : mc124l1:mc124a1	12.61	0.055	Ma	2.4	A	13.2	-73.4	654.8	7.0	7.0	0.0	p	n	6.9908	0.0	-78.186	163.567	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
