tab 	sites
bed_dip	bed_dip_direction	citations	conglomerate_test	contact_test	description	dir_dec	dir_inc	dir_k	dir_n_samples	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_lat	vgp_lon	vgp_n_samples
10	132.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			20			
		This study				119.9	-55.8	108	4	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		20			
		This study				122.3	-46	108	4	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		20			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 20	119.9	-55.8		1	p	n	100			48.590795		Osler Volcanics, Nipigon Strait, Lower Reversed	271.807852	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	20	45.238713342676	189.219268487	1
20	110.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			21			
		This study				94.3	-65.5	84	5	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		21			
		This study				100.8	-45.9	84	5	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		21			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 21	94.3	-65.5		1	p	n	100			48.636336		Osler Volcanics, Nipigon Strait, Lower Reversed	271.88093	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	21	36.0203329339761	215.728716807	1
20	110.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			22			
		This study				91.8	-58.2	94	5	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		22			
		This study				97.9	-38.9	94	5	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		22			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 22	91.8	-58.2		1	p	n	100			48.643347		Osler Volcanics, Nipigon Strait, Lower Reversed	271.880385	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	22	29.166010387561	208.879672262	1
10	145.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			23			
