tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	magic_method_codes	sample_alteration	sample_alteration_type	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_date	sample_declination_correction	sample_dip	sample_lat	sample_lithology	sample_lon	sample_orientation_flag	sample_time_zone	sample_type
This study	Wulan Wula Hu	06X088'	Peter C. Lippert	WWH-7	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	51	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	-2	11	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X088	Peter C. Lippert	WWH-7	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	320.5	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	-1.5	1.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X106	Peter C. Lippert	WWH-7	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	314.8	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	-3.7	13.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X107	Peter C. Lippert	WWH-7	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	338.6	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	-1.9	17.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X089	Peter C. Lippert	WWH-8	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	273.5	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	-2	11.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X090	Peter C. Lippert	WWH-8	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	279.2	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	-2.3	16	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X091	Peter C. Lippert	WWH-8	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	294.1	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	0.6	15	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X092	Peter C. Lippert	WWH-8	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	278.5	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	0	19.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X093	Peter C. Lippert	WWH-8	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	282.2	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	-0.3	13.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X104	Peter C. Lippert	WWH-8	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	315.6	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	4.1	28.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X105	Peter C. Lippert	WWH-8	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	41.6	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	-2.9	10.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X094	Peter C. Lippert	WWH-9	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	19.7	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	4.7	40.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X095	Peter C. Lippert	WWH-9	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	94.5	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	0	18	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X096	Peter C. Lippert	WWH-9	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	263.5	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	0	54	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X098	Peter C. Lippert	WWH-9	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	337.2	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	2.2	12	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X099	Peter C. Lippert	WWH-9	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	317.5	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	-3	57.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X100	Peter C. Lippert	WWH-9	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	259	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	-2	10.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X101	Peter C. Lippert	WWH-9	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	6.5	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	1.5	42.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X102	Peter C. Lippert	WWH-9	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	247.7	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	-6.3	59	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X108	Peter C. Lippert	WWH-10	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	66.5	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	0	14.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X109	Peter C. Lippert	WWH-10	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	75.9	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	-0.6	39	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X110	Peter C. Lippert	WWH-10	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	343.8	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	7.3	20.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X111	Peter C. Lippert	WWH-10	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	323.4	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	8.9	39	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X112	Peter C. Lippert	WWH-10	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	58.6	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	2.6	45.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X113	Peter C. Lippert	WWH-10	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	81.7	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	1.2	50	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X114	Peter C. Lippert	WWH-10	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	21.5	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	1	58.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X115	Peter C. Lippert	WWH-10	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	179.5	0	0	Extrusive : Igneous : Subaerial	2006:05:08:00:00:00.00	-2	38.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
