tab delimited	er_locations
er_location_name	location_type	location_begin_lat	location_begin_lon	location_end_lat	location_end_lon	continent_ocean	country	region	er_scientist_mail_names	er_citation_names
Wulan Wula Hu	Region	34.536	90.227	34.536	90.227	Asia	China	Tibet	Peter C. Lippert	This study
Ejumaima	Region	32.219	86.63	32.219	86.805	Asia	China	Tibet	Peter C. Lippert	This study
Nading Co	Region	32.685	85.575	32.737	85.604	Asia	China	Tibet	Peter C. Lippert	This study
>>>>>>>>>>
tab delimited	er_sites
er_site_name	er_location_name	site_definition	site_class	site_lithology	site_type	site_lat	site_lon	site_bed_dip_direction	site_bed_dip	magic_method_codes	er_scientist_mail_names	er_citation_names
06X072	Wulan Wula Hu	WWH-5	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	0.5	316.5	26	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X073	Wulan Wula Hu	WWH-5	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	0.5	325.5	13.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X074	Wulan Wula Hu	WWH-5	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	0.8	312.8	26.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X075	Wulan Wula Hu	WWH-5	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	0.5	318	13.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X076	Wulan Wula Hu	WWH-5	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	1.8	317.8	23.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X077	Wulan Wula Hu	WWH-5	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	1.7	334.2	29.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X078	Wulan Wula Hu	WWH-5	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	1.7	4.19999999999999	30.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X066	Wulan Wula Hu	WWH-6	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	-1.4	19.1	33.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X067	Wulan Wula Hu	WWH-6	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	-1	14.5	29	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X068	Wulan Wula Hu	WWH-6	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	1.7	35.2	49	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X069	Wulan Wula Hu	WWH-6	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	1.5	34	50	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X070	Wulan Wula Hu	WWH-6	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	1	39.5	68	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X071	Wulan Wula Hu	WWH-6	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	3.8	33.8	70.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X085	Wulan Wula Hu	WWH-7	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	-2.4	331.6	24.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X086	Wulan Wula Hu	WWH-7	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:08:00:00:00.00	+8 GMT	g	-2	319.5	37.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
