tab 	sites
age	age_high	age_low	age_unit	citations	criteria	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1.35	5.53	3.86	Ma	This study	ACCEPT	2.7	Fit 1	178.7	-39	507	5	7	7	0	r	6.9882	0	Extrusive	Lava Flow	32.91003	Basaltic Lava	Golan-Heights	35.76308	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DIR-AF:LP-DC5:DE-FM	g	i	GH21A:GH21B:GH21C:GH21D:GH21E	GH21	pmagpy-3.16.0: demag_gui.v.3.0	GH21A1:GH21A2:GH21B2:GH21C1:GH21D1:GH21E1:GH21E2	3.2	1.9	-79.1	42.1
1.4132	1.4132	1.4132	Ma	This study	ACCEPT	3.8	Fit 1	165.5	-55.7	219	6	8	8	0	r	7.9681	0	Extrusive	Lava Flow	33.04162	Basaltic Lava	Golan-Heights	35.836	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH22C:GH22D:GH22E:GH22F:GH22G:GH22H	GH22	pmagpy-3.16.0: demag_gui.v.3.0	GH22C1:GH22D1:GH22D2:GH22E1:GH22F2:GH22G1:GH22H1:GH22H2	5.4	3.9	-77.7	144.9
1.35	2.6	0.1	Ma	This study	ACCEPT	3.6	Fit 1	30.8	51.6	275	6	7	7	0	n	6.9782	0	Extrusive	Lava Flow	33.06038	Basaltic Lava	Golan-Heights	35.84427	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH23B:GH23C:GH23D:GH23E:GH23F:GH23I	GH23	pmagpy-3.16.0: demag_gui.v.3.0	GH23B1:GH23C1:GH23D1:GH23D2:GH23E1:GH23F1:GH23I1	4.9	3.3	64.1	119.1
0.6155	0.6155	0.6155	Ma	This study	ACCEPT	4.7	Fit 1	31.8	43	140	7	8	8	0	n	7.9499	0	Extrusive	Lava Flow	33.04974	Basaltic Lava	Golan-Heights	35.85139	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH24B:GH24C:GH24D:GH24E:GH24F:GH24G:GH24I	GH24	pmagpy-3.16.0: demag_gui.v.3.0	GH24B1:GH24C1:GH24D1:GH24E1:GH24F1:GH24F2:GH24G1:GH24I1	5.8	3.6	61.2	133.7
0.1115	0.1115	0.1115	Ma	This study	ACCEPT	16.6	Fit 1	338.0	64.9	12	7	8	8	0	n	7.421	0	Extrusive	Lava Flow	32.96154	Basaltic Lava	Golan-Heights	35.85678	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH25A:GH25B:GH25C:GH25D:GH25E:GH25F:GH25I	GH25	pmagpy-3.16.0: demag_gui.v.3.0	GH25A1:GH25B2:GH25C1:GH25D1:GH25E1:GH25E2:GH25F2:GH25I2	26.8	21.6	68.3	352.1
1.35	2.6	0.1	Ma	This study	ACCEPT	4.8	Fit 1	214.0	-59.9	104	10	10	10	0	r	9.9131	0	Extrusive	Lava Flow	32.92633	Basaltic Lava	Golan-Heights	35.84982	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH26B:GH26C:GH26D:GH26E:GH26F:GH26G:GH26H:GH26I:GH26J:GH26K	GH26	pmagpy-3.16.0: demag_gui.v.3.0	GH26B1:GH26C1:GH26D1:GH26E1:GH26F1:GH26G1:GH26H1:GH26I1:GH26J1:GH26K1	7.2	5.5	-61.9	279.8
2.6518	2.6518	2.6518	Ma	This study	ACCEPT	4.9	Fit 1	356.3	46.9	127	7	8	8	0	n	7.9447	0	Extrusive	Lava Flow	32.86815	Basaltic Lava	Golan-Heights	35.82887	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH27A:GH27B:GH27C:GH27D:GH27F:GH27G:GH27H	GH27	pmagpy-3.16.0: demag_gui.v.3.0	GH27A1:GH27B1:GH27B2:GH27C2:GH27D1:GH27F1:GH27G1:GH27H1	6.3	4.1	84.3	250.6
1.35	2.6	0.1	Ma	This study	ACCEPT	3.1	Fit 1	3.3	44.1	459	6	6	6	0	n	5.9891	0	Extrusive	Lava Flow	32.86889	Basaltic Lava	Golan-Heights	35.82825	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GH28A:GH28C:GH28E:GH28F:GH28G:GH28H	GH28	pmagpy-3.16.0: demag_gui.v.3.0	GH28A1:GH28C1:GH28E1:GH28F1:GH28G1:GH28H1	3.9	2.4	82.4	192.7
1.35	2.6	0.1	Ma	This study	ACCEPT	2.9	Fit 1	4.1	50.8	359	8	8	8	0	n	7.9805	0	Extrusive	Lava Flow	32.8558	Basaltic Lava	Golan-Heights	35.80069	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH30A:GH30B:GH30C:GH30D:GH30E:GH30F:GH30G:GH30H	GH30	pmagpy-3.16.0: demag_gui.v.3.0	GH30A1:GH30B1:GH30C1:GH30D1:GH30E1:GH30F1:GH30G1:GH30H1	3.9	2.6	86.3	145.9
1.35	2.6	0.1	Ma	This study	ACCEPT	3.1	Fit 1	352.6	43	319	8	8	8	0	n	7.9781	0	Extrusive	Lava Flow	32.93434	Basaltic Lava	Golan-Heights	35.78133	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH31A:GH31B:GH31C:GH31D:GH31E:GH31F:GH31H:GH31I	GH31	pmagpy-3.16.0: demag_gui.v.3.0	GH31A1:GH31B1:GH31C1:GH31D1:GH31E1:GH31F1:GH31H1:GH31I1	3.8	2.4	79.8	256.8
