Label Id,Exp,Site,Hole,Core,Core Type,Section,Section Half,Interval Top (cm) on SHLF, Interval Bot (cm) on SHLF,Top Depth (m),Bottom Depth (m),Depth Method,Top Offset (cm) on Parent Sample,Bottom Offset (cm) on Parent Sample,Volume (cc),Sample Type,Sampling Tool,Sample Name,Comments,Request Number,Request Code,Test,Text Id,Repository,Sample Date Logged,Sample Changed On,Sample Entered By
318-U1359B-2H-4-W 13/15-Tauxe,318,U1359,B,2,H,4,W,13,15,12.33,12.35,CCSF-A,13,15,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354952,,6/18/10 14:03,7/1/10 10:20,RUMFORD
318-U1359B-2H-4-W 44/46-Tauxe,318,U1359,B,2,H,4,W,44,46,12.64,12.66,CCSF-A,44,46,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354962,,6/18/10 14:03,7/1/10 10:33,RUMFORD
318-U1359B-2H-4-W 60/62-Tauxe,318,U1359,B,2,H,4,W,60,62,12.8,12.82,CCSF-A,60,62,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354972,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-2H-4-W 80/82-Tauxe,318,U1359,B,2,H,4,W,80,82,13,13.02,CCSF-A,80,82,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1354982,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-2H-4-W 100/102-Tauxe,318,U1359,B,2,H,4,W,100,102,13.2,13.22,CCSF-A,100,102,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355002,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-2H-4-W 114/116-Tauxe,318,U1359,B,2,H,4,W,114,116,13.34,13.36,CCSF-A,114,116,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355012,,6/18/10 14:03,7/1/10 10:33,RUMFORD
318-U1359B-2H-5-W 0/2-Tauxe,318,U1359,B,2,H,5,W,0,2,13.7,13.72,CCSF-A,0,2,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355032,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-2H-5-W 20/22-Tauxe,318,U1359,B,2,H,5,W,20,22,13.9,13.92,CCSF-A,20,22,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355042,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-2H-5-W 40/42-Tauxe,318,U1359,B,2,H,5,W,40,42,14.1,14.12,CCSF-A,40,42,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355052,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-2H-5-W 62/64-Tauxe,318,U1359,B,2,H,5,W,62,64,14.32,14.34,CCSF-A,62,64,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355062,,6/18/10 14:03,7/1/10 10:20,RUMFORD
318-U1359B-2H-5-W 100/102-Tauxe,318,U1359,B,2,H,5,W,100,102,14.7,14.72,CCSF-A,100,102,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355092,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-2H-5-W 116/118-Tauxe,318,U1359,B,2,H,5,W,116,118,14.86,14.88,CCSF-A,116,118,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355102,,6/18/10 14:03,7/1/10 10:33,RUMFORD
318-U1359B-2H-5-W 136/138-Tauxe,318,U1359,B,2,H,5,W,136,138,15.06,15.08,CCSF-A,136,138,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355112,,6/18/10 14:03,7/1/10 10:33,RUMFORD
318-U1359B-2H-6-W 2/4-Tauxe,318,U1359,B,2,H,6,W,2,4,15.22,15.24,CCSF-A,2,4,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355122,,6/18/10 14:03,7/1/10 10:20,RUMFORD
318-U1359B-2H-6-W 15/17-Tauxe,318,U1359,B,2,H,6,W,15,17,15.35,15.37,CCSF-A,15,17,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355132,,6/18/10 14:03,7/1/10 10:33,RUMFORD
318-U1359B-2H-6-W 41/43-Tauxe,318,U1359,B,2,H,6,W,41,43,15.61,15.63,CCSF-A,41,43,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355142,,6/18/10 14:03,6/30/10 16:37,RUMFORD
318-U1359B-2H-6-W 62/64-Tauxe,318,U1359,B,2,H,6,W,62,64,15.82,15.84,CCSF-A,62,64,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355152,,6/18/10 14:03,6/30/10 16:38,RUMFORD
318-U1359B-2H-6-W 80/82-Tauxe,318,U1359,B,2,H,6,W,80,82,16,16.02,CCSF-A,80,82,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355162,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-2H-6-W 100/102-Tauxe,318,U1359,B,2,H,6,W,100,102,16.2,16.22,CCSF-A,100,102,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355182,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-1-W 0/2-Tauxe,318,U1359,B,3,H,1,W,0,2,17.2,17.22,CCSF-A,0,2,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355212,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-1-W 20/22-Tauxe,318,U1359,B,3,H,1,W,20,22,17.4,17.42,CCSF-A,20,22,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355222,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-2-W 1/3-Tauxe,318,U1359,B,3,H,2,W,1,3,18.71,18.73,CCSF-A,1,3,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355322,,6/18/10 14:03,7/1/10 10:20,RUMFORD
318-U1359B-3H-2-W 18/20-Tauxe,318,U1359,B,3,H,2,W,18,20,18.88,18.9,CCSF-A,18,20,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355332,,6/18/10 14:03,7/1/10 10:33,RUMFORD
318-U1359B-3H-2-W 41/43-Tauxe,318,U1359,B,3,H,2,W,41,43,19.11,19.13,CCSF-A,41,43,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355352,,6/18/10 14:03,6/30/10 16:38,RUMFORD
318-U1359B-3H-2-W 58/60-Tauxe,318,U1359,B,3,H,2,W,58,60,19.28,19.3,CCSF-A,58,60,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355362,,6/18/10 14:03,7/1/10 10:20,RUMFORD
318-U1359B-3H-2-W 80/82-Tauxe,318,U1359,B,3,H,2,W,80,82,19.5,19.52,CCSF-A,80,82,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355372,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-2-W 100/102-Tauxe,318,U1359,B,3,H,2,W,100,102,19.7,19.72,CCSF-A,100,102,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355392,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-2-W 116/118-Tauxe,318,U1359,B,3,H,2,W,116,118,19.86,19.88,CCSF-A,116,118,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355402,,6/18/10 14:03,7/1/10 10:20,RUMFORD
318-U1359B-3H-3-W 3/5-Tauxe,318,U1359,B,3,H,3,W,3,5,20.33,20.35,CCSF-A,3,5,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355432,,6/18/10 14:03,7/1/10 10:33,RUMFORD
318-U1359B-3H-3-W 20/22-Tauxe,318,U1359,B,3,H,3,W,20,22,20.5,20.52,CCSF-A,20,22,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355442,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-3-W 40/42-Tauxe,318,U1359,B,3,H,3,W,40,42,20.7,20.72,CCSF-A,40,42,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355462,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-3-W 60/62-Tauxe,318,U1359,B,3,H,3,W,60,62,20.9,20.92,CCSF-A,60,62,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355472,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-3-W 80/82-Tauxe,318,U1359,B,3,H,3,W,80,82,21.1,21.12,CCSF-A,80,82,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355482,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-3-W 100/102-Tauxe,318,U1359,B,3,H,3,W,100,102,21.3,21.32,CCSF-A,100,102,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355502,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-3-W 120/122-Tauxe,318,U1359,B,3,H,3,W,120,122,21.5,21.52,CCSF-A,120,122,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355512,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-3-W 137/139-Tauxe,318,U1359,B,3,H,3,W,137,139,21.67,21.69,CCSF-A,137,139,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355532,,6/18/10 14:03,7/1/10 10:33,RUMFORD
318-U1359B-3H-4-W 4/6-Tauxe,318,U1359,B,3,H,4,W,4,6,21.84,21.86,CCSF-A,4,6,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355542,,6/18/10 14:03,6/30/10 16:38,RUMFORD
318-U1359B-3H-4-W 20/22-Tauxe,318,U1359,B,3,H,4,W,20,22,22,22.02,CCSF-A,20,22,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355552,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-4-W 40/42-Tauxe,318,U1359,B,3,H,4,W,40,42,22.2,22.22,CCSF-A,40,42,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355572,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-4-W 60/62-Tauxe,318,U1359,B,3,H,4,W,60,62,22.4,22.42,CCSF-A,60,62,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355582,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-4-W 80/82-Tauxe,318,U1359,B,3,H,4,W,80,82,22.6,22.62,CCSF-A,80,82,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355592,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-4-W 103/105-Tauxe,318,U1359,B,3,H,4,W,103,105,22.83,22.85,CCSF-A,103,105,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355612,,6/18/10 14:03,7/1/10 10:33,RUMFORD
318-U1359B-3H-4-W 120/122-Tauxe,318,U1359,B,3,H,4,W,120,122,23,23.02,CCSF-A,120,122,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355622,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-5-W 2/4-Tauxe,318,U1359,B,3,H,5,W,2,4,23.22,23.24,CCSF-A,2,4,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355652,,6/18/10 14:03,7/1/10 10:33,RUMFORD
318-U1359B-3H-5-W 20/22-Tauxe,318,U1359,B,3,H,5,W,20,22,23.4,23.42,CCSF-A,20,22,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355662,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-5-W 40/42-Tauxe,318,U1359,B,3,H,5,W,40,42,23.6,23.62,CCSF-A,40,42,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355682,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-5-W 60/62-Tauxe,318,U1359,B,3,H,5,W,60,62,23.8,23.82,CCSF-A,60,62,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355692,,6/18/10 14:03,6/18/10 14:03,RUMFORD
318-U1359B-3H-5-W 78/80-Tauxe,318,U1359,B,3,H,5,W,78,80,23.98,24,CCSF-A,78,80,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355702,,6/18/10 14:03,7/1/10 10:33,RUMFORD
318-U1359B-3H-5-W 101/103-Tauxe,318,U1359,B,3,H,5,W,101,103,24.21,24.23,CCSF-A,101,103,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355722,,6/18/10 14:04,6/30/10 16:38,RUMFORD
318-U1359B-3H-5-W 118/120-Tauxe,318,U1359,B,3,H,5,W,118,120,24.38,24.4,CCSF-A,118,120,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355732,,6/18/10 14:04,6/30/10 16:38,RUMFORD
318-U1359B-3H-5-W 140/142-Tauxe,318,U1359,B,3,H,5,W,140,142,24.6,24.62,CCSF-A,140,142,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355752,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-3H-6-W 0/2-Tauxe,318,U1359,B,3,H,6,W,0,2,24.8,24.82,CCSF-A,0,2,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355762,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-3H-6-W 23/25-Tauxe,318,U1359,B,3,H,6,W,23,25,25.03,25.05,CCSF-A,23,25,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355772,,6/18/10 14:04,6/30/10 16:38,RUMFORD
318-U1359B-3H-6-W 40/42-Tauxe,318,U1359,B,3,H,6,W,40,42,25.2,25.22,CCSF-A,40,42,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355792,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-3H-6-W 60/62-Tauxe,318,U1359,B,3,H,6,W,60,62,25.4,25.42,CCSF-A,60,62,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355802,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-3H-6-W 80/82-Tauxe,318,U1359,B,3,H,6,W,80,82,25.6,25.62,CCSF-A,80,82,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355812,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-3H-6-W 100/102-Tauxe,318,U1359,B,3,H,6,W,100,102,25.8,25.82,CCSF-A,100,102,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355832,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-3H-6-W 120/122-Tauxe,318,U1359,B,3,H,6,W,120,122,26,26.02,CCSF-A,120,122,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355842,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-3H-6-W 134/136-Tauxe,318,U1359,B,3,H,6,W,134,136,26.14,26.16,CCSF-A,134,136,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355862,,6/18/10 14:04,7/1/10 10:20,RUMFORD
318-U1359B-3H-7-W 0/2-Tauxe,318,U1359,B,3,H,7,W,0,2,26.3,26.32,CCSF-A,0,2,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355872,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-3H-7-W 20/22-Tauxe,318,U1359,B,3,H,7,W,20,22,26.5,26.52,CCSF-A,20,22,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355892,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-4H-1-W 120/122-Tauxe,318,U1359,B,4,H,1,W,120,122,27.9,27.92,CCSF-A,120,122,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1355992,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-4H-2-W 0/2-Tauxe,318,U1359,B,4,H,2,W,0,2,28.2,28.22,CCSF-A,0,2,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356022,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-4H-2-W 18/20-PMAG,318,U1359,B,4,H,2,W,18,20,28.38,28.4,CCSF-A,18,20,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2171411,,2/10/10 14:17,2/10/10 14:17,YAMANE
318-U1359B-4H-2-W 21/23-Tauxe,318,U1359,B,4,H,2,W,21,23,28.41,28.43,CCSF-A,21,23,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356042,,6/18/10 14:04,7/1/10 10:20,RUMFORD
318-U1359B-4H-2-W 40/42-Tauxe,318,U1359,B,4,H,2,W,40,42,28.6,28.62,CCSF-A,40,42,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356052,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-4H-2-W 60/62-Tauxe,318,U1359,B,4,H,2,W,60,62,28.8,28.82,CCSF-A,60,62,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356062,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-4H-2-W 80/82-Tauxe,318,U1359,B,4,H,2,W,80,82,29,29.02,CCSF-A,80,82,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356082,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-4H-2-W 100/102-Tauxe,318,U1359,B,4,H,2,W,100,102,29.2,29.22,CCSF-A,100,102,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356102,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-4H-2-W 120/122-Tauxe,318,U1359,B,4,H,2,W,120,122,29.4,29.42,CCSF-A,120,122,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356112,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-4H-2-W 138/140-Tauxe,318,U1359,B,4,H,2,W,138,140,29.58,29.6,CCSF-A,138,140,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356122,,6/18/10 14:04,7/1/10 10:33,RUMFORD
318-U1359B-4H-3-W 0/2-Tauxe,318,U1359,B,4,H,3,W,0,2,29.7,29.72,CCSF-A,0,2,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356132,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-4H-3-W 14/16-PMAG,318,U1359,B,4,H,3,W,14,16,29.84,29.86,CCSF-A,14,16,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2171421,,2/10/10 14:17,2/10/10 14:17,YAMANE
318-U1359B-4H-3-W 20/22-Tauxe,318,U1359,B,4,H,3,W,20,22,29.9,29.92,CCSF-A,20,22,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356142,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-4H-3-W 37/39-Tauxe,318,U1359,B,4,H,3,W,37,39,30.07,30.09,CCSF-A,37,39,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356152,,6/18/10 14:04,7/1/10 10:33,RUMFORD
318-U1359B-4H-3-W 60/62-Tauxe,318,U1359,B,4,H,3,W,60,62,30.3,30.32,CCSF-A,60,62,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356162,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-4H-3-W 80/82-Tauxe,318,U1359,B,4,H,3,W,80,82,30.5,30.52,CCSF-A,80,82,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356172,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-4H-3-W 100/102-Tauxe,318,U1359,B,4,H,3,W,100,102,30.7,30.72,CCSF-A,100,102,8,CUBE,OTHER,Tauxe,take cubes first,594IODP,,,CUBE1356192,,6/18/10 14:04,6/18/10 14:04,RUMFORD
318-U1359B-5H-3-W 95/97-PMAG,318,U1359,B,5,H,3,W,95,97,40.15,40.17,CCSF-A,95,97,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2171461,,2/10/10 15:21,2/10/10 15:21,YAMANE
318-U1359B-5H-3-W 95/97-PMAG,318,U1359,B,5,H,3,W,95,97,40.15,40.17,CCSF-A,95,97,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2171491,,2/10/10 15:23,2/10/10 15:23,HAYDEN
318-U1359B-6H-3-W 98/100-PMAG,318,U1359,B,6,H,3,W,98,100,49.68,49.7,CCSF-A,98,100,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2171801,,2/10/10 15:46,2/10/10 15:46,HAYDEN
318-U1359B-7H-3-W 32/34-PMAG,318,U1359,B,7,H,3,W,32,34,58.52,58.54,CCSF-A,32,34,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2172141,,2/10/10 17:15,2/10/10 17:15,HAYDEN
318-U1359B-8H-5-W 113/115-PMAG,318,U1359,B,8,H,5,W,113,115,71.83,71.85,CCSF-A,113,115,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2172741,,2/10/10 18:31,2/10/10 18:31,HAYDEN
318-U1359B-9H-3-W 81/83-PMAG,318,U1359,B,9,H,3,W,81,83,78.01,78.03,CCSF-A,81,83,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2174531,,2/10/10 21:04,2/10/10 21:04,HAYDEN
318-U1359B-10H-5-W 60/62-PMAG,318,U1359,B,10,H,5,W,60,62,90.3,90.32,CCSF-A,60,62,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2177881,,2/10/10 23:02,2/10/10 23:02,NAKAI
318-U1359B-11H-3-W 94/96-PMAG,318,U1359,B,11,H,3,W,94,96,97.14,97.16,CCSF-A,94,96,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2178241,,2/11/10 0:32,2/11/10 0:32,NAKAI
318-U1359B-21H-3-W 85/87-PMAG,318,U1359,B,21,H,3,W,85,87,192.05,192.07,CCSF-A,85,88,7,CUBE,CUBE_S,PMAG,,,,PMAG,CUBE2181801,,2/11/10 16:05,2/20/10 14:56,HAYDEN
