tab	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
1.23	6.866207	2.592421	6.254633	0.341792 : 0.316275 : 0.341933 : -0.007914 : 0.003357 : 0.008875	6.0	0.006574	ATRM	0.351063 : 352.1 : 42.4	0.336094 : 149.1 : 45.3	0.312843 : 71.2 : -11.7	This study	Critical F: 3.1059									hz05c6;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05c	pmagpy-3.4.1: thellier_gui.v.3.0	hz05c6
5.09	3.297613	5.069691	0.174003	0.337004 : 0.321979 : 0.341017 : -0.003989 : 0.000292 : -0.021473	6.0	0.01184	ATRM	0.360795 : 353.7 : -47.2	0.323095 : 287.1 : 20.2	0.316110 : 212.5 : -35.8	This study	Critical F: 3.1059									hz05e1;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05e	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e2	Archeologic	Ceramic	7e-05	0.02	c	1.03	0.93	0.83	6.17	0.8	0.78	0.82	2.66	10.0	6.0	32.03	6e-05	Not Specified	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e2
1.4	0.238988	0.302253	0.038282	0.331240 : 0.326898 : 0.341861 : -0.000523 : -0.004660 : 0.003337	6.0	0.017586	ATRM	0.344071 : 314.2 : 68.7	0.330398 : 188.8 : 12.7	0.325532 : 94.9 : 16.8	This study	Critical F: 3.1059									hz05e2;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz05e	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e3	Archeologic	Ceramic	6.94e-05	0.02	c	1.04	0.93	0.7	3.37	0.77	0.76	0.85	2.78	11.0	5.0	31.07	6e-05	Not Specified	803.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e3
2.3	0.728668	0.570503	0.349327	0.343013 : 0.324793 : 0.332194 : -0.016881 : -0.001264 : 0.002842	6.0	0.020388	ATRM	0.353532 : 329.3 : 8.2	0.331754 : 140.6 : 81.7	0.314713 : 239.1 : 1.2	This study	Critical F: 3.1059									hz05e3;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz05e	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e4	Archeologic	Ceramic	7.03e-05	0.04	c	1.03	0.94	1.93	0.8	0.72	0.74	0.86	5.0	11.0	5.0	16.52	6e-05	Not Specified	803.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e4
3.42	11.464363	12.667577	2.835353	0.340318 : 0.321947 : 0.337736 : 0.012899 : -0.015376 : -0.011908	6.0	0.006701	ATRM	0.361138 : 35.5 : -38.5	0.327409 : 350.3 : 41.6	0.311452 : 104.2 : 24.5	This study	Critical F: 3.1059									hz05e4;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05e	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e5	Archeologic	Ceramic	7.3e-05	0.03	c	0.98	0.94	1.27	0.38	0.83	0.84	0.9	2.94	12.0	6.0	28.42	6e-05	Not Specified	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e5
1.55	1.51672	2.449097	0.048835	0.328384 : 0.347950 : 0.323666 : 0.011349 : -0.006727 : -0.000779	6.0	0.013401	ATRM	0.354502 : 246.2 : 11.8	0.324843 : 165.6 : -38.0	0.320655 : 141.9 : 49.6	This study	Critical F: 3.1059									hz05e5;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz05e	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e5
