tab	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g02	Archeologic	Ceramic	8.46e-05	0.02	c	1.1	0.99	3.41	3.21	0.85	0.87	0.87	4.11	11.0	5.0	29.9	6e-05	Not Specified	833.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g02
4.49	3.475397	6.003353	0.037642	0.323542 : 0.321374 : 0.355084 : -0.000427 : 0.006901 : -0.006961	6.0	0.010203	ATRM	0.357836 : 317.0 : -74.3	0.322482 : 202.2 : -6.7	0.319682 : 290.5 : 14.1	This study	Critical F: 3.1059									mgh03g02;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g02
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g03	Archeologic	Ceramic	8.609999999999999e-05	0.03	c	1.06	0.96	4.68	2.13	0.84	0.86	0.87	4.65	10.0	4.0	26.43	6e-05	Not Specified	803.0	373.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g03
6.18	6.38951	5.894111	2.358098	0.326150 : 0.321348 : 0.352502 : -0.011817 : -0.006654 : 0.009632	6.0	0.008359	ATRM	0.358517 : 143.0 : -62.8	0.329818 : 139.2 : 27.2	0.311665 : 50.0 : -1.5	This study	Critical F: 3.1059									mgh03g03;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g03
	0.713141	1.065282	0.0473	0.324725 : 0.328341 : 0.346934 : -0.000267 : -0.001214 : 0.003444	9.0	0.013204	AARM	0.347536 : 336.7 : 80.6	0.328263 : 90.6 : 3.8	0.324201 : 181.2 : 8.6	This study	Critical F: 2.6848									mgh03g03;AARM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-ARM	b	mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g03
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g04	Archeologic	Ceramic	9.64e-05	0.05	c	1.09	0.98	3.3	7.85	0.9	0.86	0.87	2.26	11.0	5.0	15.12	6e-05	Not Specified	833.0	373.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g04
10.2	1.43674	0.535036	1.318837	0.340252 : 0.339935 : 0.319813 : -0.004335 : 0.010008 : -0.007168	6.0	0.013084	ATRM	0.349440 : 312.2 : -22.4	0.335905 : 220.6 : -3.8	0.314655 : 301.5 : 67.2	This study	Critical F: 3.1059									mgh03g04;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g04
	0.288204	0.033729	0.391712	0.321830 : 0.332997 : 0.345173 : 0.034926 : 0.007827 : -0.005890	9.0	0.063489	AARM	0.363058 : 50.5 : 7.3	0.346568 : 176.4 : 77.6	0.290374 : 139.2 : -9.9	This study	Critical F: 2.6848									mgh03g04;AARM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-ARM	b	mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g04
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g05	Archeologic	Ceramic	9.13e-05	0.04	c	1.09	0.95	3.87	2.0	0.91	0.85	0.9	1.95	12.0	5.0	18.94	6e-05	Not Specified	833.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g05
2.36	5.098805	7.737269	0.299771	0.321683 : 0.326342 : 0.351975 : -0.001930 : -0.005259 : 0.008486	6.0	0.007614	ATRM	0.355265 : 322.9 : 71.7	0.325315 : 92.3 : 11.9	0.319420 : 185.3 : 13.8	This study	Critical F: 3.1059									mgh03g05;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g05
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g06	Archeologic	Ceramic	9.33e-05	0.03	c	1.04	0.96	3.89	6.87	0.85	0.92	0.89	2.38	12.0	5.0	26.35	6e-05	Not Specified	833.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g06
2.21	18.063048	20.35468	4.232384	0.339024 : 0.333835 : 0.327141 : 0.014899 : 0.005240 : 0.020075	6.0	0.00552	ATRM	0.362165 : 213.0 : -29.3	0.326947 : 284.3 : 29.7	0.310888 : 158.4 : 45.8	This study	Critical F: 3.1059									mgh03g06;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g06
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g07	Archeologic	Ceramic	9.67e-05	0.04	c	1.03	0.94	2.47	3.15	0.8	0.8	0.88	3.08	10.0	4.0	15.95	6e-05	Not Specified	773.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g07
1.74	2.583002	2.045468	1.218847	0.343136 : 0.327449 : 0.329415 : 0.001925 : -0.010438 : -0.012052	6.0	0.010124	ATRM	0.352253 : 200.4 : 33.2	0.331777 : 127.1 : -23.8	0.315970 : 65.6 : 47.1	This study	Critical F: 3.1059									mgh03g07;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g07
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g08	Archeologic	Ceramic	8.840000000000001e-05	0.04	c	1.11	0.95	3.25	3.77	0.91	0.88	0.9	2.16	13.0	6.0	21.42	6e-05	Not Specified	858.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g08
0.93	5.114292	1.386945	5.452539	0.320435 : 0.333378 : 0.346188 : -0.018698 : -0.006061 : 0.005141	6.0	0.009514	ATRM	0.354369 : 306.2 : 44.1	0.338524 : 304.2 : -45.9	0.307107 : 35.2 : -1.0	This study	Critical F: 3.1059									mgh03g08;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g08
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03h01	Archeologic	Ceramic	8.79e-05	0.07	c	0.99	0.92	2.01	0.32	0.71	0.78	0.85	4.85	8.0	3.0	9.08	6e-05	Not Specified	743.0	373.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h01
43.02	5.838784	7.454814	0.901094	0.360250 : 0.323612 : 0.316139 : -0.033581 : 0.018576 : -0.009577	6.0	0.01705	ATRM	0.384854 : 147.2 : 14.8	0.319018 : 37.5 : 52.1	0.296128 : 247.5 : 34.0	This study	Critical F: 3.1059									mgh03h01;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h01
	5.783209	4.951724	2.42583	0.356092 : 0.322587 : 0.321321 : -0.013086 : 0.015872 : -0.007445	9.0	0.010954	AARM	0.364358 : 336.2 : -17.1	0.329885 : 230.6 : -41.3	0.305757 : 263.3 : 43.7	This study	Critical F: 2.6848									mgh03h01;AARM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-ARM	g	mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h01
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03h02	Archeologic	Ceramic	7.46e-05	0.02	c	1.09	0.9	1.86	1.05	0.79	0.8	0.86	2.56	9.0	4.0	28.76	6e-05	Not Specified	803.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h02
3.98	15.982437	16.962915	4.382798	0.320618 : 0.334874 : 0.344509 : -0.011138 : 0.034801 : 0.002704	6.0	0.008627	ATRM	0.375346 : 98.4 : 47.8	0.325098 : 163.1 : -21.2	0.299556 : 237.7 : 34.5	This study	Critical F: 3.1059									mgh03h02;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h02
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03h03	Archeologic	Ceramic	7.42e-05	0.02	c	1.12	0.92	1.94	1.19	0.92	0.91	0.89	3.85	12.0	6.0	41.91	6e-05	Not Specified	858.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h03
4.61	6.271852	3.774831	4.066898	0.330985 : 0.309130 : 0.359885 : -0.009372 : 0.006516 : -0.002473	6.0	0.010004	ATRM	0.361167 : 130.8 : 78.9	0.333681 : 161.5 : -9.6	0.305151 : 250.6 : 5.6	This study	Critical F: 3.1059									mgh03h03;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h03
											This study											Archeologic	Ceramic																Not Specified						mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h04
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03h05	Archeologic	Ceramic	8.23e-05	0.01	c	1.02	0.9	2.11	6.41	0.76	0.79	0.87	2.55	9.0	5.0	46.05	6e-05	Not Specified	803.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h05
1.25	8.487569	7.627547	3.28263	0.336489 : 0.329053 : 0.334458 : -0.008829 : 0.025994 : -0.011588	6.0	0.009224	ATRM	0.365230 : 307.4 : -42.0	0.329202 : 200.6 : -17.7	0.305568 : 273.5 : 42.7	This study	Critical F: 3.1059									mgh03h05;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h05
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03h06	Archeologic	Ceramic	8.04e-05	0.03	c	0.95	0.93	1.01	0.89	0.75	0.79	0.87	2.5	9.0	4.0	20.91	6e-05	Not Specified	773.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h06
1.63	7.249589	6.658085	2.69724	0.354982 : 0.328957 : 0.316060 : -0.006831 : -0.011519 : 0.031238	6.0	0.013071	ATRM	0.375252 : 163.7 : -29.3	0.327554 : 71.2 : -4.3	0.297195 : 333.7 : -60.3	This study	Critical F: 3.1059									mgh03h06;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h06
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03h07	Archeologic	Ceramic	7.65e-05	0.02	c	1.09	0.92	2.22	0.64	0.95	0.93	0.91	4.74	14.0	6.0	35.27	6e-05	Not Specified	858.0	273.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h07
13.05	19.525205	23.942796	3.505576	0.335088 : 0.336982 : 0.327930 : 0.018318 : -0.037535 : -0.034212	6.0	0.010971	ATRM	0.393629 : 227.1 : 37.7	0.317710 : 137.9 : -1.0	0.288661 : 49.1 : 52.3	This study	Critical F: 3.1059									mgh03h07;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h07
	14.023621	15.466635	3.485522	0.337578 : 0.331087 : 0.331335 : 0.011301 : -0.029500 : -0.024286	9.0	0.009558	AARM	0.377183 : 224.8 : 39.7	0.324026 : 142.3 : -8.9	0.298791 : 62.6 : 48.9	This study	Critical F: 2.6848									mgh03h07;AARM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-ARM	g	mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h07
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03h08	Archeologic	Ceramic	7.809999999999999e-05	0.02	c	1.05	0.95	1.67	2.2	0.9	0.86	0.9	2.17	12.0	6.0	38.83	6e-05	Not Specified	858.0	423.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h08
7.55	3.791693	2.256864	2.484334	0.346143 : 0.318738 : 0.335119 : 0.015047 : 0.004154 : -0.012546	6.0	0.011169	ATRM	0.357451 : 198.5 : 25.3	0.333722 : 62.4 : 56.7	0.308826 : 298.5 : 20.1	This study	Critical F: 3.1059									mgh03h08;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h08
	4.097567	2.672507	2.450991	0.346758 : 0.319149 : 0.334092 : 0.021759 : 0.003059 : -0.014331	9.0	0.013101	AARM	0.363195 : 24.9 : -21.9	0.332906 : 69.8 : 60.4	0.303899 : 302.8 : 18.9	This study	Critical F: 2.6848									mgh03h08;AARM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-ARM	g	mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h08
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03i01	Archeologic	Ceramic	7.730000000000001e-05	0.02	c	1.12	0.92	1.33	1.33	0.79	0.78	0.83	2.94	8.0	4.0	31.62	6e-05	Not Specified	773.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i01
4.64	187.293463	70.802141	170.500665	0.262005 : 0.341060 : 0.396935 : -0.024826 : 0.015420 : -0.001171	6.0	0.004826	ATRM	0.401320 : 101.8 : 74.0	0.343896 : 106.6 : -15.9	0.254784 : 196.3 : 1.3	This study	Critical F: 3.1059									mgh03i01;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i01
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03i02	Archeologic	Ceramic	8.070000000000001e-05	0.03	c	1.05	0.92	1.84	2.84	0.82	0.81	0.85	2.66	9.0	4.0	20.39	6e-05	Not Specified	773.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i02
3.55	37.005421	16.555542	30.396368	0.318353 : 0.331553 : 0.350093 : 0.013885 : -0.024771 : 0.055286	6.0	0.009434	ATRM	0.394045 : 160.4 : -54.0	0.339757 : 245.2 : 3.8	0.266198 : 332.5 : -35.8	This study	Critical F: 3.1059									mgh03i02;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i02
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03i03	Archeologic	Ceramic	0.000107	0.02	c	0.8	0.93	0.6	5.6	0.99	0.91	0.88	3.26	14.0	6.0	42.39	6e-05	Not Specified	863.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i03
2.09	105.983464	23.962954	120.925737	0.382376 : 0.343529 : 0.274095 : 0.012795 : -0.026609 : 0.044511	6.0	0.006652	ATRM	0.398518 : 3.8 : 18.9	0.352466 : 267.6 : 17.5	0.249016 : 137.8 : 63.8	This study	Critical F: 3.1059									mgh03i03;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i03
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03i04	Archeologic	Ceramic	8.83e-05	0.02	c	0.99	0.94	0.56	3.37	0.99	0.9	0.87	3.1	14.0	6.0	52.1	6e-05	Not Specified	863.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i04
1.29	145.818411	86.674911	95.67179	0.351057 : 0.316768 : 0.332176 : 0.022979 : -0.022284 : 0.063227	6.0	0.005401	ATRM	0.405645 : 182.7 : -40.2	0.334533 : 251.4 : 23.2	0.259822 : 319.7 : -40.9	This study	Critical F: 3.1059									mgh03i04;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i04
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03i05	Archeologic	Ceramic	8.41e-05	0.01	c	1.02	0.93	1.23	3.98	0.81	0.84	0.83	1.65	9.0	4.0	48.41	6e-05	Not Specified	773.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i05
3.9	15.288033	4.55006	15.670867	0.315810 : 0.344748 : 0.339442 : 0.043901 : -0.005543 : 0.015509	6.0	0.01129	ATRM	0.377107 : 232.8 : -7.5	0.343049 : 297.0 : 73.2	0.279844 : 324.8 : -14.9	This study	Critical F: 3.1059									mgh03i05;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i05
5.13	61.572766	40.930088	36.086531	0.364545 : 0.308484 : 0.326971 : -0.015130 : -0.028823 : -0.054712	6.0	0.007954	ATRM	0.403833 : 183.6 : 36.3	0.331869 : 295.5 : 26.9	0.264298 : 52.5 : 41.9	This study	Critical F: 3.1059									mgh03i06;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i06
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03i07	Archeologic	Ceramic	7.82e-05	0.02	c	1.1	0.93	1.98	2.67	0.87	0.85	0.84	3.09	11.0	4.0	31.43	6e-05	Not Specified	773.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i07
2.18	31.612079	5.192448	39.719154	0.315001 : 0.314383 : 0.370616 : 0.037075 : 0.026611 : -0.023970	6.0	0.009676	ATRM	0.382870 : 125.5 : 71.0	0.351687 : 43.4 : -2.7	0.265443 : 134.4 : -18.8	This study	Critical F: 3.1059									mgh03i07;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i07
											This study											Archeologic	Ceramic																Not Specified						mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j01
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03j02	Archeologic	Ceramic	9.49e-05	0.04	c	0.96	0.99	8.84	5.78	0.9	0.88	0.89	3.96	11.0	4.0	21.69	6e-05	Not Specified	773.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j02
3.96	7.237343	5.158106	3.916811	0.335400 : 0.347592 : 0.317008 : -0.009309 : 0.005754 : -0.010304	6.0	0.007154	ATRM	0.355326 : 122.3 : 15.1	0.332348 : 37.1 : -17.2	0.312326 : 353.2 : 66.8	This study	Critical F: 3.1059									mgh03j02;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j02
											This study											Archeologic	Ceramic																Not Specified						mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j03
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03j04	Archeologic	Ceramic	8.73e-05	0.05	c	1.04	0.98	9.74	0.34	0.79	0.78	0.87	2.91	9.0	4.0	13.03	6e-05	Not Specified	743.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j04
4.16	7.003944	3.59925	5.204897	0.337717 : 0.315235 : 0.347048 : -0.002155 : 0.003110 : 0.007129	6.0	0.006163	ATRM	0.350986 : 6.0 : 62.0	0.334450 : 168.9 : 26.9	0.314565 : 82.5 : -7.0	This study	Critical F: 3.1059									mgh03j04;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j04
											This study											Archeologic	Ceramic																Not Specified						mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j05
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03j06	Archeologic	Ceramic	9.02e-05	0.04	c	1.01	0.99	5.52	0.89	0.83	0.81	0.88	3.6	10.0	4.0	18.25	6e-05	Not Specified	773.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j06
2.45	2.182001	0.965793	1.804896	0.324720 : 0.340082 : 0.335198 : 0.000821 : -0.005330 : -0.007539	6.0	0.007354	ATRM	0.344805 : 70.6 : -38.1	0.334584 : 122.2 : 38.3	0.320611 : 6.3 : 29.0	This study	Critical F: 3.1059									mgh03j06;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j06
											This study											Archeologic	Ceramic																Not Specified						mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j07
											This study											Archeologic	Ceramic																Not Specified						mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j08
											This study											Archeologic	Ceramic																Not Specified						mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j09
											This study											Archeologic	Ceramic																Not Specified						mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j10
											This study											Archeologic	Ceramic																Not Specified						mgh03k	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03k01
											This study											Archeologic	Ceramic																Not Specified						mgh03k	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03k02
											This study											Archeologic	Ceramic																Not Specified						mgh05a	pmagpy-3.4.1: thellier_gui.v.3.0	mgh05a01
											This study											Archeologic	Ceramic																Not Specified						mgh05a	pmagpy-3.4.1: thellier_gui.v.3.0	mgh05a02
											This study											Archeologic	Ceramic																Not Specified						mgh05a	pmagpy-3.4.1: thellier_gui.v.3.0	mgh05a03
											This study											Archeologic	Ceramic																Not Specified						mgh05a	pmagpy-3.4.1: thellier_gui.v.3.0	mgh05a04
											This study											Archeologic	Ceramic																Not Specified						mgh05a	pmagpy-3.4.1: thellier_gui.v.3.0	mgh05a05
											This study											Archeologic	Ceramic																Not Specified						mgh05a	pmagpy-3.4.1: thellier_gui.v.3.0	mgh05a06
											This study											Archeologic	Ceramic																Not Specified						mgh05b	pmagpy-3.4.1: thellier_gui.v.3.0	mgh05b01
											This study											Archeologic	Ceramic																Not Specified						mgh05b	pmagpy-3.4.1: thellier_gui.v.3.0	mgh05b02
