tab 	samples																			
azimuth	citations	cooling_rate	criteria	description	dip	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	result_type	sample	site	software_packages	specimens
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz09a, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	6.62E-05	1.63E-06	2.47	4	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz09a	hz09	thellier_gui.v.2.29:pmagpy-3.3.2	hz09a1:hz09a3:hz09a5:hz09a6
	This study	4.38E+11				Archeologic	Mixed Archeological Objects					33.017	Not Specified	35.568		i	hz09b	hz09		
	This study	4.38E+11				Archeologic	Mixed Archeological Objects					33.017	Not Specified	35.568		i	hz10a	hz10		
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.73E-05	5.42E-08	0.07	3	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz10b	hz10	thellier_gui.v.2.29:pmagpy-3.3.2	hz10b1:hz10b2:hz10b3
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz10b, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	7.73E-05	5.42E-08	0.07	3	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz10b	hz10	thellier_gui.v.2.29:pmagpy-3.3.2	hz10b1:hz10b2:hz10b3
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.48E-05	2.90E-06	4.47	4	33.017	Not Specified	35.568	IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz10c	hz10	thellier_gui.v.2.29:pmagpy-3.3.2	hz10c1:hz10c2:hz10c5:hz10c6
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz10c, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	6.48E-05	2.90E-06	4.47	4	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz10c	hz10	thellier_gui.v.2.29:pmagpy-3.3.2	hz10c1:hz10c2:hz10c5:hz10c6
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.59E-05	1.25E-06	1.89	3	33.017	Not Specified	35.568	IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz10d	hz10	thellier_gui.v.2.29:pmagpy-3.3.2	hz10d1:hz10d2:hz10d3
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz10d, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	6.59E-05	1.25E-06	1.89	3	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz10d	hz10	thellier_gui.v.2.29:pmagpy-3.3.2	hz10d1:hz10d2:hz10d3
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.84E-05	3.11E-08	0.05	3	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz11a	hz11	thellier_gui.v.2.29:pmagpy-3.3.2	hz11a1:hz11a2:hz11a3
