tab 	measurements
citations	experiment	instrument_codes	magn_moment	meas_field_dc	measurement_standard	measurement_temp	method_codes	number	quality	sample	scientists	site	specimen	treat_dc_field	treat_temp
This study	IS06a-1:LP-HYS	SIO-Maud	-4.205e+01	-3.482e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.277e+01	-3.653e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.345e+01	-3.824e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.412e+01	-3.996e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.474e+01	-4.167e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.536e+01	-4.340e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.594e+01	-4.511e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.650e+01	-4.682e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.704e+01	-4.854e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.758e+01	-5.025e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.809e+01	-5.198e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.859e+01	-5.369e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.908e+01	-5.541e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-4.956e+01	-5.712e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.002e+01	-5.883e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.047e+01	-6.056e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.093e+01	-6.228e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.137e+01	-6.399e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.181e+01	-6.570e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.223e+01	-6.743e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.264e+01	-6.914e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.305e+01	-7.086e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.347e+01	-7.257e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.388e+01	-7.429e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.426e+01	-7.601e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.466e+01	-7.772e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
This study	IS06a-1:LP-HYS	SIO-Maud	-5.505e+01	-7.944e-01	u	273	LP-HYS	1	g	IS06a	Erez ben Yosef	IS06	IS06a-1		273
