tab	specimens
specimen	sample	volume	susc_chi_volume
is056f3	is056f3	0.0	 0.000e+00
is056g2	is056g2	0.0	 0.000e+00
is056h3	is056h3	0.0	 0.000e+00
is101a2	is101a2	0.0	 0.000e+00
is101e2	is101e2	0.0	 0.000e+00
is101f2	is101f2	0.0	 0.000e+00
is101g2	is101g2	0.0	 0.000e+00
is101h2	is101h2	0.0	 0.000e+00
is102a1	is102a1	0.0	 0.000e+00
is102a2	is102a2	0.0	 0.000e+00
is102b1	is102b1	0.0	 0.000e+00
is102c2	is102c2	0.0	 0.000e+00
is102c3	is102c3	0.0	 0.000e+00
is102e2	is102e2	0.0	 0.000e+00
is102n2	is102n2	0.0	 0.000e+00
is102o2	is102o2	0.0	 0.000e+00
