tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
Bowles	10.1029/2005GC001141			287.00	30.5	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.41E-07		273	17	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	5.23E+02
Bowles	10.1029/2005GC001141			286.30	25.6	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.19E-07		273	18	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	5.48E+02
Bowles	10.1029/2005GC001141			285.60	32.3	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.30E-07		273	19	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	5.48E+02
Bowles	10.1029/2005GC001141			289.10	27	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.05E-07		273	20	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	5.73E+02
Bowles	10.1029/2005GC001141			286.70	31.8	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.15E-07		273	21	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	5.23E+02
Bowles	10.1029/2005GC001141			289.70	34.8	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.20E-07		273	22	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	5.73E+02
Bowles	10.1029/2005GC001141			293.20	27.6	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.85E-07		273	23	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	5.98E+02
Bowles	10.1029/2005GC001141			289.90	39.2	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.07E-07		273	24	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	5.98E+02
Bowles	10.1029/2005GC001141			290.20	25.8	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.71E-07		273	25	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			0	0	0	6.23E+02
Bowles	10.1029/2005GC001141			293.10	37	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	1.92E-07		273	26	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	5.73E+02
Bowles	10.1029/2005GC001141			292.60	41.1	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	2.02E-07		273	27	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	g		AL2360-1b	u			2.50E-05	0	90	6.23E+02
