tab 	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	external_database_ids	instrument_codes	magn_moment	magn_volume	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
This study	NRM:	0	25.6	11.0	999-U999A-1H-1-A-12.0_LP-DIR-AF	LORE[113379371]	IODP-SRM	1.3005071683001214e-06	0.01184	1	2.730e+02	999-U999A-1H-1-A-12.0_LP-DIR-AF-40	LT-NO:LP-DIR-AF	g	39	pmagpy-4.2.25-1	999-U999A-1H-1-A-12.0	u	2019-03-23T23:02:45Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	25.1	12.1	999-U999A-1H-1-A-12.0_LP-DIR-AF	LORE[113379361]	IODP-SRM:IODP-SRM-AF	1.2925294026829718e-06	0.011701999999999999	1	2.730e+02	999-U999A-1H-1-A-12.0_LP-DIR-AF-41	LT-AF-Z:LP-DIR-AF	g	40	pmagpy-4.2.25-1	999-U999A-1H-1-A-12.0	u	2019-03-23T23:05:09Z	0.002	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	26.4	11.9	999-U999A-1H-1-A-12.0_LP-DIR-AF	LORE[113379381]	IODP-SRM:IODP-SRM-AF	1.1860472550872499e-06	0.010745999999999999	1	2.730e+02	999-U999A-1H-1-A-12.0_LP-DIR-AF-42	LT-AF-Z:LP-DIR-AF	g	41	pmagpy-4.2.25-1	999-U999A-1H-1-A-12.0	u	2019-03-23T23:07:35Z	0.004	0	0	0	2	2.730e+02
This study	NRM:	0	270.7	73.2	999-U999A-1H-1-A-12.5_LP-DIR-AF	LORE[112708351]	IODP-SRM	4.613626516624422e-06	0.02972	1	2.730e+02	999-U999A-1H-1-A-12.5_LP-DIR-AF-43	LT-NO:LP-DIR-AF	g	42	pmagpy-4.2.25-1	999-U999A-1H-1-A-12.5	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	262.2	43.4	999-U999A-1H-1-A-12.5_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	1.2902932152421792e-06	0.0090542	1	2.730e+02	999-U999A-1H-1-A-12.5_LP-DIR-AF-44	LT-AF-Z:LP-DIR-AF	g	43	pmagpy-4.2.25-1	999-U999A-1H-1-A-12.5	u	2019-01-25T02:22:20Z	0.01	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	262.8	37.0	999-U999A-1H-1-A-12.5_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	7.760083038447463e-07	0.0055752	1	2.730e+02	999-U999A-1H-1-A-12.5_LP-DIR-AF-45	LT-AF-Z:LP-DIR-AF	g	44	pmagpy-4.2.25-1	999-U999A-1H-1-A-12.5	u	2019-01-25T02:25:24Z	0.02	0	0	0	2	2.730e+02
This study	NRM:	0	249.8	52.8	999-U999A-1H-1-A-120.0_LP-DIR-AF	LORE[112708351]	IODP-SRM	1.7177909099771137e-06	0.011661	1	2.730e+02	999-U999A-1H-1-A-120.0_LP-DIR-AF-46	LT-NO:LP-DIR-AF	g	45	pmagpy-4.2.25-1	999-U999A-1H-1-A-120.0	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	246.2	33.0	999-U999A-1H-1-A-120.0_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	9.774538357385478e-07	0.007123100000000001	1	2.730e+02	999-U999A-1H-1-A-120.0_LP-DIR-AF-47	LT-AF-Z:LP-DIR-AF	g	46	pmagpy-4.2.25-1	999-U999A-1H-1-A-120.0	u	2019-01-25T02:22:20Z	0.01	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	246.2	26.3	999-U999A-1H-1-A-120.0_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	6.557649472943792e-07	0.00489	1	2.730e+02	999-U999A-1H-1-A-120.0_LP-DIR-AF-48	LT-AF-Z:LP-DIR-AF	g	47	pmagpy-4.2.25-1	999-U999A-1H-1-A-120.0	u	2019-01-25T02:25:24Z	0.02	0	0	0	2	2.730e+02
This study	NRM:	0	247.6	52.7	999-U999A-1H-1-A-122.5_LP-DIR-AF	LORE[112708351]	IODP-SRM	1.711425207276088e-06	0.01162	1	2.730e+02	999-U999A-1H-1-A-122.5_LP-DIR-AF-49	LT-NO:LP-DIR-AF	g	48	pmagpy-4.2.25-1	999-U999A-1H-1-A-122.5	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	244.1	32.8	999-U999A-1H-1-A-122.5_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	9.75042069656484e-07	0.007109000000000001	1	2.730e+02	999-U999A-1H-1-A-122.5_LP-DIR-AF-50	LT-AF-Z:LP-DIR-AF	g	49	pmagpy-4.2.25-1	999-U999A-1H-1-A-122.5	u	2019-01-25T02:22:20Z	0.01	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	244.5	26.1	999-U999A-1H-1-A-122.5_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	6.518577489759557e-07	0.0048633	1	2.730e+02	999-U999A-1H-1-A-122.5_LP-DIR-AF-51	LT-AF-Z:LP-DIR-AF	g	50	pmagpy-4.2.25-1	999-U999A-1H-1-A-122.5	u	2019-01-25T02:25:24Z	0.02	0	0	0	2	2.730e+02
This study	NRM:	0	252.0	54.2	999-U999A-1H-1-A-125.0_LP-DIR-AF	LORE[112708351]	IODP-SRM	1.6063725049004045e-06	0.010855	1	2.730e+02	999-U999A-1H-1-A-125.0_LP-DIR-AF-52	LT-NO:LP-DIR-AF	g	51	pmagpy-4.2.25-1	999-U999A-1H-1-A-125.0	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	249.3	33.9	999-U999A-1H-1-A-125.0_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	8.79658365162294e-07	0.006389199999999999	1	2.730e+02	999-U999A-1H-1-A-125.0_LP-DIR-AF-53	LT-AF-Z:LP-DIR-AF	g	52	pmagpy-4.2.25-1	999-U999A-1H-1-A-125.0	u	2019-01-25T02:22:20Z	0.01	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	249.9	26.8	999-U999A-1H-1-A-125.0_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	5.784218543589099e-07	0.004306	1	2.730e+02	999-U999A-1H-1-A-125.0_LP-DIR-AF-54	LT-AF-Z:LP-DIR-AF	g	53	pmagpy-4.2.25-1	999-U999A-1H-1-A-125.0	u	2019-01-25T02:25:24Z	0.02	0	0	0	2	2.730e+02
This study	NRM:	0	260.4	55.8	999-U999A-1H-1-A-127.5_LP-DIR-AF	LORE[112708351]	IODP-SRM	1.560237672343544e-06	0.010492	1	2.730e+02	999-U999A-1H-1-A-127.5_LP-DIR-AF-55	LT-NO:LP-DIR-AF	g	54	pmagpy-4.2.25-1	999-U999A-1H-1-A-127.5	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	257.6	35.5	999-U999A-1H-1-A-127.5_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	8.382870217890767e-07	0.0060545	1	2.730e+02	999-U999A-1H-1-A-127.5_LP-DIR-AF-56	LT-AF-Z:LP-DIR-AF	g	55	pmagpy-4.2.25-1	999-U999A-1H-1-A-127.5	u	2019-01-25T02:22:20Z	0.01	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	258.1	28.2	999-U999A-1H-1-A-127.5_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	5.458691281332917e-07	0.0040458	1	2.730e+02	999-U999A-1H-1-A-127.5_LP-DIR-AF-57	LT-AF-Z:LP-DIR-AF	g	56	pmagpy-4.2.25-1	999-U999A-1H-1-A-127.5	u	2019-01-25T02:25:24Z	0.02	0	0	0	2	2.730e+02
This study	NRM:	0	260.2	53.9	999-U999A-1H-1-A-130.0_LP-DIR-AF	LORE[112708351]	IODP-SRM	1.6353023429323398e-06	0.011061	1	2.730e+02	999-U999A-1H-1-A-130.0_LP-DIR-AF-58	LT-NO:LP-DIR-AF	g	57	pmagpy-4.2.25-1	999-U999A-1H-1-A-130.0	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	257.0	34.2	999-U999A-1H-1-A-130.0_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	9.077229644004827e-07	0.006586799999999999	1	2.730e+02	999-U999A-1H-1-A-130.0_LP-DIR-AF-59	LT-AF-Z:LP-DIR-AF	g	58	pmagpy-4.2.25-1	999-U999A-1H-1-A-130.0	u	2019-01-25T02:22:20Z	0.01	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	257.1	27.0	999-U999A-1H-1-A-130.0_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	5.993844026165511e-07	0.0044596	1	2.730e+02	999-U999A-1H-1-A-130.0_LP-DIR-AF-60	LT-AF-Z:LP-DIR-AF	g	59	pmagpy-4.2.25-1	999-U999A-1H-1-A-130.0	u	2019-01-25T02:25:24Z	0.02	0	0	0	2	2.730e+02
