tab 	sites
age	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_type	samples	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
0.86	0.035	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.1		193.2	69.5	671	8	8				7.9896	0							-78.245		McMurdo	163.231	DE-DI:DE-FM	i		mc105	pmagpy-2.60	mc105a2 : mc105c1 : mc105d1 : mc105f1 : mc105g1 : mc105h1 : mc105j1:mc105a1							1.2	4.1	-64.5	1.8	8
0.86	0.035	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.00002862	0.000001917	6.697	4	-78.245		McMurdo	163.231	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc105c : mc105d : mc105j:mc105a	mc105	pmagpy-2.60	mc105c1 : mc105d1 : mc105j1:mc105a2	3.759E+22	4	2.518E+21	4.328E+22	4	2.898E+21					
																																mc105													
13.42	0.09	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.8	A	19.5	-76.7	410.8	5		5	0	n	4.9903	0	Extrusive:Igneous	Lava Flow					-78.21	Basalt	McMurdo	163.308	DA-DIR-GEO:DE-FM			mc106	pmagpy-2.60	mc106b1 : mc106c1 : mc106d1 : mc106e1:mc106a1											
13.42	0.09	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.8		19.5	-76.7	410.8	5	5				4.9903	0							-78.21		McMurdo	163.308	DE-DI:DE-FM	i		mc106	pmagpy-2.60	mc106b1 : mc106c1 : mc106d1 : mc106e1:mc106a1							3.4	7.4	75.3	197.5	5
																																mc106													
2.57	0.19	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2	A	96	-84.8	1007.6	7		5	2	n	6.995	0	Extrusive:Igneous	Lava Flow					-78.204	Basalt	McMurdo	163.347	DA-DIR-GEO:DE-FM			mc107	pmagpy-2.60	mc107d2 : mc107e1 : mc107e2 : mc107h1 : mc107k1 : mc107l1:mc107c1											
2.57	0.19	Ma	Lisa Tauxe	This study	IE-SPEC																0.00001524	0	0	1			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc107e	mc107	pmagpy-2.60	mc107e2											
2.57	0.19	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2		96	-84.8	1007.6	7	7				6.995	0							-78.204		McMurdo	163.347	DE-DI:DE-FM	i		mc107	pmagpy-2.60	mc107d2 : mc107e1 : mc107e2 : mc107h1 : mc107k1 : mc107l1:mc107c1							4.5	3.9	73.6	304.3	7
																																mc107													
