tab 	samples														
azimuth	azimuth_dec_correction	citations	description	dip	geologic_classes	geologic_types	lat	lithologies	lon	magic_method_codes	method_codes	orientation_flag	sample	site	cooling_rate
97	0	This study	"Archived samples from 1965, 66 expeditions."	-22	Extrusive:Igneous	Lava Flow	-77.83	Basalt	166.67	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc06g	mc06	1.00E+10
81	0	This study	"Archived samples from 1965, 66 expeditions."	-22	Extrusive:Igneous	Lava Flow	-77.83	Basalt	166.67	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc06h	mc06	1.00E+10
70	0	This study	"Archived samples from 1965, 66 expeditions."	-50	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.72	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc07a	mc07	1.00E+10
314	0	This study	"Archived samples from 1965, 66 expeditions."	-47	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.72	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc07b	mc07	1.00E+10
304	0	This study	"Archived samples from 1965, 66 expeditions."	-53	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.72	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc07c	mc07	1.00E+10
270	0	This study	"Archived samples from 1965, 66 expeditions."	-45	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.72	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc07d	mc07	1.00E+10
290	0	This study	"Archived samples from 1965, 66 expeditions."	-49	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.72	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc07e	mc07	1.00E+10
299	0	This study	"Archived samples from 1965, 66 expeditions."	-50	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.72	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc07f	mc07	1.00E+10
273	0	This study	"Archived samples from 1965, 66 expeditions."	-39	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.72	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc07g	mc07	1.00E+10
320	0	This study	"Archived samples from 1965, 66 expeditions."	-51	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.72	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc07h	mc07	1.00E+10
245	0	This study	"Archived samples from 1965, 66 expeditions."	-54	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.83	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc08a	mc08	1.00E+10
320	0	This study	"Archived samples from 1965, 66 expeditions."	-35	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.83	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc08b	mc08	1.00E+10
197	0	This study	"Archived samples from 1965, 66 expeditions."	-32	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.83	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc08c	mc08	1.00E+10
74	0	This study	"Archived samples from 1965, 66 expeditions."	-28	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.83	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc08d	mc08	1.00E+10
345	0	This study	"Archived samples from 1965, 66 expeditions."	-27	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.83	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc08e	mc08	1.00E+10
234	0	This study	"Archived samples from 1965, 66 expeditions."	-49	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.83	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc08f	mc08	1.00E+10
315	0	This study	"Archived samples from 1965, 66 expeditions."	-48	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.83	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc08g	mc08	1.00E+10
292	0	This study	"Archived samples from 1965, 66 expeditions."	-32	Extrusive:Igneous	Lava Flow	-77.8	Basalt	166.83	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc08h	mc08	1.00E+10
14	0	This study	"Archived samples from 1965, 66 expeditions."	-50	Extrusive:Igneous	Lava Flow	-77.55	Trachyte	166.2	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc09a	mc09	1.00E+10
85	0	This study	"Archived samples from 1965, 66 expeditions."	-48	Extrusive:Igneous	Lava Flow	-77.55	Trachyte	166.2	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc09b	mc09	1.00E+10
54	0	This study	"Archived samples from 1965, 66 expeditions."	-67	Extrusive:Igneous	Lava Flow	-77.55	Trachyte	166.2	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc09c	mc09	1.00E+10
37	0	This study	"Archived samples from 1965, 66 expeditions."	-76	Extrusive:Igneous	Lava Flow	-77.55	Trachyte	166.2	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc09d	mc09	1.00E+10
36	0	This study	"Archived samples from 1965, 66 expeditions."	-71	Extrusive:Igneous	Lava Flow	-77.55	Trachyte	166.2	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc09e	mc09	1.00E+10
67	0	This study	"Archived samples from 1965, 66 expeditions."	-75	Extrusive:Igneous	Lava Flow	-77.55	Trachyte	166.2	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc09f	mc09	1.00E+10
291	0	This study	"Archived samples from 1965, 66 expeditions."	-57	Extrusive:Igneous	Lava Flow	-77.55	Trachyte	166.2	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc09g	mc09	1.00E+10
337	0	This study	"Archived samples from 1965, 66 expeditions."	-56	Extrusive:Igneous	Lava Flow	-77.55	Trachyte	166.2	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc09h	mc09	1.00E+10
359.9	0	This study		-65	Extrusive:Igneous	Lava Flow	-78.302	Basalt	162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc100a	mc100	1.00E+10
351.6	0	This study		-62	Extrusive:Igneous	Lava Flow	-78.302	Basalt	162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc100b	mc100	1.00E+10
358.5	0	This study		-42	Extrusive:Igneous	Lava Flow	-78.302	Basalt	162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc100c	mc100	1.00E+10
344.5	0	This study		-47	Extrusive:Igneous	Lava Flow	-78.302	Basalt	162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc100d	mc100	1.00E+10
350.7	0	This study		-47.5	Extrusive:Igneous	Lava Flow	-78.302	Basalt	162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc100e	mc100	1.00E+10
333.9	0	This study		-48	Extrusive:Igneous	Lava Flow	-78.302	Basalt	162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc100f	mc100	1.00E+10
205.1	0	This study		-28.5	Extrusive:Igneous	Lava Flow	-78.302	Basalt	162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc100g	mc100	1.00E+10
194.9	0	This study		-31	Extrusive:Igneous	Lava Flow	-78.302	Basalt	162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc100h	mc100	1.00E+10
231.3	0	This study		-21	Extrusive:Igneous	Lava Flow	-78.302	Basalt	162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc100i	mc100	1.00E+10
200.8	0	This study		-22	Extrusive:Igneous	Lava Flow	-78.302	Basalt	162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc100j	mc100	1.00E+10
150	0	This study		-64	Extrusive:Igneous	Lava Flow	-78.306	Basalt	162.928	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc101a	mc101	1.00E+10
129.4	0	This study		-49.5	Extrusive:Igneous	Lava Flow	-78.306	Basalt	162.928	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc101b	mc101	1.00E+10
129	0	This study		-50.5	Extrusive:Igneous	Lava Flow	-78.306	Basalt	162.928	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc101c	mc101	1.00E+10
141.8	0	This study		-68	Extrusive:Igneous	Lava Flow	-78.306	Basalt	162.928	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc101d	mc101	1.00E+10
147.5	0	This study		-72.5	Extrusive:Igneous	Lava Flow	-78.306	Basalt	162.928	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc101e	mc101	1.00E+10
139.2	0	This study		-73.5	Extrusive:Igneous	Lava Flow	-78.306	Basalt	162.928	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc101f	mc101	1.00E+10
136.7	0	This study		-45.5	Extrusive:Igneous	Lava Flow	-78.306	Basalt	162.928	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc101g	mc101	1.00E+10
131.9	0	This study		-65	Extrusive:Igneous	Lava Flow	-78.306	Basalt	162.928	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc101h	mc101	1.00E+10
137.2	0	This study		-62	Extrusive:Igneous	Lava Flow	-78.306	Basalt	162.928	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc101i	mc101	1.00E+10
156.3	0	This study		-79	Extrusive:Igneous	Lava Flow	-78.306	Basalt	162.928	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc101j	mc101	1.00E+10
241.4	0	This study		-79.5	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.352	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc102a	mc102	1.00E+10
222.8	0	This study		-82.5	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.352	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc102b	mc102	1.00E+10
252.8	0	This study		-61	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.352	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc102c	mc102	1.00E+10
240.2	0	This study		-57	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.352	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc102d	mc102	1.00E+10
302.1	0	This study		-56	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.352	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc102e	mc102	1.00E+10
240.5	0	This study		-84	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.352	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc102f	mc102	1.00E+10
244.2	0	This study		-72	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.352	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc102g	mc102	1.00E+10
246.7	0	This study		-76	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.352	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc102h	mc102	1.00E+10
119	0	This study		-72	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.352	FS-LOC-GPS:SO-CMD-NORTH:SO-POM:FS-FD	FS-LOC-GPS : SO-CMD-NORTH: SO-POM :FS-FD	b	mc102i	mc102	1.00E+10
277.9	0	This study		-75	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.352	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc102j	mc102	1.00E+10
226.9	0	This study		-51	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.352	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc102k	mc102	1.00E+10
251.3	0	This study		-82	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.352	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc102l	mc102	1.00E+10
296.7	0	This study		-66	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.352	FS-LOC-GPS:SO-CMD-NORTH:SO-POM:FS-FD	FS-LOC-GPS : SO-CMD-NORTH: SO-POM :FS-FD	b	mc102m	mc102	1.00E+10
147.8	0	This study		-37	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc103a	mc103	1.00E+10
141.2	0	This study		-45	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc103b	mc103	1.00E+10
151.2	0	This study		-59.5	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc103c	mc103	1.00E+10
152.5	0	This study		-71	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc103d	mc103	1.00E+10
159.7	0	This study		-57	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc103e	mc103	1.00E+10
147	0	This study		-74.5	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc103f	mc103	1.00E+10
140.9	0	This study		-73	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc103g	mc103	1.00E+10
150.4	0	This study		-62	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc103h	mc103	1.00E+10
147.7	0	This study		-67	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc103i	mc103	1.00E+10
142.4	0	This study		-64	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc103j	mc103	1.00E+10
128.1	0	This study		-58.5	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc103k	mc103	1.00E+10
173.1	0	This study		-42.5	Extrusive:Igneous	Lava Flow	-78.235	Basalt	163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc103l	mc103	1.00E+10
37.5	0	This study		-70	Extrusive:Igneous	Lava Flow	-78.238	Basalt	163.401	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc104a	mc104	1.00E+10
32.8	0	This study		-85	Extrusive:Igneous	Lava Flow	-78.238	Basalt	163.401	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc104b	mc104	1.00E+10
66.1	0	This study		-82	Extrusive:Igneous	Lava Flow	-78.238	Basalt	163.401	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc104c	mc104	1.00E+10
66.8	0	This study		-94	Extrusive:Igneous	Lava Flow	-78.238	Basalt	163.401	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc104d	mc104	1.00E+10
53.3	0	This study		-56.5	Extrusive:Igneous	Lava Flow	-78.238	Basalt	163.401	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	FS-LOC-GPS : SO-POM : SO-SUN:FS-FD	g	mc104e	mc104	1.00E+10
