tab 	specimens
analyst_names	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_mean	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_tilt_correction	experiment_names	geologic_classes	geologic_types	hyst_bc	hyst_bcr	hyst_mr_moment	hyst_ms_moment	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_dang	int_drats	int_f	int_fvds	int_gamma	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	software_packages	specimen
@ltauxe														This study				178.1	12.9			-1	mc01g-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					2.0125e-05	-0.503	0.019	0.01	u	4.1	1.7	0.629	0.592	10.2	1.7	-1	4	5	21	0.9993	4e-05	Trachyte	523	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc01g	pmagpy-2.60	mc01g
@ltauxe														This study			A	249	80.1	1.2	8	0	mc01h-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Trachyte	823	523	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc01h	pmagpy-2.58	mc01h
@ltauxe														This study			A	326	-80.9	1.4	11	0	mc02a-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc02a	pmagpy-2.58	mc02a
@ltauxe														This study			A	348	-79.1	1	6	0	mc02b-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	623	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc02b	pmagpy-2.58	mc02b
@ltauxe														This study			A	333.3	-81.8	0.5	6	0	mc02c-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.12	0.03	T	LP-DIR-AF : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc02c	pmagpy-2.58	mc02c
														This study										Igneous : Extrusive	Lava Flow																						Basalt					mc02e		mc02e
@ltauxe														This study				9.6	-42.3			-1	mc02f-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					1.6748e-05	-0.419	0.144	0.06	u	1.8	11.7	0.603	0.468	1.7	1.5	-1	5	5	3.1	0.939	4e-05	Basalt	573	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc02f	pmagpy-2.60	mc02f
@ltauxe														This study			A	274.5	7.1	3	12	0	mc02f-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	273	K	LP-DIR-T : SO-SIGHT : DE-BFP : DA-DIR-GEO	mc02f	pmagpy-2.58	mc02f
@ltauxe														This study			A	318.4	-80	0.8	15	0	mc02g-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc02g	pmagpy-2.58	mc02g
@ltauxe														This study			A	323.3	-78	2.1	10	0	mc02h-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	423	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc02h	pmagpy-2.58	mc02h
@ltauxe														This study			A	335	-85.2	1.9	8	0	mc03a-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	523	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc03a	pmagpy-2.58	mc03a
@ltauxe														This study			A	340.4	-83.9	0.4	11	0	mc03b-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.01	T	LP-DIR-AF : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc03b	pmagpy-2.58	mc03b
@ltauxe														This study			A	0.9	-81.1	1.6	10	0	mc03c-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	423	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc03c	pmagpy-2.58	mc03c
@ltauxe														This study			A	335.1	-81.9	0.9	15	0	mc03d-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc03d	pmagpy-2.58	mc03d
@ltauxe														This study			A	17.3	-82.2	2.4	8	0	mc03f-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	523	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc03f	pmagpy-2.58	mc03f
@ltauxe														This study			A	353.9	-80.6	0.7	4	0	mc03h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Basalt	523	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc03h	pmagpy-2.58	mc03h
@ltauxe														This study			A	288.9	-83.8	0.7	15	0	mc04a-LP-DIR-AF	Igneous : Intrusive	Volcanic Dike									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc04a	pmagpy-2.58	mc04a
@ltauxe														This study			A	70.6	-83.4	0.9	11	0	mc04b-LP-DIR-T	Igneous : Intrusive	Volcanic Dike									u													Basalt	823	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc04b	pmagpy-2.58	mc04b
@jsteindorf														This study									mc04c-1 : LP-HYS	Igneous : Intrusive	Volcanic Dike	0.006121	0.015	5.804E-07	0.000001951																		Basalt				LT-AF-I : LP-AN-ARM : LP-BCR-HDM	mc04c		mc04c-1
@ltauxe														This study			A	349.6	-85.6	0.8	7	0	mc04e-LP-DIR-T	Igneous : Intrusive	Volcanic Dike									u													Basalt	673	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc04e	pmagpy-2.58	mc04e
@ltauxe														This study			A	340.3	-86.1	0.9	7	0	mc04f-LP-DIR-T	Igneous : Intrusive	Volcanic Dike									u													Basalt	673	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc04f	pmagpy-2.58	mc04f
@ltauxe														This study			A	0.9	3.5	1.6	7	0	mc04g-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Intrusive	Volcanic Dike									u													Basalt	623	273	K	LP-DIR-T : SO-SIGHT : DE-BFP : DA-DIR-GEO	mc04g	pmagpy-2.58	mc04g
														This study										Igneous : Intrusive	Volcanic Dike																						Basalt					mc04h		mc04h
@ltauxe														This study			A	5	-82	0.5	9	0	mc06a-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc06a	pmagpy-2.58	mc06a
@ltauxe														This study			A	15.3	-70	0.6	15	0	mc06c-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc06c	pmagpy-2.58	mc06c
@ltauxe														This study			A	12.5	-80.4	0.6	10	0	mc06d-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc06d	pmagpy-2.58	mc06d
@ltauxe														This study			A	23	-81.4	0.7	10	0	mc06g-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	423	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc06g	pmagpy-2.58	mc06g
@ltauxe														This study			A	10.2	-79.9	1.3	9	0	mc06h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	423	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc06h	pmagpy-2.58	mc06h
@ltauxe														This study				338.9	-63			-1	mc06h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow					2.7673e-05	-0.692	0.133	0.092	u	1	24.9	0.57	0.587	0.2	2	-1	8	4	3.2	0.8973	4e-05	Basalt	773	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DE-BFL	mc06h	pmagpy-2.60	mc06h
@ltauxe														This study			A	161.6	-68.1	1.6	10	0	mc07b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	423	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc07b	pmagpy-2.58	mc07b
@ltauxe														This study			A	160.1	-68.6	1.4	8	0	mc07c-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	773	423	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc07c	pmagpy-2.58	mc07c
@ltauxe														This study			A	153.5	-72.4	3	9	0	mc07d-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	423	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc07d	pmagpy-2.58	mc07d
@ltauxe														This study			A	152.9	-71.6	1.7	14	0	mc07e-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.0075	T	LP-DIR-AF : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc07e	pmagpy-2.58	mc07e
@ltauxe														This study			A	155.3	-64.5	2.9	8	0	mc07f-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	423	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc07f	pmagpy-2.58	mc07f
@ltauxe														This study				16.4	-50.8			-1	mc08a-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					4.4894e-05	-1.122	0.046	0.051	u	1.3	0.3	0.87	0.849	0.8	2.4	-1	11	5	15.8	0.9812	4e-05	Basalt	823	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc08a	pmagpy-2.60	mc08a
@ltauxe														This study			A	29.9	-73.7	2.8	9	0	mc08a-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Basalt	773	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc08a	pmagpy-2.58	mc08a
@ltauxe														This study				16.8	-47			-1	mc08b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					4.1879e-05	-1.047	0.084	0.088	u	1.2	4.3	0.816	0.786	0.4	2.4	-1	10	5	7.8	0.944	4e-05	Basalt	798	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc08b	pmagpy-2.60	mc08b
@ltauxe														This study			A	21.3	-76.4	2	8	0	mc08b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	523	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc08b	pmagpy-2.58	mc08b
@ltauxe														This study			A	17.2	-79.6	0.3	9	0	mc08c-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc08c	pmagpy-2.58	mc08c
@ltauxe														This study			A	50.7	-79.9	0.5	13	0	mc08d-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc08d	pmagpy-2.58	mc08d
@ltauxe														This study			A	58.7	-78.9	1.2	9	0	mc08e-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	423	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc08e	pmagpy-2.58	mc08e
@ltauxe														This study			A	58.2	-78.6	1.5	11	0	mc08f-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Basalt	823	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc08f	pmagpy-2.58	mc08f
@ltauxe														This study			A	47.4	-79	1	6	0	mc08g-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	623	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc08g	pmagpy-2.58	mc08g
@ltauxe														This study				7.5	-42.7			-1	mc08g-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					4.3302e-05	-1.083	0.085	0.092	u	3.8	12	0.711	0.703	1.1	3.2	-1	9	5	6.6	0.9503	4e-05	Basalt	773	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc08g	pmagpy-2.60	mc08g
@ltauxe														This study			A	32.3	-77.2	1.6	10	0	mc08h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	423	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc08h	pmagpy-2.58	mc08h
@ltauxe														This study				20.9	-57.6			-1	mc08h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					4.3998e-05	-1.1	0.03	0.033	u	2.6	21.9	0.624	0.624	2.2	1.8	-1	8	4	17.5	0.9946	4e-05	Basalt	723	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc08h	pmagpy-2.60	mc08h
@ltauxe														This study				351.7	-46.7			-1	mc09a-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					2.7135e-05	-0.678	0.077	0.052	u	5.6	16.1	0.574	0.584	0.6	4.1	-1	8	5	6.1	0.9646	4e-05	Trachyte	723	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc09a	pmagpy-2.60	mc09a
@ltauxe														This study			A	283.4	-81.4	3.2	5	0	mc09a-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Trachyte	773	573	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc09a	pmagpy-2.58	mc09a
@ltauxe														This study			A	247.9	-81.6	3.1	9	0	mc09b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Trachyte	773	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc09b	pmagpy-2.58	mc09b
@ltauxe														This study				3.8	-50			-1	mc09b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					2.6079e-05	-0.652	0.101	0.066	u	3.8	8.2	0.67	0.694	1.4	3.1	-1	9	5	5.6	0.9302	4e-05	Trachyte	773	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc09b	pmagpy-2.60	mc09b
@ltauxe														This study			A	245.2	-80.6	1.1	11	0	mc09c-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Trachyte	823	373	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc09c	pmagpy-2.58	mc09c
@ltauxe														This study				351.7	-19.4			-1	mc09d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow					2.8092e-05	-0.702	0.042	0.029	u	4.4	16.3	0.707	0.666	1.5	3.7	-1	9	5	14	0.9878	4e-05	Trachyte	773	373	K	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DE-BFL	mc09d	pmagpy-2.60	mc09d
@ltauxe														This study			A	248.8	-77.8	1.2	6	0	mc09d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Igneous : Extrusive	Lava Flow									u													Trachyte	823	623	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc09d	pmagpy-2.58	mc09d
@ltauxe														This study			A	265.7	-82.2	3.7	5	0	mc09e-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Trachyte	798	623	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc09e	pmagpy-2.58	mc09e
@ltauxe														This study			A	235.1	-78.5	1	7	0	mc09f-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Trachyte	823	573	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc09f	pmagpy-2.58	mc09f
@ltauxe														This study			A	297.2	-85	0.8	9	0	mc09g-LP-DIR-T	Igneous : Extrusive	Lava Flow									u													Trachyte	823	473	K	LP-DIR-T : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc09g	pmagpy-2.58	mc09g
@ltauxe														This study			A	8.5	-85.8	1.2	11	0	mc09h-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Trachyte	0.18	0.01	T	LP-DIR-AF : SO-SIGHT : DE-BFL : DA-DIR-GEO	mc09h	pmagpy-2.58	mc09h
@ltauxe														This study			A	18.4	-71.6	2	14	0	mc100a1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc100a	pmagpy-2.58	mc100a1
@ltauxe														This study			A	1.8	-75.5	1.9	10	0	mc100d1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.12	0.01	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc100d	pmagpy-2.58	mc100d1
@ltauxe														This study			A	13.4	-77.1	1.6	13	0	mc100e1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc100e	pmagpy-2.58	mc100e1
@ltauxe														This study			A	87.5	4	2.7	11	0	mc100e2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	843	673	K	LP-DIR-T : SO-SUN : DE-BFP : DA-DIR-GEO	mc100e	pmagpy-2.58	mc100e2
@ltauxe														This study			A	71.8	5.7	3.3	13	0	mc100f2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	843	573	K	LP-DIR-T : SO-SUN : DE-BFP : DA-DIR-GEO	mc100f	pmagpy-2.58	mc100f2
@ltauxe														This study			A	3.9	-80.5	1.5	11	0	mc100g1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.12	0.005	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc100g	pmagpy-2.58	mc100g1
@ltauxe														This study			A	137.6	-7	10.3	17	0	mc100g2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	843	273	K	LP-DIR-T : SO-SUN : DE-BFP : DA-DIR-GEO	mc100g	pmagpy-2.58	mc100g2
@ltauxe														This study			A	5.8	-77.7	1.9	11	0	mc100h2-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.12	0.005	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc100h	pmagpy-2.58	mc100h2
@ltauxe														This study			A	39.7	-79.3	1.6	11	0	mc101a1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.15	0.01	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc101a	pmagpy-2.58	mc101a1
@ltauxe														This study			A	69.9	-84.7	2	12	0	mc101b1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.15	0.005	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc101b	pmagpy-2.58	mc101b1
@ltauxe														This study			A	59.4	-82.5	2.1	11	0	mc101c1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.15	0.01	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc101c	pmagpy-2.58	mc101c1
@ltauxe														This study			A	30.1	-77.7	1.1	10	0	mc101d1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.1	0.005	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc101d	pmagpy-2.58	mc101d1
@ltauxe														This study			A	24.9	-79.8	1.4	8	0	mc101f1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.06	0.005	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc101f	pmagpy-2.58	mc101f1
@ltauxe														This study			A	31.2	-78	1.9	8	0	mc101h1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.06	0.005	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc101h	pmagpy-2.58	mc101h1
@ltauxe														This study			A	139.4	75.5	1.3	13	0	mc102a1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc102a	pmagpy-2.58	mc102a1
@ltauxe														This study			A	330.7	14	3.1	9	0	mc102a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	573	K	LP-DIR-T : SO-SUN : DE-BFP : DA-DIR-GEO	mc102a	pmagpy-2.58	mc102a2
@ltauxe														This study			A	149.6	75.1	3.6	8	0	mc102b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	Igneous : Extrusive	Lava Flow									u													Basalt	823	623	K	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	mc102b	pmagpy-2.58	mc102b1
@ltauxe														This study			A	131.5	73.9	1.7	13	0	mc102b2-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc102b	pmagpy-2.58	mc102b2
@ltauxe														This study			A	178.5	75.6	1.7	13	0	mc102e1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc102e	pmagpy-2.58	mc102e1
@ltauxe														This study			A	157.1	78.9	1.3	11	0	mc102f1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.015	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc102f	pmagpy-2.58	mc102f1
@ltauxe														This study			A	150.5	71.8	2.1	13	0	mc102g1-LP-DIR-AF	Igneous : Extrusive	Lava Flow									u													Basalt	0.18	0.005	T	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	mc102g	pmagpy-2.58	mc102g1
														This study										Igneous : Extrusive	Lava Flow																						Basalt					mc102m		mc102m2
