tab 	images
citations	file	keywords	location	photographers	site	timestamp	title	type
This study	DSC_0083.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	McMurdo	Hubert Staudigel	mc200	2006:11:24:00:00:00.00	MC200 detail of samples	Outcrop
This study	DSC_0084.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	McMurdo	Hubert Staudigel	mc200	2006:11:24:00:00:00.00	MC200 detail of samples	Outcrop
This study	DSC_0085.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	McMurdo	Hubert Staudigel	mc200	2006:11:24:00:00:00.00	MC200 detail of samples	Outcrop
This study	DSC_0086.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	McMurdo	Hubert Staudigel	mc200	2006:11:24:00:00:00.00	MC200 detail of samples	Outcrop
This study	DSC_0087.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	McMurdo	Hubert Staudigel	mc200	2006:11:24:00:00:00.00	MC200 detail of samples	Outcrop
This study	DSC_0088.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	McMurdo	Hubert Staudigel	mc200	2006:11:24:00:00:00.00	MC200 detail of samples	Outcrop
This study	DSC_0089.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Royds	McMurdo	Hubert Staudigel	mc200	2006:11:24:00:00:00.00	MC200 detail of samples	Outcrop
This study	DSC_0226.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	McMurdo	Hubert Staudigel	mc201	2006:11:27:00:00:00.00	MC201 overview	Outcrop
This study	DSC_0227.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	McMurdo	Hubert Staudigel	mc201	2006:11:27:00:00:00.00	MC201 detail of samples	Outcrop
This study	DSC_0228.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	McMurdo	Hubert Staudigel	mc201	2006:11:27:00:00:00.00	MC201 detail of samples	Outcrop
This study	DSC_0229.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	McMurdo	Hubert Staudigel	mc201	2006:11:27:00:00:00.00	MC201 detail of samples	Outcrop
This study	DSC_0230.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	McMurdo	Hubert Staudigel	mc201	2006:11:27:00:00:00.00	MC201 detail of samples	Outcrop
This study	DSC_0231.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	McMurdo	Hubert Staudigel	mc201	2006:11:27:00:00:00.00	MC201 detail of samples	Outcrop
This study	DSC_0232.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	McMurdo	Hubert Staudigel	mc201	2006:11:27:00:00:00.00	MC201 detail of samples	Outcrop
This study	DSC_0233.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	McMurdo	Hubert Staudigel	mc201	2006:11:27:00:00:00.00	MC201 detail of samples	Outcrop
This study	DSC_0234.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	McMurdo	Hubert Staudigel	mc201	2006:11:27:00:00:00.00	MC201 detail of samples	Outcrop
This study	DSC_0235.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	McMurdo	Hubert Staudigel	mc201	2006:11:27:00:00:00.00	MC201 detail of samples	Outcrop
This study	DSC_0240.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	McMurdo	Hubert Staudigel	mc202	2006:11:27:00:00:00.00	MC202 overview	Outcrop
This study	DSC_0242.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	McMurdo	Hubert Staudigel	mc202	2006:11:27:00:00:00.00	MC202 detail of samples	Outcrop
This study	DSC_0243.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	McMurdo	Hubert Staudigel	mc202	2006:11:27:00:00:00.00	MC202 detail of samples	Outcrop
This study	DSC_0244.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	McMurdo	Hubert Staudigel	mc202	2006:11:27:00:00:00.00	MC202 detail of samples	Outcrop
This study	DSC_0245.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	McMurdo	Hubert Staudigel	mc202	2006:11:27:00:00:00.00	MC202 detail of samples	Outcrop
This study	DSC_0246.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	McMurdo	Hubert Staudigel	mc202	2006:11:27:00:00:00.00	MC202 detail of samples	Outcrop
This study	DSC_0247.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	McMurdo	Hubert Staudigel	mc202	2006:11:27:00:00:00.00	MC202 detail of samples	Outcrop
This study	DSC_0248.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	McMurdo	Hubert Staudigel	mc202	2006:11:27:00:00:00.00	MC202 detail of samples	Outcrop
This study	DSC_0249.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	McMurdo	Hubert Staudigel	mc202	2006:11:27:00:00:00.00	MC202 detail of samples	Outcrop
This study	DSC_0168.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	McMurdo	Hubert Staudigel	mc203	2006:11:27:00:00:00.00	MC203 drilling	Outcrop
This study	DSC_0181.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	McMurdo	Hubert Staudigel	mc203	2006:11:27:00:00:00.00	MC203 drilling	Outcrop
This study	DSC_0188.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	McMurdo	Hubert Staudigel	mc203	2006:11:27:00:00:00.00	MC203 drilling	Outcrop
This study	DSC_0196.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	McMurdo	Hubert Staudigel	mc203	2006:11:27:00:00:00.00	MC203 drilling	Outcrop
This study	DSC_0252.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	McMurdo	Hubert Staudigel	mc203	2006:11:27:00:00:00.00	MC203 drilling	Outcrop
This study	DSC_0253.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	McMurdo	Hubert Staudigel	mc203	2006:11:27:00:00:00.00	MC203 detail of samples	Outcrop
This study	DSC_0254.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	McMurdo	Hubert Staudigel	mc203	2006:11:27:00:00:00.00	MC203 detail of samples	Outcrop
This study	DSC_0255.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	McMurdo	Hubert Staudigel	mc203	2006:11:27:00:00:00.00	MC203 detail of samples	Outcrop
This study	DSC_0256.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	McMurdo	Hubert Staudigel	mc203	2006:11:27:00:00:00.00	MC203 detail of samples	Outcrop
This study	DSC_0257.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	McMurdo	Hubert Staudigel	mc203	2006:11:27:00:00:00.00	MC203 detail of samples	Outcrop
This study	DSC_0258.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	McMurdo	Hubert Staudigel	mc203	2006:11:27:00:00:00.00	MC203 detail of samples	Outcrop
This study	DSC_0259.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Barnes Dike	McMurdo	Hubert Staudigel	mc203	2006:11:27:00:00:00.00	MC203 detail of samples	Outcrop
This study	DSC_0200.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 detail of samples	Outcrop
This study	DSC_0201.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 detail of samples	Outcrop
This study	DSC_0202.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 detail of samples	Outcrop
This study	DSC_0203.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 detail of samples	Outcrop
This study	DSC_0204.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 detail of samples	Outcrop
This study	DSC_0205.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 detail of samples	Outcrop
This study	DSC_0206.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	McMurdo	Hubert Staudigel	mc204	2006:11:28:00:00:00.00	MC204 detail of samples	Outcrop
