tab 	sites																																														
	age	age_sigma	age_unit	analysts	citations	criterion	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_type	samples	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.2	A	156.9	-69.1	555.9	5		5	0	n	4.9928	0	Igneous : Extrusive	Lava Flow					-77.8	Basalt	McMurdo	166.72	DE-FM : DA-DIR-GEO			mc07	pmagpy-2.60	mc07b : mc07c : mc07d : mc07e : mc07f												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc07, Site VGPA comp: (geog. coord)."	3.2	A	156.9	-69.1	555.9	5	5				4.9928	0	Igneous : Extrusive	Lava Flow					-77.8	Basalt	McMurdo	166.72	DE-FM : DE-DI	i		mc07	pmagpy-2.60	mc07b : mc07c : mc07d : mc07e : mc07f								1.9	6.2	41.2	328.3	5
	0.65	0.025	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.7	A	38.5	-78.3	429.5	8		8	0	n	7.9837	0	Igneous : Extrusive	Lava Flow					-77.8	Basalt	McMurdo	166.83	DE-FM : DA-DIR-GEO			mc08	pmagpy-2.60	mc08a : mc08b : mc08c : mc08d : mc08e : mc08f : mc08g : mc08h												
	0.65	0.025	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00004336	0.000001508	3.479	3	-77.8	Basalt	McMurdo	166.83	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT		mc08a : mc08b : mc08g	mc08	pmagpy-2.60	mc08a : mc08b : mc08g												
	0.65	0.025	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc08, Site VGPA comp: (geog. coord)."	2.7	A	38.5	-78.3	429.5	8	8				7.9837	0	Igneous : Extrusive	Lava Flow					-77.8	Basalt	McMurdo	166.83	DE-FM : DE-DI	i		mc08	pmagpy-2.60	mc08a : mc08b : mc08c : mc08d : mc08e : mc08f : mc08g : mc08h								2.8	5.2	75.1	234.6	8
	0.65	0.025	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc08, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00004336	0.000001508	3.479	3	-77.8	Basalt	McMurdo	166.83	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT	i	mc08a : mc08b : mc08g	mc08	pmagpy-2.60	mc08a : mc08b : mc08g	5.70E+22	3	1.98E+21	5.94E+22	3	2.07E+21						
	0.074	0.0075	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.6	A	259.9	-82.7	234.2	8		8	0	n	7.9701	0	Igneous : Extrusive	Lava Flow					-77.55	Trachyte	McMurdo	166.2	DE-FM : DA-DIR-GEO			mc09	pmagpy-2.60	mc09a : mc09b : mc09c : mc09d : mc09e : mc09f : mc09g : mc09h												
	0.074	0.0075	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.0000271	0.000001007	3.715	3	-77.55	Trachyte	McMurdo	166.2	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT		mc09a : mc09b : mc09d	mc09	pmagpy-2.60	mc09a : mc09b : mc09d												
	0.074	0.0075	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc09, Site VGPA comp: (geog. coord)."	3.6	A	259.9	-82.7	234.2	8	8				7.9701	0	Igneous : Extrusive	Lava Flow					-77.55	Trachyte	McMurdo	166.2	DE-FM : DE-DI	i		mc09	pmagpy-2.60	mc09a : mc09b : mc09c : mc09d : mc09e : mc09f : mc09g : mc09h								6.1	6.9	69.5	30.4	8
	0.074	0.0075	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc09, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.0000271	0.000001007	3.715	3	-77.55	Trachyte	McMurdo	166.2	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT	i	mc09a : mc09b : mc09d	mc09	pmagpy-2.60	mc09a : mc09b : mc09d	3.57E+22	3	1.33E+21	3.59E+22	3	1.33E+21						
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.1	A	335.3	-78.6	184.5	8		8	0	n	7.9621	0	Igneous : Extrusive	Lava Flow					-77.57	Basalt	McMurdo	166.23	DE-FM : DA-DIR-GEO			mc10	pmagpy-2.60	mc10a : mc10b : mc10c : mc10d : mc10e : mc10f : mc10g : mc10h												
	4	4	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00003737	0	0	1	-77.57	Basalt	McMurdo	166.23	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT		mc10d	mc10	pmagpy-2.60	mc10d												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc10, Site VGPA comp: (geog. coord)."	4.1	A	335.3	-78.6	184.5	8	8				7.9621	0	Igneous : Extrusive	Lava Flow					-77.57	Basalt	McMurdo	166.23	DE-FM : DE-DI	i		mc10	pmagpy-2.60	mc10a : mc10b : mc10c : mc10d : mc10e : mc10f : mc10g : mc10h								4.5	7.9	78.2	116.5	8
	0.86	0.115	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.6	A	9.9	-76.6	582.7	7		5	2	n	6.9914	0	Igneous : Extrusive	Lava Flow					-78.302	Basalt	McMurdo	162.9	DE-FM : DA-DIR-GEO			mc100	pmagpy-2.60	mc100a1 : mc100d1 : mc100e1 : mc100e2 : mc100f2 : mc100g1 : mc100h2												
	0.86	0.115	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc100, Site VGPA comp: (geog. coord)."	2.6	A	9.9	-76.6	582.7	7	7				6.9914	0	Igneous : Extrusive	Lava Flow					-78.302	Basalt	McMurdo	162.9	DE-FM : DE-DI	i		mc100	pmagpy-2.60	mc100a1 : mc100d1 : mc100e1 : mc100e2 : mc100f2 : mc100g1 : mc100h2								2.3	5	75.9	180.6	7
	1.065	0.004	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.1	A	38.5	-80.6	460.8	6		6	0	n	5.9891	0	Igneous : Extrusive	Lava Flow					-78.306	Basalt	McMurdo	162.928	DE-FM : DA-DIR-GEO			mc101	pmagpy-2.60	mc101a1 : mc101b1 : mc101c1 : mc101d1 : mc101f1 : mc101h1												
	1.065	0.004	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc101, Site VGPA comp: (geog. coord)."	3.1	A	38.5	-80.6	460.8	6	6				5.9891	0	Igneous : Extrusive	Lava Flow					-78.306	Basalt	McMurdo	162.928	DE-FM : DE-DI	i		mc101	pmagpy-2.60	mc101a1 : mc101b1 : mc101c1 : mc101d1 : mc101f1 : mc101h1								3.8	6	78.4	239	6
	0.264	0.01	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.4	A	150.4	75.7	326.5	7		6	1	r	6.9832	0	Igneous : Extrusive	Lava Flow					-78.235	Basalt	McMurdo	163.352	DE-FM : DA-DIR-GEO			mc102	pmagpy-2.60	mc102a1 : mc102a2 : mc102b1 : mc102b2 : mc102e1 : mc102f1 : mc102g1												
	0.264	0.01	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc102, Site VGPA comp: (geog. coord)."	3.4	A	150.4	75.7	326.5	7	7				6.9832	0	Igneous : Extrusive	Lava Flow					-78.235	Basalt	McMurdo	163.352	DE-FM : DE-DI	i		mc102	pmagpy-2.60	mc102a1 : mc102a2 : mc102b1 : mc102b2 : mc102e1 : mc102f1 : mc102g1								2.8	6.6	-72.3	295.8	7
	1.421	0.015	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.8	A	138.2	73.6	1460.2	6		6	0	r	5.9966	0	Igneous : Extrusive	Lava Flow					-78.235	Basalt	McMurdo	163.36	DE-FM : DA-DIR-GEO			mc103	pmagpy-2.60	mc103a1 : mc103a2 : mc103b2 : mc103c2 : mc103d2 : mc103e2												
	1.421	0.015	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.000021	0	0	1	-78.235	Basalt	McMurdo	163.36	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc103e	mc103	pmagpy-2.60	mc103e1												
	1.421	0.015	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc103, Site VGPA comp: (geog. coord)."	1.8	A	138.2	73.6	1460.2	6	6				5.9966	0	Igneous : Extrusive	Lava Flow					-78.235	Basalt	McMurdo	163.36	DE-FM : DE-DI	i		mc103	pmagpy-2.60	mc103a1 : mc103a2 : mc103b2 : mc103c2 : mc103d2 : mc103e2								1.3	3.5	-67	283.3	6
	0.29	0.01	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.2	A	72.1	-77.2	367.4	7		5	2	n	6.9864	0	Igneous : Extrusive	Lava Flow					-78.238	Basalt	McMurdo	163.401	DE-FM : DA-DIR-GEO			mc104	pmagpy-2.60	mc104a1 : mc104b1 : mc104b2 : mc104c1 : mc104c2 : mc104d1 : mc104f1												
	0.29	0.01	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc104, Site VGPA comp: (geog. coord)."	3.2	A	72.1	-77.2	367.4	7	7				6.9864	0	Igneous : Extrusive	Lava Flow					-78.238	Basalt	McMurdo	163.401	DE-FM : DE-DI	i		mc104	pmagpy-2.60	mc104a1 : mc104b1 : mc104b2 : mc104c1 : mc104c2 : mc104d1 : mc104f1								2.9	6.2	66.5	262.2	7
	0.86	0.035	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.1	A	193.2	69.5	671	8		8	0	r	7.9896	0	Igneous : Extrusive	Lava Flow					-78.245	Basalt	McMurdo	163.231	DE-FM : DA-DIR-GEO			mc105	pmagpy-2.60	mc105a1 : mc105a2 : mc105c1 : mc105d1 : mc105f1 : mc105g1 : mc105h1 : mc105j1												
	0.86	0.035	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00002862	0.000001917	6.697	4	-78.245	Basalt	McMurdo	163.231	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc105a : mc105c : mc105d : mc105j	mc105	pmagpy-2.60	mc105a2 : mc105c1 : mc105d1 : mc105j1												
	0.86	0.035	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc105, Site VGPA comp: (geog. coord)."	2.1	A	193.2	69.5	671	8	8				7.9896	0	Igneous : Extrusive	Lava Flow					-78.245	Basalt	McMurdo	163.231	DE-FM : DE-DI	i		mc105	pmagpy-2.60	mc105a1 : mc105a2 : mc105c1 : mc105d1 : mc105f1 : mc105g1 : mc105h1 : mc105j1								1.2	4.1	-64.5	1.8	8
	0.86	0.035	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc105, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00002862	0.000001917	6.697	4	-78.245	Basalt	McMurdo	163.231	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc105a : mc105c : mc105d : mc105j	mc105	pmagpy-2.60	mc105a2 : mc105c1 : mc105d1 : mc105j1	3.76E+22	4	2.52E+21	4.33E+22	4	2.90E+21						
	13.42	0.09	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.8	A	19.5	-76.7	410.8	5		5	0	n	4.9903	0	Igneous : Extrusive	Lava Flow					-78.21	Basalt	McMurdo	163.308	DE-FM : DA-DIR-GEO			mc106	pmagpy-2.60	mc106a1 : mc106b1 : mc106c1 : mc106d1 : mc106e1												
	13.42	0.09	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc106, Site VGPA comp: (geog. coord)."	3.8	A	19.5	-76.7	410.8	5	5				4.9903	0	Igneous : Extrusive	Lava Flow					-78.21	Basalt	McMurdo	163.308	DE-FM : DE-DI	i		mc106	pmagpy-2.60	mc106a1 : mc106b1 : mc106c1 : mc106d1 : mc106e1								3.4	7.4	75.3	197.5	5
	2.57	0.19	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2	A	96	-84.8	1007.6	7		5	2	n	6.995	0	Igneous : Extrusive	Lava Flow					-78.204	Basalt	McMurdo	163.347	DE-FM : DA-DIR-GEO			mc107	pmagpy-2.60	mc107c1 : mc107d2 : mc107e1 : mc107e2 : mc107h1 : mc107k1 : mc107l1												
	2.57	0.19	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00001524	0	0	1	-78.204	Basalt	McMurdo	163.347	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc107e	mc107	pmagpy-2.60	mc107e2												
	2.57	0.19	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc107, Site VGPA comp: (geog. coord)."	2	A	96	-84.8	1007.6	7	7				6.995	0	Igneous : Extrusive	Lava Flow					-78.204	Basalt	McMurdo	163.347	DE-FM : DE-DI	i		mc107	pmagpy-2.60	mc107c1 : mc107d2 : mc107e1 : mc107e2 : mc107h1 : mc107k1 : mc107l1								4.5	3.9	73.6	304.3	7
	0.41	0.07	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.8	A	69.8	-72.4	403.2	5		5	0	n	4.9901	0	Igneous : Extrusive	Lava Flow					-78.247	Basalt	McMurdo	163.323	DE-FM : DA-DIR-GEO			mc108	pmagpy-2.60	mc108a1 : mc108b1 : mc108d1 : mc108g2 : mc108k1												
	0.41	0.07	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc108, Site VGPA comp: (geog. coord)."	3.8	A	69.8	-72.4	403.2	5	5				4.9901	0	Igneous : Extrusive	Lava Flow					-78.247	Basalt	McMurdo	163.323	DE-FM : DE-DI	i		mc108	pmagpy-2.60	mc108a1 : mc108b1 : mc108d1 : mc108g2 : mc108k1								2.6	7.4	59.8	252.3	5
	1.261	0.02	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.1	A	174.6	75.4	477.4	6		6	0	r	5.9895	0	Igneous : Extrusive	Lava Flow					-78.282	Basalt	McMurdo	163.544	DE-FM : DA-DIR-GEO			mc109	pmagpy-2.60	mc109a1 : mc109a2 : mc109c1 : mc109d1 : mc109e1 : mc109i1												
	1.261	0.02	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.0000348	0.000001152	3.309	3	-78.282	Basalt	McMurdo	163.544	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc109a : mc109c : mc109d	mc109	pmagpy-2.60	mc109a1 : mc109c1 : mc109d1												
	1.261	0.02	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc109, Site VGPA comp: (geog. coord)."	3.1	A	174.6	75.4	477.4	6	6				5.9895	0	Igneous : Extrusive	Lava Flow					-78.282	Basalt	McMurdo	163.544	DE-FM : DE-DI	i		mc109	pmagpy-2.60	mc109a1 : mc109a2 : mc109c1 : mc109d1 : mc109e1 : mc109i1								2.5	6	-74.1	334.4	6
	1.261	0.02	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc109, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.0000348	0.000001152	3.309	3	-78.282	Basalt	McMurdo	163.544	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc109a : mc109c : mc109d	mc109	pmagpy-2.60	mc109a1 : mc109c1 : mc109d1	4.57E+22	3	1.51E+21	4.91E+22	3	1.63E+21						
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.2	A	327.1	-77.1	621.8	8		8	0	n	7.9887	0	Igneous : Extrusive	Lava Flow					-77.57	Basalt	McMurdo	166.23	DE-FM : DA-DIR-GEO			mc11	pmagpy-2.60	mc11a : mc11b : mc11c : mc11d : mc11e : mc11f : mc11g : mc11h												
	4	4	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00004328	0.00001135	26.23	3	-77.57	Basalt	McMurdo	166.23	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT		mc11b : mc11c : mc11e	mc11	pmagpy-2.60	mc11b : mc11c : mc11e												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc11, Site VGPA comp: (geog. coord)."	2.2	A	327.1	-77.1	621.8	8	8				7.9887	0	Igneous : Extrusive	Lava Flow					-77.57	Basalt	McMurdo	166.23	DE-FM : DE-DI	i		mc11	pmagpy-2.60	mc11a : mc11b : mc11c : mc11d : mc11e : mc11f : mc11g : mc11h								2.1	4.2	74.4	109	8
	7.94	0.12	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.2	A	253.5	79.6	218.2	5		5	0	r	4.9817	0	Igneous : Extrusive	Lava Flow					-78.238	Basalt	McMurdo	163.443	DE-FM : DA-DIR-GEO			mc110	pmagpy-2.60	mc110a2 : mc110b2 : mc110d1 : mc110g1 : mc110i1												
	7.94	0.12	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc110, Site VGPA comp: (geog. coord)."	5.2	A	253.5	79.6	218.2	5	5				4.9817	0	Igneous : Extrusive	Lava Flow					-78.238	Basalt	McMurdo	163.443	DE-FM : DE-DI	i		mc110	pmagpy-2.60	mc110a2 : mc110b2 : mc110d1 : mc110g1 : mc110i1								5.9	10.1	-69.9	89.6	5
	1.99	0.02	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.7	A	47.9	-67.6	1243.3	7		7	0	n	6.9952	0	Igneous : Extrusive	Lava Flow					-78.224	Basalt	McMurdo	162.787	DE-FM : DA-DIR-GEO			mc111	pmagpy-2.60	mc111a2 : mc111b1 : mc111d1 : mc111d2 : mc111e1 : mc111e2 : mc111f1												
	1.99	0.02	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.0000279	4.30E-07	1.541	2	-78.224	Basalt	McMurdo	162.787	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc111d : mc111e	mc111	pmagpy-2.60	mc111d2 : mc111e2												
	1.99	0.02	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc111, Site VGPA comp: (geog. coord)."	1.7	A	47.9	-67.6	1243.3	7	7				6.9952	0	Igneous : Extrusive	Lava Flow					-78.224	Basalt	McMurdo	162.787	DE-FM : DE-DI	i		mc111	pmagpy-2.60	mc111a2 : mc111b1 : mc111d1 : mc111d2 : mc111e1 : mc111e2 : mc111f1								0.9	3.3	57.4	223.9	7
	1.99	0.02	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc111, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.0000279	4.30E-07	1.541	2	-78.224	Basalt	McMurdo	162.787	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc111d : mc111e	mc111	pmagpy-2.60	mc111d2 : mc111e2	3.67E+22	2	5.65E+20	4.32E+22	2	6.66E+20						
	7.63	0.16	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.2	A	232.9	75.7	220.9	5		5	0	r	4.9819	0	Igneous : Extrusive	Lava Flow					-78.238	Basalt	McMurdo	163.441	DE-FM : DA-DIR-GEO			mc112	pmagpy-2.60	mc112a1 : mc112d1 : mc112g1 : mc112h3 : mc112j1												
	7.63	0.16	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc112, Site VGPA comp: (geog. coord)."	5.2	A	232.9	75.7	220.9	5	5				4.9819	0	Igneous : Extrusive	Lava Flow					-78.238	Basalt	McMurdo	163.441	DE-FM : DE-DI	i		mc112	pmagpy-2.60	mc112a1 : mc112d1 : mc112g1 : mc112h3 : mc112j1								4.3	10.1	-68.1	60	5
	6.73	0.085	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3	A	264.4	75.4	504.1	6		6	0	r	5.9901	0	Igneous : Extrusive	Lava Flow					-78.226	Basalt	McMurdo	162.735	DE-FM : DA-DIR-GEO			mc113	pmagpy-2.60	mc113a1 : mc113b1 : mc113c1 : mc113h1 : mc113j1 : mc113m1												
	6.73	0.085	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00001182	0.000000454	3.842	2	-78.226	Basalt	McMurdo	162.735	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc113j : mc113m	mc113	pmagpy-2.60	mc113j1 : mc113m1												
	6.73	0.085	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc113, Site VGPA comp: (geog. coord)."	3	A	264.4	75.4	504.1	6	6				5.9901	0	Igneous : Extrusive	Lava Flow					-78.226	Basalt	McMurdo	162.735	DE-FM : DE-DI	i		mc113	pmagpy-2.60	mc113a1 : mc113b1 : mc113c1 : mc113h1 : mc113j1 : mc113m1								2.4	5.8	-61.3	89.3	6
	6.73	0.085	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc113, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00001182	0.000000454	3.842	2	-78.226	Basalt	McMurdo	162.735	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc113j : mc113m	mc113	pmagpy-2.60	mc113j1 : mc113m1	1.55E+22	2	5.96E+20	1.67E+22	2	6.41E+20						
	1.62	0.14	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.1	A	52.4	-69.7	614	5		5	0	n	4.9935	0	Igneous : Extrusive	Lava Flow					-78.224	Basalt	McMurdo	162.783	DE-FM : DA-DIR-GEO			mc114	pmagpy-2.60	mc114a1 : mc114b2 : mc114c1 : mc114d2 : mc114i1												
