tab 	rmag_anisotropy
anisotropy_n	anisotropy_s1	anisotropy_s2	anisotropy_s3	anisotropy_s4	anisotropy_s5	anisotropy_s6	anisotropy_sigma	anisotropy_tilt_correction	anisotropy_type	anisotropy_unit	er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_method_codes
192	0.3362659	0.3354967	0.3282375	-0.0000749	0.0008207	0.0020542	3.63E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-007H-4-W-42	318-U1361A-007H-4-W-42	318-U1361A-007H-4-W-42	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3344426	0.3359459	0.3296115	-0.0011979	0.0005796	-0.0004463	1.07E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-007H-5-W-110	318-U1361A-007H-5-W-110	318-U1361A-007H-5-W-110	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3412301	0.3397867	0.3189833	0.0001315	-0.0000794	0.0012542	1.14E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-007H-6-W-23	318-U1361A-007H-6-W-23	318-U1361A-007H-6-W-23	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3332509	0.333944	0.3328051	-0.0004538	0.0003502	-0.0003602	1.10E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-007H-7-W-20	318-U1361A-007H-7-W-20	318-U1361A-007H-7-W-20	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3383692	0.3381316	0.3234992	-0.0000001	0.0001773	-0.0009298	9.38E-05	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-008H-1-W-73	318-U1361A-008H-1-W-73	318-U1361A-008H-1-W-73	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3402736	0.3369106	0.3228159	0.0002627	0.0003023	0.0003557	1.64E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-008H-2-W-92	318-U1361A-008H-2-W-92	318-U1361A-008H-2-W-92	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3335148	0.3346589	0.3318263	0.0005019	-0.0017279	0.0009241	8.63E-05	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-008H-3-W-102	318-U1361A-008H-3-W-102	318-U1361A-008H-3-W-102	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3375383	0.3372371	0.3252246	0.0000324	0.0006901	0.0013837	1.00E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-008H-4-W-78	318-U1361A-008H-4-W-78	318-U1361A-008H-4-W-78	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3340178	0.3327389	0.3332433	0.0000351	0.0007733	-0.0005534	1.93E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-008H-5-W-67	318-U1361A-008H-5-W-67	318-U1361A-008H-5-W-67	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3412974	0.3419211	0.3167815	-0.0014312	0.0040548	0.0054152	1.11E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-008H-6-W-83	318-U1361A-008H-6-W-83	318-U1361A-008H-6-W-83	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3390075	0.3383546	0.3226379	-0.000008	0.0015092	0.0015279	3.94E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-008H-7-W-28	318-U1361A-008H-7-W-28	318-U1361A-008H-7-W-28	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3327942	0.3343801	0.3328258	-0.0000892	0.000383	0.0001882	1.29E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-009H-1-W-94	318-U1361A-009H-1-W-94	318-U1361A-009H-1-W-94	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3345993	0.3331557	0.332245	0.0002678	-0.0003012	0.0001579	8.64E-05	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-009H-2-W-77	318-U1361A-009H-2-W-77	318-U1361A-009H-2-W-77	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3362291	0.3358496	0.3279213	-0.0004417	-0.0011499	-0.0005229	3.40E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-009H-3-W-63	318-U1361A-009H-3-W-63	318-U1361A-009H-3-W-63	LP-X:AE-H:LP-AN-MS:SO-V
192	0.338717	0.3369504	0.3243326	0.0001771	-0.0008189	0.0002451	1.34E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-009H-4-W-107	318-U1361A-009H-4-W-107	318-U1361A-009H-4-W-107	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3441885	0.343239	0.3125726	0.0000817	-0.0019813	0.000967	1.65E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-009H-5-W-22	318-U1361A-009H-5-W-22	318-U1361A-009H-5-W-22	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3400281	0.3395401	0.3204318	0.0000659	-0.0013457	0.0002401	1.46E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-009H-6-W-51	318-U1361A-009H-6-W-51	318-U1361A-009H-6-W-51	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3401502	0.3376302	0.3222197	0.0001926	-0.0004757	-0.0002548	1.54E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-009H-7-W-53	318-U1361A-009H-7-W-53	318-U1361A-009H-7-W-53	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3377612	0.3376504	0.3245884	0.0003085	-0.0000329	0.0019256	9.20E-05	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-010H-1-W-86	318-U1361A-010H-1-W-86	318-U1361A-010H-1-W-86	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3444499	0.3448324	0.3107177	-0.000208	0.0033325	0.0028325	1.70E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-010H-2-W-88	318-U1361A-010H-2-W-88	318-U1361A-010H-2-W-88	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3384165	0.3375647	0.3240188	-0.0007507	-0.0000116	0.0021201	1.21E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-010H-3-W-51	318-U1361A-010H-3-W-51	318-U1361A-010H-3-W-51	LP-X:AE-H:LP-AN-MS:SO-V
192	0.34623	0.3455828	0.3081872	0.0001817	0.0021571	-0.0007754	2.05E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-010H-4-W-81	318-U1361A-010H-4-W-81	318-U1361A-010H-4-W-81	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3342545	0.3336594	0.3320861	0.0001862	0.0000645	0.0000143	1.29E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-010H-5-W-58	318-U1361A-010H-5-W-58	318-U1361A-010H-5-W-58	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3330199	0.334288	0.332692	0.0002367	-0.0000409	-0.000186	1.68E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-010H-6-W-16	318-U1361A-010H-6-W-16	318-U1361A-010H-6-W-16	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3335613	0.3340672	0.3323715	0.0000069	0.0003771	0.0011778	1.09E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-010H-7-W-17	318-U1361A-010H-7-W-17	318-U1361A-010H-7-W-17	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3344948	0.3347018	0.3308033	-0.0004128	0.0006154	0.001599	8.84E-05	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-011H-1-W-75	318-U1361A-011H-1-W-75	318-U1361A-011H-1-W-75	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3384526	0.337412	0.3241354	-0.0000465	-0.0027806	0.0014579	1.78E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-011H-2-W-95	318-U1361A-011H-2-W-95	318-U1361A-011H-2-W-95	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3431628	0.3420962	0.3147411	-0.0002826	-0.0008284	0.000158	1.40E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-011H-3-W-82	318-U1361A-011H-3-W-82	318-U1361A-011H-3-W-82	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3312183	0.3349326	0.3338491	-0.0003291	-0.0023658	0.0053956	9.45E-05	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-011H-4-W-99	318-U1361A-011H-4-W-99	318-U1361A-011H-4-W-99	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3324533	0.3343835	0.3331632	-0.0001554	-0.0015042	0.0015135	1.01E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-011H-5-W-92	318-U1361A-011H-5-W-92	318-U1361A-011H-5-W-92	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3319249	0.3364439	0.3316312	-0.0003205	-0.0021033	0.0027729	9.26E-05	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-011H-6-W-77	318-U1361A-011H-6-W-77	318-U1361A-011H-6-W-77	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3359116	0.3353592	0.3287292	-0.0000389	0.0000724	-0.0008862	3.06E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-012H-4-W-91	318-U1361A-012H-4-W-91	318-U1361A-012H-4-W-91	LP-X:AE-H:LP-AN-MS:SO-V
