tab	er_ages
er_citation_names	er_site_name	er_location_name	age_description	magic_method_codes	age	age_unit	er_sample_name
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.25	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.68	Ma	318-U1361A-001H_6A-0.25
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.3	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.69	Ma	318-U1361A-001H_6A-0.3
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.35	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.69	Ma	318-U1361A-001H_6A-0.35
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.4	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.69	Ma	318-U1361A-001H_6A-0.4
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.45	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.69	Ma	318-U1361A-001H_6A-0.45
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.5	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.70	Ma	318-U1361A-001H_6A-0.5
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.55	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.70	Ma	318-U1361A-001H_6A-0.55
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.6	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.70	Ma	318-U1361A-001H_6A-0.6
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.65	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.70	Ma	318-U1361A-001H_6A-0.65
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.7	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.70	Ma	318-U1361A-001H_6A-0.7
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.75	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.71	Ma	318-U1361A-001H_6A-0.75
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.8	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.71	Ma	318-U1361A-001H_6A-0.8
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.85	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.71	Ma	318-U1361A-001H_6A-0.85
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.9	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.71	Ma	318-U1361A-001H_6A-0.9
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.95	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.71	Ma	318-U1361A-001H_6A-0.95
