tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_flag	measurement_lab_field_dc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_dc_field	treatment_temp
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.152e-01	2.076e+01	65	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	9.810e-02	1.929e+01	66	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	8.100e-02	1.761e+01	67	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	6.375e-02	1.576e+01	68	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	4.665e-02	1.366e+01	69	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	2.940e-02	1.121e+01	70	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.230e-02	8.258e+00	71	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-4.800e-03	4.603e+00	72	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-2.205e-02	-3.750e-02	73	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-3.915e-02	-4.435e+00	74	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-5.640e-02	-8.258e+00	75	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-7.350e-02	-1.162e+01	76	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-9.075e-02	-1.447e+01	77	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-1.079e-01	-1.693e+01	78	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-1.250e-01	-1.907e+01	79	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-1.422e-01	-2.086e+01	80	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-1.593e-01	-2.239e+01	81	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-1.766e-01	-2.371e+01	82	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-1.937e-01	-2.489e+01	83	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-2.109e-01	-2.592e+01	84	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-2.280e-01	-2.688e+01	85	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-2.453e-01	-2.766e+01	86	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-2.624e-01	-2.840e+01	87	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-2.795e-01	-2.909e+01	88	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-2.967e-01	-2.973e+01	89	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-3.138e-01	-3.031e+01	90	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-3.309e-01	-3.088e+01	91	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	-3.482e-01	-3.141e+01	92	u	273		273
