tab	sites
site	location	specimens	age	age_sigma	age_unit	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	citations	method_codes	site_definition
sv54	San Francisco Volcanics	sv54c1 : sv54d1 : sv54h1 : sv54i1 : sv54k1	2.5	2.5	Ma	14.1	175.3	-46.7	30.4	5	5	0	r	4.8684	0						DE-SPEC	Recalculated from original measurements; supercedes published results.	This study	LP-DC5 : DE-FM	
sv54	San Francisco Volcanics															35.3002	247.7293	Igneous	Lava Flow	Basalt			This study	FS-FD : FS-LOC-GPS : SO-SM	s
sv55	San Francisco Volcanics	sv55a1 : sv55d2 : sv55h1 : sv55j1	2.5	2.5	Ma	4.5	181.2	-45	409.3	4	4	0	r	3.9927	0						DE-SPEC	Recalculated from original measurements; supercedes published results.	This study	LP-DC5 : DE-FM	
sv55	San Francisco Volcanics															35.3195	247.8202	Igneous	Lava Flow	Basalt			This study	FS-FD : FS-LOC-GPS : SO-SM	s
sv56	San Francisco Volcanics	sv56a2 : sv56c1 : sv56d2 : sv56e1 : sv56h1	2.5	2.5	Ma	50.1	171.1	-68.8	3.3	5	4	1	r	3.9527	0						DE-SPEC	Recalculated from original measurements; supercedes published results.	This study	LP-DC5 : DE-FM-LP	
sv56	San Francisco Volcanics															35.3417	247.8424	Igneous	Lava Flow	Basalt			This study	FS-FD : FS-LOC-GPS : SO-SM	s
sv57	San Francisco Volcanics	sv57a1 : sv57c1 : sv57d1 : sv57k1 : sv57l2	2.5	2.5	Ma	17.8	199.6	-46.4	19.5	5	5	0	r	4.795	0						DE-SPEC	Recalculated from original measurements; supercedes published results.	This study	LP-DC5 : DE-FM	
sv57	San Francisco Volcanics															35.26	247.7564	Igneous	Lava Flow	Basalt			This study	FS-FD : FS-LOC-GPS : SO-SM	s
sv58	San Francisco Volcanics	sv58a1 : sv58d1 : sv58g1 : sv58k1	2.5	2.5	Ma	3.9	182	-62.3	569.7	4	4	0	r	3.9947	0						DE-SPEC	Recalculated from original measurements; supercedes published results.	This study	LP-DC5 : DE-FM	
sv58	San Francisco Volcanics															35.2603	247.7564	Igneous	Lava Flow	Basalt			This study	FS-FD : FS-LOC-GPS : SO-SM	s
sv59	San Francisco Volcanics	sv59a1 : sv59f1 : sv59g1 : sv59j1	2.5	2.5	Ma	2.7	178.8	-51.3	1128.1	4	4	0	r	3.9973	0						DE-SPEC	Recalculated from original measurements; supercedes published results.	This study	LP-DC5 : DE-FM	
sv59	San Francisco Volcanics															35.2542	247.9934	Igneous	Lava Flow	Basalt			This study	FS-FD : FS-LOC-GPS : SO-SM	s
sv60	San Francisco Volcanics															35.2535	248.0864	Igneous	Lava Flow	Basalt			This study	FS-FD : FS-LOC-GPS : SO-SM	s
sv61	San Francisco Volcanics															35.2031	248.2362	Igneous	Lava Flow	Basalt			This study	FS-FD : FS-LOC-GPS : SO-SM	s
sv61	San Francisco Volcanics	sv61a1 : sv61c1 : sv61g1 : sv61i1	2.5	2.5	Ma	39.5	2.9	77.8	7	4	3	1	n	3.6408	0						DE-SPEC	Recalculated from original measurements; supercedes published results.	This study	LP-DC5 : DE-FM-LP	
sv62	San Francisco Volcanics															35.2078	248.2294	Igneous	Lava Flow	Basalt			This study	FS-FD : FS-LOC-GPS : SO-SM	s
sv62	San Francisco Volcanics	sv62b1 : sv62d1 : sv62g1	2.5	2.5	Ma	38.3	133.7	-52.3	308.4	3	0	3	r	2.9984	0						DE-SPEC	Recalculated from original measurements; supercedes published results.	This study	LP-DC5 : DE-FM-LP	
sv63	San Francisco Volcanics															35.2582	247.9165	Igneous	Lava Flow	Basalt			This study	FS-FD : FS-LOC-GPS : SO-SM	s
sv63	San Francisco Volcanics	sv63a1 : sv63f1 : sv63h1 : sv63j1	2.5	2.5	Ma	4.2	351.5	45.1	489	4	4	0	n	3.9939	0						DE-SPEC	Recalculated from original measurements; supercedes published results.	This study	LP-DC5 : DE-FM	
sv64	San Francisco Volcanics															35.2569	248.0685	Igneous	Lava Flow	Basalt			This study	FS-FD : FS-LOC-GPS : SO-SM	s
sv64	San Francisco Volcanics	sv64b1 : sv64c2 : sv64e1 : sv64g1 : sv64h1 : sv64i1	2.5	2.5	Ma	5.1	170.4	-51.6	172.4	6	6	0	r	5.971	0						DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	This study	LP-DC5 : DE-FM	
sv65	San Francisco Volcanics															35.4088	248.5854	Igneous	Lava Flow	Basalt			This study	FS-FD : FS-LOC-GPS : SO-SM	s
sv65	San Francisco Volcanics	sv65a1 : sv65c1 : sv65d1 : sv65e1 : sv65g1	2.5	2.5	Ma	8.3	31	54.4	90.1	5	4	1	n	4.9611	0						DE-SPEC	Recalculated from original measurements; supercedes published results.	This study	LP-DC5 : DE-FM-LP	
