tab	samples
sample	site	specimens	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	azimuth	dip	citations	method_codes	location	sample_direction_type	age	sample_inferred_age_sigma	sample_inferred_age_unit
sv04j	sv04								35.39	248.26	Igneous	Lava Flow	Basalt			23	-82	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv05a	sv05	sv05a2	202.3	31.5	1	0	1	0							sample direction.			This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	2.5	2.5	Ma
sv05a	sv05								35.184	247.808	Igneous	Lava Flow	Basalt			11.4	-31.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv05b	sv05	sv05b1	160	-47.8	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv05b	sv05								35.184	247.808	Igneous	Lava Flow	Basalt			21	-36	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv05c	sv05	sv05c1	168.4	37.3	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	2.5	2.5	Ma
sv05c	sv05								35.184	247.808	Igneous	Lava Flow	Basalt			127.9	-3	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv05d	sv05	sv05d2	161.2	-47.4	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv05d	sv05								35.184	247.808	Igneous	Lava Flow	Basalt			348.5	-48	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv05e	sv05								35.184	247.808	Igneous	Lava Flow	Basalt			41.8	-50	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv05f	sv05	sv05f1	72.5	-2.6	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	2.5	2.5	Ma
sv05f	sv05								35.184	247.808	Igneous	Lava Flow	Basalt			346.1	-31	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv05g	sv05								35.184	247.808	Igneous	Lava Flow	Basalt			213.1	-14	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv05h	sv05	sv05h1	172	-44.3	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
