tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	er_expedition_name	er_formation_name	er_fossil_name	er_member_name	er_mineral_name	experiment	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	location	magn_mass	magn_moment	magn_r2_det	magn_volume	magn_x_sigma	magn_xyz_sigma	magn_y_sigma	magn_z_sigma	meas_field_ac	meas_field_dc	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	measurement_composite_depth	measurement_core_depth	measurement_demagn_code	measurement_elevation	measurement_height	measurement_loop_n	measurement_magnitude	method_codes	quality	sample	site	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_energy	treat_mw_integral	treat_mw_power	treat_mw_time	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
	This study		0.3	143.2	38.7						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.000004056																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0.14				0				0	0					273			
	This study		0.3	143.5	38.2						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.000003492																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0.16				0				0	0					273			
	This study		0.3	143.4	35.2						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.000003078																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0.18				0				0	0					273			
	This study		1.1	265.3	-69.1						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.00004274																273		1								LT-NO : DE-VM : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0				0				0	0					273			
	This study		1.2	249.8	-54						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.00002863																273		1								LT-AF-Z : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0.01				0				0	0					273			
	This study		1	240.1	-27.8						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.00002022																273		1								LT-AF-Z : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0.02				0				0	0					273			
	This study		1.2	236.9	-15						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.00001687																273		1								LT-AF-Z : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0.03				0				0	0					273			
	This study		0.9	234.6	-6.8						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.0000149																273		1								LT-AF-Z : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0.04				0				0	0					273			
	This study		1	234.4	-1.6						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.00001324																273		1								LT-AF-Z : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0.05				0				0	0					273			
	This study		0.7	233.2	2.9						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.00001179																273		1								LT-AF-Z : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0.06				0				0	0					273			
	This study		0.6	231.8	4.7						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.00001027																273		1								LT-AF-Z : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0.07				0				0	0					273			
	This study		1.2	233.4	7						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.000008608																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0.08				0				0	0					273			
	This study		0.9	232.9	9.3						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.000006661																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0.1				0				0	0					273			
	This study		0.7	232.7	10.7						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.00000516																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0.12				0				0	0					273			
	This study		1.1	231.6	11						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.000004166																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0.14				0				0	0					273			
	This study		1	232.5	10.5						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.000003247																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0.16				0				0	0					273			
	This study		1	232.4	12.9						sv02a1-LP-DIR-AF					San Francisco Volcanics		0.000002656																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02a	sv02		sv02a1	u						0.18				0				0	0					273			
	This study		0.1	49.5	60.2						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.0001775																273		1								LT-NO : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0				0				0	0					273			
	This study		0.1	47.7	59.5						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.0001516																273		1								LT-AF-Z : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0.01				0				0	0					273			
	This study		0.1	49.9	61.6						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.00009286																273		1								LT-AF-Z : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0.02				0				0	0					273			
	This study		0.7	47.2	65.8						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.00005749																273		1								LT-AF-Z : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0.03				0				0	0					273			
	This study		0.3	45.7	69.3						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.00003842																273		1								LT-AF-Z : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0.04				0				0	0					273			
	This study		0.2	42.5	72.1						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.00002711																273		1								LT-AF-Z : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0.05				0				0	0					273			
	This study		1.1	39.5	74.9						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.0000199																273		1								LT-AF-Z : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0.06				0				0	0					273			
	This study		0.9	37	78.2						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.00001462																273		1								LT-AF-Z : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0.07				0				0	0					273			
	This study		1.1	31.8	80.5						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.00001184																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0.08				0				0	0					273			
	This study		0.9	20.8	84.9						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.000006676																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0.1				0				0	0					273			
	This study		1.2	1.5	86.9						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.000004497																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0.12				0				0	0					273			
	This study		0.5	272	87.3						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.00000314																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0.14				0				0	0					273			
	This study		0.9	241.1	85.9						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.000002294																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0.16				0				0	0					273			
	This study		1.3	259.5	85.1						sv02b1-LP-DIR-AF					San Francisco Volcanics		0.000001934																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02b	sv02		sv02b1	u						0.18				0				0	0					273			
	This study		0.1	240.4	48.7						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.00002173																273		1								LT-NO : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0				0				0	0					273			
	This study		1.1	244.1	48.8						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.00001766																273		1								LT-AF-Z : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0.01				0				0	0					273			
	This study		1.8	246.9	46.6						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.00001196																273		1								LT-AF-Z : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0.02				0				0	0					273			
	This study		1.2	248.6	45.3						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.000008185																273		1								LT-AF-Z : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0.03				0				0	0					273			
	This study		1.1	246.6	44.3						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.00000619																273		1								LT-AF-Z : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0.04				0				0	0					273			
	This study		1.1	244.4	43.8						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.000004949																273		1								LT-AF-Z : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0.05				0				0	0					273			
	This study		0.8	242.8	44.6						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.000003972																273		1								LT-AF-Z : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0.06				0				0	0					273			
	This study		0.9	243.8	44.3						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.000003178																273		1								LT-AF-Z : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0.07				0				0	0					273			
	This study		1.4	239.7	43.5						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.000002488																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0.08				0				0	0					273			
	This study		1.3	235.9	42.5						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.000001601																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0.1				0				0	0					273			
	This study		1.3	231.3	39.7						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.000001202																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0.12				0				0	0					273			
	This study		1.1	227.8	38.1						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.0000009347																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0.14				0				0	0					273			
	This study		1	223.2	34						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.0000008297																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0.16				0				0	0					273			
	This study		2.4	216.6	29.4						sv02c1-LP-DIR-AF					San Francisco Volcanics		0.000000754																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv02c	sv02		sv02c1	u						0.18				0				0	0					273			
	This study		0.2	247.2	63.4						sv02d1-LP-DIR-AF					San Francisco Volcanics		0.00002721																273		1								LT-NO : LP-DIR-AF	g	sv02d	sv02		sv02d1	u						0				0				0	0					273			
