tab	specimens																	
specimen	sample	experiments	dir_dec	dir_inc	dir_n_measurements	dir_tilt_correction	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	description	int_corr	citations	method_codes	specimen_direction_type
sv05f1	sv05f	sv05f1 : LP-DIR-AF	72.5	-2.6	13	0	4.4				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv05f1	sv05f							Igneous	Lava Flow	Basalt						This study		
sv05h1	sv05h	sv05h1 : LP-DIR-AF	172	-44.3	7	0	4.3				0.15	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv05h1	sv05h							Igneous	Lava Flow	Basalt						This study		
sv05i1	sv05i							Igneous	Lava Flow	Basalt						This study		
sv05i1	sv05i	sv05i1 : LP-DIR-AF	166.6	-54.5	10	0	1.5				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv05j1	sv05j	sv05j1 : LP-DIR-AF	157.8	-60	7	0	2.3				0.18	0.07	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv05j1	sv05j							Igneous	Lava Flow	Basalt						This study		
sv06a1	sv06a	sv06a1 : LP-DIR-AF	246.5	-31.4	14	0	2				0.18	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv06a1	sv06a							Igneous	Lava Flow	Basalt						This study		
sv06c3	sv06c							Igneous	Lava Flow	Basalt						This study		
sv06c3	sv06c	sv06c3 : LP-DIR-AF	278.3	24.5	12	0	3.8				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv06e1	sv06e							Igneous	Lava Flow	Basalt						This study		
sv06e2	sv06e							Igneous	Lava Flow	Basalt						This study		
sv06f1	sv06f							Igneous	Lava Flow	Basalt						This study		
sv06f1	sv06f	sv06f1 : LP-DIR-AF	357.8	-39.1	10	0	2.6				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv06g1	sv06g							Igneous	Lava Flow	Basalt						This study		
sv06g1	sv06g	sv06g1 : LP-DIR-AF	59.6	24	6	0	3.8				0.07	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv06g2	sv06g							Igneous	Lava Flow	Basalt						This study		
sv06h1	sv06h	sv06h1 : LP-DIR-AF	344.7	-25.1	11	0	4.7				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv06h1	sv06h							Igneous	Lava Flow	Basalt						This study		
sv07a1	sv07a	sv07a1 : LP-DIR-AF	4.1	57.1	10	0	3.1				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv07a1	sv07a							Igneous	Lava Flow	Basalt						This study		
sv07a2	sv07a							Igneous	Lava Flow	Basalt						This study		
sv07b1	sv07b							Igneous	Lava Flow	Basalt						This study		
sv07b1	sv07b	sv07b1 : LP-DIR-AF	352.3	61.6	12	0	1.9				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv07c1	sv07c	sv07c1 : LP-DIR-AF	346.5	62.5	11	0	2.8				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
