tab	specimens																	
specimen	sample	experiments	dir_dec	dir_inc	dir_n_measurements	dir_tilt_correction	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	description	int_corr	citations	method_codes	specimen_direction_type
sv57d1	sv57d							Igneous	Lava Flow	Basalt						This study		
sv57d1	sv57d	sv57d1 : LP-DIR-AF	187.6	-57	11	0	3.1				0.16	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv57k1	sv57k							Igneous	Lava Flow	Basalt						This study		
sv57k1	sv57k	sv57k1 : LP-DIR-AF	203	-14.6	6	0	5.4				0.12	0.05	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv57l2	sv57l							Igneous	Lava Flow	Basalt						This study		
sv57l2	sv57l	sv57l2 : LP-DIR-AF	210.3	-49.6	11	0	1.5				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv58a1	sv58a							Igneous	Lava Flow	Basalt						This study		
sv58a1	sv58a	sv58a1 : LP-DIR-AF	181.6	-63.7	12	0	1				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv58b1	sv58b							Igneous	Lava Flow	Basalt						This study		
sv58d1	sv58d	sv58d1 : LP-DIR-AF	176.7	-60	11	0	0.5				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv58d1	sv58d							Igneous	Lava Flow	Basalt						This study		
sv58g1	sv58g							Igneous	Lava Flow	Basalt						This study		
sv58g1	sv58g	sv58g1 : LP-DIR-AF	182.5	-60	11	0	0.5				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv58k1	sv58k	sv58k1 : LP-DIR-AF	188	-65.2	12	0	0.7				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv58k1	sv58k							Igneous	Lava Flow	Basalt						This study		
sv59a1	sv59a							Igneous	Lava Flow	Basalt						This study		
sv59a1	sv59a	sv59a1 : LP-DIR-AF	181	-51.7	11	0	1				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv59f1	sv59f							Igneous	Lava Flow	Basalt						This study		
sv59f1	sv59f	sv59f1 : LP-DIR-AF	179.6	-53.1	11	0	0.8				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv59g1	sv59g							Igneous	Lava Flow	Basalt						This study		
sv59g1	sv59g	sv59g1 : LP-DIR-AF	178.4	-52	11	0	1				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv59h1	sv59h							Igneous	Lava Flow	Basalt						This study		
sv59j1	sv59j							Igneous	Lava Flow	Basalt						This study		
sv59j1	sv59j	sv59j1 : LP-DIR-AF	176.4	-48.3	12	0	1.4				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv60a1	sv60a							Igneous	Lava Flow	Basalt						This study		
sv60a1	sv60a	sv60a1 : LP-DIR-AF	219.1	-21	7	0	2.3				0.08	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv60c1	sv60c							Igneous	Lava Flow	Basalt						This study		
sv60c1	sv60c	sv60c1 : LP-DIR-AF	179.5	-28.9	5	0	0.7				0.06	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv60d1	sv60d							Igneous	Lava Flow	Basalt						This study		
sv60e1	sv60e							Igneous	Lava Flow	Basalt						This study		
sv60g1	sv60g							Igneous	Lava Flow	Basalt						This study		
sv61a1	sv61a							Igneous	Lava Flow	Basalt						This study		
sv61a1	sv61a	sv61a1 : LP-DIR-AF	163.3	61	10	0	1				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv61c1	sv61c							Igneous	Lava Flow	Basalt						This study		
sv61c1	sv61c	sv61c1 : LP-DIR-AF	264.2	2.6	9	0	4.8				0.08	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv61d1	sv61d							Igneous	Lava Flow	Basalt						This study		
sv61e1	sv61e							Igneous	Lava Flow	Basalt						This study		
sv61g1	sv61g	sv61g1 : LP-DIR-AF	348.2	63.4	7	0	1.4				0.16	0.06	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv61g1	sv61g							Igneous	Lava Flow	Basalt						This study		
sv61h1	sv61h							Igneous	Lava Flow	Basalt						This study		
sv61i1	sv61i	sv61i1 : LP-DIR-AF	356.8	54.4	5	0	1.6				0.14	0.07	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv61i1	sv61i							Igneous	Lava Flow	Basalt						This study		
sv62b1	sv62b	sv62b1 : LP-DIR-AF	68.8	19.6	9	0	2.2				0.08	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv62b1	sv62b							Igneous	Lava Flow	Basalt						This study		
sv62d1	sv62d	sv62d1 : LP-DIR-AF	345.3	-35.3	11	0	2.3				0.12	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv62d1	sv62d							Igneous	Lava Flow	Basalt						This study		
sv62g1	sv62g	sv62g1 : LP-DIR-AF	127.1	35.1	7	0	3.8				0.07	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv62g1	sv62g							Igneous	Lava Flow	Basalt						This study		
sv62j1	sv62j							Igneous	Lava Flow	Basalt						This study		
sv63a1	sv63a	sv63a1 : LP-DIR-AF	354.9	43.6	8	0	1.3				0.12	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv63a1	sv63a							Igneous	Lava Flow	Basalt						This study		
sv63f1	sv63f	sv63f1 : LP-DIR-AF	353	48	5	0	0.8				0.05	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv63f1	sv63f							Igneous	Lava Flow	Basalt						This study		
sv63g1	sv63g							Igneous	Lava Flow	Basalt						This study		
sv63h1	sv63h							Igneous	Lava Flow	Basalt						This study		
sv63h1	sv63h	sv63h1 : LP-DIR-AF	351.9	46.4	6	0	0.9				0.08	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv63j1	sv63j	sv63j1 : LP-DIR-AF	346.5	42.3	6	0	2				0.08	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv63j1	sv63j							Igneous	Lava Flow	Basalt						This study		
sv64a1	sv64a							Igneous	Lava Flow	Basalt						This study		
sv64b1	sv64b	sv64b1 : LP-DIR-AF	173.1	-51.1	8	0	1.2				0.15	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv64b1	sv64b							Igneous	Lava Flow	Basalt						This study		
sv64c2	sv64c							Igneous	Lava Flow	Basalt						This study		
sv64c2	sv64c	sv64c2 : LP-DIR-AF	185.3	-45.3	10	0	1.2				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv64e1	sv64e							Igneous	Lava Flow	Basalt						This study		
sv64e1	sv64e	sv64e1 : LP-DIR-AF	162.4	-53	11	0	0.6				0.16	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv64f1	sv64f							Igneous	Lava Flow	Basalt						This study		
sv64g1	sv64g							Igneous	Lava Flow	Basalt						This study		
sv64g1	sv64g	sv64g1 : LP-DIR-AF	167.9	-53.7	8	0	0.8				0.12	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv64h1	sv64h							Igneous	Lava Flow	Basalt						This study		
sv64h1	sv64h	sv64h1 : LP-DIR-AF	165.5	-52.9	8	0	0.8				0.15	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv64i1	sv64i							Igneous	Lava Flow	Basalt						This study		
sv64i1	sv64i	sv64i1 : LP-DIR-AF	165.9	-52.1	10	0	0.4				0.14	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv65a1	sv65a	sv65a1 : LP-DIR-AF	32.7	65	6	0	0.8				0.07	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv65a1	sv65a							Igneous	Lava Flow	Basalt						This study		
sv65b1	sv65b							Igneous	Lava Flow	Basalt						This study		
sv65c1	sv65c	sv65c1 : LP-DIR-AF	33.1	49.7	5	0	1				0.1	0.05	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv65c1	sv65c							Igneous	Lava Flow	Basalt						This study		
sv65d1	sv65d	sv65d1 : LP-DIR-AF	25.9	45	6	0	2.5				0.1	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv65d1	sv65d							Igneous	Lava Flow	Basalt						This study		
sv65e1	sv65e							Igneous	Lava Flow	Basalt						This study		
sv65e1	sv65e	sv65e1 : LP-DIR-AF	29.9	58.3	5	0	1.3				0.08	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv65f2	sv65f							Igneous	Lava Flow	Basalt						This study		
sv65g1	sv65g							Igneous	Lava Flow	Basalt						This study		
sv65g1	sv65g	sv65g1 : LP-DIR-AF	289.8	10.4	10	0	5				0.15	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv65h1	sv65h							Igneous	Lava Flow	Basalt						This study		
