tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	sample_azimuth	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_volume
This study	XXX	UTESTA	CUBE6624711	XXX-UTESTA-7H-7_W_39	XXX-UTESTA-7H-7_W_39		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	65.801	60.75	2015:04:10:21:44:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6636201	XXX-UTESTA-8H-1_W_53	XXX-UTESTA-8H-1_W_53		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	67.091	62.03	2015:04:11:2:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6636211	XXX-UTESTA-8H-2_W_63	XXX-UTESTA-8H-2_W_63		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	68.691	63.63	2015:04:11:2:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6636221	XXX-UTESTA-8H-3_W_80	XXX-UTESTA-8H-3_W_80		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	70.361	65.3	2015:04:11:2:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6636231	XXX-UTESTA-8H-4_W_88	XXX-UTESTA-8H-4_W_88		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	71.941	66.88	2015:04:11:2:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6636241	XXX-UTESTA-8H-5_W_36	XXX-UTESTA-8H-5_W_36		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	72.921	67.86	2015:04:11:2:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6636251	XXX-UTESTA-8H-6_W_36	XXX-UTESTA-8H-6_W_36		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	74.301	69.24	2015:04:11:2:00:00.00	0	7e-06
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-0	XXX-UTESTA-001H_1A-0	XXX-UTESTA-001H_1A-0	FS-C-DRILL-IODP:SO-V	0	0	0		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-5	XXX-UTESTA-001H_1A-5	XXX-UTESTA-001H_1A-5	FS-C-DRILL-IODP:SO-V	0	0.05	0.05		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-10	XXX-UTESTA-001H_1A-10	XXX-UTESTA-001H_1A-10	FS-C-DRILL-IODP:SO-V	0	0.099	0.1		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-15	XXX-UTESTA-001H_1A-15	XXX-UTESTA-001H_1A-15	FS-C-DRILL-IODP:SO-V	0	0.149	0.15		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-20	XXX-UTESTA-001H_1A-20	XXX-UTESTA-001H_1A-20	FS-C-DRILL-IODP:SO-V	0	0.198	0.2		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-25	XXX-UTESTA-001H_1A-25	XXX-UTESTA-001H_1A-25	FS-C-DRILL-IODP:SO-V	0	0.248	0.25		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-30	XXX-UTESTA-001H_1A-30	XXX-UTESTA-001H_1A-30	FS-C-DRILL-IODP:SO-V	0	0.297	0.3		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-35	XXX-UTESTA-001H_1A-35	XXX-UTESTA-001H_1A-35	FS-C-DRILL-IODP:SO-V	0	0.347	0.35		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-40	XXX-UTESTA-001H_1A-40	XXX-UTESTA-001H_1A-40	FS-C-DRILL-IODP:SO-V	0	0.396	0.4		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-45	XXX-UTESTA-001H_1A-45	XXX-UTESTA-001H_1A-45	FS-C-DRILL-IODP:SO-V	0	0.446	0.45		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-50	XXX-UTESTA-001H_1A-50	XXX-UTESTA-001H_1A-50	FS-C-DRILL-IODP:SO-V	0	0.496	0.5		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-55	XXX-UTESTA-001H_1A-55	XXX-UTESTA-001H_1A-55	FS-C-DRILL-IODP:SO-V	0	0.545	0.55		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-60	XXX-UTESTA-001H_1A-60	XXX-UTESTA-001H_1A-60	FS-C-DRILL-IODP:SO-V	0	0.595	0.6		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-65	XXX-UTESTA-001H_1A-65	XXX-UTESTA-001H_1A-65	FS-C-DRILL-IODP:SO-V	0	0.644	0.65		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-70	XXX-UTESTA-001H_1A-70	XXX-UTESTA-001H_1A-70	FS-C-DRILL-IODP:SO-V	0	0.694	0.7		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-75	XXX-UTESTA-001H_1A-75	XXX-UTESTA-001H_1A-75	FS-C-DRILL-IODP:SO-V	0	0.743	0.75		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-80	XXX-UTESTA-001H_1A-80	XXX-UTESTA-001H_1A-80	FS-C-DRILL-IODP:SO-V	0	0.793	0.8		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-85	XXX-UTESTA-001H_1A-85	XXX-UTESTA-001H_1A-85	FS-C-DRILL-IODP:SO-V	0	0.843	0.85		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-90	XXX-UTESTA-001H_1A-90	XXX-UTESTA-001H_1A-90	FS-C-DRILL-IODP:SO-V	0	0.892	0.9		0	
