tab 	measurements
analysts	aniso_s	aniso_type	citations	contribution_id	derived_value	description	dir_csd	dir_dec	dir_inc	display_order	experiment	files	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	inversion_height	inversion_residuals	magn_b_111	magn_b_111_sigma	magn_b_x	magn_b_x_sigma	magn_b_xyz_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_induction	magn_mass	magn_moment	magn_r2_det	magn_uncal	magn_volume	magn_x	magn_x_sigma	magn_xyz_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	meas_duration	meas_field_ac	meas_field_ac_phi	meas_field_ac_theta	meas_field_dc	meas_field_dc_phi	meas_field_dc_theta	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	method_codes	quality	result_type	row_id	sequence	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_integral	treat_mw_power	treat_mw_step	treat_mw_time	treat_step_num	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						5.62							50.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-22	LP-X:LP-X-T:LP-X-F	g			22		ferroxyhyte_Princeton-1985-M1-1	u	8.7e-06	2.453e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						31.59							50.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-23	LP-X:LP-X-T:LP-X-F	g			23		ferroxyhyte_Princeton-1985-M1-1	u	8.418e-06	2.418e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						177.56							50.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-24	LP-X:LP-X-T:LP-X-F	g			24		ferroxyhyte_Princeton-1985-M1-1	u	8.109e-06	2.68e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						997.34							50.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-25	LP-X:LP-X-T:LP-X-F	g			25		ferroxyhyte_Princeton-1985-M1-1	u	7.855e-06	2.169e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						1.0							60.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-26	LP-X:LP-X-T:LP-X-F	g			26		ferroxyhyte_Princeton-1985-M1-1	u	9.688e-06	2.76e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						5.62							60.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-27	LP-X:LP-X-T:LP-X-F	g			27		ferroxyhyte_Princeton-1985-M1-1	u	9.368e-06	2.746e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						31.59							60.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-28	LP-X:LP-X-T:LP-X-F	g			28		ferroxyhyte_Princeton-1985-M1-1	u	9.054e-06	2.719e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						177.56							60.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-29	LP-X:LP-X-T:LP-X-F	g			29		ferroxyhyte_Princeton-1985-M1-1	u	8.752e-06	2.755e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						997.34							60.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-30	LP-X:LP-X-T:LP-X-F	g			3		ferroxyhyte_Princeton-1985-M1-1	u	8.435e-06	2.423e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						1.0							70.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-31	LP-X:LP-X-T:LP-X-F	g			31		ferroxyhyte_Princeton-1985-M1-1	u	1.036e-05	3.088e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						5.62							70.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-32	LP-X:LP-X-T:LP-X-F	g			32		ferroxyhyte_Princeton-1985-M1-1	u	1e-05	3.029e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						31.59							70.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-33	LP-X:LP-X-T:LP-X-F	g			33		ferroxyhyte_Princeton-1985-M1-1	u	9.654e-06	3.015e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						177.56							70.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-34	LP-X:LP-X-T:LP-X-F	g			34		ferroxyhyte_Princeton-1985-M1-1	u	9.325e-06	3.326e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						997.34							70.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-35	LP-X:LP-X-T:LP-X-F	g			35		ferroxyhyte_Princeton-1985-M1-1	u	8.977e-06	2.711e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						1.0							80.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-36	LP-X:LP-X-T:LP-X-F	g			36		ferroxyhyte_Princeton-1985-M1-1	u	1.099e-05	3.341e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						5.62							80.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-37	LP-X:LP-X-T:LP-X-F	g			37		ferroxyhyte_Princeton-1985-M1-1	u	1.061e-05	3.258e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						31.59							80.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-38	LP-X:LP-X-T:LP-X-F	g			38		ferroxyhyte_Princeton-1985-M1-1	u	1.023e-05	3.224e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						177.56							80.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-39	LP-X:LP-X-T:LP-X-F	g			39		ferroxyhyte_Princeton-1985-M1-1	u	9.883e-06	2.71e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						997.34							80.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-40	LP-X:LP-X-T:LP-X-F	g			4		ferroxyhyte_Princeton-1985-M1-1	u	9.497e-06	2.985e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						1.0							90.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-41	LP-X:LP-X-T:LP-X-F	g			41		ferroxyhyte_Princeton-1985-M1-1	u	1.159e-05	3.56e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						5.62							90.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-42	LP-X:LP-X-T:LP-X-F	g			42		ferroxyhyte_Princeton-1985-M1-1	u	1.119e-05	3.487e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						31.59							90.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-43	LP-X:LP-X-T:LP-X-F	g			43		ferroxyhyte_Princeton-1985-M1-1	u	1.079e-05	3.423e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						177.56							90.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-44	LP-X:LP-X-T:LP-X-F	g			44		ferroxyhyte_Princeton-1985-M1-1	u	1.037e-05	3.86e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						997.34							90.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-45	LP-X:LP-X-T:LP-X-F	g			45		ferroxyhyte_Princeton-1985-M1-1	u	9.992e-06	3.158e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						1.0							99.99		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-46	LP-X:LP-X-T:LP-X-F	g			46		ferroxyhyte_Princeton-1985-M1-1	u	1.215e-05	3.73e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						5.62							99.99		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-47	LP-X:LP-X-T:LP-X-F	g			47		ferroxyhyte_Princeton-1985-M1-1	u	1.172e-05	3.711e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						31.59							99.99		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-48	LP-X:LP-X-T:LP-X-F	g			48		ferroxyhyte_Princeton-1985-M1-1	u	1.13e-05	3.659e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						177.56							99.99		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-49	LP-X:LP-X-T:LP-X-F	g			49		ferroxyhyte_Princeton-1985-M1-1	u	1.089e-05	4.061e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						997.34							99.99		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-50	LP-X:LP-X-T:LP-X-F	g			5		ferroxyhyte_Princeton-1985-M1-1	u	1.045e-05	3.38e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						1.0							109.99		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-51	LP-X:LP-X-T:LP-X-F	g			51		ferroxyhyte_Princeton-1985-M1-1	u	1.264e-05	3.83e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						5.62							109.99		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-52	LP-X:LP-X-T:LP-X-F	g			52		ferroxyhyte_Princeton-1985-M1-1	u	1.221e-05	3.866e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						31.59							109.99		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-53	LP-X:LP-X-T:LP-X-F	g			53		ferroxyhyte_Princeton-1985-M1-1	u	1.177e-05	3.838e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						177.56							109.99		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-54	LP-X:LP-X-T:LP-X-F	g			54		ferroxyhyte_Princeton-1985-M1-1	u	1.134e-05	4.318e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						997.34							109.99		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-55	LP-X:LP-X-T:LP-X-F	g			55		ferroxyhyte_Princeton-1985-M1-1	u	1.088e-05	3.571e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						1.0							120.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-56	LP-X:LP-X-T:LP-X-F	g			56		ferroxyhyte_Princeton-1985-M1-1	u	1.306e-05	3.857e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						5.62							120.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-57	LP-X:LP-X-T:LP-X-F	g			57		ferroxyhyte_Princeton-1985-M1-1	u	1.262e-05	3.938e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						31.59							120.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-58	LP-X:LP-X-T:LP-X-F	g			58		ferroxyhyte_Princeton-1985-M1-1	u	1.218e-05	3.934e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						177.56							120.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-59	LP-X:LP-X-T:LP-X-F	g			59		ferroxyhyte_Princeton-1985-M1-1	u	1.175e-05	4.164e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						997.34							120.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-60	LP-X:LP-X-T:LP-X-F	g			6		ferroxyhyte_Princeton-1985-M1-1	u	1.125e-05	3.665e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						1.0							130.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-61	LP-X:LP-X-T:LP-X-F	g			61		ferroxyhyte_Princeton-1985-M1-1	u	1.34e-05	3.826e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						5.62							130.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-62	LP-X:LP-X-T:LP-X-F	g			62		ferroxyhyte_Princeton-1985-M1-1	u	1.296e-05	3.939e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						31.59							130.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-63	LP-X:LP-X-T:LP-X-F	g			63		ferroxyhyte_Princeton-1985-M1-1	u	1.252e-05	3.953e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						177.56							130.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-64	LP-X:LP-X-T:LP-X-F	g			64		ferroxyhyte_Princeton-1985-M1-1	u	1.203e-05	4.257e-07			2015-08-25T16:49:11.000-05:00																			
