tab 	specimens
citations	description	method_codes	result_quality	sample	specimen	synthetic_alternatives	volume	weight
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrites (Dyar) SG-FH-40-4-A, Erwin	ferrihydrites (Dyar) SG-FH-40-4-A, Erwin Moss			0.0
This Study		LP-MASS:LP-VOL	g	ferroxyhyte_Princeton-1985-M1	ferroxyhyte_Princeton-1985-M1-1	ferroxyhyte_Princeton-1985-M1	1.00000001490116e-07	0.0001038599982857
This Study		LP-MASS:LP-VOL	g	ferroxyhyte_Princeton-1985-M1	ferroxyhyte_Princeton-1985-M1-2	ferroxyhyte_Princeton-1985-M1	1.00000001490116e-07	4.23999987542629e-05
This Study		LP-MASS:LP-VOL	g	ferroxyhyte_Princeton-1985-M2	ferroxyhyte_Princeton-1985-M2-1	ferroxyhyte_Princeton-1985-M2	1.00000001490116e-07	5.75999990105629e-05
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) 125086	goethite (Dyar) 125086 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) 7nm	goethite (Dyar) 7nm Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) 83831	goethite (Dyar) 83831 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) Florissant, HMM 119377	goethite (Dyar) Florissant, HMM 119377 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) nano YLO 1888D	goethite (Dyar) nano YLO 1888D Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) nano YLO 3288D	goethite (Dyar) nano YLO 3288D Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) Nanophase 1GOE 07/20/10 J. Bosch T-series	goethite (Dyar) Nanophase 1GOE 07/20/10 J. Bosch T-series Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) nanophase, A1	goethite (Dyar) nanophase, A1 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) nanophase, B1	goethite (Dyar) nanophase, B1 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) nanophase, C1	goethite (Dyar) nanophase, C1 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) reduced synthetic, JB 438	goethite (Dyar) reduced synthetic, JB 438 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) Sklute, 030216	goethite (Dyar) Sklute, 030216 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) Sklute, Goet011515	goethite (Dyar) Sklute, Goet011515 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) Sklute, Goet012315	goethite (Dyar) Sklute, Goet012315 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	goethite (Dyar) synthetic JB 54	goethite (Dyar) synthetic JB 54 Moss			0.0
This Study		LP-MASS:LP-VOL	g	goethite_AA 19496	goethite_AA 19496-1	goethite_AA 19496	1.00000001490116e-07	1.3600000180304e-05
This Study		LP-MASS:LP-VOL	g	goethite_Pfizer-YLO1888D	goethite_Pfizer-YLO1888D-1	goethite_Pfizer-YLO1888D	1.00000001490116e-07	0.0001420000046491
This Study		LP-MASS:LP-VOL	g	goethite_Pfizer-YO-5087	goethite_Pfizer-YO-5087-1	goethite_Pfizer-YO-5087	1.00000001490116e-07	1.37200001627207e-05
This Study		LP-MASS:LP-VOL	g	goethite_Pfizer-YO-6087	goethite_Pfizer-YO-6087-1	goethite_Pfizer-YO-6087	1.00000001490116e-07	1.68999992311001e-05
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	lepidocrocite (Dyar) Sklute, Lep030415	lepidocrocite (Dyar) Sklute, Lep030415 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	lepidocrocite (Dyar) Sklute, LEP052616	lepidocrocite (Dyar) Sklute, LEP052616 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	lepidocrocite (Dyar) Sklute, Lep100615_2	lepidocrocite (Dyar) Sklute, Lep100615_2 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	lepidocrocite (Dyar) synthetic, JB 56	lepidocrocite (Dyar) synthetic, JB 56 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	lepidocrocite (Dyar) synthetic, JB50	lepidocrocite (Dyar) synthetic, JB50 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	lepidocrocite (Dyar) Zuckmantel, HMM 81159	lepidocrocite (Dyar) Zuckmantel, HMM 81159 Moss			0.0
This Study		LP-MASS:LP-VOL	g	lepidocrocite_AA 17531	lepidocrocite_AA 17531_1	lepidocrocite_AA 17531	1.00000001490116e-07	0.0001444800049066
This Study		LP-MASS:LP-VOL	g	lepidocrocite_Pfizer	lepidocrocite_Pfizer_1	lepidocrocite_Pfizer	1.00000001490116e-07	3.16299982368946e-05
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	schwertmannite (Dyar) natural JB130	schwertmannite (Dyar) natural JB130 Moss			0.0
