tab 	magic_measurements
er_citation_names	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_flag	measurement_lab_field_dc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_dc_field	treatment_temp
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	3.042e-01	4.039e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	2.870e-01	3.957e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	2.699e-01	3.872e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	2.526e-01	3.782e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	2.355e-01	3.686e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	2.182e-01	3.585e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	2.012e-01	3.476e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.839e-01	3.362e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.668e-01	3.238e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.496e-01	3.104e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.325e-01	2.961e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.154e-01	2.804e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	9.810e-02	2.632e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	8.100e-02	2.441e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	6.375e-02	2.226e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	4.665e-02	1.979e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	2.940e-02	1.684e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	1.230e-02	1.324e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-4.800e-03	8.615e+00	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-2.205e-02	2.522e+00	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-3.915e-02	-4.277e+00	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-5.640e-02	-1.036e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-7.350e-02	-1.538e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-9.075e-02	-1.946e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.079e-01	-2.279e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.251e-01	-2.555e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.422e-01	-2.787e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.593e-01	-2.984e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.766e-01	-3.155e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-1.937e-01	-3.306e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-2.108e-01	-3.441e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-2.280e-01	-3.563e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-2.451e-01	-3.677e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-2.624e-01	-3.780e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-2.795e-01	-3.876e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-2.966e-01	-3.966e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-3.138e-01	-4.050e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-3.309e-01	-4.129e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-3.482e-01	-4.205e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-3.653e-01	-4.277e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-3.824e-01	-4.345e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-3.996e-01	-4.412e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-4.167e-01	-4.474e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-4.340e-01	-4.536e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-4.511e-01	-4.594e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-4.682e-01	-4.650e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-4.854e-01	-4.704e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-5.025e-01	-4.758e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-5.198e-01	-4.809e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-5.369e-01	-4.859e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-5.541e-01	-4.908e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	-5.712e-01	-4.956e+01	1	u	273		273
