tab	measurements
citations	description	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
na	ARM0	222.92	0.75	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.849e-08	3.849000000000001e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT45	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	46	pmagpy-4.2.96	mc120c-SA4	u	0.1	0.0			45	273.0
na	ARM0	224.11	1.05	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.772e-08	3.772000000000001e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT46	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	47	pmagpy-4.2.96	mc120c-SA4	u	0.12	0.0			46	273.0
na	ARM0	222.1	1.77	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.678e-08	3.678000000000001e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT47	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	48	pmagpy-4.2.96	mc120c-SA4	u	0.14	0.0			47	273.0
na	ARM0	222.48	1.21	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.639e-08	3.639e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT48	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	49	pmagpy-4.2.96	mc120c-SA4	u	0.16	0.0			48	273.0
na	ARM0	220.49	1.17	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.649e-08	3.649e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT49	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	50	pmagpy-4.2.96	mc120c-SA4	u	0.18	0.0			49	273.0
na	TRM10	351.73	-1.11	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.463e-07	4.463000000000001e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT50	LT-T-I:LP-TRM-AFD:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	51	pmagpy-4.2.96	mc120c-SA4	u	0.0	6e-05	351.73	-1.11	50	273.0
na	TRM1	352.6	-0.41	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.356e-07	4.3560000000000004e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT51	LT-LT-Z:LP-TRM-AFD:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	52	pmagpy-4.2.96	mc120c-SA4	u	0.0	0.0			51	77.0
na	TRM1	350.05	-1.41	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.337e-07	4.337000000000001e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT52	LT-AF-Z:LP-TRM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	53	pmagpy-4.2.96	mc120c-SA4	u	0.002	0.0			52	273.0
na	TRM1	353.56	-0.73	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.237e-07	4.237000000000001e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT53	LT-AF-Z:LP-TRM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	54	pmagpy-4.2.96	mc120c-SA4	u	0.005	0.0			53	273.0
na	TRM1	351.56	0.46	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.094e-07	4.094e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT54	LT-AF-Z:LP-TRM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	55	pmagpy-4.2.96	mc120c-SA4	u	0.008	0.0			54	273.0
na	TRM1	351.55	-0.49	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.983e-07	3.983e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT55	LT-AF-Z:LP-TRM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	56	pmagpy-4.2.96	mc120c-SA4	u	0.01	0.0			55	273.0
na	TRM1	352.93	-0.38	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.859e-07	3.8590000000000004e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT56	LT-AF-Z:LP-TRM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	57	pmagpy-4.2.96	mc120c-SA4	u	0.012	0.0			56	273.0
na	TRM1	354.23	-0.22	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.558e-07	3.5580000000000004e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT57	LT-AF-Z:LP-TRM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	58	pmagpy-4.2.96	mc120c-SA4	u	0.015	0.0			57	273.0
