tab 	samples
citations	geologic_classes	geologic_types	lat	lithologies	lon	sample	site
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava Flow	19.52	Basalt	204.19	C	Hawaii 1960 Flow
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	SBG_2352-2	BBQ
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	SBG_2358-4	BBQ
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	SBG_2372-2	BBQ
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	SBG_2372-3	BBQ
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	SBG_2392-4	BBQ
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava Flow	31.6	Andesite	229.40	SW01	SW
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava Flow	31.6	Andesite	229.40	TS01	TS
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava Flow	31.6	Andesite	229.40	TS02	TS
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.9	Basalt	204.10	hw108a	hw108
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.9	Basalt	204.10	hw108b	hw108
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.9	Basalt	204.10	hw108c	hw108
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.07	Basalt	204.29	hw123a	hw123
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.69	Basalt	204.54	hw126a	hw126
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.69	Basalt	204.54	hw126b	hw126
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.26	Basalt	204.13	hw128a	hw128
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.26	Basalt	204.13	hw128b	hw128
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.26	Basalt	204.13	hw128c	hw128
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.26	Basalt	204.13	hw128d	hw128
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.36	Basalt	205.03	hw201a	hw201
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.64	Basalt	204.13	hw226a	hw226
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.64	Basalt	204.13	hw226b	hw226
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.52	Basalt	204.19	hw241a	hw241
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.52	Basalt	204.19	hw241d	hw241
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava Flow	19.52	Basalt	204.19	hw241e	hw241
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava Flow	65.7	Basalt	343.20	kf	kf
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1ay	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1c-stub1	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1cy_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1cz_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1e_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1fx_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1fy_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1ga_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1gb_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1gc_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1h_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1hb_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1ka_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1kb_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1kc_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1kd_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1l_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1my	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1na_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1nb	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p1o_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2aa_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2ab_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2ac_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2ad	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2b_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2d	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2ey_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2kx_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2na_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2nb_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2o_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2q	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2qc	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2rl_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt	257.90	p2s_u	P
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	31.7811	Not Specified	35.20	remag-rs61	remag-rs61
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	31.7811	Not Specified	35.20	remag-rs62	remag-rs62
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	31.7811	Not Specified	35.20	remag-rs63	remag-rs63
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	31.7811	Not Specified	35.20	remag-rs78	remag-rs78
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	31.7811	Not Specified	35.20	rs25	rs25
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	31.7811	Not Specified	35.20	rs26	rs26
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	31.7811	Not Specified	35.20	rs27	rs27
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1a	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1c	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1dy	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1f	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1g	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1hx	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1i	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1kx	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1mx	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1my	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1nx	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1o	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1q	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1ry	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm1s	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm2ay	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm2by	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt	14.50	vm2dy	VM
