tab 	specimens
citations	geologic_classes	geologic_types	lithologies	sample	specimen
10.1016/j.pepi.2014.12.007:This study	Archeologic	Brick	Not Specified	BR06	BR06-3F
10.1016/j.pepi.2014.12.007:This study	Archeologic	Brick	Not Specified	BR06	BR06-4F
10.1016/j.pepi.2014.12.007:This study	Archeologic	Brick	Not Specified	BR06	BR06-5F
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	C	C-1-3
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	C	C-2-3
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	C	C-3-3
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	C	C-4-1
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	C	C-4-4L
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	SBG_2352-2	SBG_2352-2b
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	SBG_2352-2	SBG_2352-2e
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	SBG_2352-2	SBG_2352-2g
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	SBG_2358-4	SBG_2358-4f
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	SBG_2372-2	SBG_2372-2e
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	SBG_2372-2	SBG_2372-2g
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	SBG_2372-2	SBG_2372-2h
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	SBG_2372-3	SBG_2372-3d
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	SBG_2372-3	SBG_2372-3e
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	SBG_2372-3	SBG_2372-3f
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	SBG_2392-4	SBG_2392-4c
10.1029/93jb01160:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	SBG_2392-4	SBG_2392-4e
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-01A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-02A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-03A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-04A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-05A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-06A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-07A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-08A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-09A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-10A-2
10.1016/j.pepi.2008.03.006:This study	Extrusive:Igneous	Lava flow	Andesite	SW01	SW01-11A-2
