tab 	measurements
measurement	experiment	specimen	sequence	standard	quality	method_codes	treat_step_num	meas_field_dc	magn_moment	timestamp
LP-FORC-conventional_example-9-4	LP-FORC-conventional_example	conventional_example	77	u	g	LP-FORC	77	0.1042555	5.7244e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-9-5	LP-FORC-conventional_example	conventional_example	78	u	g	LP-FORC	78	0.1071245	5.784419e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-9-6	LP-FORC-conventional_example	conventional_example	79	u	g	LP-FORC	79	0.1099746	5.866938e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-9-7	LP-FORC-conventional_example	conventional_example	80	u	g	LP-FORC	80	0.1128202	5.922372e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-9-8	LP-FORC-conventional_example	conventional_example	81	u	g	LP-FORC	81	0.1156547	5.981189e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-9-9	LP-FORC-conventional_example	conventional_example	82	u	g	LP-FORC	82	0.1184869	6.037364e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-9-10	LP-FORC-conventional_example	conventional_example	83	u	g	LP-FORC	83	0.1213227	6.106019e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-9-11	LP-FORC-conventional_example	conventional_example	84	u	g	LP-FORC	84	0.1241623	6.16263e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-9-12	LP-FORC-conventional_example	conventional_example	85	u	g	LP-FORC	85	0.1269895	6.211347e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-9-13	LP-FORC-conventional_example	conventional_example	86	u	g	LP-FORC	86	0.129819	6.271012e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-9-14	LP-FORC-conventional_example	conventional_example	87	u	g	LP-FORC	87	0.1326465	6.320114e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-9-15	LP-FORC-conventional_example	conventional_example	88	u	g	LP-FORC	88	0.1354802	6.374933e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-9-16	LP-FORC-conventional_example	conventional_example	89	u	g	LP-FORC	89	0.1383236	6.425766e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-9-17	LP-FORC-conventional_example	conventional_example	90	u	g	LP-FORC	90	0.1411436	6.476301e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-0	LP-FORC-conventional_example	conventional_example	91	u	g	LP-FORC	91	0.2370439	7.833381e-07	2016-04-13T13:20:00
