tab 	measurements
measurement	experiment	specimen	sequence	standard	quality	method_codes	treat_step_num	meas_field_dc	magn_moment	timestamp
LP-FORC-conventional_example-60-82	LP-FORC-conventional_example	conventional_example	3351	u	g	LP-FORC	3351	0.1807378	7.060739e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-60-83	LP-FORC-conventional_example	conventional_example	3352	u	g	LP-FORC	3352	0.1835604	7.101099e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-60-84	LP-FORC-conventional_example	conventional_example	3353	u	g	LP-FORC	3353	0.1863787	7.143562e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-60-85	LP-FORC-conventional_example	conventional_example	3354	u	g	LP-FORC	3354	0.1892072	7.177102e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-0	LP-FORC-conventional_example	conventional_example	3355	u	g	LP-FORC	3355	0.2370422	7.789766e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-1	LP-FORC-conventional_example	conventional_example	3356	u	g	LP-FORC	3356	-0.05134807	-3.650342e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-2	LP-FORC-conventional_example	conventional_example	3357	u	g	LP-FORC	3357	-0.0484899	-3.536219e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-3	LP-FORC-conventional_example	conventional_example	3358	u	g	LP-FORC	3358	-0.04561176	-3.4098e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-4	LP-FORC-conventional_example	conventional_example	3359	u	g	LP-FORC	3359	-0.04273037	-3.28972e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-5	LP-FORC-conventional_example	conventional_example	3360	u	g	LP-FORC	3360	-0.03988347	-3.165518e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-6	LP-FORC-conventional_example	conventional_example	3361	u	g	LP-FORC	3361	-0.03703135	-3.028668e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-7	LP-FORC-conventional_example	conventional_example	3362	u	g	LP-FORC	3362	-0.03419	-2.887585e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-8	LP-FORC-conventional_example	conventional_example	3363	u	g	LP-FORC	3363	-0.03135747	-2.738802e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-9	LP-FORC-conventional_example	conventional_example	3364	u	g	LP-FORC	3364	-0.02850993	-2.588325e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-10	LP-FORC-conventional_example	conventional_example	3365	u	g	LP-FORC	3365	-0.02567965	-2.427749e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-11	LP-FORC-conventional_example	conventional_example	3366	u	g	LP-FORC	3366	-0.02284509	-2.260428e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-12	LP-FORC-conventional_example	conventional_example	3367	u	g	LP-FORC	3367	-0.02000998	-2.072205e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-13	LP-FORC-conventional_example	conventional_example	3368	u	g	LP-FORC	3368	-0.01718658	-1.886238e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-14	LP-FORC-conventional_example	conventional_example	3369	u	g	LP-FORC	3369	-0.01434169	-1.674943e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-15	LP-FORC-conventional_example	conventional_example	3370	u	g	LP-FORC	3370	-0.01150171	-1.459759e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-16	LP-FORC-conventional_example	conventional_example	3371	u	g	LP-FORC	3371	-0.008674635	-1.217152e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-17	LP-FORC-conventional_example	conventional_example	3372	u	g	LP-FORC	3372	-0.005846381	-9.618285e-08	2016-04-13T13:20:00
LP-FORC-conventional_example-61-18	LP-FORC-conventional_example	conventional_example	3373	u	g	LP-FORC	3373	-0.003023949	-6.741917e-08	2016-04-13T13:20:00
LP-FORC-conventional_example-61-19	LP-FORC-conventional_example	conventional_example	3374	u	g	LP-FORC	3374	-0.0002019552	-3.562476e-08	2016-04-13T13:20:00
LP-FORC-conventional_example-61-20	LP-FORC-conventional_example	conventional_example	3375	u	g	LP-FORC	3375	0.00262845	-2.785441e-09	2016-04-13T13:20:00
LP-FORC-conventional_example-61-21	LP-FORC-conventional_example	conventional_example	3376	u	g	LP-FORC	3376	0.005450006	2.95227e-08	2016-04-13T13:20:00
LP-FORC-conventional_example-61-22	LP-FORC-conventional_example	conventional_example	3377	u	g	LP-FORC	3377	0.00827681	5.932597e-08	2016-04-13T13:20:00
LP-FORC-conventional_example-61-23	LP-FORC-conventional_example	conventional_example	3378	u	g	LP-FORC	3378	0.01110595	8.838845e-08	2016-04-13T13:20:00
LP-FORC-conventional_example-61-24	LP-FORC-conventional_example	conventional_example	3379	u	g	LP-FORC	3379	0.01393364	1.149517e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-25	LP-FORC-conventional_example	conventional_example	3380	u	g	LP-FORC	3380	0.01678612	1.424486e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-26	LP-FORC-conventional_example	conventional_example	3381	u	g	LP-FORC	3381	0.01960882	1.666777e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-27	LP-FORC-conventional_example	conventional_example	3382	u	g	LP-FORC	3382	0.02243416	1.91023e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-28	LP-FORC-conventional_example	conventional_example	3383	u	g	LP-FORC	3383	0.02526511	2.14229e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-29	LP-FORC-conventional_example	conventional_example	3384	u	g	LP-FORC	3384	0.02808247	2.352994e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-30	LP-FORC-conventional_example	conventional_example	3385	u	g	LP-FORC	3385	0.03091428	2.562428e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-31	LP-FORC-conventional_example	conventional_example	3386	u	g	LP-FORC	3386	0.03374419	2.768604e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-32	LP-FORC-conventional_example	conventional_example	3387	u	g	LP-FORC	3387	0.03657231	2.949034e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-33	LP-FORC-conventional_example	conventional_example	3388	u	g	LP-FORC	3388	0.03939524	3.132985e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-34	LP-FORC-conventional_example	conventional_example	3389	u	g	LP-FORC	3389	0.04221838	3.300579e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-35	LP-FORC-conventional_example	conventional_example	3390	u	g	LP-FORC	3390	0.04505183	3.458196e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-36	LP-FORC-conventional_example	conventional_example	3391	u	g	LP-FORC	3391	0.04790075	3.6273e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-37	LP-FORC-conventional_example	conventional_example	3392	u	g	LP-FORC	3392	0.05072011	3.764098e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-38	LP-FORC-conventional_example	conventional_example	3393	u	g	LP-FORC	3393	0.05354423	3.904711e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-39	LP-FORC-conventional_example	conventional_example	3394	u	g	LP-FORC	3394	0.05637137	4.036155e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-40	LP-FORC-conventional_example	conventional_example	3395	u	g	LP-FORC	3395	0.05919592	4.167795e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-41	LP-FORC-conventional_example	conventional_example	3396	u	g	LP-FORC	3396	0.06201703	4.279843e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-42	LP-FORC-conventional_example	conventional_example	3397	u	g	LP-FORC	3397	0.06484007	4.395186e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-43	LP-FORC-conventional_example	conventional_example	3398	u	g	LP-FORC	3398	0.06766538	4.512691e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-44	LP-FORC-conventional_example	conventional_example	3399	u	g	LP-FORC	3399	0.07049471	4.621702e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-45	LP-FORC-conventional_example	conventional_example	3400	u	g	LP-FORC	3400	0.07331362	4.719047e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-46	LP-FORC-conventional_example	conventional_example	3401	u	g	LP-FORC	3401	0.07615389	4.831854e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-47	LP-FORC-conventional_example	conventional_example	3402	u	g	LP-FORC	3402	0.07899285	4.922167e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-48	LP-FORC-conventional_example	conventional_example	3403	u	g	LP-FORC	3403	0.08181284	5.012696e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-49	LP-FORC-conventional_example	conventional_example	3404	u	g	LP-FORC	3404	0.08463555	5.097081e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-50	LP-FORC-conventional_example	conventional_example	3405	u	g	LP-FORC	3405	0.08745768	5.193317e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-51	LP-FORC-conventional_example	conventional_example	3406	u	g	LP-FORC	3406	0.09027986	5.277427e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-52	LP-FORC-conventional_example	conventional_example	3407	u	g	LP-FORC	3407	0.09311308	5.35555e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-53	LP-FORC-conventional_example	conventional_example	3408	u	g	LP-FORC	3408	0.09593693	5.44136e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-54	LP-FORC-conventional_example	conventional_example	3409	u	g	LP-FORC	3409	0.09876411	5.516831e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-55	LP-FORC-conventional_example	conventional_example	3410	u	g	LP-FORC	3410	0.1015934	5.587929e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-56	LP-FORC-conventional_example	conventional_example	3411	u	g	LP-FORC	3411	0.1044138	5.665258e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-57	LP-FORC-conventional_example	conventional_example	3412	u	g	LP-FORC	3412	0.1072573	5.728262e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-58	LP-FORC-conventional_example	conventional_example	3413	u	g	LP-FORC	3413	0.1100821	5.802431e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-59	LP-FORC-conventional_example	conventional_example	3414	u	g	LP-FORC	3414	0.1129089	5.861446e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-60	LP-FORC-conventional_example	conventional_example	3415	u	g	LP-FORC	3415	0.1157346	5.926187e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-61	LP-FORC-conventional_example	conventional_example	3416	u	g	LP-FORC	3416	0.118554	5.992172e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-62	LP-FORC-conventional_example	conventional_example	3417	u	g	LP-FORC	3417	0.1213785	6.047036e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-63	LP-FORC-conventional_example	conventional_example	3418	u	g	LP-FORC	3418	0.1242106	6.108004e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-64	LP-FORC-conventional_example	conventional_example	3419	u	g	LP-FORC	3419	0.1270346	6.171924e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-65	LP-FORC-conventional_example	conventional_example	3420	u	g	LP-FORC	3420	0.1298586	6.223068e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-66	LP-FORC-conventional_example	conventional_example	3421	u	g	LP-FORC	3421	0.1326874	6.273984e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-67	LP-FORC-conventional_example	conventional_example	3422	u	g	LP-FORC	3422	0.1355201	6.332428e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-68	LP-FORC-conventional_example	conventional_example	3423	u	g	LP-FORC	3423	0.1383579	6.385501e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-69	LP-FORC-conventional_example	conventional_example	3424	u	g	LP-FORC	3424	0.1411777	6.433608e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-70	LP-FORC-conventional_example	conventional_example	3425	u	g	LP-FORC	3425	0.144007	6.487386e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-71	LP-FORC-conventional_example	conventional_example	3426	u	g	LP-FORC	3426	0.1468278	6.532279e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-72	LP-FORC-conventional_example	conventional_example	3427	u	g	LP-FORC	3427	0.149649	6.579818e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-73	LP-FORC-conventional_example	conventional_example	3428	u	g	LP-FORC	3428	0.1524797	6.630195e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-74	LP-FORC-conventional_example	conventional_example	3429	u	g	LP-FORC	3429	0.1553039	6.670331e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-75	LP-FORC-conventional_example	conventional_example	3430	u	g	LP-FORC	3430	0.1581286	6.719313e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-76	LP-FORC-conventional_example	conventional_example	3431	u	g	LP-FORC	3431	0.1609539	6.765928e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-77	LP-FORC-conventional_example	conventional_example	3432	u	g	LP-FORC	3432	0.1637781	6.805688e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-78	LP-FORC-conventional_example	conventional_example	3433	u	g	LP-FORC	3433	0.1666176	6.853439e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-79	LP-FORC-conventional_example	conventional_example	3434	u	g	LP-FORC	3434	0.1694419	6.885976e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-80	LP-FORC-conventional_example	conventional_example	3435	u	g	LP-FORC	3435	0.1722717	6.934813e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-81	LP-FORC-conventional_example	conventional_example	3436	u	g	LP-FORC	3436	0.1750949	6.981207e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-82	LP-FORC-conventional_example	conventional_example	3437	u	g	LP-FORC	3437	0.1779146	7.017738e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-83	LP-FORC-conventional_example	conventional_example	3438	u	g	LP-FORC	3438	0.1807363	7.060491e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-84	LP-FORC-conventional_example	conventional_example	3439	u	g	LP-FORC	3439	0.1835606	7.093038e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-61-85	LP-FORC-conventional_example	conventional_example	3440	u	g	LP-FORC	3440	0.1863825	7.139234e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-0	LP-FORC-conventional_example	conventional_example	3441	u	g	LP-FORC	3441	0.2370406	7.78905e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-1	LP-FORC-conventional_example	conventional_example	3442	u	g	LP-FORC	3442	-0.05417805	-3.798536e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-2	LP-FORC-conventional_example	conventional_example	3443	u	g	LP-FORC	3443	-0.05130989	-3.674337e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-3	LP-FORC-conventional_example	conventional_example	3444	u	g	LP-FORC	3444	-0.04844051	-3.565212e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-4	LP-FORC-conventional_example	conventional_example	3445	u	g	LP-FORC	3445	-0.04557655	-3.448407e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-5	LP-FORC-conventional_example	conventional_example	3446	u	g	LP-FORC	3446	-0.04270331	-3.319132e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-6	LP-FORC-conventional_example	conventional_example	3447	u	g	LP-FORC	3447	-0.03986284	-3.188624e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-7	LP-FORC-conventional_example	conventional_example	3448	u	g	LP-FORC	3448	-0.03701774	-3.055414e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-8	LP-FORC-conventional_example	conventional_example	3449	u	g	LP-FORC	3449	-0.03417868	-2.922638e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-9	LP-FORC-conventional_example	conventional_example	3450	u	g	LP-FORC	3450	-0.03134459	-2.769136e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-10	LP-FORC-conventional_example	conventional_example	3451	u	g	LP-FORC	3451	-0.0285002	-2.626098e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-11	LP-FORC-conventional_example	conventional_example	3452	u	g	LP-FORC	3452	-0.02567017	-2.44813e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-12	LP-FORC-conventional_example	conventional_example	3453	u	g	LP-FORC	3453	-0.02283956	-2.281218e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-13	LP-FORC-conventional_example	conventional_example	3454	u	g	LP-FORC	3454	-0.02000557	-2.100655e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-14	LP-FORC-conventional_example	conventional_example	3455	u	g	LP-FORC	3455	-0.01718442	-1.90635e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-15	LP-FORC-conventional_example	conventional_example	3456	u	g	LP-FORC	3456	-0.01434118	-1.699884e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-16	LP-FORC-conventional_example	conventional_example	3457	u	g	LP-FORC	3457	-0.01150107	-1.481385e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-17	LP-FORC-conventional_example	conventional_example	3458	u	g	LP-FORC	3458	-0.008676172	-1.243584e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-18	LP-FORC-conventional_example	conventional_example	3459	u	g	LP-FORC	3459	-0.005847995	-9.836815e-08	2016-04-13T13:20:00
LP-FORC-conventional_example-62-19	LP-FORC-conventional_example	conventional_example	3460	u	g	LP-FORC	3460	-0.003022969	-6.917044e-08	2016-04-13T13:20:00
LP-FORC-conventional_example-62-20	LP-FORC-conventional_example	conventional_example	3461	u	g	LP-FORC	3461	-0.0002000971	-3.783128e-08	2016-04-13T13:20:00
LP-FORC-conventional_example-62-21	LP-FORC-conventional_example	conventional_example	3462	u	g	LP-FORC	3462	0.00263166	-4.374492e-09	2016-04-13T13:20:00
LP-FORC-conventional_example-62-22	LP-FORC-conventional_example	conventional_example	3463	u	g	LP-FORC	3463	0.005454152	2.745223e-08	2016-04-13T13:20:00
LP-FORC-conventional_example-62-23	LP-FORC-conventional_example	conventional_example	3464	u	g	LP-FORC	3464	0.008281255	5.754661e-08	2016-04-13T13:20:00
LP-FORC-conventional_example-62-24	LP-FORC-conventional_example	conventional_example	3465	u	g	LP-FORC	3465	0.01110882	8.677418e-08	2016-04-13T13:20:00
LP-FORC-conventional_example-62-25	LP-FORC-conventional_example	conventional_example	3466	u	g	LP-FORC	3466	0.01393436	1.139929e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-26	LP-FORC-conventional_example	conventional_example	3467	u	g	LP-FORC	3467	0.01678237	1.39897e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-27	LP-FORC-conventional_example	conventional_example	3468	u	g	LP-FORC	3468	0.01960859	1.650566e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-28	LP-FORC-conventional_example	conventional_example	3469	u	g	LP-FORC	3469	0.02243382	1.898016e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-29	LP-FORC-conventional_example	conventional_example	3470	u	g	LP-FORC	3470	0.02526528	2.12717e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-30	LP-FORC-conventional_example	conventional_example	3471	u	g	LP-FORC	3471	0.02808545	2.343793e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-31	LP-FORC-conventional_example	conventional_example	3472	u	g	LP-FORC	3472	0.03091832	2.549185e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-32	LP-FORC-conventional_example	conventional_example	3473	u	g	LP-FORC	3473	0.03374608	2.754181e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-33	LP-FORC-conventional_example	conventional_example	3474	u	g	LP-FORC	3474	0.03657095	2.941748e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-34	LP-FORC-conventional_example	conventional_example	3475	u	g	LP-FORC	3475	0.03939642	3.116383e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-35	LP-FORC-conventional_example	conventional_example	3476	u	g	LP-FORC	3476	0.04222143	3.293709e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-36	LP-FORC-conventional_example	conventional_example	3477	u	g	LP-FORC	3477	0.04504906	3.453873e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-37	LP-FORC-conventional_example	conventional_example	3478	u	g	LP-FORC	3478	0.04789582	3.611407e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-38	LP-FORC-conventional_example	conventional_example	3479	u	g	LP-FORC	3479	0.05072007	3.755512e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-39	LP-FORC-conventional_example	conventional_example	3480	u	g	LP-FORC	3480	0.05354693	3.90114e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-40	LP-FORC-conventional_example	conventional_example	3481	u	g	LP-FORC	3481	0.05636947	4.034725e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-41	LP-FORC-conventional_example	conventional_example	3482	u	g	LP-FORC	3482	0.05919288	4.16013e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-42	LP-FORC-conventional_example	conventional_example	3483	u	g	LP-FORC	3483	0.06201511	4.282477e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-43	LP-FORC-conventional_example	conventional_example	3484	u	g	LP-FORC	3484	0.0648393	4.393851e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-44	LP-FORC-conventional_example	conventional_example	3485	u	g	LP-FORC	3485	0.06766779	4.507287e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-45	LP-FORC-conventional_example	conventional_example	3486	u	g	LP-FORC	3486	0.07049451	4.618659e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-46	LP-FORC-conventional_example	conventional_example	3487	u	g	LP-FORC	3487	0.07331489	4.722155e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-47	LP-FORC-conventional_example	conventional_example	3488	u	g	LP-FORC	3488	0.07615936	4.820082e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-48	LP-FORC-conventional_example	conventional_example	3489	u	g	LP-FORC	3489	0.07898988	4.919224e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-49	LP-FORC-conventional_example	conventional_example	3490	u	g	LP-FORC	3490	0.08181176	5.019608e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-50	LP-FORC-conventional_example	conventional_example	3491	u	g	LP-FORC	3491	0.08463409	5.100946e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-51	LP-FORC-conventional_example	conventional_example	3492	u	g	LP-FORC	3492	0.08745939	5.194413e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-52	LP-FORC-conventional_example	conventional_example	3493	u	g	LP-FORC	3493	0.09028137	5.273681e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-53	LP-FORC-conventional_example	conventional_example	3494	u	g	LP-FORC	3494	0.09311969	5.35594e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-54	LP-FORC-conventional_example	conventional_example	3495	u	g	LP-FORC	3495	0.09594106	5.433162e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-55	LP-FORC-conventional_example	conventional_example	3496	u	g	LP-FORC	3496	0.09876407	5.514114e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-56	LP-FORC-conventional_example	conventional_example	3497	u	g	LP-FORC	3497	0.1015939	5.586718e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-57	LP-FORC-conventional_example	conventional_example	3498	u	g	LP-FORC	3498	0.1044169	5.657479e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-58	LP-FORC-conventional_example	conventional_example	3499	u	g	LP-FORC	3499	0.1072603	5.731892e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-59	LP-FORC-conventional_example	conventional_example	3500	u	g	LP-FORC	3500	0.1100863	5.794242e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-60	LP-FORC-conventional_example	conventional_example	3501	u	g	LP-FORC	3501	0.1129108	5.870282e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-61	LP-FORC-conventional_example	conventional_example	3502	u	g	LP-FORC	3502	0.1157323	5.92329e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-62	LP-FORC-conventional_example	conventional_example	3503	u	g	LP-FORC	3503	0.11855	5.992823e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-63	LP-FORC-conventional_example	conventional_example	3504	u	g	LP-FORC	3504	0.1213779	6.05226e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-64	LP-FORC-conventional_example	conventional_example	3505	u	g	LP-FORC	3505	0.1242119	6.106185e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-65	LP-FORC-conventional_example	conventional_example	3506	u	g	LP-FORC	3506	0.127037	6.163806e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-66	LP-FORC-conventional_example	conventional_example	3507	u	g	LP-FORC	3507	0.1298619	6.22079e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-67	LP-FORC-conventional_example	conventional_example	3508	u	g	LP-FORC	3508	0.1326861	6.278118e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-68	LP-FORC-conventional_example	conventional_example	3509	u	g	LP-FORC	3509	0.1355176	6.332417e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-69	LP-FORC-conventional_example	conventional_example	3510	u	g	LP-FORC	3510	0.1383541	6.380168e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-70	LP-FORC-conventional_example	conventional_example	3511	u	g	LP-FORC	3511	0.1411752	6.428795e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-71	LP-FORC-conventional_example	conventional_example	3512	u	g	LP-FORC	3512	0.1440007	6.482118e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-72	LP-FORC-conventional_example	conventional_example	3513	u	g	LP-FORC	3513	0.1468229	6.534988e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-73	LP-FORC-conventional_example	conventional_example	3514	u	g	LP-FORC	3514	0.1496486	6.579469e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-74	LP-FORC-conventional_example	conventional_example	3515	u	g	LP-FORC	3515	0.1524775	6.6249e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-75	LP-FORC-conventional_example	conventional_example	3516	u	g	LP-FORC	3516	0.1553004	6.676335e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-76	LP-FORC-conventional_example	conventional_example	3517	u	g	LP-FORC	3517	0.1581298	6.714364e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-77	LP-FORC-conventional_example	conventional_example	3518	u	g	LP-FORC	3518	0.1609569	6.757543e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-78	LP-FORC-conventional_example	conventional_example	3519	u	g	LP-FORC	3519	0.1637787	6.814594e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-79	LP-FORC-conventional_example	conventional_example	3520	u	g	LP-FORC	3520	0.1666199	6.851355e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-80	LP-FORC-conventional_example	conventional_example	3521	u	g	LP-FORC	3521	0.1694448	6.887433e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-81	LP-FORC-conventional_example	conventional_example	3522	u	g	LP-FORC	3522	0.1722669	6.939022e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-62-82	LP-FORC-conventional_example	conventional_example	3523	u	g	LP-FORC	3523	0.1750922	6.977108e-07	2016-04-13T13:20:00
