tab 	er_samples
cooling_rate_corr	cooling_rate_mcd	er_citation_names	er_location_name	er_sample_alternatives	er_sample_name	er_scientist_mail_names	er_site_name	magic_method_codes	participantlist	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_cooling_rate	sample_declination_correction	sample_description	sample_dip	sample_height	sample_igsn	sample_lat	sample_lithology	sample_lon	sample_texture	sample_type
		This study			mc115e		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115f		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115g		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115h		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115i		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115j		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115k		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115m		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115n		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115p		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115q		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115r		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc116a		mc116	:SO-NO					Not Specified							-78.22200	Not Specified	162.74400		Not Specified
		This study			mc116b		mc116	:SO-NO					Not Specified							-78.22200	Not Specified	162.74400		Not Specified
		This study			mc116c		mc116	:SO-NO					Not Specified							-78.22200	Not Specified	162.74400		Not Specified
		This study			mc116d		mc116	:SO-NO					Not Specified							-78.22200	Not Specified	162.74400		Not Specified
		This study			mc116e		mc116	:SO-NO					Not Specified							-78.22200	Not Specified	162.74400		Not Specified
		This study			mc116f		mc116	:SO-NO					Not Specified							-78.22200	Not Specified	162.74400		Not Specified
		This study			mc116g		mc116	:SO-NO					Not Specified							-78.22200	Not Specified	162.74400		Not Specified
		This study			mc116h		mc116	:SO-NO					Not Specified							-78.22200	Not Specified	162.74400		Not Specified
		This study			mc116i		mc116	:SO-NO					Not Specified							-78.22200	Not Specified	162.74400		Not Specified
		This study			mc116j		mc116	:SO-NO					Not Specified							-78.22200	Not Specified	162.74400		Not Specified
		This study			mc116k		mc116	:SO-NO					Not Specified							-78.22200	Not Specified	162.74400		Not Specified
